,Dusty Old Road,Prince Of Egypt,Officer Rod,We Are Cousins,Cool Summer,Run Topper
12-01-2023 14:01:26.210709,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.74, 2.265)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:27.209419,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.74, 2.265)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:28.289673,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.72, 2.2640000000000002)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:29.330787,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.72, 2.2836363636363637)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:30.426075,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.72, 2.254117647058824)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:31.527666,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.7, 2.262)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:32.612717,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.262)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.11111111111111)"
12-01-2023 14:01:33.629447,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.331666666666667)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:34.744952,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.529433962264151)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:35.770556,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.3)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:36.801196,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.3)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:37.871022,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.3389473684210524)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:38.881587,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.3389473684210524)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:39.924221,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.3389473684210524)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:41.050733,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.3389473684210524)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:42.194704,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.3389473684210524)","(21.0, 65.0, 52.714285714285715)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:43.233771,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.3389473684210524)","(21.0, 65.0, 37.83333333333333)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:44.285194,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.3389473684210524)","(21.0, 60.0, 45.57142857142857)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:45.294300,"(3.8, 6.8, 6.166666666666667)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.3389473684210524)","(21.0, 55.0, 45.57142857142857)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:46.332057,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.3389473684210524)","(21.0, 55.0, 45.57142857142857)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:47.485298,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.3389473684210524)","(21.0, 55.0, 45.57142857142857)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:48.529453,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.3389473684210524)","(21.0, 55.0, 45.57142857142857)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.11111111111111)"
12-01-2023 14:01:49.523136,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.3389473684210524)","(21.0, 55.0, 45.57142857142857)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:50.655703,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.4836363636363634)","(21.0, 55.0, 47.25)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:51.730522,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.4836363636363634)","(21.0, 55.0, 47.25)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:52.782592,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.357894736842105)","(21.0, 55.0, 47.25)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:53.780345,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.733333333333334)","(2.1, 2.68, 2.357894736842105)","(21.0, 55.0, 47.25)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:54.894840,"(3.8, 6.8, 6.42)","(4.8, 9.0, 8.814285714285713)","(2.1, 2.68, 2.4945454545454546)","(21.0, 55.0, 43.4)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:56.039815,"(3.8, 6.8, 6.257142857142857)","(4.8, 8.6, 8.25)","(2.1, 2.68, 2.4836363636363634)","(21.0, 55.0, 48.55555555555556)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:57.202721,"(3.8, 6.8, 6.257142857142857)","(4.8, 8.2, 6.835714285714285)","(2.1, 2.68, 2.4836363636363634)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:58.322808,"(3.8, 6.8, 6.257142857142857)","(4.8, 7.8, 6.835714285714285)","(2.1, 2.68, 2.4836363636363634)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:01:59.419874,"(3.8, 6.8, 6.257142857142857)","(4.8, 7.2, 6.584615384615384)","(2.1, 2.68, 2.4836363636363634)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:02:00.824441,"(3.8, 6.8, 6.257142857142857)","(4.8, 6.8, 6.0)","(2.1, 2.68, 2.476)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.305)","(51.0, 85.0, 81.5)"
12-01-2023 14:02:01.976673,"(3.8, 6.8, 6.257142857142857)","(4.8, 6.4, 6.0)","(2.1, 2.68, 2.478125)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 81.5)"
12-01-2023 14:02:03.096694,"(3.8, 6.8, 6.257142857142857)","(4.8, 5.9, 5.684615384615385)","(2.1, 2.68, 2.51)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 81.5)"
12-01-2023 14:02:04.207021,"(3.8, 6.8, 6.56)","(4.8, 5.7, 5.522222222222222)","(2.1, 2.68, 2.51)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:02:05.482514,"(3.8, 6.8, 5.949999999999999)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5733333333333333)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:02:06.755945,"(3.8, 6.8, 5.949999999999999)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5733333333333333)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:02:07.910962,"(3.8, 6.8, 5.949999999999999)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.569655172413793)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:02:09.053059,"(3.8, 6.8, 5.949999999999999)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.569655172413793)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:02:10.140764,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.569655172413793)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:02:11.236722,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.569655172413793)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:12.397512,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.569655172413793)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:13.535112,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.4492307692307693)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:14.631460,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.4492307692307693)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:15.759000,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.4925)","(21.0, 55.0, 47.266666666666666)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:16.814387,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5436363636363635)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:17.936936,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5436363636363635)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:19.033956,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5436363636363635)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:20.138915,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5436363636363635)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:02:21.377870,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.505)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:22.545521,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5582608695652174)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:23.751814,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5582608695652174)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:24.984429,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5582608695652174)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:26.280053,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5582608695652174)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:27.423424,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5582608695652174)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:28.733634,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.48)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:29.961297,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5270588235294116)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:31.129213,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5175)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:32.244640,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5175)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:33.294814,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5175)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 406.25)"
12-01-2023 14:02:34.422278,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5175)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 430.0, 406.25)"
12-01-2023 14:02:35.511346,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5175)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 430.0, 406.25)"
12-01-2023 14:02:36.676008,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5175)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 430.0, 404.66666666666663)"
12-01-2023 14:02:37.787266,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5716666666666668)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 430.0, 406.25)"
12-01-2023 14:02:38.914142,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5716666666666668)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 430.0, 406.25)"
12-01-2023 14:02:40.080081,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5716666666666668)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 430.0, 406.25)"
12-01-2023 14:02:41.175062,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5716666666666668)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 430.0, 406.25)"
12-01-2023 14:02:42.338458,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5716666666666668)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 430.0, 406.25)"
12-01-2023 14:02:43.468448,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5716666666666668)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 430.0, 406.25)"
12-01-2023 14:02:44.632980,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5716666666666668)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 430.0, 406.25)"
12-01-2023 14:02:45.787019,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5716666666666668)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 430.0, 406.25)"
12-01-2023 14:02:46.954542,"(3.8, 6.8, 6.46)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.5716666666666668)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 430.0, 82.8125)"
12-01-2023 14:02:47.969851,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.58)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:49.073675,"(3.8, 6.8, 6.516666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.58)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:50.193480,"(3.8, 7.2, 6.85)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.8125)"
12-01-2023 14:02:51.218617,"(3.8, 7.2, 6.85)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:02:52.357804,"(3.8, 7.2, 6.85)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:02:53.496801,"(3.8, 7.2, 6.85)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:02:54.553531,"(3.8, 7.2, 6.85)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:02:55.731269,"(3.8, 7.2, 6.85)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:02:56.827875,"(3.8, 7.2, 6.85)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:02:57.878890,"(3.8, 7.2, 6.85)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:02:59.001585,"(3.8, 7.2, 6.85)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:03:00.027150,"(3.8, 7.2, 6.85)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:03:01.160659,"(3.8, 7.2, 6.85)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:03:02.332986,"(3.8, 7.2, 6.85)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 82.66666666666667)"
12-01-2023 14:03:03.340096,"(3.8, 7.2, 6.85)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 55.0, 50.53846153846154)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 404.66666666666663)"
12-01-2023 14:03:04.506970,"(3.8, 7.2, 6.78)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 55.0, 43.72222222222222)","(3.9, 4.5, 4.3304347826086955)","(51.0, 430.0, 77.22222222222223)"
12-01-2023 14:03:05.613704,"(3.8, 7.2, 7.089473684210526)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 55.0, 42.5)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 75.78947368421052)"
12-01-2023 14:03:06.610017,"(3.8, 7.2, 6.628571428571428)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 50.0, 42.5)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 75.78947368421052)"
12-01-2023 14:03:07.711839,"(3.8, 9.0, 6.2555555555555555)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 50.0, 39.2)","(3.9, 4.5, 4.3304347826086955)","(51.0, 85.0, 73.33333333333334)"
12-01-2023 14:03:08.785093,"(3.8, 8.8, 7.200000000000001)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 50.0, 44.61538461538461)","(3.9, 4.5, 4.3304347826086955)","(51.0, 80.0, 73.33333333333334)"
12-01-2023 14:03:09.852901,"(3.8, 8.8, 7.200000000000001)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.584347826086957)","(21.0, 48.0, 44.61538461538461)","(3.9, 4.5, 4.3304347826086955)","(51.0, 80.0, 73.33333333333334)"
12-01-2023 14:03:11.020071,"(3.8, 8.8, 7.200000000000001)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.58)","(21.0, 48.0, 41.714285714285715)","(3.9, 4.5, 4.3304347826086955)","(51.0, 80.0, 73.6842105263158)"
12-01-2023 14:03:12.176814,"(3.8, 8.8, 6.466666666666667)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.552258064516129)","(21.0, 46.0, 41.714285714285715)","(3.9, 4.5, 4.3304347826086955)","(51.0, 80.0, 73.6842105263158)"
12-01-2023 14:03:13.053100,"(3.8, 8.8, 6.627586206896552)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.552258064516129)","(21.0, 46.0, 41.714285714285715)","(3.9, 4.5, 4.3304347826086955)","(51.0, 80.0, 73.6842105263158)"
12-01-2023 14:03:14.181949,"(3.8, 8.8, 7.611320754716981)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.552258064516129)","(21.0, 46.0, 40.142857142857146)","(3.9, 4.5, 4.3304347826086955)","(51.0, 80.0, 73.6842105263158)"
12-01-2023 14:03:15.317990,"(3.8, 8.8, 7.611320754716981)","(4.8, 5.6, 5.552380952380952)","(2.1, 2.68, 2.546666666666667)","(21.0, 44.0, 40.142857142857146)","(3.9, 4.5, 4.3304347826086955)","(51.0, 80.0, 73.6842105263158)"
12-01-2023 14:03:16.478817,"(3.8, 8.8, 7.611320754716981)","(4.8, 5.6, 5.516666666666667)","(2.1, 2.68, 2.533333333333333)","(21.0, 44.0, 35.42857142857143)","(3.9, 4.5, 4.3304347826086955)","(51.0, 80.0, 73.6842105263158)"
12-01-2023 14:03:17.699715,"(3.8, 8.8, 7.611320754716981)","(4.8, 5.6, 5.516666666666667)","(2.1, 2.68, 2.536923076923077)","(21.0, 44.0, 35.42857142857143)","(3.9, 4.5, 4.3304347826086955)","(51.0, 80.0, 73.6842105263158)"
12-01-2023 14:03:18.829079,"(3.8, 8.8, 7.675000000000001)","(4.8, 5.6, 5.516666666666667)","(2.1, 2.66, 2.536923076923077)","(21.0, 44.0, 35.42857142857143)","(3.9, 4.5, 4.3304347826086955)","(51.0, 80.0, 73.6842105263158)"
12-01-2023 14:03:19.797917,"(3.8, 8.8, 7.675000000000001)","(4.8, 5.6, 5.516666666666667)","(2.1, 2.66, 2.536923076923077)","(21.0, 44.0, 35.42857142857143)","(3.9, 4.5, 4.3304347826086955)","(51.0, 80.0, 73.6842105263158)"
12-01-2023 14:03:20.972634,"(3.8, 8.8, 7.675000000000001)","(4.8, 5.6, 5.516666666666667)","(2.1, 2.66, 2.536923076923077)","(21.0, 44.0, 35.42857142857143)","(3.9, 4.5, 4.3304347826086955)","(51.0, 80.0, 75.0)"
12-01-2023 14:03:21.927743,"(3.8, 8.8, 7.675000000000001)","(4.8, 5.6, 5.516666666666667)","(2.1, 2.66, 2.536923076923077)","(21.0, 44.0, 35.42857142857143)","(3.9, 4.5, 4.3304347826086955)","(51.0, 80.0, 75.0)"
