,Manila Aurora,Moment To Shiver,Stranger Within,Call Me Trinity,West On Blossom,Spider Venom,Mongolian Tiger,Sand Cruiser
11-01-2023 21:31:15.793951,"(4.8, 8.0, 5.2875000000000005)","(31.0, 170.0, 105.0)","(6.5, 8.4, 8.3)","(8.5, 19.0, 11.64)","(5.0, 10.0, 6.925000000000001)","(4.8, 8.2, 6.033333333333333)","(31.0, 190.0, 116.0)","(2.4, 4.8, 3.15)"
11-01-2023 21:31:16.931237,"(4.8, 8.0, 5.2875000000000005)","(31.0, 170.0, 105.0)","(6.5, 8.4, 8.3)","(8.5, 19.0, 11.64)","(5.0, 10.0, 6.925000000000001)","(4.8, 8.2, 6.033333333333333)","(31.0, 190.0, 116.0)","(2.4, 4.8, 3.15)"
11-01-2023 21:31:17.977388,"(4.8, 8.0, 5.2875000000000005)","(31.0, 170.0, 106.0)","(6.5, 8.4, 8.3)","(8.5, 19.0, 11.64)","(5.0, 10.0, 6.925000000000001)","(4.8, 8.2, 6.033333333333333)","(31.0, 190.0, 117.0)","(2.4, 4.8, 3.15)"
11-01-2023 21:31:19.000262,"(4.8, 8.0, 5.2875000000000005)","(31.0, 170.0, 106.0)","(6.5, 8.4, 8.3)","(8.5, 19.0, 11.64)","(5.0, 10.0, 6.925000000000001)","(4.8, 8.2, 6.033333333333333)","(31.0, 190.0, 117.0)","(2.4, 4.8, 3.15)"
11-01-2023 21:31:20.189800,"(4.8, 8.0, 5.2875000000000005)","(31.0, 170.0, 106.0)","(6.5, 8.4, 8.3)","(8.5, 19.0, 11.64)","(5.0, 10.0, 6.925000000000001)","(4.8, 8.2, 6.033333333333333)","(31.0, 190.0, 117.0)","(2.4, 4.8, 3.15)"
11-01-2023 21:31:21.432876,"(4.8, 8.0, 5.2875000000000005)","(31.0, 170.0, 106.0)","(6.5, 8.4, 8.3)","(8.5, 19.0, 11.416666666666668)","(5.0, 10.0, 6.925000000000001)","(4.8, 8.2, 6.033333333333333)","(31.0, 190.0, 117.0)","(2.4, 4.8, 3.15)"
11-01-2023 21:31:22.525275,"(4.8, 8.0, 5.2875000000000005)","(31.0, 170.0, 106.0)","(6.5, 8.4, 8.3)","(8.5, 19.5, 11.416666666666668)","(5.0, 10.0, 6.925000000000001)","(4.8, 8.2, 6.033333333333333)","(31.0, 190.0, 117.0)","(2.4, 4.8, 3.15)"
11-01-2023 21:31:23.663619,"(4.8, 8.0, 5.2875000000000005)","(31.0, 170.0, 106.0)","(6.5, 8.4, 8.3)","(8.5, 19.5, 11.012500000000001)","(5.0, 10.0, 6.925000000000001)","(4.8, 8.2, 6.033333333333333)","(31.0, 190.0, 117.0)","(2.4, 4.8, 3.333333333333333)"
11-01-2023 21:31:24.715561,"(4.8, 8.0, 5.121428571428572)","(31.0, 170.0, 106.0)","(6.5, 8.4, 8.3)","(8.5, 19.5, 10.492857142857144)","(5.0, 10.0, 7.54)","(4.8, 8.2, 6.033333333333333)","(31.0, 190.0, 117.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:25.712156,"(4.8, 8.0, 5.121428571428572)","(31.0, 170.0, 106.0)","(6.5, 8.4, 8.3)","(8.5, 19.5, 10.492857142857144)","(5.0, 10.0, 7.54)","(4.8, 8.2, 6.033333333333333)","(31.0, 190.0, 117.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:26.783698,"(4.8, 8.0, 5.121428571428572)","(31.0, 170.0, 106.0)","(6.5, 8.4, 8.3)","(8.5, 19.5, 10.492857142857144)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(31.0, 190.0, 117.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:27.833900,"(4.8, 8.0, 5.121428571428572)","(31.0, 170.0, 106.0)","(6.5, 8.4, 8.295238095238096)","(8.5, 19.5, 10.492857142857144)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(31.0, 190.0, 117.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:28.940808,"(4.8, 8.0, 5.121428571428572)","(31.0, 180.0, 53.5)","(6.5, 8.4, 8.295238095238096)","(8.5, 19.5, 10.492857142857144)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(31.0, 190.0, 117.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:30.076929,"(4.8, 8.0, 5.121428571428572)","(31.0, 140.0, 91.0)","(6.5, 8.4, 8.276190476190477)","(8.5, 19.5, 10.492857142857144)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(31.0, 140.0, 93.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:31.242806,"(4.8, 8.0, 5.121428571428572)","(31.0, 140.0, 92.0)","(6.5, 8.4, 7.775)","(8.5, 19.5, 10.492857142857144)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(31.0, 140.0, 93.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:32.385825,"(4.8, 8.0, 5.121428571428572)","(31.0, 140.0, 92.0)","(6.5, 8.4, 7.775)","(8.5, 19.5, 10.492857142857144)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(31.0, 140.0, 93.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:33.521346,"(4.8, 8.0, 5.121428571428572)","(31.0, 140.0, 92.0)","(6.5, 8.4, 7.775)","(8.5, 19.5, 10.492857142857144)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 7.586363636363636)","(31.0, 140.0, 93.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:34.639798,"(4.8, 8.0, 5.121428571428572)","(31.0, 140.0, 92.0)","(6.5, 8.4, 7.775)","(8.5, 19.5, 10.492857142857144)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(31.0, 140.0, 128.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:35.781074,"(4.8, 8.0, 5.121428571428572)","(31.0, 140.0, 128.0)","(6.5, 8.4, 7.775)","(8.5, 19.5, 10.492857142857144)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(31.0, 140.0, 87.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:36.912112,"(4.8, 8.0, 5.121428571428572)","(31.0, 140.0, 87.0)","(6.5, 8.4, 6.2)","(8.5, 19.5, 10.492857142857144)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(31.0, 140.0, 87.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:38.097844,"(4.8, 8.0, 5.121428571428572)","(31.0, 140.0, 87.0)","(6.5, 8.4, 6.184615384615385)","(8.5, 19.5, 10.492857142857144)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(31.0, 140.0, 87.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:39.158805,"(4.8, 8.0, 5.121428571428572)","(31.0, 140.0, 87.0)","(6.5, 8.4, 6.184615384615385)","(8.5, 19.5, 10.492857142857144)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(31.0, 140.0, 87.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:40.247612,"(5.0, 8.0, 5.121428571428572)","(41.0, 140.0, 87.0)","(6.5, 8.4, 6.184615384615385)","(8.0, 19.5, 12.700000000000001)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(41.0, 140.0, 129.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:41.284916,"(5.0, 8.0, 5.2444444444444445)","(41.0, 140.0, 129.39999999999998)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.700000000000001)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(41.0, 140.0, 129.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:42.317860,"(5.0, 8.0, 5.2444444444444445)","(41.0, 140.0, 129.39999999999998)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.700000000000001)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(41.0, 140.0, 129.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:43.386225,"(5.0, 8.0, 5.2444444444444445)","(41.0, 140.0, 129.39999999999998)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.700000000000001)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(41.0, 140.0, 129.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:44.448726,"(5.0, 8.0, 5.2444444444444445)","(41.0, 140.0, 129.39999999999998)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.700000000000001)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(41.0, 140.0, 129.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:45.470220,"(5.0, 8.0, 5.2444444444444445)","(41.0, 140.0, 129.39999999999998)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.700000000000001)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(41.0, 140.0, 147.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:46.577582,"(5.0, 8.0, 5.2444444444444445)","(41.0, 150.0, 138.39999999999998)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 17.257142857142856)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(41.0, 160.0, 128.5)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:47.724188,"(5.0, 8.0, 5.2444444444444445)","(41.0, 150.0, 121.0)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 17.257142857142856)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 6.033333333333333)","(41.0, 160.0, 128.5)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:48.796802,"(5.0, 8.0, 5.2444444444444445)","(41.0, 150.0, 121.0)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.833333333333334)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 7.549999999999999)","(41.0, 160.0, 147.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:49.896423,"(5.0, 8.0, 5.2444444444444445)","(41.0, 150.0, 121.0)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.833333333333334)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 7.549999999999999)","(41.0, 160.0, 147.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:51.078316,"(5.0, 8.0, 5.2444444444444445)","(41.0, 150.0, 121.0)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.833333333333334)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 7.549999999999999)","(41.0, 160.0, 147.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:52.167631,"(5.0, 8.8, 5.29)","(41.0, 150.0, 121.0)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.833333333333334)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 7.549999999999999)","(41.0, 160.0, 147.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:53.287051,"(5.0, 8.6, 6.133333333333334)","(41.0, 150.0, 121.0)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.833333333333334)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 7.549999999999999)","(41.0, 160.0, 147.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:54.407220,"(5.0, 8.6, 6.133333333333334)","(41.0, 150.0, 121.0)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.833333333333334)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 7.549999999999999)","(41.0, 160.0, 147.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:55.570186,"(5.0, 8.6, 6.133333333333334)","(41.0, 150.0, 129.39999999999998)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.833333333333334)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 7.549999999999999)","(41.0, 160.0, 147.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:56.643176,"(5.0, 8.6, 6.133333333333334)","(41.0, 140.0, 129.39999999999998)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.833333333333334)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 7.549999999999999)","(41.0, 160.0, 147.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:57.770361,"(5.0, 8.6, 6.133333333333334)","(41.0, 140.0, 129.39999999999998)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.833333333333334)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 7.549999999999999)","(41.0, 160.0, 147.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:31:58.910199,"(5.0, 8.6, 6.133333333333334)","(41.0, 140.0, 129.39999999999998)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.833333333333334)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 7.549999999999999)","(41.0, 160.0, 147.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:32:00.166074,"(5.0, 8.6, 6.133333333333334)","(41.0, 140.0, 129.39999999999998)","(6.5, 8.4, 6.640000000000001)","(8.0, 18.5, 12.833333333333334)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 7.549999999999999)","(41.0, 160.0, 147.39999999999998)","(2.4, 4.8, 3.2)"
11-01-2023 21:32:01.592520,"(5.0, 8.0, 5.416666666666667)","(41.0, 140.0, 129.39999999999998)","(6.5, 8.4, 6.800000000000001)","(8.0, 18.5, 12.833333333333334)","(5.0, 10.0, 6.571428571428571)","(4.8, 8.2, 7.549999999999999)","(41.0, 160.0, 106.0)","(2.4, 4.8, 3.2)"
11-01-2023 21:32:02.970240,"(5.0, 8.0, 5.416666666666667)","(41.0, 140.0, 44.666666666666664)","(6.5, 8.4, 7.199999999999999)","(8.0, 18.5, 12.833333333333334)","(5.0, 10.0, 6.95)","(4.8, 8.2, 6.859999999999999)","(41.0, 170.0, 58.8)","(2.4, 4.8, 3.8)"
11-01-2023 21:32:04.243670,"(5.0, 7.6, 5.8)","(41.0, 130.0, 46.44444444444444)","(6.5, 8.2, 7.199999999999999)","(8.0, 18.5, 17.257142857142856)","(5.0, 9.8, 8.86)","(4.8, 8.6, 8.336363636363636)","(41.0, 150.0, 54.8)","(2.4, 4.6, 3.371428571428572)"
11-01-2023 21:32:05.457902,"(5.0, 7.6, 7.184615384615384)","(41.0, 110.0, 46.57142857142857)","(6.5, 8.2, 7.199999999999999)","(8.0, 18.5, 12.833333333333334)","(5.0, 9.6, 8.014285714285714)","(4.8, 8.6, 7.4)","(41.0, 130.0, 65.33333333333333)","(2.4, 4.4, 3.8000000000000003)"
11-01-2023 21:32:06.628166,"(5.0, 7.6, 6.56)","(41.0, 95.0, 57.0)","(6.5, 8.2, 7.699999999999999)","(8.0, 18.5, 12.666666666666666)","(5.0, 9.6, 7.0)","(4.8, 9.0, 7.5)","(41.0, 120.0, 60.36363636363636)","(2.4, 4.2, 3.05)"
11-01-2023 21:32:07.721360,"(5.0, 7.6, 6.04)","(41.0, 95.0, 60.8)","(6.5, 8.4, 7.15)","(8.0, 18.0, 11.333333333333334)","(5.0, 10.0, 6.25)","(4.8, 9.2, 6.6)","(41.0, 120.0, 63.230769230769226)","(2.4, 4.1, 3.65)"
11-01-2023 21:32:08.851950,"(5.0, 7.6, 6.368421052631579)","(41.0, 95.0, 61.75)","(6.5, 8.4, 8.233333333333334)","(8.0, 18.0, 11.333333333333334)","(5.0, 10.0, 6.25)","(4.8, 9.0, 6.5)","(41.0, 120.0, 63.230769230769226)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:10.003210,"(5.0, 7.6, 5.35)","(41.0, 95.0, 61.75)","(6.5, 8.2, 7.539999999999999)","(8.0, 18.0, 11.0)","(5.0, 10.0, 6.25)","(4.8, 8.6, 6.233333333333333)","(41.0, 120.0, 63.230769230769226)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:11.149118,"(5.0, 7.6, 5.35)","(41.0, 95.0, 61.75)","(6.5, 8.2, 7.283333333333333)","(8.0, 18.0, 11.0)","(5.0, 10.0, 6.25)","(4.8, 8.4, 6.3)","(41.0, 120.0, 63.230769230769226)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:12.301574,"(5.0, 7.6, 5.8)","(41.0, 95.0, 61.75)","(6.5, 8.2, 7.283333333333333)","(8.0, 18.0, 12.5)","(5.0, 10.0, 6.25)","(4.8, 8.8, 6.733333333333333)","(41.0, 120.0, 62.8)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:13.592592,"(5.0, 7.6, 6.16)","(41.0, 95.0, 61.75)","(6.5, 8.2, 7.283333333333333)","(8.0, 17.5, 12.5)","(5.0, 10.0, 6.25)","(4.8, 8.6, 6.45)","(41.0, 100.0, 58.66666666666667)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:14.624848,"(5.0, 7.6, 5.683333333333334)","(41.0, 95.0, 61.75)","(6.5, 8.2, 7.283333333333333)","(8.0, 17.5, 12.5)","(5.0, 10.0, 6.25)","(4.8, 8.4, 6.45)","(41.0, 100.0, 58.66666666666667)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:15.684571,"(5.0, 7.6, 5.683333333333334)","(41.0, 95.0, 58.357142857142854)","(6.5, 8.2, 7.621052631578947)","(8.0, 17.5, 12.5)","(5.0, 10.0, 6.25)","(4.8, 8.4, 7.1)","(41.0, 100.0, 58.66666666666667)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:16.714237,"(5.0, 7.6, 5.683333333333334)","(41.0, 95.0, 58.357142857142854)","(6.5, 8.2, 7.6499999999999995)","(8.0, 17.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.4, 7.199999999999999)","(41.0, 100.0, 58.66666666666667)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:17.776771,"(5.0, 7.6, 6.225)","(41.0, 95.0, 58.357142857142854)","(6.5, 8.2, 7.6499999999999995)","(8.0, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.6, 7.199999999999999)","(41.0, 100.0, 46.666666666666664)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:18.801362,"(5.0, 7.6, 6.025)","(41.0, 95.0, 45.5)","(6.5, 8.2, 7.6499999999999995)","(8.0, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.6, 7.300000000000001)","(41.0, 100.0, 46.666666666666664)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:19.862712,"(5.0, 7.8, 6.65)","(41.0, 95.0, 45.5)","(6.5, 8.2, 7.6499999999999995)","(8.0, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.8, 7.300000000000001)","(41.0, 100.0, 48.44444444444444)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:20.934023,"(5.0, 7.8, 6.65)","(41.0, 95.0, 45.5)","(6.5, 8.2, 7.6499999999999995)","(8.0, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.8, 7.300000000000001)","(41.0, 100.0, 48.44444444444444)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:21.996795,"(5.0, 7.8, 6.65)","(41.0, 95.0, 47.3)","(6.5, 8.2, 7.6499999999999995)","(8.0, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.8, 7.300000000000001)","(41.0, 100.0, 48.44444444444444)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:23.001251,"(5.0, 7.8, 7.590909090909091)","(41.0, 95.0, 47.3)","(6.5, 8.2, 7.6499999999999995)","(8.0, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.8, 7.300000000000001)","(41.0, 100.0, 48.44444444444444)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:24.086697,"(5.0, 7.8, 7.590909090909091)","(41.0, 95.0, 47.3)","(6.5, 8.2, 7.3538461538461535)","(8.0, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.8, 7.300000000000001)","(41.0, 100.0, 48.44444444444444)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:25.261077,"(5.0, 7.8, 7.25)","(41.0, 95.0, 47.3)","(6.5, 8.2, 7.3538461538461535)","(8.0, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.8, 7.300000000000001)","(41.0, 100.0, 48.44444444444444)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:26.301019,"(5.0, 7.8, 6.75)","(41.0, 95.0, 47.3)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.8, 7.300000000000001)","(41.0, 100.0, 48.44444444444444)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:27.389342,"(5.0, 7.8, 6.75)","(41.0, 95.0, 47.3)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.8, 6.266666666666667)","(41.0, 100.0, 48.44444444444444)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:28.454030,"(5.0, 7.8, 6.75)","(41.0, 95.0, 47.3)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.6, 6.266666666666667)","(41.0, 100.0, 48.44444444444444)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:29.516718,"(5.0, 7.8, 7.449999999999999)","(41.0, 95.0, 47.3)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.2, 6.199999999999999)","(41.0, 100.0, 47.8)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:30.981358,"(5.0, 7.8, 7.625)","(41.0, 95.0, 47.3)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.0, 7.633333333333333)","(41.0, 100.0, 47.8)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:32.039308,"(5.0, 7.8, 7.3)","(41.0, 95.0, 47.3)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.0, 7.628571428571428)","(41.0, 100.0, 47.8)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:33.106772,"(5.0, 7.8, 6.85)","(41.0, 95.0, 47.3)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.2, 7.628571428571428)","(41.0, 100.0, 49.25)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:34.134193,"(5.0, 7.8, 6.85)","(41.0, 95.0, 47.3)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.2, 7.775)","(41.0, 100.0, 49.25)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:35.136243,"(5.0, 7.8, 7.627272727272727)","(41.0, 95.0, 47.3)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.4, 7.775)","(41.0, 100.0, 49.25)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:36.244984,"(5.0, 7.8, 7.35)","(41.0, 95.0, 47.3)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.0, 6.4)","(41.0, 95.0, 54.0)","(2.4, 4.0, 3.65)"
11-01-2023 21:32:37.300427,"(5.0, 7.8, 7.35)","(41.0, 85.0, 52.75)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.4, 6.333333333333333)","(41.0, 90.0, 49.57142857142857)","(2.4, 4.0, 2.9)"
11-01-2023 21:32:38.424767,"(5.0, 7.8, 7.35)","(41.0, 85.0, 52.75)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.0, 6.5600000000000005)","(41.0, 95.0, 49.57142857142857)","(2.4, 4.0, 3.575)"
11-01-2023 21:32:39.464387,"(5.0, 7.8, 7.35)","(41.0, 85.0, 50.6)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.8, 6.433333333333334)","(41.0, 95.0, 49.57142857142857)","(2.4, 3.9, 3.575)"
11-01-2023 21:32:40.486733,"(5.0, 7.8, 7.35)","(41.0, 85.0, 50.6)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.6, 7.2)","(41.0, 95.0, 49.57142857142857)","(2.4, 3.9, 3.575)"
11-01-2023 21:32:41.490396,"(5.0, 7.8, 7.35)","(41.0, 75.0, 58.5)","(6.5, 8.2, 7.3538461538461535)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.4, 7.4)","(41.0, 95.0, 49.57142857142857)","(2.4, 3.9, 3.575)"
11-01-2023 21:32:42.462213,"(5.0, 7.8, 7.542857142857143)","(41.0, 85.0, 50.6)","(6.5, 8.0, 7.5675675675675675)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.8, 7.4)","(41.0, 95.0, 49.57142857142857)","(2.4, 3.9, 3.575)"
11-01-2023 21:32:43.430954,"(5.0, 7.8, 7.542857142857143)","(41.0, 85.0, 50.6)","(6.5, 7.8, 6.847058823529411)","(7.5, 16.0, 12.0)","(5.0, 10.0, 6.25)","(4.8, 8.6, 6.866666666666666)","(41.0, 95.0, 49.57142857142857)","(2.4, 3.9, 3.575)"
11-01-2023 21:32:44.390293,"(5.0, 7.8, 7.4399999999999995)","(41.0, 85.0, 50.6)","(6.5, 7.8, 6.8)","(7.5, 16.0, 15.046153846153846)","(5.0, 10.0, 6.470588235294118)","(4.8, 8.6, 6.866666666666666)","(41.0, 95.0, 66.0)","(2.4, 3.9, 3.575)"
11-01-2023 21:32:45.392085,"(5.0, 7.8, 7.4399999999999995)","(41.0, 85.0, 50.6)","(6.5, 7.8, 6.8)","(7.5, 16.0, 15.046153846153846)","(5.0, 10.0, 6.470588235294118)","(4.8, 8.6, 6.866666666666666)","(41.0, 90.0, 49.57142857142857)","(2.4, 3.9, 3.575)"
11-01-2023 21:32:46.368830,"(5.0, 7.8, 7.4399999999999995)","(41.0, 85.0, 50.6)","(6.5, 7.4, 7.0181818181818185)","(7.5, 16.0, 12.333333333333334)","(5.0, 10.0, 6.470588235294118)","(4.8, 8.6, 6.866666666666666)","(41.0, 95.0, 49.57142857142857)","(2.4, 3.9, 3.575)"
11-01-2023 21:32:47.400081,"(5.0, 7.8, 7.4399999999999995)","(41.0, 85.0, 50.6)","(6.5, 7.4, 7.0181818181818185)","(7.5, 15.5, 12.166666666666666)","(5.0, 10.0, 6.470588235294118)","(4.8, 8.6, 6.866666666666666)","(41.0, 95.0, 49.57142857142857)","(2.4, 3.9, 3.575)"
11-01-2023 21:32:48.453581,"(5.0, 7.8, 7.4399999999999995)","(41.0, 85.0, 50.6)","(6.5, 7.4, 6.8)","(7.5, 15.5, 12.166666666666666)","(5.0, 10.0, 6.842105263157895)","(4.8, 8.6, 6.866666666666666)","(41.0, 95.0, 49.57142857142857)","(2.4, 3.9, 3.575)"
