,Oklahoma Heat,Mistys Fool,Dancing Devil,Gospel Buzz,Gamma Ray,Great Realization,Our Silver Temple,Georges Vision,Ears To Me
08-12-2022 13:14:43.839129,"(18.0, 44.0, 40.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.15)","(21.0, 90.0, 74.0)","(4.4, 7.4, 7.1000000000000005)","(10.0, 14.5, 12.5)","(6.5, 15.0, 10.649999999999999)"
08-12-2022 13:14:45.135698,"(18.0, 44.0, 40.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.15)","(21.0, 90.0, 74.0)","(4.4, 7.4, 7.1000000000000005)","(10.0, 14.5, 12.1)","(6.5, 15.0, 10.649999999999999)"
08-12-2022 13:14:46.469551,"(18.0, 44.0, 40.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.15)","(21.0, 90.0, 74.0)","(4.4, 7.4, 7.1000000000000005)","(10.0, 14.5, 12.5)","(6.5, 15.0, 10.649999999999999)"
08-12-2022 13:14:47.839696,"(18.0, 44.0, 40.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 9.833333333333334)","(21.0, 90.0, 76.0)","(4.4, 7.4, 7.1818181818181825)","(10.0, 14.5, 13.0)","(6.5, 15.0, 12.23076923076923)"
08-12-2022 13:14:49.150447,"(18.0, 44.0, 40.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.38888888888889)","(21.0, 90.0, 76.0)","(4.4, 7.4, 7.1818181818181825)","(10.0, 14.0, 13.0)","(6.5, 15.0, 12.23076923076923)"
08-12-2022 13:14:50.462528,"(18.0, 44.0, 40.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.73076923076923)","(21.0, 90.0, 76.0)","(4.4, 7.4, 7.1818181818181825)","(10.0, 14.0, 13.0)","(6.5, 15.0, 12.23076923076923)"
08-12-2022 13:14:51.741654,"(18.0, 44.0, 40.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.73076923076923)","(21.0, 90.0, 76.0)","(4.4, 7.4, 7.1818181818181825)","(10.0, 13.5, 13.0)","(6.5, 15.0, 12.23076923076923)"
08-12-2022 13:14:53.012613,"(18.0, 44.0, 40.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.73076923076923)","(21.0, 90.0, 76.0)","(4.4, 7.4, 7.1818181818181825)","(10.0, 13.5, 12.3)","(6.5, 15.0, 12.23076923076923)"
08-12-2022 13:14:54.276332,"(18.0, 44.0, 40.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.666666666666666)","(21.0, 90.0, 76.0)","(4.4, 7.4, 7.1818181818181825)","(10.0, 13.5, 12.6)","(6.5, 15.0, 12.23076923076923)"
08-12-2022 13:14:55.645908,"(18.0, 44.0, 40.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.666666666666666)","(21.0, 90.0, 72.25)","(4.4, 7.4, 7.1818181818181825)","(10.0, 14.0, 12.6)","(6.5, 15.0, 12.23076923076923)"
08-12-2022 13:14:57.032276,"(18.0, 44.0, 40.33333333333333)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.666666666666666)","(21.0, 85.0, 72.25)","(4.4, 7.4, 7.057142857142858)","(10.0, 14.0, 12.6)","(6.5, 15.0, 12.23076923076923)"
08-12-2022 13:14:58.332262,"(18.0, 44.0, 40.33333333333333)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.185714285714285)","(21.0, 85.0, 72.25)","(4.4, 7.4, 6.92)","(10.0, 14.0, 12.5)","(6.5, 15.0, 12.818181818181818)"
08-12-2022 13:14:59.633126,"(18.0, 44.0, 40.33333333333333)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.185714285714285)","(21.0, 85.0, 72.25)","(4.4, 7.4, 6.92)","(10.0, 14.0, 12.5)","(6.5, 15.0, 12.818181818181818)"
08-12-2022 13:15:00.880388,"(18.0, 44.0, 40.33333333333333)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.185714285714285)","(21.0, 85.0, 72.25)","(4.4, 7.4, 6.92)","(10.0, 14.0, 12.5)","(6.5, 15.0, 12.818181818181818)"
08-12-2022 13:15:02.111062,"(18.0, 44.0, 40.33333333333333)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 359.5)","(8.5, 11.5, 10.185714285714285)","(21.0, 85.0, 60.5)","(4.4, 7.4, 6.92)","(10.0, 14.0, 12.5)","(6.5, 15.0, 11.133333333333333)"
08-12-2022 13:15:03.426517,"(18.0, 44.0, 33.5)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 359.5)","(8.5, 11.5, 10.185714285714285)","(21.0, 85.0, 60.5)","(4.4, 7.4, 6.38)","(10.0, 14.0, 12.5)","(6.5, 15.0, 12.733333333333333)"
08-12-2022 13:15:04.863361,"(18.0, 44.0, 33.5)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 359.5)","(8.5, 11.5, 10.185714285714285)","(21.0, 85.0, 60.5)","(4.4, 7.4, 6.38)","(10.0, 14.0, 12.5)","(6.5, 14.5, 12.733333333333333)"
08-12-2022 13:15:06.258563,"(18.0, 44.0, 33.5)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.185714285714285)","(21.0, 85.0, 60.5)","(4.4, 7.4, 6.8)","(10.0, 14.0, 11.666666666666666)","(6.5, 14.5, 12.733333333333333)"
08-12-2022 13:15:07.776380,"(18.0, 44.0, 33.5)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.185714285714285)","(21.0, 85.0, 60.5)","(4.4, 7.0, 6.8)","(10.0, 14.0, 11.666666666666666)","(6.5, 14.5, 12.05)"
08-12-2022 13:15:08.973731,"(18.0, 44.0, 33.5)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.8)","(21.0, 85.0, 52.33333333333333)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 14.5, 10.975000000000001)"
08-12-2022 13:15:10.420442,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.1)","(21.0, 85.0, 52.33333333333333)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 14.5, 10.975000000000001)"
08-12-2022 13:15:11.803809,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.5, 10.2)","(21.0, 85.0, 52.33333333333333)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 14.5, 10.975000000000001)"
08-12-2022 13:15:13.229326,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 11.0, 9.84)","(21.0, 85.0, 52.33333333333333)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 14.5, 10.975000000000001)"
08-12-2022 13:15:14.455707,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 10.5, 9.84)","(21.0, 85.0, 52.33333333333333)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 14.5, 10.975000000000001)"
08-12-2022 13:15:15.721086,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 10.5, 9.84)","(21.0, 85.0, 48.25)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 14.5, 10.975000000000001)"
08-12-2022 13:15:17.029090,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 10.5, 9.84)","(21.0, 85.0, 58.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 14.5, 10.975000000000001)"
08-12-2022 13:15:18.370199,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 10.5, 10.0)","(21.0, 80.0, 58.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 14.5, 14.17142857142857)"
08-12-2022 13:15:19.651668,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 10.5, 10.0)","(21.0, 80.0, 58.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 16.0, 12.266666666666666)"
08-12-2022 13:15:20.893854,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 10.5, 10.0)","(21.0, 80.0, 58.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 16.0, 14.516666666666666)"
08-12-2022 13:15:22.130157,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 10.5, 10.0)","(21.0, 80.0, 58.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 15.5, 14.516666666666666)"
08-12-2022 13:15:23.391712,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 10.5, 10.0)","(21.0, 80.0, 58.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 15.5, 14.516666666666666)"
08-12-2022 13:15:24.625532,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.53265306122449)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 10.5, 10.0)","(21.0, 80.0, 58.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 15.5, 14.516666666666666)"
08-12-2022 13:15:26.102982,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.531147540983607)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 10.5, 10.0)","(21.0, 80.0, 58.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 15.5, 14.516666666666666)"
08-12-2022 13:15:27.305922,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.531147540983607)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 10.5, 10.0)","(21.0, 80.0, 58.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 15.5, 14.516666666666666)"
08-12-2022 13:15:28.628281,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.531147540983607)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 10.5, 10.0)","(21.0, 80.0, 58.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 15.5, 14.516666666666666)"
08-12-2022 13:15:29.792063,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.531147540983607)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 10.5, 10.0)","(21.0, 80.0, 58.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 15.5, 14.516666666666666)"
08-12-2022 13:15:30.957551,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.531147540983607)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.5, 10.5, 10.0)","(21.0, 80.0, 58.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 15.5, 14.516666666666666)"
08-12-2022 13:15:32.243736,"(18.0, 44.0, 30.0)","(4.6, 4.9, 4.531147540983607)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 10.5, 10.0)","(21.0, 80.0, 73.42857142857143)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 15.5, 14.516666666666666)"
08-12-2022 13:15:33.502411,"(18.0, 44.0, 40.33333333333333)","(4.6, 4.9, 4.531147540983607)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 10.5, 10.0)","(21.0, 80.0, 73.42857142857143)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 15.5, 13.2875)"
08-12-2022 13:15:34.724188,"(18.0, 44.0, 40.33333333333333)","(4.6, 4.9, 4.531147540983607)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 10.5, 10.0)","(21.0, 80.0, 73.42857142857143)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 15.5, 12.3)"
08-12-2022 13:15:35.929755,"(18.0, 44.0, 40.33333333333333)","(4.6, 4.8, 4.6909090909090905)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 10.5, 9.85)","(21.0, 80.0, 52.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 15.0, 13.1)"
08-12-2022 13:15:37.127947,"(18.0, 44.0, 29.333333333333332)","(4.6, 4.8, 4.6909090909090905)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 10.5, 9.85)","(21.0, 80.0, 52.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 14.5, 13.1)"
08-12-2022 13:15:38.339193,"(18.0, 44.0, 29.333333333333332)","(4.6, 4.8, 4.6909090909090905)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 10.5, 9.85)","(21.0, 80.0, 52.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 14.5, 13.1)"
08-12-2022 13:15:39.495908,"(18.0, 44.0, 29.333333333333332)","(4.6, 4.8, 4.6909090909090905)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 10.5, 9.85)","(21.0, 80.0, 52.0)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 14.5, 13.1)"
08-12-2022 13:15:40.620367,"(18.0, 44.0, 29.333333333333332)","(4.6, 4.8, 4.6909090909090905)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 10.5, 9.85)","(21.0, 80.0, 68.2)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 14.5, 13.1)"
08-12-2022 13:15:41.851716,"(18.0, 44.0, 30.0)","(4.6, 4.8, 4.6909090909090905)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 10.5, 9.85)","(21.0, 80.0, 68.2)","(4.4, 7.0, 6.8)","(10.0, 14.0, 12.5)","(6.5, 14.5, 13.1)"
08-12-2022 13:15:43.033967,"(18.0, 44.0, 30.0)","(4.6, 4.8, 4.6909090909090905)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 10.5, 10.55)","(21.0, 80.0, 58.5)","(4.6, 7.0, 6.56)","(10.0, 14.0, 12.5)","(6.5, 14.5, 13.1)"
08-12-2022 13:15:44.153331,"(18.0, 44.0, 30.0)","(4.6, 4.8, 4.68)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 11.0, 9.971428571428572)","(21.0, 95.0, 58.5)","(4.6, 6.8, 6.56)","(10.0, 14.0, 12.5)","(6.5, 14.5, 13.1)"
08-12-2022 13:15:45.511429,"(18.0, 44.0, 30.0)","(4.6, 4.8, 4.68)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 11.0, 9.971428571428572)","(21.0, 95.0, 58.5)","(4.6, 6.8, 6.56)","(10.0, 14.0, 12.5)","(6.5, 14.5, 13.1)"
08-12-2022 13:15:46.888465,"(18.0, 44.0, 30.0)","(4.6, 4.8, 4.68)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 11.0, 9.971428571428572)","(21.0, 95.0, 58.5)","(4.6, 6.8, 6.56)","(10.0, 14.0, 12.5)","(6.5, 14.5, 13.1)"
08-12-2022 13:15:48.027684,"(18.0, 44.0, 30.0)","(4.6, 4.8, 4.68)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 11.0, 9.971428571428572)","(21.0, 95.0, 58.5)","(4.6, 6.8, 6.56)","(10.0, 14.0, 12.5)","(6.5, 14.5, 13.1)"
08-12-2022 13:15:49.163510,"(18.0, 44.0, 30.0)","(4.4, 4.8, 4.68)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 11.0, 9.933333333333334)","(21.0, 95.0, 58.5)","(4.8, 6.8, 6.56)","(10.0, 14.0, 12.5)","(7.0, 14.5, 13.1)"
08-12-2022 13:15:50.495351,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 11.0, 9.933333333333334)","(21.0, 95.0, 58.5)","(4.8, 6.8, 6.56)","(10.0, 14.0, 12.5)","(7.0, 14.5, 13.1)"
08-12-2022 13:15:51.828657,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 11.0, 9.933333333333334)","(21.0, 95.0, 58.5)","(4.8, 6.8, 6.56)","(10.0, 14.0, 12.5)","(7.0, 14.5, 13.1)"
08-12-2022 13:15:53.016198,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 11.0, 9.95)","(21.0, 95.0, 56.0)","(4.8, 6.8, 6.8)","(10.0, 14.0, 12.5)","(7.0, 14.5, 13.1)"
08-12-2022 13:15:54.219815,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 10.5, 9.95)","(21.0, 90.0, 56.0)","(4.8, 7.0, 6.8)","(10.0, 14.0, 12.5)","(7.0, 14.5, 13.1)"
08-12-2022 13:15:55.467052,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 10.5, 9.95)","(21.0, 90.0, 56.0)","(4.8, 7.0, 6.8)","(10.0, 14.0, 12.75)","(7.0, 14.5, 13.1)"
08-12-2022 13:15:56.730425,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 10.5, 9.95)","(21.0, 90.0, 56.0)","(4.8, 7.0, 6.8)","(10.0, 14.5, 12.75)","(7.0, 14.5, 13.1)"
08-12-2022 13:15:57.926969,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.5, 10.5, 9.95)","(21.0, 90.0, 56.0)","(4.8, 7.0, 6.8)","(10.0, 14.5, 12.75)","(7.0, 14.5, 13.1)"
08-12-2022 13:15:59.238407,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.0, 10.5, 9.95)","(21.0, 90.0, 56.0)","(4.8, 7.0, 6.8)","(10.0, 14.5, 12.75)","(7.0, 14.5, 13.1)"
08-12-2022 13:16:00.563371,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 524.5)","(8.0, 10.5, 9.95)","(21.0, 90.0, 56.0)","(4.8, 7.0, 6.8)","(10.0, 14.5, 11.666666666666666)","(7.0, 14.5, 13.1)"
08-12-2022 13:16:01.922110,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.0, 10.5, 9.95)","(21.0, 90.0, 62.8)","(4.8, 7.0, 6.8)","(10.0, 12.0, 11.666666666666666)","(7.0, 14.5, 11.48)"
08-12-2022 13:16:03.257432,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 249.33333333333334)","(8.0, 10.5, 9.366666666666667)","(21.0, 90.0, 73.25)","(4.8, 7.0, 6.8)","(10.0, 12.0, 11.666666666666666)","(7.0, 14.0, 11.48)"
08-12-2022 13:16:04.565433,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 470.0)","(8.0, 10.5, 9.366666666666667)","(21.0, 90.0, 73.25)","(4.8, 7.0, 6.8)","(10.0, 12.0, 11.666666666666666)","(7.0, 14.0, 11.48)"
08-12-2022 13:16:06.006357,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 470.0)","(8.0, 10.5, 9.225000000000001)","(21.0, 85.0, 69.5)","(4.8, 6.8, 6.56)","(10.0, 12.0, 11.833333333333334)","(7.0, 14.0, 11.785714285714285)"
08-12-2022 13:16:07.405435,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 470.0)","(8.0, 10.5, 9.225000000000001)","(21.0, 85.0, 69.5)","(4.8, 6.8, 6.56)","(10.0, 12.0, 11.833333333333334)","(7.0, 13.5, 12.7)"
08-12-2022 13:16:08.789108,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 470.0)","(8.0, 10.5, 9.225000000000001)","(21.0, 85.0, 69.5)","(4.8, 6.8, 6.56)","(10.0, 12.0, 11.75)","(7.0, 13.5, 13.642857142857142)"
08-12-2022 13:16:10.000398,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 470.0)","(8.0, 10.5, 9.225000000000001)","(21.0, 85.0, 69.5)","(4.8, 6.8, 6.56)","(10.0, 12.0, 11.75)","(7.0, 14.5, 12.25)"
08-12-2022 13:16:11.163036,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 470.0)","(8.0, 10.5, 9.225000000000001)","(21.0, 85.0, 69.5)","(4.8, 6.8, 6.56)","(10.0, 12.0, 11.75)","(7.0, 14.5, 12.785714285714285)"
08-12-2022 13:16:12.334056,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 470.0)","(8.0, 10.5, 9.225000000000001)","(21.0, 85.0, 64.0)","(4.8, 6.8, 6.56)","(10.0, 12.0, 11.75)","(7.0, 14.5, 12.785714285714285)"
08-12-2022 13:16:13.597373,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 359.5)","(8.0, 10.5, 9.225000000000001)","(21.0, 85.0, 64.0)","(4.8, 6.8, 6.56)","(10.0, 12.0, 11.75)","(7.0, 14.5, 12.785714285714285)"
08-12-2022 13:16:14.831848,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 359.5)","(8.0, 10.5, 9.225000000000001)","(21.0, 85.0, 64.0)","(4.8, 6.8, 6.8)","(10.0, 12.0, 11.75)","(7.0, 14.5, 12.785714285714285)"
08-12-2022 13:16:16.130310,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 359.5)","(8.0, 10.5, 9.225000000000001)","(21.0, 85.0, 64.0)","(4.8, 7.0, 6.8)","(10.0, 12.0, 11.75)","(7.0, 14.5, 12.785714285714285)"
08-12-2022 13:16:17.450644,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 359.5)","(8.0, 10.5, 9.225000000000001)","(21.0, 85.0, 64.0)","(4.8, 7.0, 6.8)","(10.0, 12.0, 11.75)","(7.0, 14.5, 12.785714285714285)"
08-12-2022 13:16:18.772283,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 359.5)","(8.0, 10.5, 9.771428571428572)","(21.0, 85.0, 61.8)","(4.8, 7.0, 6.8)","(10.0, 12.0, 11.75)","(7.0, 14.5, 12.785714285714285)"
08-12-2022 13:16:20.048028,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 359.5)","(8.0, 10.5, 9.771428571428572)","(21.0, 85.0, 61.8)","(4.8, 7.0, 6.8)","(10.0, 12.0, 11.75)","(7.0, 14.5, 12.785714285714285)"
08-12-2022 13:16:21.309941,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 359.5)","(8.0, 10.5, 9.771428571428572)","(21.0, 85.0, 68.42857142857143)","(4.8, 7.0, 6.8)","(10.0, 12.0, 11.75)","(7.0, 14.5, 12.785714285714285)"
08-12-2022 13:16:22.718021,"(18.0, 44.0, 25.333333333333336)","(4.4, 4.8, 4.62)","(3.3, 3.8, 3.719047619047619)","(26.0, 690.0, 359.5)","(8.0, 10.5, 9.771428571428572)","(21.0, 85.0, 68.42857142857143)","(4.8, 7.0, 6.8)","(10.0, 12.0, 11.75)","(7.0, 14.5, 12.785714285714285)"
