,Buddy Beauty,Velocity Tori,Look No Hands,Aussie Axle,Good Charlotte,Ladies Day,More Speed
08-01-2023 19:17:43.356720,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.67)","(4.0, 7.8, 4.6)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:44.383613,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.67)","(4.0, 7.8, 4.84)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:45.378030,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.67)","(4.0, 7.8, 4.84)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:46.423521,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.8, 4.84)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:47.395755,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.8, 4.84)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:48.473256,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.84)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:49.601368,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.84)","(7.0, 16.5, 13.666666666666668)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:50.659410,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.84)","(7.0, 16.5, 14.185714285714285)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:51.802451,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.8, 4.84)","(7.0, 16.5, 14.185714285714285)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:52.957240,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.84)","(7.0, 16.5, 14.185714285714285)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:54.035408,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.84)","(7.0, 16.5, 14.185714285714285)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:55.098165,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.84)","(7.0, 16.5, 13.866666666666667)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:56.132773,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 5.183333333333334)","(4.0, 7.8, 4.84)","(7.0, 16.5, 13.866666666666667)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:57.145238,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 5.183333333333334)","(4.0, 7.8, 4.84)","(7.0, 16.5, 13.866666666666667)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:58.172906,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.84)","(7.0, 16.5, 13.866666666666667)","(2.25, 2.78, 2.312)"
08-01-2023 19:17:59.181412,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.7272727272727275)","(4.0, 7.8, 4.84)","(7.0, 16.5, 13.866666666666667)","(2.25, 2.78, 2.312)"
08-01-2023 19:18:00.336123,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.7272727272727275)","(4.0, 7.8, 4.84)","(7.0, 16.5, 13.866666666666667)","(2.25, 2.78, 2.312)"
08-01-2023 19:18:01.531883,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.67)","(4.0, 7.8, 4.84)","(7.0, 16.5, 13.866666666666667)","(2.25, 2.78, 2.312)"
08-01-2023 19:18:02.704330,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 31.5)","(7.0, 13.5, 8.077777777777778)","(3.9, 6.0, 4.67)","(4.0, 7.8, 4.84)","(7.0, 16.5, 13.866666666666667)","(2.25, 2.78, 2.312)"
