,Realaide,Top Boy,Vantan Express,Danezel,Sequin Dress,Rose Of Duporth,The Brumby
08-01-2023 14:25:32.463357,"(15.0, 30.0, 19.9375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.285714285714286)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:33.527934,"(15.0, 30.0, 19.9375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.285714285714286)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:34.507335,"(15.0, 30.0, 19.9375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.285714285714286)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:35.557547,"(15.0, 30.0, 19.9375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.285714285714286)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:36.780874,"(15.0, 30.0, 19.9375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.285714285714286)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:37.948659,"(15.0, 30.0, 19.9375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.285714285714286)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:39.102454,"(15.0, 30.0, 19.9375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.285714285714286)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:40.229102,"(15.0, 30.0, 19.9375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.285714285714286)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:41.440923,"(15.0, 30.0, 19.9375)","(2.9, 3.4, 3.3249999999999997)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:43.552387,"(15.0, 30.0, 19.9375)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:44.965192,"(15.0, 30.0, 19.9375)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:46.174624,"(15.0, 30.0, 19.9375)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:47.570985,"(15.0, 30.0, 19.9375)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:48.729858,"(15.0, 30.0, 19.5)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:50.030507,"(15.0, 30.0, 19.5)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:51.118392,"(15.0, 30.0, 19.5)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:52.215114,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:53.444654,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:54.650117,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:55.839358,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:56.979577,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:58.203186,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:25:59.277563,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:00.441278,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:01.463784,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:02.523891,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:03.741606,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:04.837472,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:05.949653,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:07.012328,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:08.150430,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:09.254577,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:10.326657,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:11.387683,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:12.460807,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:13.500865,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:14.549832,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:15.568294,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:16.541621,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:17.598275,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:18.655849,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:19.564760,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:20.607054,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:21.632586,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:22.715740,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:24.023356,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:25.158871,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:26.216211,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.344444444444444)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:27.243624,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:28.296217,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:29.346268,"(15.0, 30.0, 19.5)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:30.487328,"(15.0, 30.0, 19.5)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:31.664985,"(15.0, 30.0, 19.5)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:32.966026,"(15.0, 30.0, 19.5)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:34.309826,"(15.0, 30.0, 19.5)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:35.457397,"(15.0, 30.0, 19.5)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:36.537607,"(15.0, 30.0, 19.5)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:37.605549,"(15.0, 30.0, 19.5)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:38.796260,"(15.0, 30.0, 19.5)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:39.767707,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:40.703042,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:41.653264,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:42.620658,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:43.704691,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:44.827565,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:46.006928,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.4, 3.3923076923076922)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:47.267463,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:48.326536,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 6.75)","(4.4, 5.5, 5.38)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:49.382323,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 6.75)","(4.4, 5.2, 5.10625)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:50.445307,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 6.75)","(4.4, 5.2, 5.10625)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:51.575499,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:52.509809,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:53.609498,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:54.725541,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:55.827606,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:56.897432,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:57.943344,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:26:59.035885,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:00.148412,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:01.131979,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:02.091276,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 6.75)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:03.053038,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 6.75)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:04.030160,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.306837606837607)","(5.0, 7.8, 6.75)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:04.957638,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.287903225806452)","(5.0, 7.8, 6.75)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:05.952361,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.287903225806452)","(5.0, 7.8, 6.75)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:07.025175,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.287903225806452)","(5.0, 7.8, 6.75)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:08.101839,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.287903225806452)","(5.0, 7.8, 6.75)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:09.197467,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.287903225806452)","(5.0, 7.8, 6.75)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:10.308538,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.287903225806452)","(5.0, 7.8, 6.75)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:11.400074,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.287903225806452)","(5.0, 7.8, 6.75)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:12.450084,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.287903225806452)","(5.0, 7.8, 6.75)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:13.436971,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.287903225806452)","(5.0, 7.8, 6.75)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:14.317013,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.287903225806452)","(5.0, 7.8, 6.75)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
08-01-2023 14:27:15.359288,"(15.0, 30.0, 25.57894736842105)","(2.9, 3.45, 3.287903225806452)","(5.0, 7.8, 7.258064516129032)","(4.4, 5.2, 4.95)","(10.0, 19.5, 15.642857142857142)","(3.4, 4.2, 3.930769230769231)","(31.0, 140.0, 120.0)"
