,Zouologist,Sizzleonthebridge,Participator,Smugglers Run,Brothers Of Antrim,Pindarras Dream,Saiko,Merc,Gironde,Zarsnip
05-01-2023 16:19:40.322130,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3623529411764705)","(8.5, 19.5, 19.4)","(13.0, 17.0, 15.98)","(18.0, 65.0, 59.44444444444444)","(3.7, 4.4, 4.377777777777778)","(18.0, 30.0, 28.476190476190474)","(21.0, 48.0, 44.16666666666667)","(31.0, 140.0, 95.0)"
05-01-2023 16:19:41.510182,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3623529411764705)","(8.5, 19.5, 19.4)","(13.0, 17.0, 15.98)","(18.0, 65.0, 59.44444444444444)","(3.7, 4.4, 4.377777777777778)","(18.0, 30.0, 28.476190476190474)","(21.0, 48.0, 44.16666666666667)","(31.0, 140.0, 95.0)"
05-01-2023 16:19:42.791582,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3649999999999998)","(8.5, 19.5, 19.366666666666667)","(13.0, 17.0, 15.98)","(18.0, 65.0, 59.44444444444444)","(3.7, 4.4, 4.377777777777778)","(18.0, 30.0, 28.476190476190474)","(21.0, 48.0, 44.16666666666667)","(31.0, 140.0, 91.53846153846155)"
05-01-2023 16:19:44.065963,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3649999999999998)","(8.5, 19.5, 19.366666666666667)","(13.0, 17.0, 15.98)","(18.0, 65.0, 59.44444444444444)","(3.7, 4.4, 4.377777777777778)","(18.0, 30.0, 28.476190476190474)","(21.0, 48.0, 44.16666666666667)","(31.0, 140.0, 91.53846153846155)"
05-01-2023 16:19:45.340489,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3649999999999998)","(8.5, 19.5, 19.1)","(13.0, 17.0, 15.98)","(18.0, 65.0, 59.44444444444444)","(3.7, 4.4, 4.377777777777778)","(18.0, 30.0, 28.476190476190474)","(21.0, 48.0, 44.16666666666667)","(31.0, 140.0, 110.0)"
05-01-2023 16:19:46.599735,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3649999999999998)","(8.5, 19.5, 19.1)","(13.0, 17.0, 14.653846153846153)","(18.0, 65.0, 59.44444444444444)","(3.7, 4.4, 4.377777777777778)","(18.0, 30.0, 28.476190476190474)","(21.0, 48.0, 44.46153846153846)","(31.0, 130.0, 110.0)"
05-01-2023 16:19:47.903294,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3649999999999998)","(8.5, 19.5, 19.333333333333332)","(13.0, 15.5, 14.653846153846153)","(18.0, 65.0, 59.44444444444444)","(3.7, 4.4, 4.377777777777778)","(18.0, 30.0, 28.476190476190474)","(21.0, 48.0, 44.46153846153846)","(31.0, 130.0, 110.0)"
05-01-2023 16:19:49.335441,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3649999999999998)","(8.5, 19.5, 19.333333333333332)","(13.0, 15.5, 14.653846153846153)","(18.0, 65.0, 59.44444444444444)","(3.7, 4.4, 4.377777777777778)","(18.0, 30.0, 28.476190476190474)","(21.0, 48.0, 44.46153846153846)","(31.0, 130.0, 110.0)"
05-01-2023 16:19:50.656238,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3649999999999998)","(8.5, 19.5, 19.333333333333332)","(13.0, 15.5, 14.418032786885245)","(18.0, 65.0, 59.44444444444444)","(3.7, 4.4, 4.377777777777778)","(18.0, 30.0, 28.476190476190474)","(21.0, 48.0, 42.25)","(31.0, 130.0, 110.0)"
05-01-2023 16:19:51.974395,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3649999999999998)","(8.5, 19.5, 19.333333333333332)","(13.0, 15.5, 14.583333333333334)","(18.0, 65.0, 59.44444444444444)","(3.7, 4.4, 4.390000000000001)","(18.0, 30.0, 19.962264150943398)","(21.0, 48.0, 33.333333333333336)","(31.0, 130.0, 110.0)"
