,Caribbean Baby,Heavens Baby,Kerrie Be,Singer Snap,Holme Boy,Yarraman Needy,Snack Time Rocks,Boom Boom Boy
11-01-2023 21:36:12.764434,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:13.909642,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:15.016320,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:16.192032,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:17.321878,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:18.402684,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:19.432984,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:20.534990,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:21.556950,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:22.565222,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
