,Prince Pulpogan,Grants Treasure,Lady Wendy Hook,Rawhide Hand,Red Spur Flyer,Jebrynah Sol,Stay At Home,Rogue Temptation
05-01-2023 15:14:47.512960,"(2.5, 5.0, 3.9299999999999997)","(14.0, 28.0, 24.11111111111111)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 17.31818181818182)"
05-01-2023 15:14:48.682296,"(2.5, 5.0, 3.9299999999999997)","(14.0, 28.0, 24.11111111111111)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 17.31818181818182)"
05-01-2023 15:14:49.786733,"(2.5, 5.0, 3.9299999999999997)","(14.0, 28.0, 24.11111111111111)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 17.31818181818182)"
05-01-2023 15:14:50.890318,"(2.5, 5.0, 3.9299999999999997)","(14.0, 28.0, 24.11111111111111)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 17.31818181818182)"
05-01-2023 15:14:52.038327,"(2.5, 5.0, 3.9299999999999997)","(14.0, 27.0, 20.125)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 32.1875)","(8.0, 23.0, 17.31818181818182)"
05-01-2023 15:14:53.209742,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.31818181818182)"
05-01-2023 15:14:54.446935,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.31818181818182)"
05-01-2023 15:14:55.729079,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.31818181818182)"
05-01-2023 15:14:56.899666,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:14:58.039236,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:14:59.132137,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:00.272875,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:01.421723,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:02.665879,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:03.896317,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:05.131335,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
