,Knobiesmagicsonde,Swiss Horizon,Bank Card,Warriorinthehouse,Gattolottasparkle,Little O Little E,Weavinyouinthedust,Lauras Grand,Iminchargenow,Vegas Princess
12-01-2023 13:27:25.919455,"(8.0, 8.6, 7.52)","(5.0, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(9.0, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(11.0, 23.0, 20.0)","(8.0, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(4.6, 6.2, 6.135714285714286)","(2.6, 3.5, 3.3857142857142857)"
12-01-2023 13:27:27.110601,"(8.0, 8.6, 7.52)","(5.0, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(9.0, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(11.0, 23.0, 20.0)","(8.0, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(4.6, 6.2, 6.135714285714286)","(2.6, 3.5, 3.29)"
12-01-2023 13:27:28.301351,"(8.0, 8.4, 7.35)","(5.0, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(9.0, 15.0, 13.666666666666666)","(31.0, 180.0, 103.0)","(11.0, 23.0, 21.666666666666664)","(8.0, 9.0, 8.89090909090909)","(31.0, 180.0, 103.0)","(4.6, 6.2, 6.293333333333334)","(2.6, 3.3, 3.2928571428571427)"
12-01-2023 13:27:29.460969,"(8.0, 8.4, 8.01818181818182)","(5.0, 8.8, 8.0)","(31.0, 180.0, 103.5)","(9.0, 15.0, 14.2)","(31.0, 180.0, 103.0)","(11.0, 23.0, 21.666666666666664)","(8.0, 9.0, 8.89090909090909)","(31.0, 180.0, 103.0)","(4.6, 6.4, 6.293333333333334)","(2.6, 3.3, 3.2928571428571427)"
12-01-2023 13:27:30.904453,"(8.0, 8.4, 8.01818181818182)","(5.0, 9.0, 8.114285714285714)","(31.0, 180.0, 103.5)","(9.0, 15.0, 14.2)","(31.0, 180.0, 103.0)","(11.0, 23.0, 20.0)","(8.0, 9.4, 9.3)","(31.0, 180.0, 103.0)","(4.6, 6.6, 6.359999999999999)","(2.6, 3.3, 3.2928571428571427)"
12-01-2023 13:27:32.115001,"(8.0, 8.4, 8.01818181818182)","(5.0, 8.8, 8.114285714285714)","(31.0, 180.0, 103.5)","(9.0, 15.0, 14.2)","(31.0, 180.0, 103.0)","(11.0, 23.0, 20.0)","(8.0, 9.4, 9.3)","(31.0, 180.0, 104.0)","(4.6, 6.6, 6.359999999999999)","(2.6, 3.3, 3.1705882352941175)"
12-01-2023 13:27:33.314904,"(8.0, 8.4, 7.95)","(5.0, 8.8, 8.114285714285714)","(31.0, 180.0, 104.0)","(9.0, 15.0, 14.2)","(31.0, 180.0, 119.19999999999999)","(11.0, 23.0, 21.0)","(8.0, 9.4, 9.08)","(31.0, 180.0, 119.19999999999999)","(4.6, 6.6, 6.359999999999999)","(2.6, 3.25, 3.1705882352941175)"
12-01-2023 13:27:34.695567,"(8.0, 8.4, 8.210526315789474)","(5.0, 8.6, 8.066666666666666)","(31.0, 180.0, 119.19999999999999)","(9.0, 15.0, 14.2)","(31.0, 180.0, 119.19999999999999)","(11.0, 23.0, 21.0)","(8.0, 9.2, 9.08)","(31.0, 180.0, 119.19999999999999)","(4.6, 6.6, 6.213333333333333)","(2.6, 3.25, 3.1666666666666665)"
12-01-2023 13:27:36.155956,"(8.0, 8.4, 8.16)","(5.0, 8.6, 8.066666666666666)","(31.0, 180.0, 119.19999999999999)","(9.0, 15.0, 14.2)","(31.0, 180.0, 119.19999999999999)","(11.0, 23.0, 21.0)","(8.0, 9.2, 9.08)","(31.0, 180.0, 119.19999999999999)","(4.6, 6.8, 6.213333333333333)","(2.6, 3.25, 3.1666666666666665)"
12-01-2023 13:27:37.449264,"(8.0, 8.4, 8.16)","(5.0, 8.6, 8.066666666666666)","(31.0, 180.0, 119.19999999999999)","(9.0, 15.0, 14.2)","(31.0, 180.0, 119.19999999999999)","(11.0, 23.0, 21.0)","(8.0, 9.2, 9.08)","(31.0, 180.0, 119.19999999999999)","(4.6, 6.8, 6.213333333333333)","(2.6, 3.25, 3.1666666666666665)"
12-01-2023 13:27:38.686795,"(8.0, 8.4, 8.15)","(5.0, 8.6, 8.066666666666666)","(31.0, 180.0, 119.19999999999999)","(9.0, 15.0, 14.2)","(31.0, 180.0, 79.33333333333334)","(11.0, 23.0, 21.0)","(8.0, 9.2, 9.08)","(31.0, 180.0, 79.33333333333334)","(4.6, 6.8, 6.449999999999999)","(2.6, 3.25, 3.1666666666666665)"
12-01-2023 13:27:39.852218,"(8.0, 8.4, 8.15)","(5.0, 8.6, 8.066666666666666)","(31.0, 180.0, 119.19999999999999)","(9.0, 15.0, 14.2)","(31.0, 180.0, 79.33333333333334)","(11.0, 23.0, 21.0)","(8.0, 9.2, 9.285714285714286)","(31.0, 180.0, 79.33333333333334)","(4.6, 6.6, 6.359999999999999)","(2.6, 3.25, 3.1666666666666665)"
12-01-2023 13:27:41.060741,"(8.0, 8.4, 8.15)","(5.0, 9.0, 8.066666666666666)","(31.0, 180.0, 119.19999999999999)","(9.0, 15.0, 14.2)","(31.0, 180.0, 79.33333333333334)","(11.0, 23.0, 21.0)","(8.0, 9.4, 9.285714285714286)","(31.0, 180.0, 79.33333333333334)","(4.6, 6.6, 6.359999999999999)","(2.6, 3.25, 3.1666666666666665)"
12-01-2023 13:27:42.202913,"(8.0, 8.4, 8.15)","(5.0, 9.0, 8.066666666666666)","(31.0, 180.0, 119.19999999999999)","(9.0, 15.0, 14.2)","(31.0, 180.0, 79.33333333333334)","(11.0, 23.0, 21.0)","(8.0, 9.4, 9.285714285714286)","(31.0, 180.0, 79.33333333333334)","(4.6, 6.6, 6.359999999999999)","(2.6, 3.25, 3.1666666666666665)"
12-01-2023 13:27:43.380106,"(8.0, 8.4, 8.15)","(5.0, 9.0, 8.066666666666666)","(31.0, 180.0, 119.19999999999999)","(9.0, 15.0, 14.2)","(31.0, 180.0, 79.33333333333334)","(11.0, 23.0, 21.0)","(8.0, 9.4, 9.285714285714286)","(31.0, 180.0, 79.33333333333334)","(4.6, 6.6, 6.359999999999999)","(2.6, 3.25, 3.1666666666666665)"
12-01-2023 13:27:44.744220,"(8.0, 8.4, 8.15)","(5.0, 9.0, 8.066666666666666)","(31.0, 180.0, 119.19999999999999)","(9.0, 15.0, 14.2)","(31.0, 180.0, 79.33333333333334)","(11.0, 23.0, 21.0)","(8.0, 9.4, 9.285714285714286)","(31.0, 180.0, 79.33333333333334)","(4.6, 6.6, 6.359999999999999)","(2.6, 3.25, 3.1666666666666665)"
12-01-2023 13:27:45.930490,"(8.0, 8.4, 8.15)","(5.0, 9.0, 8.066666666666666)","(31.0, 180.0, 119.19999999999999)","(9.0, 15.0, 14.2)","(31.0, 180.0, 79.33333333333334)","(11.0, 23.0, 21.0)","(8.0, 9.4, 9.285714285714286)","(31.0, 180.0, 79.33333333333334)","(4.6, 6.6, 6.359999999999999)","(2.6, 3.25, 3.1666666666666665)"
12-01-2023 13:27:47.088272,"(8.0, 8.4, 8.15)","(5.0, 8.6, 8.2)","(31.0, 180.0, 119.19999999999999)","(9.0, 15.0, 14.2)","(31.0, 180.0, 79.33333333333334)","(11.0, 23.0, 21.0)","(8.0, 9.4, 9.285714285714286)","(31.0, 180.0, 79.33333333333334)","(4.6, 6.6, 6.123076923076923)","(2.6, 3.25, 3.1666666666666665)"
12-01-2023 13:27:48.426765,"(8.0, 8.4, 8.15)","(5.0, 8.6, 8.2)","(31.0, 180.0, 119.19999999999999)","(9.0, 15.0, 14.2)","(31.0, 180.0, 79.33333333333334)","(11.0, 23.0, 21.666666666666664)","(8.0, 9.4, 9.285714285714286)","(31.0, 180.0, 79.33333333333334)","(4.6, 6.8, 6.123076923076923)","(2.6, 3.25, 3.1333333333333333)"
