,Dr Earnie,Little Amelia,Bombers Reward,Slingshot Queen,Dr Audrey,Dr Boone,Dr Cinny,Good Chat Sam
07-12-2022 18:38:54.037160,"(17.0, 24.0, 22.5)","(4.2, 9.2, 8.694736842105263)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.4514285714285715)","(41.0, 65.0, 52.90909090909091)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:38:55.137970,"(17.0, 24.0, 22.5)","(4.2, 9.2, 8.694736842105263)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.4514285714285715)","(41.0, 65.0, 52.90909090909091)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:38:56.148035,"(17.0, 24.0, 22.5)","(4.2, 9.2, 8.694736842105263)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.4514285714285715)","(41.0, 65.0, 52.90909090909091)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:38:57.209036,"(17.0, 24.0, 22.5)","(4.2, 9.2, 8.694736842105263)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.4514285714285715)","(41.0, 65.0, 53.1)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:38:58.372427,"(17.0, 24.0, 22.41176470588235)","(4.2, 9.2, 8.71111111111111)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.450454545454545)","(41.0, 65.0, 53.1)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:38:59.448102,"(17.0, 24.0, 22.41176470588235)","(4.2, 9.2, 8.830769230769231)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.450454545454545)","(41.0, 65.0, 53.1)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:39:00.565146,"(17.0, 24.0, 22.41176470588235)","(4.2, 9.2, 8.71111111111111)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.450454545454545)","(41.0, 65.0, 53.1)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:39:01.748923,"(17.0, 24.0, 22.41176470588235)","(4.2, 9.2, 8.71111111111111)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.51923076923077)","(2.5, 2.46, 2.450454545454545)","(41.0, 65.0, 53.1)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:39:02.782516,"(17.0, 24.0, 22.41176470588235)","(4.2, 9.2, 8.71111111111111)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 31.6)","(2.5, 2.46, 2.450454545454545)","(41.0, 65.0, 53.1)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:39:03.797203,"(17.0, 24.0, 22.3125)","(4.2, 9.2, 8.71111111111111)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 33.666666666666664)","(2.5, 2.46, 2.4486486486486485)","(41.0, 65.0, 52.90909090909091)","(101.0, 610.0, 562.2222222222222)"
