,Henty,California Longbow,Champions League,Rura Penthe,Blazing Rebel,Concentric,Cable Dancer,Bishop Rock
08-01-2023 14:05:32.411801,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 39.81818181818181)","(6.0, 10.5, 9.45)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:33.523944,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 31.75)","(6.0, 10.5, 9.45)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:34.638019,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 31.75)","(6.0, 10.5, 9.45)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:35.722725,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 31.75)","(6.0, 10.5, 9.45)","(16.0, 38.0, 36.69230769230769)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:36.720106,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.0, 5.65625)","(16.0, 44.0, 31.75)","(6.0, 10.5, 9.45)","(16.0, 38.0, 36.69230769230769)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:37.798801,"(5.0, 6.4, 6.304255319148936)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.36, 2.3027906976744186)","(4.8, 6.0, 5.78)","(16.0, 44.0, 30.75)","(6.0, 10.5, 10.266666666666667)","(16.0, 38.0, 20.44)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:38.870326,"(5.0, 6.4, 6.15)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.34, 2.3027906976744186)","(4.8, 5.9, 5.833333333333334)","(16.0, 42.0, 28.5)","(6.0, 10.5, 9.45)","(16.0, 21.0, 33.375)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:40.022622,"(5.0, 6.4, 6.114285714285715)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.34, 2.2629268292682925)","(4.8, 5.9, 5.833333333333334)","(16.0, 42.0, 28.5)","(6.0, 10.5, 9.45)","(16.0, 38.0, 33.375)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:41.130548,"(5.0, 6.4, 6.114285714285715)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.34, 2.2629268292682925)","(4.8, 5.9, 5.833333333333334)","(16.0, 42.0, 28.5)","(6.0, 10.5, 9.45)","(16.0, 38.0, 33.375)","(101.0, 190.0, 122.5)"
08-01-2023 14:05:42.231766,"(5.0, 6.4, 6.114285714285715)","(10.0, 14.5, 13.613636363636363)","(2.1, 2.34, 2.2629268292682925)","(4.8, 5.9, 5.833333333333334)","(16.0, 42.0, 28.5)","(6.0, 10.5, 9.45)","(16.0, 38.0, 33.375)","(101.0, 190.0, 122.5)"
