,African Angel,I Came To Dance,Organized Chaos,Well See,Peach Be With Q,Queen Wiggy,Sharp Catch
15-12-2022 11:11:54.477392,"(2.8, 5.0, 4.805)","(5.5, 4.7, 4.3875)","(5.0, 13.0, 9.879999999999999)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(10.0, 24.0, 18.642857142857142)"
15-12-2022 11:11:55.454510,"(2.8, 5.0, 4.715)","(5.5, 4.7, 4.3875)","(5.0, 13.0, 8.371428571428572)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(10.0, 24.0, 18.642857142857142)"
15-12-2022 11:11:56.463596,"(2.8, 5.2, 5.0633333333333335)","(5.5, 4.7, 4.283333333333333)","(5.0, 13.0, 8.371428571428572)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 9.333333333333334)","(10.0, 24.0, 18.642857142857142)"
15-12-2022 11:11:57.466074,"(2.8, 6.0, 4.92)","(5.5, 4.7, 4.432142857142857)","(5.0, 13.0, 8.371428571428572)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 10.32)","(10.0, 24.0, 17.75)"
15-12-2022 11:11:58.456162,"(2.8, 5.9, 4.871428571428572)","(5.5, 4.7, 4.432142857142857)","(5.0, 12.5, 9.233333333333333)","(8.0, 16.5, 14.475)","(9.0, 14.0, 11.68)","(5.5, 12.0, 10.32)","(10.0, 24.0, 17.75)"
15-12-2022 11:11:59.447574,"(2.8, 5.8, 5.05)","(5.5, 4.7, 4.2)","(5.0, 12.5, 9.233333333333333)","(8.0, 16.5, 14.879999999999999)","(9.0, 14.0, 12.066666666666666)","(5.5, 12.0, 10.6)","(10.0, 24.0, 19.549999999999997)"
15-12-2022 11:12:00.491572,"(2.8, 5.8, 5.2375)","(5.5, 4.7, 4.2)","(5.0, 12.5, 9.233333333333333)","(8.0, 16.5, 14.879999999999999)","(9.0, 14.0, 12.285714285714285)","(5.5, 12.0, 10.6)","(10.0, 23.0, 19.549999999999997)"
15-12-2022 11:12:01.545257,"(2.8, 5.8, 5.2375)","(5.5, 4.7, 4.2)","(5.0, 12.5, 9.233333333333333)","(8.0, 16.5, 14.879999999999999)","(9.0, 14.0, 12.909090909090908)","(5.5, 12.0, 10.666666666666666)","(10.0, 23.0, 18.642857142857142)"
15-12-2022 11:12:02.581063,"(2.8, 4.6, 4.4833333333333325)","(5.5, 4.7, 4.283333333333333)","(5.0, 12.5, 11.26)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.909090909090908)","(5.5, 12.0, 10.666666666666666)","(10.0, 24.0, 18.642857142857142)"
15-12-2022 11:12:03.611719,"(2.8, 5.1, 4.927777777777777)","(5.5, 4.7, 4.283333333333333)","(5.0, 12.5, 9.233333333333333)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.909090909090908)","(5.5, 12.0, 10.666666666666666)","(10.0, 24.0, 17.75)"
