,Irish Brandy,Demolition,Cherries On Fire,Towering Star,Go Diablo,Juicy Que,Easy Street,Faux Allie
07-01-2023 09:22:46.070204,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:47.094466,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:48.201241,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:49.306826,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:50.423314,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:51.491334,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:52.530914,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:53.594442,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:54.615906,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:55.749553,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:56.941962,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:58.045906,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:22:59.173594,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:23:00.274530,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:23:01.352408,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:23:02.434431,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:23:03.482343,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:23:04.522405,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:23:05.507940,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:23:06.553811,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:23:07.586047,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:23:08.841035,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:23:09.903401,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
07-01-2023 09:23:11.037001,"(3.6, 7.0, 5.3)","(21.0, 65.0, 39.16666666666667)","(3.2, 5.2, 4.345833333333333)","(4.4, 8.0, 6.936)","(13.0, 36.0, 30.67391304347826)","(5.5, 13.0, 6.511111111111111)","(11.0, 26.0, 21.555555555555557)","(10.0, 22.0, 18.799999999999997)"
