,Toms The One,Ravioli,Senorita Bonita,Sketchy Comrade,Greek Inquisitor,Lenny Boy,Mazy Girl,Perpetual
15-12-2022 14:02:04.465097,"(2.7, 2.88, 2.849285714285714)","(3.8, 5.9, 4.8133333333333335)","(3.9, 6.8, 5.733333333333333)","(10.0, 22.0, 21.227272727272727)","(41.0, 270.0, 241.5)","(41.0, 370.0, 329.5)","(7.5, 14.0, 13.472727272727273)","(6.5, 17.0, 12.95)"
15-12-2022 14:02:05.862963,"(2.7, 2.88, 2.849285714285714)","(3.8, 5.0, 5.216666666666667)","(3.9, 7.0, 5.733333333333333)","(10.0, 22.0, 21.227272727272727)","(41.0, 270.0, 241.5)","(41.0, 370.0, 329.5)","(7.5, 14.0, 13.472727272727273)","(6.5, 17.5, 12.95)"
15-12-2022 14:02:07.133331,"(2.7, 2.88, 2.849285714285714)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.733333333333333)","(10.0, 22.0, 21.227272727272727)","(41.0, 270.0, 241.5)","(41.0, 370.0, 329.5)","(7.5, 14.0, 13.472727272727273)","(6.5, 17.5, 12.95)"
15-12-2022 14:02:08.394381,"(2.7, 2.88, 2.849285714285714)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.461538461538462)","(10.0, 22.0, 20.3)","(41.0, 270.0, 241.5)","(41.0, 370.0, 329.5)","(7.5, 14.0, 13.472727272727273)","(6.5, 17.5, 12.95)"
15-12-2022 14:02:09.780409,"(2.7, 2.82, 2.8096774193548386)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.8)","(10.0, 22.0, 20.857142857142858)","(41.0, 270.0, 241.5)","(41.0, 370.0, 329.5)","(7.5, 14.0, 13.472727272727273)","(6.5, 17.5, 10.083333333333334)"
15-12-2022 14:02:11.014285,"(2.7, 2.82, 2.809333333333333)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.8)","(10.0, 22.0, 20.857142857142858)","(41.0, 270.0, 241.5)","(41.0, 370.0, 329.5)","(7.5, 14.0, 13.472727272727273)","(6.5, 18.5, 12.95)"
15-12-2022 14:02:12.320386,"(2.7, 2.82, 2.788)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.8)","(10.0, 22.0, 21.375)","(41.0, 270.0, 241.5)","(41.0, 370.0, 329.5)","(7.5, 14.0, 13.472727272727273)","(6.5, 17.5, 12.95)"
15-12-2022 14:02:13.874038,"(2.7, 2.82, 2.788)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.461538461538462)","(10.0, 22.0, 20.833333333333336)","(41.0, 270.0, 241.5)","(41.0, 370.0, 329.5)","(7.5, 14.0, 13.472727272727273)","(6.5, 17.5, 12.95)"
15-12-2022 14:02:15.290323,"(2.7, 2.82, 2.788)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.733333333333333)","(10.0, 22.0, 21.416666666666668)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 14.0, 13.472727272727273)","(6.5, 17.5, 12.95)"
15-12-2022 14:02:16.493485,"(2.7, 2.86, 2.827272727272727)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.733333333333333)","(10.0, 22.0, 21.22222222222222)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 14.0, 13.472727272727273)","(6.5, 17.5, 12.95)"
15-12-2022 14:02:17.735700,"(2.7, 3.2, 2.8689655172413793)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.733333333333333)","(10.0, 22.0, 21.22222222222222)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 14.0, 13.472727272727273)","(6.5, 17.5, 12.95)"
15-12-2022 14:02:18.875341,"(2.7, 3.15, 2.8921052631578945)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.416666666666666)","(10.0, 22.0, 21.22222222222222)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 14.0, 13.472727272727273)","(6.5, 17.5, 12.95)"
15-12-2022 14:02:20.103579,"(2.7, 3.15, 2.862222222222222)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.666666666666667)","(10.0, 22.0, 21.22222222222222)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 14.0, 13.472727272727273)","(6.5, 17.5, 12.95)"
15-12-2022 14:02:21.374391,"(2.7, 3.1, 2.888235294117647)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.666666666666667)","(10.0, 22.0, 19.666666666666668)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 14.0, 13.472727272727273)","(6.5, 17.5, 12.95)"
15-12-2022 14:02:22.619694,"(2.7, 3.1, 2.888235294117647)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.666666666666667)","(10.0, 22.0, 19.666666666666668)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 14.0, 10.408333333333333)","(6.5, 17.5, 9.700000000000001)"
15-12-2022 14:02:23.822029,"(2.7, 3.1, 2.8652173913043475)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.6000000000000005)","(10.0, 22.0, 19.666666666666668)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 13.5, 11.271428571428572)","(6.5, 17.5, 9.700000000000001)"
15-12-2022 14:02:24.974926,"(2.7, 3.1, 2.777894736842105)","(3.8, 5.8, 5.216666666666667)","(3.9, 7.0, 5.666666666666667)","(10.0, 22.0, 19.666666666666668)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 12.5, 10.372727272727273)","(6.5, 17.5, 9.700000000000001)"
15-12-2022 14:02:26.115424,"(2.7, 3.05, 2.934285714285714)","(3.8, 5.8, 4.983333333333333)","(3.9, 7.0, 5.666666666666667)","(10.0, 22.0, 19.666666666666668)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 11.5, 10.22)","(6.5, 17.5, 9.700000000000001)"
15-12-2022 14:02:27.371389,"(2.7, 3.05, 2.9)","(3.8, 5.8, 5.1)","(3.9, 7.0, 5.666666666666667)","(10.0, 22.0, 19.666666666666668)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 11.0, 11.028571428571428)","(6.5, 17.5, 9.700000000000001)"
15-12-2022 14:02:28.660863,"(2.7, 2.76, 2.896842105263158)","(3.8, 5.8, 5.1)","(3.9, 7.0, 5.6000000000000005)","(10.0, 22.0, 19.666666666666668)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 12.0, 11.46)","(6.5, 17.5, 9.700000000000001)"
15-12-2022 14:02:29.939521,"(2.7, 3.0, 2.8815384615384616)","(3.8, 5.8, 5.1)","(3.9, 7.0, 5.666666666666667)","(10.0, 22.0, 19.666666666666668)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 12.5, 10.958333333333334)","(6.5, 17.5, 9.700000000000001)"
15-12-2022 14:02:31.086410,"(2.7, 3.0, 2.8815384615384616)","(3.8, 5.8, 5.1)","(3.9, 7.0, 5.666666666666667)","(10.0, 22.0, 19.666666666666668)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 12.5, 10.958333333333334)","(6.5, 17.5, 9.700000000000001)"
15-12-2022 14:02:32.170907,"(2.7, 3.0, 2.8815384615384616)","(3.8, 5.8, 5.1)","(3.9, 7.0, 5.6923076923076925)","(10.0, 22.0, 21.35)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 12.5, 11.472222222222221)","(6.5, 17.5, 12.45)"
15-12-2022 14:02:33.346354,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.630769230769231)","(10.0, 22.0, 21.35)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 12.5, 11.472222222222221)","(6.5, 16.5, 12.45)"
15-12-2022 14:02:34.563790,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 6.316666666666666)","(10.0, 22.0, 21.35)","(41.0, 270.0, 214.0)","(41.0, 370.0, 330.0)","(7.5, 12.5, 11.80625)","(6.5, 16.5, 12.45)"
15-12-2022 14:02:35.862078,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.6, 6.333333333333333)","(10.0, 22.0, 21.35)","(41.0, 270.0, 233.0)","(41.0, 370.0, 330.0)","(7.5, 12.5, 11.80625)","(6.5, 16.5, 12.45)"
15-12-2022 14:02:37.156521,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.6, 5.6923076923076925)","(10.0, 22.0, 21.35)","(41.0, 270.0, 247.79999999999998)","(41.0, 370.0, 338.5)","(7.5, 12.5, 11.80625)","(6.5, 16.5, 12.45)"
15-12-2022 14:02:38.244567,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.6923076923076925)","(10.0, 22.0, 21.35)","(41.0, 270.0, 247.79999999999998)","(41.0, 370.0, 338.5)","(7.5, 12.5, 11.80625)","(6.5, 16.5, 12.45)"
15-12-2022 14:02:39.379792,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.6923076923076925)","(10.0, 22.0, 21.454545454545453)","(41.0, 270.0, 247.79999999999998)","(41.0, 370.0, 338.5)","(7.5, 12.5, 11.766666666666666)","(6.5, 16.5, 12.45)"
15-12-2022 14:02:40.643721,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.630769230769231)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 247.79999999999998)","(41.0, 370.0, 338.5)","(7.5, 12.5, 11.899999999999999)","(6.5, 16.5, 14.275)"
15-12-2022 14:02:41.952899,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.630769230769231)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 247.79999999999998)","(41.0, 370.0, 338.5)","(7.5, 12.5, 11.899999999999999)","(6.5, 16.5, 12.55)"
15-12-2022 14:02:43.192451,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.6923076923076925)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 247.79999999999998)","(41.0, 370.0, 338.5)","(7.5, 12.5, 11.899999999999999)","(6.5, 16.5, 9.258333333333333)"
15-12-2022 14:02:44.310384,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.6923076923076925)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 247.79999999999998)","(41.0, 370.0, 338.5)","(7.5, 12.5, 11.899999999999999)","(6.5, 16.5, 9.258333333333333)"
15-12-2022 14:02:45.433923,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.6923076923076925)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 12.5, 11.899999999999999)","(6.5, 16.5, 9.258333333333333)"
15-12-2022 14:02:46.497208,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.630769230769231)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 12.5, 11.899999999999999)","(6.5, 16.5, 9.258333333333333)"
15-12-2022 14:02:47.691050,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.6923076923076925)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 12.5, 11.899999999999999)","(6.5, 16.5, 9.258333333333333)"
15-12-2022 14:02:48.892209,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.6923076923076925)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 12.5, 11.855555555555554)","(6.5, 16.5, 9.258333333333333)"
15-12-2022 14:02:50.056897,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.6923076923076925)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 12.5, 11.785714285714285)","(6.5, 16.5, 9.258333333333333)"
15-12-2022 14:02:51.247292,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.6923076923076925)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 13.0, 11.545454545454547)","(6.5, 16.5, 9.258333333333333)"
15-12-2022 14:02:52.381207,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.630769230769231)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 13.0, 11.933333333333334)","(6.5, 16.5, 9.258333333333333)"
15-12-2022 14:02:53.742003,"(2.7, 2.96, 2.915)","(3.8, 5.8, 5.1)","(3.9, 6.8, 5.6923076923076925)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 13.0, 11.714285714285714)","(6.5, 16.5, 9.258333333333333)"
15-12-2022 14:02:55.079983,"(2.7, 2.96, 2.915)","(3.8, 5.8, 4.923529411764706)","(3.9, 6.8, 5.6923076923076925)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 13.0, 12.0625)","(6.5, 16.5, 9.728571428571428)"
15-12-2022 14:02:56.337511,"(2.7, 2.96, 2.915)","(3.8, 5.7, 4.923529411764706)","(3.9, 6.8, 5.630769230769231)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 13.0, 12.166666666666666)","(6.5, 16.5, 9.833333333333332)"
15-12-2022 14:02:57.612710,"(2.7, 2.96, 2.915)","(3.8, 5.7, 4.923529411764706)","(3.9, 6.8, 5.507142857142857)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 13.0, 12.166666666666666)","(6.5, 16.0, 9.833333333333332)"
15-12-2022 14:02:58.779433,"(2.7, 2.96, 2.915)","(3.8, 5.7, 4.923529411764706)","(3.9, 6.6, 5.571428571428571)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 13.0, 13.3)","(6.5, 16.0, 9.833333333333332)"
15-12-2022 14:03:00.175776,"(2.7, 2.96, 2.915)","(3.8, 5.7, 4.923529411764706)","(3.9, 6.6, 5.571428571428571)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 14.0, 12.346153846153847)","(6.5, 16.0, 9.833333333333332)"
15-12-2022 14:03:01.490820,"(2.7, 2.96, 2.915)","(3.8, 5.7, 4.923529411764706)","(3.9, 6.6, 5.571428571428571)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 14.5, 12.346153846153847)","(6.5, 16.0, 9.833333333333332)"
15-12-2022 14:03:02.706646,"(2.7, 2.96, 2.915)","(3.8, 5.7, 4.923529411764706)","(3.9, 6.6, 5.507142857142857)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 14.5, 14.571428571428571)","(6.5, 16.0, 9.833333333333332)"
15-12-2022 14:03:04.156659,"(2.7, 2.96, 2.915)","(3.8, 5.7, 5.154545454545454)","(3.9, 6.6, 5.571428571428571)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.0, 16.0)","(6.5, 16.0, 9.833333333333332)"
15-12-2022 14:03:05.529901,"(2.7, 2.96, 2.915)","(3.8, 5.7, 4.888235294117647)","(3.9, 6.6, 5.571428571428571)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 18.0, 16.576923076923077)","(6.5, 16.0, 9.833333333333332)"
15-12-2022 14:03:06.743209,"(2.7, 2.96, 2.8200000000000003)","(3.8, 5.6, 4.888235294117647)","(3.9, 6.6, 5.507142857142857)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 17.5, 16.125)","(6.5, 16.0, 9.833333333333332)"
15-12-2022 14:03:07.963053,"(2.7, 2.96, 2.8200000000000003)","(3.8, 5.6, 4.735714285714286)","(3.9, 6.6, 5.571428571428571)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 17.5, 14.5)","(6.5, 16.0, 9.75)"
15-12-2022 14:03:09.186157,"(2.7, 2.96, 2.9127272727272726)","(3.8, 5.6, 4.657894736842105)","(3.9, 6.6, 5.571428571428571)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 17.0, 14.5)","(6.5, 15.5, 11.8)"
15-12-2022 14:03:10.367475,"(2.7, 2.96, 2.9127272727272726)","(3.8, 5.5, 4.657894736842105)","(3.9, 6.6, 5.571428571428571)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 17.0, 14.5)","(6.5, 15.0, 11.4)"
15-12-2022 14:03:11.562055,"(2.7, 2.96, 2.9127272727272726)","(3.8, 5.5, 4.657894736842105)","(3.9, 6.6, 5.571428571428571)","(10.0, 22.0, 18.071428571428573)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 17.0, 14.352941176470589)","(6.5, 15.0, 11.4)"
15-12-2022 14:03:12.658346,"(2.7, 2.96, 2.867142857142857)","(3.8, 5.5, 4.630434782608695)","(3.9, 6.6, 5.372222222222223)","(10.0, 22.0, 18.071428571428573)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 17.0, 15.0)","(6.5, 15.0, 11.4)"
15-12-2022 14:03:13.831347,"(2.7, 2.96, 2.867142857142857)","(3.8, 5.5, 4.630434782608695)","(3.9, 6.6, 5.444444444444445)","(10.0, 22.0, 18.071428571428573)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.25)","(6.5, 15.0, 11.4)"
15-12-2022 14:03:15.044846,"(2.7, 2.96, 2.867142857142857)","(3.8, 5.5, 4.630434782608695)","(3.9, 6.6, 5.444444444444445)","(10.0, 22.0, 18.071428571428573)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.25)","(6.5, 15.0, 11.4)"
15-12-2022 14:03:16.279826,"(2.7, 2.96, 2.867142857142857)","(3.8, 5.4, 4.8)","(3.9, 6.6, 5.444444444444445)","(10.0, 22.0, 18.071428571428573)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.214285714285714)","(6.5, 15.0, 11.4)"
15-12-2022 14:03:17.312568,"(2.7, 2.96, 2.867142857142857)","(3.8, 5.4, 4.65)","(3.9, 6.6, 5.444444444444445)","(10.0, 22.0, 18.071428571428573)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 15.1)","(6.5, 15.0, 11.4)"
15-12-2022 14:03:18.419551,"(2.7, 2.96, 2.867142857142857)","(3.8, 5.4, 4.65)","(3.9, 6.4, 5.275)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 13.4375)","(6.5, 15.0, 11.4)"
15-12-2022 14:03:19.576180,"(2.7, 2.96, 2.867142857142857)","(3.8, 5.4, 4.65)","(3.9, 6.2, 5.333333333333333)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 13.4375)","(6.5, 15.0, 11.4)"
15-12-2022 14:03:20.749667,"(2.7, 2.96, 2.867142857142857)","(3.8, 5.4, 4.65)","(3.9, 6.2, 5.357142857142857)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.458333333333334)","(6.5, 15.0, 8.25)"
15-12-2022 14:03:21.944653,"(2.7, 2.96, 2.867142857142857)","(3.8, 5.4, 4.8375)","(3.9, 6.0, 5.1000000000000005)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.96875)","(6.5, 15.0, 8.25)"
15-12-2022 14:03:23.044149,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.4, 4.8375)","(3.9, 6.0, 5.1000000000000005)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.96875)","(6.5, 15.0, 8.25)"
15-12-2022 14:03:24.167404,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.4, 4.8375)","(3.9, 6.0, 5.1000000000000005)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.96875)","(6.5, 15.0, 8.25)"
15-12-2022 14:03:25.309795,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.4, 4.8375)","(3.9, 6.0, 5.357142857142857)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 15.1875)","(6.5, 15.0, 8.25)"
15-12-2022 14:03:26.466294,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.4, 4.725)","(3.9, 6.0, 5.357142857142857)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 15.1875)","(6.5, 15.0, 8.25)"
15-12-2022 14:03:27.557797,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.4, 4.725)","(3.9, 6.0, 5.357142857142857)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.3125)","(6.5, 15.0, 8.25)"
15-12-2022 14:03:28.679858,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.3, 4.671428571428572)","(3.9, 6.0, 5.1000000000000005)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.3125)","(6.5, 15.0, 8.25)"
15-12-2022 14:03:29.685858,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.3, 4.671428571428572)","(3.9, 6.0, 5.1000000000000005)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.3125)","(6.5, 15.0, 8.25)"
15-12-2022 14:03:30.790594,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.3, 4.671428571428572)","(3.9, 6.0, 5.292857142857143)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.3125)","(6.5, 15.0, 8.25)"
15-12-2022 14:03:31.898625,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.3, 4.671428571428572)","(3.9, 6.0, 5.321428571428571)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.3125)","(6.5, 15.0, 8.544444444444444)"
15-12-2022 14:03:33.026553,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.3, 4.671428571428572)","(3.9, 5.9, 5.321428571428571)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.3125)","(6.5, 14.5, 10.9)"
15-12-2022 14:03:34.151012,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.3, 4.671428571428572)","(3.9, 5.9, 5.321428571428571)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.3125)","(6.5, 14.0, 10.9)"
15-12-2022 14:03:35.343100,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.3, 4.8)","(3.9, 5.9, 5.081818181818182)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.3125)","(6.5, 14.0, 10.9)"
15-12-2022 14:03:36.404726,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.3, 4.8)","(3.9, 5.9, 5.081818181818182)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.3125)","(6.5, 14.0, 10.9)"
15-12-2022 14:03:37.555258,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.3, 4.8)","(3.9, 5.9, 5.257142857142857)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.3125)","(6.5, 14.0, 10.9)"
15-12-2022 14:03:38.766648,"(2.7, 2.96, 2.8155555555555556)","(3.8, 5.3, 4.8)","(3.9, 5.9, 5.321428571428571)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 15.25)","(6.5, 14.0, 10.9)"
15-12-2022 14:03:39.976113,"(2.7, 2.94, 2.7640000000000002)","(3.8, 5.3, 4.8)","(3.9, 5.9, 5.321428571428571)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 15.25)","(6.5, 14.0, 10.9)"
15-12-2022 14:03:41.170794,"(2.7, 2.92, 2.741904761904762)","(3.8, 5.3, 4.8)","(3.9, 5.9, 5.321428571428571)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 225.6)","(41.0, 370.0, 338.5)","(7.5, 16.5, 15.25)","(6.5, 14.0, 10.9)"
15-12-2022 14:03:42.241600,"(2.7, 2.92, 2.741904761904762)","(3.8, 5.3, 4.8)","(3.9, 5.9, 5.081818181818182)","(10.0, 22.0, 20.166666666666668)","(41.0, 270.0, 245.33333333333334)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.3125)","(6.5, 14.0, 12.7)"
15-12-2022 14:03:43.354477,"(2.7, 2.92, 2.7314285714285718)","(3.8, 5.3, 4.8)","(3.9, 5.9, 5.370588235294118)","(10.0, 22.0, 18.7)","(41.0, 270.0, 245.33333333333334)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.3125)","(6.5, 14.0, 8.064285714285715)"
15-12-2022 14:03:44.510612,"(2.7, 2.9, 2.7470588235294118)","(3.8, 5.2, 4.65)","(3.9, 5.9, 5.370588235294118)","(10.0, 22.0, 18.7)","(41.0, 270.0, 245.33333333333334)","(41.0, 370.0, 338.5)","(7.5, 16.5, 14.958333333333334)","(6.5, 11.5, 9.4)"
15-12-2022 14:03:45.721933,"(2.7, 2.9, 2.7615384615384615)","(3.8, 5.2, 4.65)","(3.9, 5.9, 5.370588235294118)","(10.0, 22.0, 18.7)","(41.0, 270.0, 245.33333333333334)","(41.0, 370.0, 338.5)","(7.5, 16.0, 14.958333333333334)","(6.5, 11.0, 10.68)"
