,Splash Some Cash,Run For Glory,Heir Of Tavistock,Tubby Two Tracks,Grinzinger Allee,Midnight Brawler,Metro Legend,Annika,Obi,Star Espresso,Enbarr,Fox Dor
07-01-2023 16:11:51.925371,"(20.0, 26.0, 25.95373665480427)","(21.0, 30.0, 30.45360824742268)","(6.5, 7.2, 7.081358885017422)","(13.0, 17.5, 17.389880952380953)","(41.0, 55.0, 53.798701298701296)","(81.0, 110.0, 108.84615384615384)","(3.4, 3.95, 3.9230125523012553)","(10.0, 12.0, 10.633879781420765)","(5.5, 5.9, 5.853028064992615)","(8.0, 9.0, 9.07710843373494)","(101.0, 200.0, 202.0)","(12.0, 14.5, 13.601293103448276)"
07-01-2023 16:11:53.467482,"(20.0, 27.0, 26.867346938775512)","(21.0, 32.0, 31.51818181818182)","(6.5, 7.2, 7.101199717713479)","(13.0, 17.5, 17.867272727272727)","(41.0, 55.0, 57.629629629629626)","(81.0, 110.0, 115.68181818181819)","(3.4, 3.95, 3.948669623059867)","(10.0, 11.0, 10.7875751503006)","(5.5, 5.9, 5.8806)","(8.0, 9.2, 9.168666666666667)","(101.0, 210.0, 206.0)","(12.0, 14.0, 13.65036231884058)"
07-01-2023 16:11:54.986762,"(20.0, 27.0, 26.884816753926703)","(21.0, 32.0, 30.935323383084576)","(6.5, 7.2, 7.322931442080378)","(13.0, 18.0, 17.85037878787879)","(41.0, 60.0, 57.629629629629626)","(81.0, 120.0, 115.81395348837209)","(3.4, 3.95, 3.942227074235808)","(10.0, 11.0, 10.77834008097166)","(5.5, 5.9, 5.881694560669456)","(8.0, 9.2, 9.147619047619047)","(101.0, 210.0, 206.0)","(12.0, 14.0, 13.66595744680851)"
07-01-2023 16:11:56.637566,"(20.0, 27.0, 26.884816753926703)","(21.0, 32.0, 30.935323383084576)","(6.5, 7.4, 7.322931442080378)","(13.0, 18.0, 17.85037878787879)","(41.0, 60.0, 57.629629629629626)","(81.0, 120.0, 115.81395348837209)","(3.4, 3.95, 3.942227074235808)","(10.0, 11.0, 10.77834008097166)","(5.5, 5.9, 5.881694560669456)","(8.0, 9.2, 9.154296160877513)","(101.0, 210.0, 206.31578947368422)","(12.0, 14.0, 13.604878048780488)"
07-01-2023 16:11:58.140913,"(20.0, 27.0, 26.883040935672515)","(21.0, 32.0, 30.696774193548386)","(6.5, 7.4, 7.324162679425838)","(13.0, 18.0, 17.867424242424242)","(41.0, 60.0, 57.73381294964029)","(81.0, 120.0, 115.81395348837209)","(3.5, 3.95, 3.941188524590164)","(10.0, 11.0, 10.673020527859238)","(5.5, 5.9, 5.897672253258846)","(8.0, 9.2, 9.15953307392996)","(101.0, 210.0, 196.0)","(12.0, 14.0, 13.188775510204081)"
07-01-2023 16:11:59.817667,"(20.0, 27.0, 26.883040935672515)","(21.0, 32.0, 30.076190476190476)","(6.5, 7.4, 7.346890424481738)","(13.0, 18.0, 17.828205128205127)","(41.0, 60.0, 57.17261904761905)","(81.0, 120.0, 129.83193277310926)","(3.5, 3.95, 3.9340801886792454)","(10.0, 11.0, 10.341784989858013)","(5.5, 5.9, 5.978216704288939)","(8.0, 9.2, 9.19275053304904)","(101.0, 200.0, 196.25)","(12.0, 13.5, 13.154784240150093)"
07-01-2023 16:12:01.362573,"(20.0, 27.0, 26.88622754491018)","(21.0, 32.0, 31.943396226415096)","(6.5, 7.4, 7.307976490344249)","(14.0, 18.0, 17.92603550295858)","(41.0, 60.0, 57.36363636363637)","(81.0, 130.0, 130.625)","(3.5, 3.95, 3.9357889733840303)","(10.0, 10.5, 10.33498023715415)","(5.5, 6.0, 5.964504504504505)","(8.0, 9.2, 9.357682619647356)","(101.0, 200.0, 185.0)","(12.0, 13.5, 13.092715231788079)"
07-01-2023 16:12:03.214679,"(20.0, 28.0, 27.841346153846153)","(21.0, 30.0, 29.893805309734514)","(6.5, 7.4, 7.307867132867133)","(14.0, 18.0, 17.8444976076555)","(41.0, 60.0, 57.17877094972067)","(81.0, 140.0, 135.8904109589041)","(3.5, 3.95, 3.940483870967742)","(10.0, 10.5, 10.349075975359343)","(5.5, 6.0, 5.956050955414013)","(8.0, 9.4, 9.357682619647356)","(101.0, 190.0, 181.25)","(12.0, 13.5, 13.109110169491526)"
07-01-2023 16:12:04.919900,"(20.0, 28.0, 27.96875)","(21.0, 30.0, 29.87878787878788)","(6.5, 7.4, 7.29983552631579)","(13.0, 18.0, 17.841145833333332)","(41.0, 60.0, 57.15469613259668)","(81.0, 140.0, 129.25)","(3.4, 3.95, 3.938734419942474)","(10.0, 10.5, 10.278301886792454)","(5.5, 6.0, 5.975862068965517)","(8.0, 9.4, 9.303135135135134)","(101.0, 190.0, 181.25)","(11.0, 13.5, 12.56769596199525)"
07-01-2023 16:12:06.900280,"(20.0, 28.0, 27.96875)","(21.0, 30.0, 29.87878787878788)","(6.5, 7.4, 7.302218570254725)","(13.0, 18.0, 18.640625)","(41.0, 60.0, 57.15469613259668)","(81.0, 130.0, 129.25)","(3.4, 3.95, 3.913826606875934)","(10.0, 10.5, 10.251091703056769)","(5.5, 6.0, 5.887818696883853)","(8.0, 9.4, 9.293935790725326)","(101.0, 190.0, 182.5)","(11.0, 13.0, 12.514778325123153)"
07-01-2023 16:12:08.740767,"(20.0, 28.0, 28.4527027027027)","(21.0, 30.0, 29.848484848484848)","(6.5, 7.4, 7.305686789151356)","(13.0, 19.0, 18.37121212121212)","(41.0, 60.0, 57.09424083769633)","(81.0, 130.0, 128.72340425531914)","(3.4, 3.95, 3.915024630541872)","(10.0, 10.5, 10.219491525423729)","(5.5, 5.9, 5.879509202453988)","(8.0, 9.4, 9.277894736842105)","(101.0, 190.0, 182.5)","(11.0, 13.0, 12.52450980392157)"
07-01-2023 16:12:10.418395,"(20.0, 29.0, 27.85925925925926)","(21.0, 30.0, 29.869565217391305)","(6.5, 7.4, 7.296445725264169)","(13.0, 18.5, 18.455555555555556)","(41.0, 60.0, 57.19895287958115)","(81.0, 130.0, 128.73684210526315)","(3.4, 3.95, 3.9163078579117334)","(10.0, 10.5, 10.197172619047619)","(5.5, 5.9, 5.877278250303767)","(8.0, 9.4, 9.27085020242915)","(101.0, 190.0, 182.5)","(11.0, 12.5, 12.458333333333334)"
07-01-2023 16:12:12.129116,"(20.0, 28.0, 27.748387096774195)","(21.0, 30.0, 29.609375)","(6.5, 7.4, 7.2956273764258555)","(13.0, 18.5, 18.408333333333335)","(41.0, 60.0, 57.29591836734694)","(81.0, 130.0, 128.88888888888889)","(3.4, 3.95, 3.9271058315334773)","(10.0, 10.5, 10.176305970149254)","(5.5, 5.9, 5.865452261306533)","(8.0, 9.4, 9.271161048689137)","(101.0, 190.0, 180.71428571428572)","(11.0, 12.5, 12.43040293040293)"
07-01-2023 16:12:13.752758,"(20.0, 28.0, 27.76073619631902)","(21.0, 30.0, 29.695121951219512)","(6.5, 7.4, 7.301964285714286)","(13.0, 18.5, 18.391304347826086)","(41.0, 60.0, 57.31707317073171)","(81.0, 130.0, 128.93617021276594)","(3.4, 3.95, 3.988546255506608)","(10.0, 10.5, 10.206030150753769)","(5.5, 5.9, 5.884318766066838)","(8.0, 9.4, 9.27790594498669)","(101.0, 190.0, 184.0909090909091)","(11.0, 12.5, 12.36188436830835)"
07-01-2023 16:12:15.421649,"(20.0, 28.0, 27.76073619631902)","(21.0, 30.0, 29.564102564102566)","(6.5, 7.4, 7.308670520231214)","(14.0, 18.5, 18.391304347826086)","(41.0, 60.0, 57.31707317073171)","(81.0, 130.0, 128.52941176470588)","(3.4, 4.0, 4.016624685138539)","(10.0, 10.5, 9.888636363636364)","(5.5, 5.9, 5.887350199733689)","(8.0, 9.4, 9.276215277777778)","(101.0, 190.0, 184.28571428571428)","(11.0, 12.5, 12.36021505376344)"
07-01-2023 16:12:16.970329,"(20.0, 28.0, 27.797202797202797)","(21.0, 30.0, 29.564102564102566)","(6.5, 7.4, 7.308670520231214)","(14.0, 18.5, 18.391304347826086)","(41.0, 60.0, 57.31707317073171)","(81.0, 130.0, 128.52941176470588)","(3.4, 4.1, 4.016624685138539)","(10.0, 10.0, 9.888636363636364)","(5.5, 5.9, 5.887350199733689)","(8.0, 9.4, 9.276215277777778)","(101.0, 190.0, 184.28571428571428)","(11.0, 12.5, 12.36021505376344)"
07-01-2023 16:12:18.516693,"(21.0, 28.0, 27.784172661870503)","(21.0, 30.0, 29.582417582417584)","(6.5, 7.4, 7.320976491862568)","(13.0, 18.5, 18.384057971014492)","(41.0, 60.0, 57.25)","(81.0, 130.0, 128.52941176470588)","(3.4, 4.1, 4.022110552763819)","(10.0, 9.6, 9.51015625)","(5.5, 5.9, 5.885311572700297)","(8.0, 9.4, 9.274087591240876)","(101.0, 190.0, 185.0)","(11.0, 12.5, 12.54367816091954)"
07-01-2023 16:12:19.995230,"(21.0, 28.0, 27.68553459119497)","(21.0, 30.0, 29.582417582417584)","(6.5, 7.4, 7.320976491862568)","(13.0, 18.5, 18.384057971014492)","(41.0, 60.0, 57.25)","(81.0, 130.0, 128.52941176470588)","(3.4, 4.1, 4.022110552763819)","(10.0, 9.6, 9.51015625)","(5.5, 5.9, 5.885311572700297)","(8.0, 9.4, 9.274087591240876)","(101.0, 190.0, 185.0)","(11.0, 13.0, 12.54367816091954)"
07-01-2023 16:12:21.665954,"(21.0, 28.0, 27.702380952380953)","(21.0, 30.0, 29.84931506849315)","(6.5, 7.4, 7.324784853700517)","(13.0, 18.5, 17.44392523364486)","(41.0, 60.0, 57.4869109947644)","(81.0, 130.0, 128.59154929577466)","(3.4, 4.1, 4.041713747645951)","(10.0, 9.6, 9.533766233766233)","(5.5, 5.9, 5.89215976331361)","(8.0, 9.4, 9.28103448275862)","(101.0, 190.0, 187.14285714285714)","(11.0, 13.0, 12.561269146608316)"
07-01-2023 16:12:23.239118,"(21.0, 28.0, 27.702380952380953)","(21.0, 30.0, 30.35820895522388)","(6.5, 7.4, 7.312082670906201)","(13.0, 17.5, 17.388392857142858)","(41.0, 60.0, 57.51322751322751)","(81.0, 130.0, 128.59154929577466)","(3.4, 4.1, 4.054490291262136)","(10.0, 9.6, 9.512865497076023)","(5.5, 5.9, 5.89629057187017)","(8.0, 9.4, 9.27329650092081)","(101.0, 190.0, 187.14285714285714)","(11.0, 13.0, 12.561269146608316)"
07-01-2023 16:12:24.871885,"(21.0, 28.0, 27.702380952380953)","(21.0, 32.0, 30.294573643410853)","(6.5, 7.4, 7.3044079515989635)","(13.0, 17.5, 17.453125)","(41.0, 60.0, 57.51322751322751)","(81.0, 130.0, 128.59154929577466)","(3.4, 4.1, 4.0518613607188705)","(10.0, 9.6, 9.564312267657993)","(5.5, 5.9, 5.902051282051282)","(8.0, 9.4, 9.151401869158878)","(101.0, 190.0, 185.55555555555554)","(11.0, 13.0, 12.55340909090909)"
07-01-2023 16:12:26.428915,"(21.0, 28.0, 27.68354430379747)","(21.0, 32.0, 30.571428571428573)","(6.5, 7.4, 7.303490401396161)","(13.0, 17.5, 17.453125)","(41.0, 60.0, 57.51322751322751)","(81.0, 130.0, 128.71428571428572)","(3.4, 4.1, 4.097994987468671)","(10.0, 9.6, 9.578600823045267)","(5.5, 6.0, 5.923611111111111)","(8.0, 9.2, 9.169672131147541)","(101.0, 190.0, 185.55555555555554)","(11.0, 13.0, 12.4780292942743)"
07-01-2023 16:12:28.024378,"(21.0, 28.0, 27.685185185185183)","(21.0, 32.0, 30.585987261146496)","(6.5, 7.4, 7.302037201062888)","(13.0, 17.5, 17.352941176470587)","(41.0, 60.0, 57.526315789473685)","(81.0, 130.0, 128.9041095890411)","(3.4, 4.1, 4.085714285714285)","(10.0, 9.6, 9.667741935483871)","(5.5, 6.0, 5.91593625498008)","(8.0, 9.2, 9.14251497005988)","(101.0, 190.0, 185.78947368421052)","(11.0, 13.0, 12.511789181692095)"
07-01-2023 16:12:29.659478,"(21.0, 28.0, 27.69277108433735)","(21.0, 32.0, 30.458333333333332)","(6.5, 7.4, 7.171263035921205)","(13.0, 17.5, 17.25)","(41.0, 60.0, 57.5)","(81.0, 130.0, 128.9189189189189)","(3.4, 4.1, 3.9942465753424656)","(10.0, 9.8, 9.675247524752475)","(5.5, 6.0, 6.22433234421365)","(8.0, 9.2, 8.951392405063292)","(101.0, 190.0, 185.78947368421052)","(11.0, 13.0, 12.646103896103897)"
07-01-2023 16:12:31.143781,"(21.0, 28.0, 27.69277108433735)","(21.0, 32.0, 30.54901960784314)","(6.5, 7.2, 7.1642222222222225)","(13.0, 17.5, 17.324742268041238)","(41.0, 60.0, 57.552083333333336)","(81.0, 130.0, 129.29577464788733)","(3.4, 4.0, 4.0018518518518515)","(10.0, 9.8, 9.691961414790997)","(5.5, 6.4, 6.258293838862559)","(8.0, 9.0, 8.972093023255814)","(101.0, 190.0, 185.78947368421052)","(11.0, 13.0, 12.694230769230769)"
07-01-2023 16:12:32.957354,"(21.0, 28.0, 27.686746987951807)","(21.0, 32.0, 30.54901960784314)","(6.5, 7.2, 7.169824561403509)","(13.0, 17.5, 17.387254901960784)","(41.0, 60.0, 57.47422680412371)","(81.0, 130.0, 129.29577464788733)","(3.4, 4.1, 4.050113378684807)","(10.0, 9.8, 9.541481481481481)","(5.5, 6.4, 6.266219239373602)","(8.0, 9.0, 8.972093023255814)","(101.0, 190.0, 185.78947368421052)","(11.0, 13.0, 12.694230769230769)"
07-01-2023 16:12:34.566568,"(21.0, 28.0, 27.694117647058825)","(21.0, 32.0, 30.576923076923077)","(6.5, 7.2, 7.158185840707965)","(13.0, 17.5, 17.4438202247191)","(41.0, 60.0, 57.552083333333336)","(81.0, 130.0, 129.24242424242425)","(3.4, 4.1, 4.081917808219178)","(10.0, 9.6, 9.529411764705882)","(5.5, 6.4, 6.191372549019608)","(8.0, 9.2, 9.092233009708737)","(101.0, 190.0, 186.0)","(11.0, 13.0, 12.741525423728813)"
07-01-2023 16:12:36.106749,"(21.0, 28.0, 27.907692307692308)","(21.0, 32.0, 30.489795918367346)","(6.5, 7.2, 7.157413600891862)","(13.0, 17.5, 17.359550561797754)","(41.0, 60.0, 57.552083333333336)","(81.0, 130.0, 129.23076923076923)","(3.4, 4.1, 4.058864027538726)","(10.0, 9.6, 9.597701149425287)","(5.5, 6.2, 6.256167979002625)","(8.0, 9.2, 9.08110599078341)","(101.0, 190.0, 197.74193548387098)","(11.0, 13.0, 12.792307692307693)"
07-01-2023 16:12:37.516630,"(21.0, 27.0, 26.675675675675677)","(21.0, 32.0, 30.489795918367346)","(6.5, 7.2, 7.157743362831859)","(13.0, 17.5, 17.4438202247191)","(41.0, 60.0, 57.552083333333336)","(81.0, 130.0, 129.15254237288136)","(3.4, 4.1, 4.058864027538726)","(10.0, 9.6, 9.640845070422536)","(5.5, 6.4, 6.163492063492064)","(8.0, 9.2, 9.08)","(101.0, 230.0, 197.74193548387098)","(11.0, 13.0, 12.638392857142858)"
07-01-2023 16:12:39.025805,"(21.0, 27.0, 26.82456140350877)","(21.0, 32.0, 30.59493670886076)","(6.5, 7.2, 7.166835443037975)","(13.0, 17.5, 17.44736842105263)","(41.0, 60.0, 57.56410256410256)","(81.0, 130.0, 129.16666666666666)","(3.4, 4.1, 4.06524064171123)","(10.0, 9.8, 9.646258503401361)","(5.5, 6.2, 6.167684021543986)","(8.0, 9.2, 9.082460136674259)","(101.0, 230.0, 198.75)","(11.0, 13.0, 12.835164835164836)"
07-01-2023 16:12:40.532964,"(21.0, 27.0, 26.83606557377049)","(21.0, 32.0, 30.62111801242236)","(6.5, 7.2, 7.166835443037975)","(13.0, 17.5, 17.45145631067961)","(41.0, 60.0, 57.588832487309645)","(81.0, 130.0, 129.19354838709677)","(3.4, 4.1, 4.106021505376344)","(10.0, 9.8, 9.659036144578312)","(5.5, 6.2, 6.029385307346327)","(8.0, 9.2, 9.024793388429751)","(101.0, 230.0, 191.53846153846155)","(11.0, 13.0, 12.87719298245614)"
07-01-2023 16:12:42.213425,"(21.0, 27.0, 26.848484848484848)","(21.0, 32.0, 30.679012345679013)","(6.5, 7.2, 7.168199737187911)","(13.0, 17.5, 17.365591397849464)","(41.0, 60.0, 57.588832487309645)","(81.0, 130.0, 129.19354838709677)","(3.4, 4.2, 4.078054862842892)","(10.0, 9.8, 9.635211267605634)","(5.5, 6.2, 6.084049079754601)","(8.0, 9.2, 9.110169491525424)","(101.0, 230.0, 191.53846153846155)","(11.0, 13.0, 12.922535211267606)"
07-01-2023 16:12:43.763734,"(21.0, 27.0, 26.848484848484848)","(21.0, 32.0, 30.576923076923077)","(6.5, 7.2, 7.169900497512438)","(13.0, 17.5, 17.36263736263736)","(41.0, 60.0, 57.588832487309645)","(81.0, 130.0, 129.19354838709677)","(3.4, 4.1, 4.055398230088495)","(10.0, 9.8, 9.637623762376238)","(5.5, 6.2, 6.111528150134048)","(8.0, 9.2, 9.111607142857142)","(101.0, 230.0, 197.94871794871796)","(11.0, 13.0, 12.923444976076555)"
07-01-2023 16:12:45.544411,"(21.0, 27.0, 26.841269841269842)","(21.0, 32.0, 30.592105263157894)","(6.5, 7.2, 7.169900497512438)","(13.0, 17.5, 17.36263736263736)","(41.0, 60.0, 57.588832487309645)","(81.0, 130.0, 129.19354838709677)","(3.4, 4.1, 4.0543402777777775)","(10.0, 9.8, 9.542408376963351)","(5.5, 6.2, 6.105027932960894)","(8.0, 9.2, 9.10958904109589)","(101.0, 230.0, 197.94871794871796)","(11.0, 13.5, 13.137640449438202)"
07-01-2023 16:12:47.171561,"(21.0, 27.0, 26.845070422535212)","(21.0, 32.0, 30.61038961038961)","(6.5, 7.2, 7.178715919085312)","(13.0, 17.5, 17.369791666666668)","(41.0, 60.0, 57.61306532663317)","(81.0, 130.0, 129.19354838709677)","(3.4, 4.1, 4.065330661322645)","(10.0, 9.6, 9.541463414634146)","(5.5, 6.2, 6.103682719546742)","(8.0, 9.2, 9.110377358490565)","(101.0, 230.0, 193.23529411764707)","(11.0, 13.0, 12.825187969924812)"
07-01-2023 16:12:48.913882,"(21.0, 27.0, 26.84285714285714)","(21.0, 32.0, 30.636942675159236)","(6.5, 7.2, 7.185114503816794)","(13.0, 17.5, 17.349397590361445)","(41.0, 60.0, 57.63681592039801)","(81.0, 130.0, 129.20634920634922)","(3.4, 4.1, 4.06440329218107)","(10.0, 9.6, 9.523694779116466)","(5.5, 6.2, 6.141398865784499)","(8.0, 9.2, 9.111627906976743)","(101.0, 230.0, 194.28571428571428)","(11.0, 13.0, 12.827137546468402)"
