,Nimue,Magic Zimba,Woodside Gracie,Hayride Parker,Brodhurst,Saint Frawley
11-01-2023 11:08:08.162155,"(1.85, 2.18, 2.1553846153846155)","(12.0, 19.0, 18.52)","(2.15, 2.42, 2.4185185185185185)","(14.0, 24.0, 23.333333333333332)","(21.0, 100.0, 95.0)","(41.0, 90.0, 83.33333333333334)"
11-01-2023 11:08:09.346438,"(1.85, 2.18, 2.152)","(12.0, 19.0, 18.52)","(2.15, 2.42, 2.404166666666667)","(14.0, 24.0, 23.333333333333332)","(21.0, 100.0, 95.0)","(41.0, 90.0, 70.0)"
11-01-2023 11:08:10.439514,"(1.85, 2.18, 2.159047619047619)","(12.0, 19.0, 18.52)","(2.1, 2.42, 2.4159574468085108)","(15.0, 24.0, 23.333333333333332)","(21.0, 100.0, 95.0)","(31.0, 90.0, 70.0)"
11-01-2023 11:08:11.377993,"(1.85, 2.18, 2.148)","(12.0, 19.0, 18.52)","(2.1, 2.42, 2.4159574468085108)","(15.0, 24.0, 23.333333333333332)","(21.0, 100.0, 95.0)","(31.0, 90.0, 70.0)"
11-01-2023 11:08:12.322955,"(1.85, 2.18, 2.1492307692307695)","(12.0, 19.0, 18.52)","(2.1, 2.4, 2.3995238095238096)","(15.0, 24.0, 23.333333333333332)","(21.0, 100.0, 95.0)","(31.0, 90.0, 70.0)"
11-01-2023 11:08:13.285249,"(1.85, 2.16, 2.142105263157895)","(12.0, 19.0, 18.52)","(2.1, 2.42, 2.4111764705882353)","(15.0, 24.0, 23.333333333333332)","(21.0, 100.0, 95.0)","(31.0, 90.0, 70.0)"
11-01-2023 11:08:14.267163,"(1.85, 2.18, 2.162105263157895)","(12.0, 19.0, 18.52)","(2.1, 2.42, 2.4123076923076923)","(15.0, 24.0, 23.333333333333332)","(21.0, 100.0, 85.71428571428571)","(31.0, 90.0, 70.0)"
11-01-2023 11:08:15.230502,"(1.85, 2.18, 2.1515789473684213)","(12.0, 19.0, 18.52)","(2.1, 2.42, 2.4123076923076923)","(15.0, 24.0, 23.333333333333332)","(21.0, 100.0, 87.5)","(31.0, 90.0, 70.0)"
11-01-2023 11:08:16.193153,"(1.85, 2.18, 2.151891891891892)","(12.0, 19.0, 18.52)","(2.1, 2.42, 2.4141176470588235)","(15.0, 24.0, 23.333333333333332)","(21.0, 100.0, 87.5)","(31.0, 90.0, 70.0)"
11-01-2023 11:08:17.088106,"(1.85, 2.18, 2.1522222222222225)","(12.0, 19.0, 18.52)","(2.1, 2.42, 2.4141176470588235)","(15.0, 24.0, 23.333333333333332)","(21.0, 100.0, 87.5)","(31.0, 90.0, 70.0)"
11-01-2023 11:08:17.957963,"(1.85, 2.14, 2.1354545454545457)","(12.0, 19.5, 19.0)","(2.1, 2.42, 2.417333333333333)","(15.0, 24.0, 23.36)","(21.0, 100.0, 97.14285714285714)","(31.0, 90.0, 88.21428571428572)"
11-01-2023 11:08:18.869707,"(1.9, 2.16, 2.131875)","(13.0, 21.0, 19.133333333333333)","(2.15, 2.42, 2.4180571428571427)","(16.0, 24.0, 23.306122448979593)","(26.0, 100.0, 95.0)","(41.0, 90.0, 88.21428571428572)"
11-01-2023 11:08:19.866222,"(1.9, 2.16, 2.13)","(13.0, 21.0, 19.153846153846153)","(2.15, 2.42, 2.418624641833811)","(16.0, 24.0, 23.32)","(26.0, 100.0, 95.0)","(41.0, 90.0, 88.21428571428572)"
11-01-2023 11:08:20.850538,"(1.9, 2.16, 2.146857142857143)","(13.0, 21.0, 19.153846153846153)","(2.15, 2.42, 2.418624641833811)","(16.0, 24.0, 23.32)","(26.0, 100.0, 95.0)","(41.0, 90.0, 88.4375)"
11-01-2023 11:08:21.877677,"(1.9, 2.18, 2.166666666666667)","(13.0, 21.0, 19.153846153846153)","(2.15, 2.4, 2.3874999999999997)","(16.0, 24.0, 23.32)","(26.0, 100.0, 87.5)","(41.0, 90.0, 88.4375)"
11-01-2023 11:08:22.857342,"(1.9, 2.2, 2.186896551724138)","(13.0, 21.0, 19.153846153846153)","(2.15, 2.32, 2.318260869565217)","(16.0, 24.0, 23.32)","(26.0, 100.0, 87.5)","(41.0, 90.0, 88.4375)"
11-01-2023 11:08:23.822874,"(1.9, 2.2, 2.184)","(13.0, 21.0, 19.153846153846153)","(2.15, 2.34, 2.3288524590163933)","(16.0, 24.0, 23.32)","(26.0, 100.0, 90.0)","(41.0, 90.0, 88.4375)"
11-01-2023 11:08:24.654790,"(1.9, 2.2, 2.184166666666667)","(13.0, 21.0, 19.153846153846153)","(2.15, 2.34, 2.3288524590163933)","(16.0, 24.0, 23.32)","(31.0, 100.0, 90.0)","(41.0, 90.0, 88.4375)"
11-01-2023 11:08:25.592078,"(1.9, 2.2, 2.1900000000000004)","(13.0, 21.0, 19.153846153846153)","(2.15, 2.34, 2.3271698113207546)","(16.0, 24.0, 23.32)","(31.0, 110.0, 93.33333333333333)","(41.0, 90.0, 88.4375)"
11-01-2023 11:08:26.535703,"(1.9, 2.2, 2.186666666666667)","(13.0, 21.0, 19.153846153846153)","(2.15, 2.34, 2.3258823529411763)","(16.0, 24.0, 23.333333333333332)","(31.0, 110.0, 99.28571428571429)","(41.0, 90.0, 88.4375)"
11-01-2023 11:08:27.505758,"(1.9, 2.2, 2.195744680851064)","(13.0, 21.0, 19.153846153846153)","(2.15, 2.34, 2.325230769230769)","(16.0, 24.0, 23.333333333333332)","(31.0, 110.0, 99.28571428571429)","(41.0, 90.0, 88.4375)"
11-01-2023 11:08:28.472735,"(1.9, 2.2, 2.1923076923076925)","(13.0, 21.0, 19.125)","(2.15, 2.34, 2.3258823529411763)","(16.0, 24.0, 23.333333333333332)","(31.0, 110.0, 99.28571428571429)","(41.0, 90.0, 88.4375)"
11-01-2023 11:08:29.396397,"(1.9, 2.22, 2.206666666666667)","(13.0, 20.0, 19.7)","(2.15, 2.34, 2.324262295081967)","(16.0, 24.0, 23.333333333333332)","(31.0, 110.0, 99.28571428571429)","(41.0, 90.0, 88.4375)"
11-01-2023 11:08:30.316040,"(1.9, 2.22, 2.205918367346939)","(13.0, 20.0, 19.7)","(2.15, 2.34, 2.324262295081967)","(16.0, 24.0, 23.333333333333332)","(31.0, 110.0, 99.28571428571429)","(41.0, 90.0, 88.4375)"
11-01-2023 11:08:31.239803,"(1.9, 2.22, 2.206666666666667)","(13.0, 20.0, 19.7)","(2.15, 2.34, 2.325230769230769)","(16.0, 24.0, 23.333333333333332)","(31.0, 110.0, 99.28571428571429)","(41.0, 100.0, 97.5)"
11-01-2023 11:08:32.232438,"(1.9, 2.22, 2.211724137931035)","(13.0, 20.0, 19.7)","(2.15, 2.34, 2.321016949152542)","(16.0, 24.0, 23.333333333333332)","(31.0, 110.0, 99.28571428571429)","(41.0, 100.0, 88.90625)"
11-01-2023 11:08:33.238516,"(1.9, 2.22, 2.21)","(13.0, 18.0, 17.615384615384617)","(2.15, 2.34, 2.3234285714285714)","(16.0, 24.0, 23.36)","(31.0, 110.0, 99.28571428571429)","(41.0, 90.0, 81.53846153846155)"
11-01-2023 11:08:34.204957,"(1.9, 2.2, 2.1950000000000003)","(13.0, 21.0, 18.96875)","(2.15, 2.34, 2.32258064516129)","(16.0, 24.0, 23.38095238095238)","(31.0, 110.0, 99.28571428571429)","(41.0, 100.0, 88.0)"
11-01-2023 11:08:35.269280,"(1.9, 2.2, 2.1950000000000003)","(13.0, 21.0, 18.96875)","(2.15, 2.34, 2.3208955223880596)","(16.0, 24.0, 23.52)","(31.0, 110.0, 100.38461538461539)","(41.0, 90.0, 88.0)"
11-01-2023 11:08:36.313324,"(1.9, 2.22, 2.185714285714286)","(13.0, 21.0, 19.0)","(2.15, 2.34, 2.298260869565217)","(16.0, 27.0, 26.0)","(31.0, 110.0, 100.38461538461539)","(41.0, 90.0, 88.0)"
11-01-2023 11:08:37.260188,"(1.9, 2.22, 2.197931034482759)","(13.0, 20.0, 19.5)","(2.15, 2.34, 2.3175)","(16.0, 26.0, 24.857142857142858)","(31.0, 110.0, 98.46153846153847)","(41.0, 90.0, 88.0)"
11-01-2023 11:08:38.212906,"(1.9, 2.2, 2.1900000000000004)","(13.0, 20.0, 19.625)","(2.15, 2.34, 2.3277777777777775)","(16.0, 27.0, 24.529411764705884)","(31.0, 110.0, 98.46153846153847)","(41.0, 90.0, 88.0)"
11-01-2023 11:08:39.069735,"(1.9, 2.2, 2.195294117647059)","(13.0, 20.0, 19.77777777777778)","(2.15, 2.34, 2.326363636363636)","(16.0, 27.0, 24.2)","(31.0, 110.0, 98.46153846153847)","(41.0, 90.0, 88.0)"
11-01-2023 11:08:39.990773,"(1.9, 2.2, 2.197241379310345)","(13.0, 20.0, 19.81818181818182)","(2.15, 2.34, 2.326363636363636)","(16.0, 27.0, 24.2)","(31.0, 110.0, 99.28571428571429)","(41.0, 90.0, 78.26086956521739)"
11-01-2023 11:08:40.914362,"(1.9, 2.22, 2.211666666666667)","(13.0, 20.0, 19.81818181818182)","(2.15, 2.34, 2.326363636363636)","(16.0, 27.0, 24.166666666666668)","(31.0, 110.0, 100.38461538461539)","(41.0, 90.0, 78.26086956521739)"
11-01-2023 11:08:41.832083,"(1.9, 2.22, 2.216603773584906)","(13.0, 19.5, 19.363636363636363)","(2.15, 2.34, 2.318260869565217)","(16.0, 27.0, 24.166666666666668)","(31.0, 110.0, 100.38461538461539)","(41.0, 90.0, 78.26086956521739)"
11-01-2023 11:08:42.773516,"(1.9, 2.22, 2.218723404255319)","(13.0, 19.5, 19.40625)","(2.15, 2.34, 2.3204878048780486)","(16.0, 27.0, 24.166666666666668)","(31.0, 110.0, 100.38461538461539)","(41.0, 90.0, 78.26086956521739)"
11-01-2023 11:08:43.743405,"(1.9, 2.22, 2.216923076923077)","(13.0, 19.5, 19.40625)","(2.15, 2.34, 2.3227027027027027)","(16.0, 27.0, 24.166666666666668)","(31.0, 110.0, 100.38461538461539)","(41.0, 90.0, 78.26086956521739)"
11-01-2023 11:08:44.664097,"(1.9, 2.22, 2.218723404255319)","(13.0, 19.5, 19.40625)","(2.15, 2.34, 2.3227027027027027)","(16.0, 27.0, 25.657894736842106)","(31.0, 110.0, 100.38461538461539)","(41.0, 90.0, 78.75)"
11-01-2023 11:08:45.579965,"(1.9, 2.22, 2.214426229508197)","(13.0, 19.5, 19.40625)","(2.15, 2.34, 2.3186666666666667)","(16.0, 27.0, 25.81818181818182)","(31.0, 110.0, 100.38461538461539)","(41.0, 90.0, 78.75)"
11-01-2023 11:08:46.547005,"(1.9, 2.22, 2.214426229508197)","(13.0, 19.5, 19.40625)","(2.05, 2.34, 2.3055629139072846)","(16.0, 27.0, 25.657894736842106)","(31.0, 110.0, 100.38461538461539)","(41.0, 90.0, 78.75)"
11-01-2023 11:08:47.673538,"(1.9, 2.22, 2.21375)","(13.0, 19.5, 19.40625)","(2.05, 2.34, 2.3058741258741255)","(16.0, 27.0, 25.75609756097561)","(31.0, 110.0, 100.38461538461539)","(41.0, 90.0, 67.5)"
11-01-2023 11:08:48.687639,"(1.9, 2.22, 2.2133333333333334)","(13.0, 19.5, 19.4)","(2.05, 2.34, 2.3058741258741255)","(16.0, 27.0, 25.75609756097561)","(31.0, 110.0, 100.38461538461539)","(41.0, 90.0, 77.5)"
11-01-2023 11:08:49.626145,"(1.9, 2.22, 2.2156363636363636)","(13.0, 19.5, 19.4)","(2.05, 2.32, 2.313548387096774)","(16.0, 27.0, 25.75609756097561)","(31.0, 110.0, 100.38461538461539)","(41.0, 90.0, 83.57142857142857)"
11-01-2023 11:08:50.541767,"(1.9, 2.22, 2.2156363636363636)","(13.0, 19.5, 19.4)","(2.05, 2.32, 2.316875)","(16.0, 27.0, 25.75609756097561)","(31.0, 110.0, 100.38461538461539)","(41.0, 85.0, 83.57142857142857)"
11-01-2023 11:08:51.554881,"(1.9, 2.22, 2.2156363636363636)","(13.0, 19.5, 19.4)","(2.05, 2.32, 2.3072483221476507)","(16.0, 27.0, 25.75609756097561)","(31.0, 110.0, 100.38461538461539)","(41.0, 85.0, 83.57142857142857)"
11-01-2023 11:08:52.514682,"(1.9, 2.22, 2.2191111111111113)","(13.0, 19.5, 19.4)","(2.05, 2.34, 2.3072483221476507)","(16.0, 27.0, 25.75609756097561)","(31.0, 110.0, 100.38461538461539)","(41.0, 85.0, 83.57142857142857)"
11-01-2023 11:08:53.515417,"(1.9, 2.22, 2.217916666666667)","(13.0, 19.5, 19.4)","(2.05, 2.34, 2.3072483221476507)","(16.0, 27.0, 25.75609756097561)","(31.0, 110.0, 100.38461538461539)","(41.0, 85.0, 83.57142857142857)"
11-01-2023 11:08:54.521017,"(1.9, 2.24, 2.230714285714286)","(13.0, 19.5, 19.4)","(2.05, 2.34, 2.3072483221476507)","(16.0, 27.0, 25.75609756097561)","(31.0, 110.0, 100.38461538461539)","(41.0, 85.0, 83.57142857142857)"
11-01-2023 11:08:55.471006,"(1.9, 2.24, 2.2270588235294118)","(13.0, 19.5, 19.4)","(2.05, 2.34, 2.304892086330935)","(16.0, 27.0, 25.75609756097561)","(31.0, 110.0, 100.38461538461539)","(41.0, 85.0, 83.57142857142857)"
11-01-2023 11:08:56.407771,"(1.9, 2.22, 2.217692307692308)","(13.0, 19.5, 19.4)","(2.05, 2.34, 2.3033082706766916)","(16.0, 27.0, 25.75609756097561)","(31.0, 110.0, 100.38461538461539)","(41.0, 85.0, 83.57142857142857)"
11-01-2023 11:08:57.424516,"(1.9, 2.24, 2.2281081081081084)","(13.0, 19.5, 19.4)","(2.05, 2.34, 2.3095121951219513)","(16.0, 27.0, 25.725)","(31.0, 110.0, 96.11111111111111)","(41.0, 85.0, 81.0)"
11-01-2023 11:08:58.562555,"(1.9, 2.24, 2.2281081081081084)","(13.0, 19.5, 19.4)","(2.05, 2.34, 2.309325153374233)","(16.0, 27.0, 25.725)","(31.0, 110.0, 96.11111111111111)","(41.0, 85.0, 83.0)"
11-01-2023 11:08:59.568523,"(1.9, 2.24, 2.226666666666667)","(13.0, 19.5, 19.4)","(2.05, 2.34, 2.309325153374233)","(16.0, 27.0, 25.725)","(31.0, 110.0, 96.11111111111111)","(41.0, 85.0, 83.0)"
11-01-2023 11:09:00.518367,"(1.9, 2.22, 2.2162962962962967)","(13.0, 19.5, 19.42105263157895)","(2.05, 2.34, 2.309325153374233)","(16.0, 27.0, 25.725)","(31.0, 110.0, 96.11111111111111)","(41.0, 85.0, 81.0)"
11-01-2023 11:09:01.431816,"(1.9, 2.22, 2.21375)","(13.0, 19.0, 18.94736842105263)","(2.05, 2.38, 2.364)","(16.0, 26.0, 25.916666666666668)","(31.0, 110.0, 99.58333333333333)","(41.0, 85.0, 69.0)"
11-01-2023 11:09:02.562931,"(1.9, 2.2, 2.1964285714285716)","(13.0, 19.0, 18.90909090909091)","(2.05, 2.38, 2.375151515151515)","(16.0, 26.0, 25.18918918918919)","(31.0, 110.0, 101.66666666666667)","(41.0, 90.0, 82.5)"
11-01-2023 11:09:03.602563,"(1.9, 2.2, 2.1894444444444447)","(13.0, 18.5, 18.25)","(2.05, 2.38, 2.374901960784314)","(16.0, 26.0, 22.2)","(31.0, 110.0, 99.58333333333333)","(41.0, 90.0, 83.86363636363637)"
11-01-2023 11:09:04.616003,"(1.9, 2.2, 2.1893333333333334)","(13.0, 19.5, 19.4)","(2.05, 2.38, 2.374901960784314)","(16.0, 23.0, 22.2)","(31.0, 110.0, 99.58333333333333)","(41.0, 85.0, 83.86363636363637)"
11-01-2023 11:09:05.652470,"(1.9, 2.2, 2.198666666666667)","(13.0, 19.5, 19.416666666666668)","(2.05, 2.4, 2.3825531914893614)","(16.0, 21.0, 20.714285714285715)","(31.0, 110.0, 80.9375)","(41.0, 85.0, 84.21875)"
11-01-2023 11:09:06.602983,"(1.9, 2.22, 2.2)","(13.0, 19.5, 19.416666666666668)","(2.05, 2.4, 2.3909090909090907)","(16.0, 21.0, 20.25)","(31.0, 85.0, 83.125)","(41.0, 85.0, 84.21875)"
11-01-2023 11:09:08.274151,"(1.9, 2.22, 2.1953846153846155)","(13.0, 19.5, 19.416666666666668)","(2.05, 2.4, 2.3855999999999997)","(16.0, 21.0, 19.928571428571427)","(31.0, 85.0, 82.4)","(41.0, 85.0, 84.21875)"
11-01-2023 11:09:09.289602,"(1.9, 2.22, 2.204615384615385)","(13.0, 19.5, 19.416666666666668)","(2.05, 2.4, 2.3855999999999997)","(16.0, 21.0, 20.09090909090909)","(31.0, 95.0, 82.4074074074074)","(41.0, 85.0, 84.21875)"
11-01-2023 11:09:10.185084,"(1.9, 2.22, 2.2082608695652177)","(13.0, 20.0, 19.9)","(2.05, 2.4, 2.3786046511627905)","(16.0, 21.0, 20.09090909090909)","(31.0, 95.0, 90.38461538461539)","(41.0, 85.0, 84.10714285714286)"
11-01-2023 11:09:11.115899,"(1.9, 2.22, 2.1976744186046515)","(13.0, 20.0, 19.92105263157895)","(2.05, 2.4, 2.3828571428571426)","(16.0, 21.0, 19.59375)","(31.0, 90.0, 83.07692307692308)","(41.0, 85.0, 84.07407407407408)"
11-01-2023 11:09:12.140876,"(1.9, 2.22, 2.2010989010989013)","(13.0, 20.0, 19.9375)","(2.05, 2.4, 2.3979310344827587)","(16.0, 21.0, 19.652173913043477)","(31.0, 90.0, 88.125)","(41.0, 85.0, 82.5)"
11-01-2023 11:09:13.146859,"(1.9, 2.22, 2.2010989010989013)","(13.0, 20.0, 19.925)","(2.05, 2.42, 2.399259259259259)","(16.0, 20.0, 19.652173913043477)","(31.0, 90.0, 86.05263157894737)","(41.0, 85.0, 82.5)"
11-01-2023 11:09:14.147757,"(1.95, 2.22, 2.20021052631579)","(14.0, 20.0, 19.925)","(2.1, 2.42, 2.4078260869565216)","(16.0, 20.0, 19.652173913043477)","(31.0, 90.0, 88.0)","(41.0, 85.0, 82.5)"
11-01-2023 11:09:15.176308,"(1.95, 2.22, 2.20021052631579)","(14.0, 20.0, 19.9)","(2.1, 2.42, 2.4078260869565216)","(16.0, 20.0, 19.9375)","(31.0, 90.0, 84.44444444444444)","(41.0, 85.0, 82.5)"
11-01-2023 11:09:16.313098,"(1.95, 2.2, 2.185)","(14.0, 20.0, 19.9)","(2.1, 2.42, 2.417391304347826)","(16.0, 20.0, 19.923076923076923)","(31.0, 90.0, 85.0)","(41.0, 85.0, 75.0)"
11-01-2023 11:09:17.311149,"(1.95, 2.2, 2.191764705882353)","(14.0, 20.0, 19.9)","(2.1, 2.42, 2.417391304347826)","(16.0, 20.0, 19.8)","(31.0, 90.0, 86.66666666666667)","(41.0, 85.0, 75.0)"
11-01-2023 11:09:18.246008,"(1.95, 2.2, 2.184)","(14.0, 20.0, 19.90909090909091)","(2.1, 2.42, 2.4106060606060606)","(16.0, 20.0, 19.52173913043478)","(31.0, 90.0, 83.75)","(41.0, 85.0, 75.0)"
11-01-2023 11:09:19.137742,"(1.95, 2.2, 2.184)","(14.0, 20.0, 19.90909090909091)","(2.1, 2.42, 2.410126582278481)","(16.0, 20.0, 19.153846153846153)","(31.0, 90.0, 86.0)","(41.0, 85.0, 75.0)"
11-01-2023 11:09:20.059503,"(1.95, 2.2, 2.184)","(14.0, 20.0, 19.90909090909091)","(2.1, 2.42, 2.410126582278481)","(16.0, 20.0, 19.38888888888889)","(31.0, 90.0, 83.75)","(41.0, 85.0, 75.0)"
11-01-2023 11:09:21.079235,"(1.95, 2.2, 2.184)","(14.0, 20.0, 19.90909090909091)","(2.1, 2.42, 2.413333333333333)","(16.0, 20.0, 19.23076923076923)","(31.0, 90.0, 86.0)","(41.0, 85.0, 75.0)"
11-01-2023 11:09:22.054810,"(1.95, 2.2, 2.1841025641025644)","(14.0, 20.0, 19.9)","(2.1, 2.42, 2.413333333333333)","(16.0, 20.0, 19.444444444444443)","(31.0, 90.0, 86.0)","(41.0, 85.0, 82.5)"
11-01-2023 11:09:23.035336,"(1.95, 2.2, 2.184383561643836)","(14.0, 20.0, 19.9)","(2.1, 2.42, 2.413861386138614)","(16.0, 21.0, 19.65)","(31.0, 90.0, 82.85714285714286)","(41.0, 85.0, 82.5)"
11-01-2023 11:09:23.959199,"(1.95, 2.2, 2.184383561643836)","(14.0, 20.0, 19.9)","(2.1, 2.42, 2.413111111111111)","(16.0, 21.0, 19.607142857142858)","(31.0, 90.0, 85.83333333333333)","(41.0, 85.0, 82.5)"
11-01-2023 11:09:24.834772,"(1.95, 2.2, 2.184507042253521)","(14.0, 20.0, 19.9)","(2.1, 2.42, 2.4143636363636363)","(16.0, 21.0, 19.375)","(31.0, 90.0, 87.77777777777777)","(41.0, 85.0, 83.33333333333334)"
11-01-2023 11:09:25.826183,"(1.95, 2.2, 2.184507042253521)","(14.0, 20.0, 19.9)","(2.1, 2.42, 2.4135779816513763)","(16.0, 21.0, 19.375)","(31.0, 90.0, 85.0)","(41.0, 85.0, 83.33333333333334)"
11-01-2023 11:09:26.939790,"(1.95, 2.2, 2.184507042253521)","(14.0, 20.0, 19.9)","(2.1, 2.42, 2.4058333333333333)","(16.0, 21.0, 19.761904761904763)","(31.0, 90.0, 82.85714285714286)","(41.0, 85.0, 83.33333333333334)"
11-01-2023 11:09:28.014968,"(1.95, 2.22, 2.1963440860215058)","(14.0, 20.0, 19.9)","(2.1, 2.42, 2.402068965517241)","(16.0, 21.0, 19.96)","(31.0, 90.0, 85.0)","(41.0, 85.0, 83.33333333333334)"
11-01-2023 11:09:29.052972,"(1.95, 2.2, 2.189375)","(14.0, 20.0, 19.928571428571427)","(2.1, 2.42, 2.402068965517241)","(16.0, 21.0, 19.96)","(31.0, 90.0, 85.71428571428571)","(41.0, 85.0, 80.3125)"
11-01-2023 11:09:30.080658,"(1.95, 2.2, 2.186086956521739)","(14.0, 20.0, 19.875)","(2.1, 2.4, 2.394328358208955)","(16.0, 21.0, 20.037037037037038)","(31.0, 90.0, 83.4)","(41.0, 85.0, 72.03703703703704)"
11-01-2023 11:09:31.096886,"(1.95, 2.2, 2.186086956521739)","(14.0, 20.0, 19.875)","(2.1, 2.4, 2.394328358208955)","(16.0, 21.0, 19.761904761904763)","(31.0, 90.0, 83.4)","(41.0, 85.0, 72.03703703703704)"
11-01-2023 11:09:32.022718,"(1.95, 2.2, 2.186086956521739)","(14.0, 20.0, 19.875)","(2.1, 2.4, 2.396)","(16.0, 21.0, 20.071428571428573)","(31.0, 90.0, 83.4)","(41.0, 85.0, 72.03703703703704)"
11-01-2023 11:09:32.924858,"(1.95, 2.2, 2.1980000000000004)","(14.0, 20.0, 19.875)","(2.1, 2.4, 2.3929411764705883)","(16.0, 21.0, 19.916666666666668)","(31.0, 95.0, 91.47058823529412)","(41.0, 85.0, 73.33333333333333)"
11-01-2023 11:09:33.883928,"(1.95, 2.22, 2.1965517241379313)","(14.0, 20.0, 19.941176470588236)","(2.1, 2.4, 2.3813793103448275)","(16.0, 21.0, 20.152173913043477)","(31.0, 95.0, 91.47058823529412)","(41.0, 85.0, 71.0)"
11-01-2023 11:09:34.816240,"(1.95, 2.2, 2.1836363636363636)","(14.0, 20.0, 19.941176470588236)","(2.1, 2.42, 2.3951724137931034)","(16.0, 21.0, 20.152173913043477)","(31.0, 95.0, 91.47058823529412)","(41.0, 85.0, 71.0)"
11-01-2023 11:09:35.865772,"(1.95, 2.22, 2.2)","(14.0, 20.0, 19.941176470588236)","(2.1, 2.4, 2.3866666666666667)","(16.0, 21.0, 19.78125)","(31.0, 95.0, 91.47058823529412)","(41.0, 85.0, 71.0)"
11-01-2023 11:09:36.881105,"(1.95, 2.22, 2.2)","(14.0, 20.0, 19.928571428571427)","(2.1, 2.42, 2.3972043010752686)","(16.0, 21.0, 20.071428571428573)","(31.0, 95.0, 91.25)","(41.0, 85.0, 71.0)"
11-01-2023 11:09:37.937412,"(1.95, 2.22, 2.2009345794392523)","(14.0, 20.0, 19.875)","(2.1, 2.42, 2.392142857142857)","(16.0, 21.0, 20.071428571428573)","(31.0, 95.0, 91.25)","(41.0, 85.0, 71.0)"
11-01-2023 11:09:38.867101,"(1.95, 2.22, 2.2009345794392523)","(14.0, 20.0, 19.875)","(2.1, 2.4, 2.392142857142857)","(16.0, 21.0, 20.071428571428573)","(31.0, 95.0, 91.47058823529412)","(41.0, 85.0, 71.0)"
11-01-2023 11:09:39.785654,"(1.95, 2.24, 2.235336787564767)","(14.0, 20.0, 19.875)","(2.1, 2.4, 2.3780392156862744)","(16.0, 21.0, 19.78125)","(31.0, 95.0, 91.47058823529412)","(41.0, 85.0, 71.0)"
11-01-2023 11:09:40.671637,"(1.95, 2.24, 2.2295145631067963)","(14.0, 19.5, 19.357142857142858)","(2.1, 2.38, 2.367179487179487)","(16.0, 21.0, 19.78125)","(31.0, 95.0, 91.47058823529412)","(41.0, 85.0, 71.0)"
11-01-2023 11:09:41.609385,"(1.95, 2.24, 2.227777777777778)","(14.0, 19.5, 19.357142857142858)","(2.1, 2.38, 2.362758620689655)","(16.0, 21.0, 20.113636363636363)","(31.0, 95.0, 91.25)","(41.0, 85.0, 71.0)"
11-01-2023 11:09:42.639192,"(1.95, 2.24, 2.2154216867469883)","(14.0, 19.5, 19.357142857142858)","(2.1, 2.38, 2.3904761904761904)","(16.0, 21.0, 20.91509433962264)","(31.0, 95.0, 91.25)","(41.0, 85.0, 70.41666666666667)"
11-01-2023 11:09:43.633558,"(1.95, 2.22, 2.2010526315789476)","(14.0, 19.5, 19.25)","(2.1, 2.4, 2.3904761904761904)","(16.0, 21.0, 20.923076923076923)","(31.0, 95.0, 91.47058823529412)","(41.0, 85.0, 70.41666666666667)"
11-01-2023 11:09:44.628859,"(1.95, 2.16, 2.15952380952381)","(14.0, 19.5, 19.333333333333332)","(2.1, 2.42, 2.4004878048780487)","(16.0, 22.0, 21.2)","(31.0, 95.0, 91.47058823529412)","(41.0, 85.0, 72.5)"
11-01-2023 11:09:45.613555,"(1.95, 2.22, 2.217991967871486)","(14.0, 19.0, 18.933333333333334)","(2.1, 2.4, 2.3853763440860214)","(16.0, 22.0, 21.166666666666668)","(31.0, 95.0, 91.25)","(41.0, 80.0, 66.66666666666667)"
11-01-2023 11:09:46.502074,"(1.95, 2.22, 2.2183200000000003)","(14.0, 19.0, 18.916666666666668)","(2.1, 2.4, 2.3865)","(16.0, 22.0, 21.166666666666668)","(31.0, 95.0, 91.25)","(41.0, 80.0, 66.66666666666667)"
11-01-2023 11:09:47.452444,"(1.95, 2.24, 2.2235443037974685)","(14.0, 19.0, 18.916666666666668)","(2.1, 2.4, 2.3851685393258424)","(16.0, 22.0, 21.166666666666668)","(31.0, 90.0, 86.66666666666667)","(41.0, 70.0, 61.5625)"
11-01-2023 11:09:48.352836,"(1.95, 2.24, 2.229618320610687)","(14.0, 19.5, 19.166666666666668)","(2.1, 2.4, 2.3945454545454545)","(16.0, 22.0, 20.88888888888889)","(31.0, 90.0, 86.66666666666667)","(41.0, 70.0, 61.5625)"
11-01-2023 11:09:49.429389,"(1.95, 2.24, 2.2302362204724413)","(14.0, 19.5, 19.166666666666668)","(2.1, 2.4, 2.388421052631579)","(16.0, 21.0, 20.875)","(31.0, 90.0, 86.66666666666667)","(41.0, 70.0, 61.5625)"
11-01-2023 11:09:50.414288,"(1.95, 2.24, 2.2299130434782612)","(14.0, 19.5, 19.166666666666668)","(2.1, 2.4, 2.388421052631579)","(16.0, 21.0, 20.875)","(31.0, 90.0, 86.47058823529412)","(41.0, 70.0, 63.75)"
11-01-2023 11:09:51.453232,"(1.95, 2.24, 2.2299130434782612)","(14.0, 19.5, 19.166666666666668)","(2.1, 2.4, 2.388421052631579)","(16.0, 21.0, 20.875)","(31.0, 90.0, 86.47058823529412)","(41.0, 65.0, 63.75)"
