,Mr Wallace,The Heavyweight,Skylon,Our Kinsmen,Wild Irish Rover,Promise The Moon,Ultron,Loniesha,Nullify,Raging Climax
14-12-2022 13:42:16.236370,"(2.3, 2.7, 2.6578947368421053)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.24)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.28728813559322)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 220.0, 127.0)","(4.8, 7.4, 7.355555555555556)","(31.0, 130.0, 109.54545454545455)"
14-12-2022 13:42:17.892297,"(2.3, 2.7, 2.6578947368421053)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.24)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.28728813559322)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 220.0, 127.0)","(4.8, 7.4, 7.355555555555556)","(31.0, 130.0, 109.54545454545455)"
14-12-2022 13:42:19.501386,"(2.3, 2.7, 2.6037469586374695)","(101.0, 730.0, 650.0)","(19.0, 25.0, 22.24)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.2870689655172414)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 220.0, 127.0)","(4.8, 7.4, 7.355555555555556)","(31.0, 130.0, 109.54545454545455)"
14-12-2022 13:42:21.195951,"(2.3, 2.74, 2.657391304347826)","(101.0, 730.0, 582.5)","(19.0, 25.0, 22.24)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.2870689655172414)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 220.0, 127.0)","(4.8, 7.4, 7.355555555555556)","(31.0, 130.0, 109.54545454545455)"
14-12-2022 13:42:22.760043,"(2.3, 2.72, 2.657391304347826)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.24)","(41.0, 50.0, 46.57142857142857)","(2.7, 3.3, 3.2870689655172414)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 220.0, 181.66666666666669)","(4.8, 7.4, 7.355555555555556)","(31.0, 130.0, 116.81818181818181)"
14-12-2022 13:42:24.401995,"(2.3, 2.72, 2.694352941176471)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.620689655172413)","(41.0, 50.0, 46.0)","(2.7, 3.3, 3.2870689655172414)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 181.66666666666669)","(4.8, 7.4, 7.355555555555556)","(31.0, 140.0, 110.0)"
14-12-2022 13:42:25.949420,"(2.3, 2.7, 2.668)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.24)","(41.0, 48.0, 46.0)","(2.7, 3.3, 3.4106557377049183)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 188.33333333333331)","(4.8, 7.4, 7.355555555555556)","(31.0, 140.0, 135.0)"
14-12-2022 13:42:27.476127,"(2.3, 2.7, 2.6733333333333333)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.24)","(41.0, 48.0, 46.0)","(2.7, 3.45, 3.2870689655172414)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 250.0, 188.33333333333331)","(4.8, 7.4, 7.355555555555556)","(31.0, 150.0, 135.0)"
14-12-2022 13:42:29.020613,"(2.3, 2.7, 2.6733333333333333)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.24)","(41.0, 48.0, 46.0)","(2.7, 3.3, 3.2870689655172414)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 250.0, 188.33333333333331)","(4.8, 7.4, 7.355555555555556)","(31.0, 150.0, 135.0)"
14-12-2022 13:42:30.522065,"(2.3, 2.7, 2.6733333333333333)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.24)","(41.0, 48.0, 46.0)","(2.7, 3.3, 3.2870689655172414)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 250.0, 188.33333333333331)","(4.8, 7.4, 7.355555555555556)","(31.0, 150.0, 160.0)"
