,Chilli Cherry,Levis Beach,Jet Keen,Murrurundi Boy,Nitro Jax,Irinka Isla,Two Suns
08-12-2022 14:49:45.356076,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:46.592222,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:47.843417,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:49.069025,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:50.294523,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:51.472522,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:52.719236,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:53.921574,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:55.084901,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:56.294829,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
