,Frank Light Year,Whiskey Bob,Redshift Tango,Whacker Wilson,On The Mint,Perseus,Not Afraid,My Maddy
15-12-2022 10:50:04.314739,"(7.0, 10.5, 10.175)","(6.5, 8.8, 8.4)","(3.1, 3.75, 3.71875)","(5.5, 6.4, 5.65)","(12.0, 22.0, 23.25)","(7.5, 12.5, 9.38888888888889)","(26.0, 95.0, 76.25)","(4.8, 6.2, 5.831578947368421)"
15-12-2022 10:50:05.425870,"(7.0, 10.5, 9.909090909090908)","(6.5, 8.8, 8.488888888888889)","(3.1, 3.75, 3.71875)","(5.5, 6.4, 5.65)","(12.0, 27.0, 21.363636363636363)","(7.5, 12.5, 10.76923076923077)","(26.0, 95.0, 85.76923076923077)","(4.8, 6.2, 5.7)"
15-12-2022 10:50:06.574385,"(7.0, 9.8, 9.65)","(6.5, 8.8, 8.274999999999999)","(3.1, 3.75, 3.7209302325581395)","(5.5, 6.4, 5.65)","(12.0, 26.0, 22.0)","(7.5, 12.5, 10.8)","(26.0, 95.0, 87.5)","(4.8, 6.2, 5.5636363636363635)"
15-12-2022 10:50:07.711077,"(7.0, 9.8, 9.685714285714287)","(6.5, 8.8, 8.285714285714285)","(3.1, 3.75, 3.7209302325581395)","(5.5, 6.4, 5.65)","(12.0, 26.0, 22.0)","(7.5, 12.0, 10.571428571428571)","(26.0, 95.0, 87.5)","(4.8, 6.2, 5.4222222222222225)"
15-12-2022 10:50:08.886959,"(7.0, 9.8, 9.685714285714287)","(6.5, 8.8, 8.380952380952381)","(3.1, 3.85, 3.790425531914894)","(5.5, 6.4, 5.65)","(12.0, 26.0, 22.689655172413794)","(7.5, 12.0, 10.588235294117647)","(26.0, 95.0, 87.5)","(4.8, 6.2, 5.4222222222222225)"
15-12-2022 10:50:10.016089,"(7.0, 9.8, 9.685714285714287)","(6.5, 8.8, 8.380952380952381)","(3.1, 3.85, 3.7676470588235293)","(5.5, 6.4, 5.65)","(12.0, 26.0, 22.689655172413794)","(7.5, 12.0, 10.588235294117647)","(26.0, 95.0, 87.5)","(4.8, 6.2, 5.71875)"
15-12-2022 10:50:11.043523,"(7.0, 9.8, 9.65)","(6.5, 8.8, 8.380952380952381)","(3.1, 3.85, 3.7676470588235293)","(5.5, 6.4, 5.65)","(12.0, 26.0, 23.44)","(7.5, 12.0, 9.5625)","(26.0, 95.0, 87.5)","(4.8, 6.2, 5.733333333333333)"
15-12-2022 10:50:12.006690,"(7.0, 10.5, 10.185714285714285)","(6.5, 8.6, 8.5)","(3.1, 3.85, 3.826)","(5.5, 6.4, 5.68)","(12.0, 26.0, 23.44)","(7.5, 12.0, 9.5625)","(26.0, 95.0, 87.5)","(4.8, 6.2, 5.733333333333333)"
15-12-2022 10:50:12.985537,"(7.0, 10.5, 9.95)","(6.5, 8.6, 8.36923076923077)","(3.1, 3.85, 3.8404761904761906)","(5.5, 6.4, 6.044444444444444)","(12.0, 26.0, 23.666666666666664)","(7.5, 12.0, 9.5625)","(26.0, 95.0, 87.5)","(4.8, 6.2, 5.675)"
15-12-2022 10:50:14.047334,"(7.0, 10.5, 9.858333333333334)","(6.5, 8.6, 8.36923076923077)","(3.1, 3.9, 3.88695652173913)","(5.5, 6.4, 5.942857142857143)","(12.0, 26.0, 23.846153846153847)","(7.5, 10.0, 9.292307692307691)","(26.0, 90.0, 76.30434782608695)","(4.8, 6.2, 5.675)"
15-12-2022 10:50:15.160600,"(7.0, 10.0, 9.733333333333334)","(6.5, 8.6, 8.36923076923077)","(3.1, 3.9, 3.893181818181818)","(5.5, 6.4, 5.942857142857143)","(12.0, 26.0, 23.846153846153847)","(7.5, 9.8, 9.32)","(26.0, 90.0, 76.30434782608695)","(4.8, 6.2, 5.7555555555555555)"
15-12-2022 10:50:16.298752,"(7.0, 10.0, 9.0)","(6.5, 8.8, 8.26)","(3.1, 3.9, 3.893181818181818)","(5.5, 6.4, 6.0)","(12.0, 26.0, 23.846153846153847)","(7.5, 9.8, 9.32)","(26.0, 90.0, 76.30434782608695)","(4.8, 6.2, 5.216666666666667)"
15-12-2022 10:50:17.430662,"(7.0, 9.8, 9.514285714285714)","(6.5, 8.8, 8.285714285714285)","(3.1, 3.9, 3.8925)","(5.5, 6.4, 6.0)","(12.0, 26.0, 20.0)","(7.5, 9.8, 9.309090909090909)","(26.0, 90.0, 76.30434782608695)","(4.8, 5.3, 5.2625)"
15-12-2022 10:50:18.499621,"(7.0, 9.8, 9.600000000000001)","(6.5, 8.8, 8.25)","(3.1, 3.9, 3.8925)","(5.5, 6.4, 6.08)","(12.0, 26.0, 20.4)","(7.5, 9.8, 9.309090909090909)","(26.0, 90.0, 76.30434782608695)","(4.8, 5.3, 6.033333333333333)"
15-12-2022 10:50:19.499964,"(7.0, 9.8, 9.514285714285714)","(6.5, 8.8, 8.25)","(3.1, 3.9, 3.892857142857143)","(5.5, 6.4, 6.04)","(12.0, 26.0, 20.4)","(7.5, 9.8, 8.654545454545454)","(26.0, 90.0, 77.27272727272728)","(4.8, 6.2, 5.530769230769231)"
15-12-2022 10:50:20.471682,"(6.5, 9.8, 8.68888888888889)","(6.5, 8.8, 8.25)","(3.1, 3.9, 3.892857142857143)","(5.5, 6.4, 6.04)","(13.0, 26.0, 23.27777777777778)","(7.5, 9.8, 8.654545454545454)","(26.0, 90.0, 77.27272727272728)","(4.8, 5.8, 5.4)"
15-12-2022 10:50:21.491685,"(6.5, 9.6, 9.24)","(6.5, 8.8, 8.274999999999999)","(3.1, 3.9, 3.892857142857143)","(5.5, 6.4, 6.1230769230769235)","(13.0, 26.0, 23.666666666666668)","(7.5, 9.8, 8.842105263157896)","(26.0, 90.0, 77.27272727272728)","(4.8, 5.8, 5.341666666666667)"
15-12-2022 10:50:22.562287,"(6.5, 9.6, 9.24)","(6.5, 9.0, 8.7)","(3.1, 3.9, 3.892857142857143)","(5.5, 6.4, 6.271428571428571)","(13.0, 25.0, 22.5)","(7.5, 9.8, 9.222222222222223)","(26.0, 90.0, 77.27272727272728)","(4.8, 5.8, 5.341666666666667)"
15-12-2022 10:50:23.630311,"(6.5, 9.6, 9.24)","(6.5, 9.2, 8.6)","(3.1, 3.9, 3.892857142857143)","(5.5, 6.4, 6.271428571428571)","(13.0, 25.0, 20.0)","(7.5, 9.8, 9.23529411764706)","(26.0, 90.0, 66.0)","(4.8, 5.8, 5.341666666666667)"
15-12-2022 10:50:24.748044,"(6.5, 9.6, 9.066666666666666)","(6.5, 9.2, 8.533333333333333)","(3.1, 3.9, 3.89375)","(5.5, 6.6, 5.933333333333334)","(13.0, 25.0, 22.608695652173914)","(7.5, 9.8, 9.23529411764706)","(26.0, 90.0, 66.0)","(4.8, 5.8, 5.4)"
15-12-2022 10:50:25.891014,"(6.5, 9.6, 9.37142857142857)","(6.5, 9.2, 8.533333333333333)","(3.1, 3.9, 3.89375)","(5.5, 6.4, 5.8374999999999995)","(13.0, 25.0, 22.479166666666668)","(7.5, 9.8, 9.444444444444445)","(26.0, 90.0, 66.0)","(4.8, 5.7, 5.35)"
15-12-2022 10:50:27.120841,"(6.5, 9.6, 9.37142857142857)","(6.5, 9.2, 8.628571428571428)","(3.1, 3.9, 3.89375)","(5.5, 6.4, 5.846153846153846)","(13.0, 25.0, 22.913793103448278)","(7.5, 9.8, 9.363636363636363)","(26.0, 90.0, 74.0)","(4.8, 5.7, 5.35)"
15-12-2022 10:50:28.192644,"(6.5, 9.6, 9.37142857142857)","(6.5, 9.2, 8.628571428571428)","(3.1, 3.9, 3.89375)","(5.5, 6.4, 5.846153846153846)","(13.0, 25.0, 22.913793103448278)","(7.5, 9.8, 8.6)","(26.0, 90.0, 78.0)","(4.8, 5.7, 5.35)"
15-12-2022 10:50:29.289353,"(6.5, 9.6, 9.37142857142857)","(6.5, 9.2, 8.533333333333333)","(3.1, 3.9, 3.892857142857143)","(5.5, 6.4, 5.846153846153846)","(13.0, 25.0, 22.913793103448278)","(7.5, 9.8, 9.24)","(26.0, 90.0, 78.0)","(4.8, 5.7, 5.35)"
15-12-2022 10:50:30.365538,"(6.5, 9.6, 9.37142857142857)","(6.5, 9.2, 8.533333333333333)","(3.1, 3.9, 3.892857142857143)","(5.5, 6.4, 5.846153846153846)","(13.0, 25.0, 22.913793103448278)","(7.5, 9.8, 9.036363636363637)","(26.0, 90.0, 78.0)","(4.8, 5.7, 5.35)"
15-12-2022 10:50:31.435533,"(6.5, 9.6, 9.483333333333333)","(6.5, 9.2, 8.533333333333333)","(3.1, 3.9, 3.892857142857143)","(5.5, 6.4, 5.846153846153846)","(13.0, 25.0, 22.913793103448278)","(7.5, 9.8, 9.036363636363637)","(26.0, 90.0, 70.0)","(4.8, 5.7, 5.35)"
15-12-2022 10:50:32.472835,"(6.5, 9.0, 8.82857142857143)","(6.5, 9.2, 8.628571428571428)","(3.1, 3.9, 3.892857142857143)","(5.5, 6.4, 5.846153846153846)","(13.0, 25.0, 22.913793103448278)","(7.5, 9.8, 9.32)","(26.0, 90.0, 73.33333333333333)","(4.8, 5.7, 5.35)"
15-12-2022 10:50:33.538191,"(6.5, 9.0, 8.82857142857143)","(6.5, 9.2, 8.533333333333333)","(3.1, 3.9, 3.892857142857143)","(5.5, 6.4, 6.1230769230769235)","(13.0, 25.0, 23.275862068965516)","(7.5, 9.8, 9.32)","(31.0, 90.0, 78.0)","(4.8, 5.7, 5.35)"
15-12-2022 10:50:34.566134,"(6.5, 9.0, 8.82857142857143)","(6.5, 9.2, 8.514285714285714)","(3.1, 3.9, 3.892857142857143)","(5.5, 6.4, 6.1230769230769235)","(13.0, 25.0, 23.275862068965516)","(7.5, 9.8, 9.32)","(31.0, 90.0, 78.0)","(4.8, 5.7, 5.35)"
15-12-2022 10:50:35.571729,"(6.5, 9.0, 8.82857142857143)","(6.5, 8.8, 8.714285714285715)","(3.1, 3.9, 3.892857142857143)","(5.5, 6.4, 6.0)","(13.0, 25.0, 23.387096774193548)","(7.5, 9.8, 9.32)","(31.0, 90.0, 74.61538461538461)","(4.8, 5.7, 5.35)"
15-12-2022 10:50:36.642202,"(7.0, 9.0, 8.82857142857143)","(7.0, 8.8, 8.6)","(3.2, 3.9, 3.892857142857143)","(5.0, 6.4, 6.127272727272728)","(14.0, 25.0, 23.387096774193548)","(7.0, 9.8, 8.6)","(31.0, 90.0, 74.61538461538461)","(4.8, 5.7, 5.35)"
15-12-2022 10:50:37.709556,"(7.0, 9.8, 9.177777777777777)","(7.0, 8.8, 8.6)","(3.2, 3.9, 3.892857142857143)","(5.0, 6.4, 6.185714285714286)","(14.0, 25.0, 21.35483870967742)","(7.0, 9.8, 8.6)","(31.0, 90.0, 78.88888888888889)","(4.8, 5.7, 5.515789473684211)"
15-12-2022 10:50:38.859665,"(7.0, 9.8, 9.23529411764706)","(7.0, 8.8, 8.6)","(3.2, 3.9, 3.892857142857143)","(5.0, 6.4, 6.127272727272728)","(14.0, 26.0, 21.555555555555557)","(7.0, 9.8, 9.48)","(31.0, 90.0, 78.88888888888889)","(4.8, 5.7, 5.515789473684211)"
15-12-2022 10:50:39.953146,"(7.0, 9.8, 9.23529411764706)","(7.0, 8.8, 8.6)","(3.2, 3.9, 3.892857142857143)","(5.0, 6.4, 6.066666666666667)","(14.0, 26.0, 21.59259259259259)","(7.0, 9.8, 9.466666666666667)","(31.0, 90.0, 78.88888888888889)","(4.8, 5.7, 5.515789473684211)"
15-12-2022 10:50:41.086217,"(7.0, 9.0, 8.75)","(7.0, 8.8, 8.6)","(3.2, 3.9, 3.892857142857143)","(5.0, 6.4, 5.95)","(14.0, 25.0, 21.466666666666665)","(7.0, 9.8, 9.5)","(31.0, 90.0, 78.88888888888889)","(4.8, 5.7, 5.565384615384616)"
15-12-2022 10:50:42.180480,"(7.0, 9.0, 8.75)","(7.0, 8.8, 8.6)","(3.2, 3.9, 3.892857142857143)","(5.0, 6.4, 5.95)","(14.0, 25.0, 21.466666666666665)","(7.0, 9.8, 9.5)","(31.0, 90.0, 84.23076923076923)","(4.8, 5.7, 5.65)"
15-12-2022 10:50:43.266807,"(7.0, 9.0, 8.75)","(7.0, 8.8, 8.6)","(3.2, 3.9, 3.894)","(5.0, 6.4, 5.885714285714285)","(14.0, 25.0, 21.466666666666665)","(7.0, 9.8, 9.5)","(31.0, 90.0, 84.23076923076923)","(4.8, 5.8, 5.525)"
15-12-2022 10:50:44.353366,"(7.0, 9.0, 8.75)","(7.0, 8.8, 8.6)","(3.2, 3.9, 3.894)","(5.0, 6.4, 5.885714285714285)","(14.0, 25.0, 21.466666666666665)","(7.0, 9.8, 9.5)","(31.0, 90.0, 84.23076923076923)","(4.8, 5.9, 5.525)"
15-12-2022 10:50:45.434338,"(7.0, 9.0, 8.5)","(7.0, 8.8, 8.6)","(3.2, 3.9, 3.894)","(5.0, 6.4, 5.885714285714285)","(14.0, 25.0, 21.466666666666665)","(7.0, 9.8, 9.600000000000001)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.525)"
15-12-2022 10:50:46.568340,"(7.0, 9.8, 8.569230769230769)","(7.0, 8.8, 8.6)","(3.2, 3.9, 3.894)","(5.0, 6.4, 5.885714285714285)","(14.0, 25.0, 21.528301886792452)","(7.0, 9.8, 9.600000000000001)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.525)"
15-12-2022 10:50:47.712420,"(7.0, 9.8, 8.569230769230769)","(7.0, 8.8, 8.6)","(3.2, 3.9, 3.894)","(5.0, 6.4, 5.885714285714285)","(14.0, 25.0, 21.528301886792452)","(7.0, 9.8, 9.514285714285714)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.525)"
15-12-2022 10:50:48.826608,"(7.0, 9.8, 8.569230769230769)","(7.0, 8.8, 8.6)","(3.2, 3.9, 3.894)","(5.0, 6.4, 5.885714285714285)","(14.0, 25.0, 22.07936507936508)","(7.0, 9.8, 9.5)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.525)"
15-12-2022 10:50:49.901127,"(7.0, 9.0, 8.5)","(7.0, 9.0, 8.28)","(3.2, 3.9, 3.894)","(5.0, 6.4, 5.885714285714285)","(14.0, 25.0, 22.07936507936508)","(7.0, 9.8, 9.5)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.525)"
15-12-2022 10:50:50.996902,"(7.0, 9.0, 8.384615384615383)","(7.0, 8.8, 8.700000000000001)","(3.2, 3.9, 3.894)","(5.0, 6.2, 6.086363636363637)","(14.0, 25.0, 22.07936507936508)","(7.0, 9.8, 9.5)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.525)"
15-12-2022 10:50:52.098840,"(7.0, 9.0, 8.384615384615383)","(7.0, 8.8, 8.6)","(3.2, 3.9, 3.894)","(5.0, 6.2, 6.086363636363637)","(14.0, 25.0, 22.07936507936508)","(7.0, 9.8, 9.5)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.80625)"
15-12-2022 10:50:53.225866,"(7.0, 9.0, 8.384615384615383)","(7.0, 8.8, 8.6)","(3.2, 3.9, 3.894)","(5.0, 6.2, 6.057142857142857)","(14.0, 25.0, 21.8)","(7.0, 9.8, 9.5)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.800000000000001)"
15-12-2022 10:50:54.366413,"(7.0, 9.0, 8.5)","(7.0, 8.8, 8.591304347826087)","(3.2, 3.9, 3.894)","(5.0, 6.2, 6.084615384615385)","(14.0, 25.0, 21.8)","(7.0, 9.8, 9.35)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.7)"
15-12-2022 10:50:55.408322,"(7.0, 9.0, 8.542857142857143)","(7.0, 8.8, 8.608)","(3.2, 3.9, 3.894)","(5.0, 6.2, 6.084615384615385)","(14.0, 25.0, 21.931506849315067)","(7.0, 9.8, 9.514285714285714)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.75)"
15-12-2022 10:50:56.419773,"(7.0, 9.0, 8.542857142857143)","(7.0, 8.8, 8.35)","(3.2, 3.9, 3.894)","(5.0, 6.2, 6.084615384615385)","(14.0, 25.0, 21.8)","(7.0, 9.8, 9.514285714285714)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.75)"
15-12-2022 10:50:57.401467,"(7.0, 9.0, 8.5)","(7.0, 8.8, 8.35)","(3.2, 3.9, 3.894)","(5.0, 6.2, 6.084615384615385)","(14.0, 25.0, 21.8)","(7.0, 9.8, 9.514285714285714)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.75)"
15-12-2022 10:50:58.384651,"(7.0, 9.0, 8.5)","(7.0, 8.8, 8.35)","(3.1, 3.9, 3.892857142857143)","(5.0, 6.2, 6.084615384615385)","(14.0, 25.0, 21.8)","(7.0, 9.8, 9.514285714285714)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.75)"
15-12-2022 10:50:59.380572,"(7.0, 9.0, 8.384615384615383)","(7.0, 8.8, 8.285714285714285)","(3.1, 3.9, 3.894642857142857)","(5.0, 6.2, 5.933333333333334)","(14.0, 25.0, 21.705882352941178)","(7.0, 9.8, 9.514285714285714)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.771428571428571)"
15-12-2022 10:51:00.432764,"(7.0, 9.0, 8.384615384615383)","(7.0, 8.8, 8.285714285714285)","(3.1, 3.9, 3.894642857142857)","(5.0, 6.2, 5.872727272727273)","(14.0, 25.0, 21.88888888888889)","(7.0, 9.8, 9.514285714285714)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.771428571428571)"
15-12-2022 10:51:01.451923,"(7.0, 9.0, 8.384615384615383)","(7.0, 8.8, 8.285714285714285)","(3.1, 3.9, 3.894642857142857)","(5.0, 6.2, 5.790909090909091)","(14.0, 25.0, 21.705882352941178)","(7.0, 9.8, 9.36)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.863636363636364)"
15-12-2022 10:51:02.524506,"(7.0, 9.0, 8.384615384615383)","(7.0, 8.8, 8.285714285714285)","(3.1, 3.9, 3.894642857142857)","(5.0, 6.2, 5.896428571428571)","(14.0, 25.0, 21.705882352941178)","(7.0, 9.8, 9.473684210526315)","(31.0, 90.0, 83.75)","(4.8, 5.9, 5.9399999999999995)"
15-12-2022 10:51:03.602673,"(7.0, 9.0, 8.507692307692308)","(7.0, 8.4, 8.366666666666667)","(3.1, 3.9, 3.8899999999999997)","(5.0, 6.2, 5.844736842105263)","(14.0, 25.0, 21.60759493670886)","(7.0, 9.6, 9.483870967741936)","(31.0, 90.0, 82.3076923076923)","(4.8, 6.2, 6.117948717948718)"
15-12-2022 10:51:04.690264,"(7.0, 9.0, 8.266666666666666)","(7.0, 8.2, 8.028205128205128)","(3.1, 4.0, 3.8526315789473684)","(5.0, 6.2, 5.86)","(14.0, 25.0, 23.57142857142857)","(7.0, 9.6, 9.549999999999999)","(31.0, 90.0, 77.0)","(4.8, 6.2, 6.11578947368421)"
15-12-2022 10:51:05.716867,"(7.0, 8.8, 8.56)","(6.5, 8.2, 8.028205128205128)","(3.2, 4.0, 3.8578947368421055)","(5.0, 6.0, 5.86)","(15.0, 24.0, 23.4)","(7.5, 9.6, 9.549999999999999)","(31.0, 85.0, 77.0)","(4.8, 6.2, 6.1030303030303035)"
15-12-2022 10:51:06.782062,"(7.0, 8.8, 8.5)","(6.5, 8.2, 8.018918918918919)","(3.2, 4.0, 3.8575)","(5.0, 6.0, 5.86)","(15.0, 24.0, 23.526315789473685)","(7.5, 9.6, 9.514285714285714)","(31.0, 85.0, 77.0)","(4.8, 6.2, 6.0814814814814815)"
15-12-2022 10:51:07.805250,"(7.0, 8.8, 8.5)","(6.5, 8.2, 8.018918918918919)","(3.2, 4.0, 3.8575)","(5.0, 6.0, 5.86)","(15.0, 24.0, 23.526315789473685)","(7.5, 9.6, 9.410526315789474)","(31.0, 85.0, 77.0)","(4.8, 6.2, 6.056410256410256)"
15-12-2022 10:51:08.940204,"(7.0, 8.8, 8.35)","(6.5, 8.2, 8.005797101449275)","(3.2, 4.0, 3.9050000000000002)","(5.0, 6.0, 5.904545454545454)","(15.0, 24.0, 22.90909090909091)","(7.5, 9.6, 9.410526315789474)","(31.0, 85.0, 77.0)","(4.8, 6.2, 6.056410256410256)"
15-12-2022 10:51:10.093714,"(7.0, 8.8, 8.35)","(6.5, 8.2, 8.005194805194805)","(3.2, 4.0, 3.9050000000000002)","(5.0, 6.0, 5.904545454545454)","(15.0, 24.0, 22.90909090909091)","(7.5, 9.6, 9.410526315789474)","(31.0, 85.0, 77.0)","(4.8, 6.2, 6.056410256410256)"
15-12-2022 10:51:11.172548,"(7.0, 8.8, 8.305882352941175)","(6.5, 8.2, 8.012048192771084)","(3.2, 3.95, 3.916666666666667)","(5.0, 6.0, 5.904545454545454)","(15.0, 23.0, 22.846153846153847)","(7.5, 9.6, 9.48)","(31.0, 85.0, 76.25)","(4.8, 6.2, 6.056410256410256)"
15-12-2022 10:51:12.225193,"(7.0, 9.2, 9.194029850746269)","(6.5, 8.2, 8.012048192771084)","(3.2, 3.95, 3.916666666666667)","(5.0, 6.0, 5.916)","(15.0, 23.0, 22.846153846153847)","(7.5, 9.6, 9.48)","(31.0, 85.0, 76.25)","(4.8, 6.2, 6.05)"
15-12-2022 10:51:13.303904,"(7.0, 9.2, 9.18)","(6.5, 8.2, 8.004938271604939)","(3.2, 4.0, 3.95)","(5.0, 6.0, 5.85)","(15.0, 23.0, 22.8)","(7.5, 9.6, 9.351724137931035)","(31.0, 85.0, 76.25)","(4.8, 6.2, 6.006451612903226)"
15-12-2022 10:51:14.334041,"(7.0, 9.2, 9.18)","(6.5, 8.2, 8.160869565217391)","(3.2, 4.0, 3.95)","(5.0, 6.0, 5.8)","(15.0, 23.0, 22.8)","(7.5, 9.6, 9.209999999999999)","(31.0, 85.0, 77.5)","(4.8, 6.2, 5.969230769230769)"
15-12-2022 10:51:15.345327,"(7.0, 9.4, 9.358208955223882)","(6.5, 8.2, 8.158620689655171)","(3.2, 4.0, 3.95)","(5.0, 6.0, 5.8)","(15.0, 23.0, 22.8)","(7.5, 9.6, 9.168)","(31.0, 85.0, 77.5)","(4.8, 6.2, 5.985714285714286)"
15-12-2022 10:51:16.375311,"(7.0, 9.4, 9.358823529411765)","(6.5, 8.2, 8.158620689655171)","(3.2, 4.0, 3.95)","(5.0, 6.0, 5.8)","(15.0, 23.0, 22.8)","(7.5, 9.6, 9.272727272727273)","(31.0, 85.0, 103.33333333333334)","(4.8, 6.2, 6.053658536585366)"
15-12-2022 10:51:17.443691,"(7.0, 9.4, 9.314666666666668)","(6.5, 8.2, 8.135483870967741)","(3.2, 4.0, 3.99)","(5.0, 6.0, 5.76)","(15.0, 23.0, 22.77777777777778)","(7.5, 9.6, 9.272727272727273)","(31.0, 110.0, 106.0)","(4.8, 6.2, 6.077551020408164)"
15-12-2022 10:51:18.521182,"(7.0, 9.4, 9.32)","(6.5, 8.0, 7.95625)","(3.2, 3.95, 3.922727272727273)","(5.0, 6.0, 5.76)","(15.0, 23.0, 22.77777777777778)","(7.5, 9.6, 9.348837209302326)","(31.0, 110.0, 106.0)","(4.8, 6.2, 6.102222222222222)"
15-12-2022 10:51:19.632535,"(7.0, 9.4, 9.326829268292684)","(6.5, 7.8, 7.5600000000000005)","(3.2, 3.9, 3.86)","(5.0, 6.0, 5.866666666666667)","(15.0, 23.0, 22.846153846153847)","(7.5, 9.6, 9.28235294117647)","(31.0, 110.0, 111.53846153846153)","(4.8, 6.2, 6.070588235294117)"
15-12-2022 10:51:20.688335,"(7.0, 9.6, 9.496296296296297)","(6.5, 7.8, 7.5600000000000005)","(3.2, 3.9, 3.86)","(5.0, 6.0, 5.873684210526316)","(15.0, 23.0, 22.846153846153847)","(7.5, 9.6, 9.311111111111112)","(31.0, 130.0, 111.53846153846153)","(4.8, 6.2, 6.070588235294117)"
15-12-2022 10:51:21.743034,"(7.0, 9.6, 9.50886075949367)","(6.5, 7.8, 7.453333333333334)","(3.2, 3.9, 3.83)","(5.0, 6.0, 5.84)","(15.0, 23.0, 22.846153846153847)","(7.5, 9.6, 9.311111111111112)","(31.0, 130.0, 111.53846153846153)","(4.8, 6.2, 6.0625)"
15-12-2022 10:51:22.839617,"(7.0, 9.6, 9.472941176470588)","(6.5, 7.8, 7.461538461538462)","(3.2, 3.9, 3.83)","(5.0, 6.0, 5.84)","(15.0, 23.0, 22.846153846153847)","(7.5, 9.6, 9.394736842105264)","(31.0, 130.0, 111.53846153846153)","(4.8, 6.2, 6.081081081081081)"
15-12-2022 10:51:23.870969,"(7.0, 9.6, 9.414285714285715)","(6.5, 7.4, 7.371428571428572)","(3.2, 3.85, 3.83)","(5.0, 6.0, 5.84)","(15.0, 23.0, 23.785714285714285)","(7.5, 9.6, 9.4)","(31.0, 130.0, 111.53846153846153)","(4.8, 6.2, 6.107692307692307)"
15-12-2022 10:51:24.867232,"(7.0, 9.4, 9.366666666666667)","(6.5, 7.8, 7.555555555555555)","(3.2, 3.85, 3.83)","(5.0, 6.0, 5.84)","(15.0, 24.0, 23.736842105263158)","(7.5, 9.6, 9.4)","(31.0, 130.0, 111.53846153846153)","(4.8, 6.2, 6.05)"
15-12-2022 10:51:25.886129,"(7.0, 9.4, 9.366666666666667)","(6.5, 7.8, 7.509677419354839)","(3.2, 3.85, 3.83)","(5.0, 6.0, 5.84)","(15.0, 25.0, 23.857142857142858)","(7.5, 9.6, 9.318367346938775)","(31.0, 130.0, 105.55555555555556)","(4.8, 6.2, 6.073684210526316)"
15-12-2022 10:51:26.857623,"(7.0, 9.6, 9.472727272727273)","(6.5, 7.8, 7.556756756756757)","(3.2, 3.9, 3.83)","(5.0, 5.9, 5.84)","(15.0, 25.0, 22.23076923076923)","(7.5, 9.6, 9.227027027027027)","(31.0, 130.0, 113.07692307692308)","(4.8, 6.2, 6.05)"
15-12-2022 10:51:27.918516,"(7.0, 9.6, 9.5)","(6.5, 7.8, 7.6125)","(3.2, 3.9, 3.83)","(5.0, 5.9, 5.84)","(15.0, 25.0, 22.23076923076923)","(7.5, 9.6, 9.35)","(31.0, 130.0, 115.0)","(4.8, 6.2, 6.022222222222222)"
15-12-2022 10:51:28.944087,"(7.0, 9.0, 8.726984126984126)","(6.5, 7.8, 7.564705882352941)","(3.2, 3.9, 3.8833333333333333)","(5.0, 6.0, 5.9526315789473685)","(15.0, 25.0, 22.23076923076923)","(7.5, 9.4, 9.35)","(31.0, 130.0, 115.0)","(4.8, 6.2, 6.022222222222222)"
15-12-2022 10:51:30.012408,"(7.0, 9.0, 8.726984126984126)","(6.5, 7.8, 7.564705882352941)","(3.2, 3.9, 3.8833333333333333)","(5.0, 6.0, 5.9526315789473685)","(15.0, 25.0, 22.23076923076923)","(7.5, 9.4, 8.013215859030836)","(31.0, 130.0, 130.25)","(4.8, 6.2, 6.11764705882353)"
15-12-2022 10:51:31.037571,"(7.0, 8.2, 8.04)","(6.5, 7.4, 7.20327868852459)","(3.2, 4.2, 4.019354838709678)","(5.0, 6.4, 6.063157894736842)","(15.0, 26.0, 25.0)","(7.5, 8.2, 8.014035087719298)","(31.0, 140.0, 125.0)","(4.8, 6.4, 6.120588235294118)"
15-12-2022 10:51:32.119406,"(7.0, 8.2, 8.028571428571428)","(6.5, 7.4, 7.201324503311258)","(3.2, 4.2, 4.090196078431372)","(5.0, 6.4, 6.2444444444444445)","(15.0, 26.0, 25.333333333333332)","(7.5, 8.2, 8.017977528089888)","(31.0, 140.0, 125.0)","(4.8, 6.4, 6.069565217391305)"
15-12-2022 10:51:33.122142,"(7.0, 8.2, 7.844444444444444)","(6.5, 7.4, 7.201324503311258)","(3.2, 4.2, 4.090196078431372)","(5.0, 6.4, 6.28)","(15.0, 26.0, 27.2)","(7.5, 8.2, 8.001156069364162)","(31.0, 140.0, 110.0)","(4.8, 6.4, 6.180645161290323)"
