,Sudden Comfort,Pay Roll,Tranquil Ben,Stacked Deck,Clover Athena,Modulating
15-12-2022 12:08:45.332782,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:46.318707,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:47.243025,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:48.133021,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:49.014169,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:49.875406,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:50.779016,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:51.677532,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:52.547901,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:53.443517,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:54.272520,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:55.130899,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:56.077842,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:57.035882,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:58.097488,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.04)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:59.146905,"(3.5, 6.2, 5.815384615384616)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.533333333333333)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:00.036065,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.533333333333333)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:00.953270,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.466666666666667)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:01.898176,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.273684210526316)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:02.943605,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.273684210526316)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:03.970946,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.488888888888889)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:04.912737,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.488888888888889)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:05.950608,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.488888888888889)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:06.839223,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.488888888888889)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:08.008232,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.488888888888889)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:09.172286,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 6.43125)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.488888888888889)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:10.282237,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 6.43125)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.488888888888889)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:11.476877,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 6.43125)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.488888888888889)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:12.500681,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 6.43125)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.488888888888889)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:13.479129,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 6.554166666666667)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.488888888888889)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:14.440848,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 6.554166666666667)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.488888888888889)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:09:15.411750,"(3.5, 6.2, 5.220000000000001)","(3.9, 6.8, 6.554166666666667)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 6.488888888888889)","(19.0, 55.0, 40.05263157894737)"
