,Preston Lee,Remnants,Claretown Rocky,Invictus Ethan,Skibo Rebel
09-01-2023 13:55:13.450437,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:14.436547,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:15.337390,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:16.326772,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:17.411043,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:18.496337,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:19.425552,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:20.432126,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:21.607967,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:22.805487,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:23.673440,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:24.703284,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:25.774154,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:26.768306,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:27.656132,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
