,My Compass,King Of All,Lektra Nick,Irenes A Star,Prussian Spirit,Bushmans Prayer,Major China,Why Not Gigi
04-01-2023 16:07:18.769377,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:20.053125,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:21.306223,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:22.410479,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:23.526995,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:24.644857,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:25.790115,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:26.972524,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:28.341103,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:29.560556,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:30.652253,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:31.760922,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
