,Goldngalaxy,Mata Ole Le Afa,Sheza Adda,Times Tickin,Last Mini Minor,Brooklyn Mai Tai
07-12-2022 13:29:49.839261,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:51.029040,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:52.269210,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:53.367706,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:54.518030,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.8)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:55.564165,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.8)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:56.587804,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.8)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:57.685653,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.8)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:58.699119,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.8)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:59.852812,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.8)","(8.0, 12.0, 10.857142857142858)"
