,Dark Harmony,Eddy Street,Elroy,Johnny Utah,Kureder,Kalends,Daring Diego,Heroic Miss,Mission Of Love,Chaysen The King,Chicka,Mishani Supreme
11-01-2023 15:42:37.028634,"(3.3, 3.7, 3.689873417721519)","(26.0, 42.0, 38.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 36.30769230769231)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.615384615384615)","(15.0, 40.0, 35.5)","(3.3, 3.8, 3.71)","(31.0, 70.0, 67.4)","(101.0, 160.0, 133.33333333333334)","(31.0, 85.0, 61.5625)"
11-01-2023 15:42:38.735397,"(3.3, 3.7, 3.689873417721519)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 36.30769230769231)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.615384615384615)","(15.0, 40.0, 35.5)","(3.3, 3.8, 3.71)","(31.0, 70.0, 67.4)","(101.0, 160.0, 133.33333333333334)","(31.0, 85.0, 61.5625)"
11-01-2023 15:42:40.372187,"(3.3, 3.7, 3.689873417721519)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 36.30769230769231)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.615384615384615)","(15.0, 40.0, 35.142857142857146)","(3.3, 3.8, 3.71)","(31.0, 70.0, 67.4)","(101.0, 160.0, 126.66666666666667)","(31.0, 85.0, 61.5625)"
11-01-2023 15:42:42.045494,"(3.3, 3.7, 3.689873417721519)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 36.625)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.615384615384615)","(15.0, 38.0, 34.0)","(3.3, 3.8, 3.71)","(31.0, 70.0, 67.4)","(101.0, 160.0, 140.0)","(31.0, 85.0, 61.5625)"
11-01-2023 15:42:43.613682,"(3.3, 3.7, 3.689873417721519)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 36.625)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.615384615384615)","(15.0, 38.0, 34.0)","(3.3, 3.8, 3.71)","(31.0, 70.0, 67.4)","(101.0, 160.0, 140.0)","(31.0, 85.0, 61.5625)"
11-01-2023 15:42:45.275863,"(3.3, 3.7, 3.689873417721519)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 36.625)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 34.0)","(3.3, 3.8, 3.71)","(31.0, 70.0, 67.4)","(101.0, 160.0, 140.0)","(31.0, 85.0, 61.5625)"
11-01-2023 15:42:46.887737,"(3.3, 3.7, 3.689873417721519)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 34.0)","(3.3, 3.8, 3.71)","(31.0, 70.0, 63.5)","(101.0, 160.0, 126.66666666666667)","(31.0, 85.0, 61.5625)"
11-01-2023 15:42:48.475606,"(3.3, 3.7, 3.689873417721519)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 34.0)","(3.3, 3.8, 3.71)","(31.0, 70.0, 63.5)","(101.0, 160.0, 126.66666666666667)","(31.0, 85.0, 61.5625)"
11-01-2023 15:42:50.082195,"(3.3, 3.7, 3.689873417721519)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 34.0)","(3.3, 3.8, 3.71)","(31.0, 70.0, 63.5)","(101.0, 160.0, 126.66666666666667)","(31.0, 85.0, 61.5625)"
11-01-2023 15:42:51.772839,"(3.3, 3.7, 3.6893333333333334)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 34.0)","(3.3, 3.8, 3.71)","(31.0, 70.0, 63.5)","(101.0, 160.0, 126.66666666666667)","(31.0, 85.0, 61.5625)"
11-01-2023 15:42:53.398679,"(3.3, 3.7, 3.6893333333333334)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 34.0)","(3.3, 3.8, 3.71)","(31.0, 70.0, 63.5)","(101.0, 160.0, 140.0)","(31.0, 85.0, 61.5625)"
11-01-2023 15:42:55.083424,"(3.3, 3.7, 3.6881578947368423)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 34.0)","(3.3, 3.8, 3.71)","(31.0, 70.0, 63.5)","(101.0, 160.0, 140.0)","(31.0, 85.0, 61.5625)"
11-01-2023 15:42:56.776775,"(3.3, 3.7, 3.6881578947368423)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 34.0)","(3.3, 3.8, 3.71)","(31.0, 70.0, 63.5)","(101.0, 160.0, 140.0)","(31.0, 85.0, 61.5625)"
11-01-2023 15:42:58.401833,"(3.3, 3.7, 3.6881578947368423)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 34.0)","(3.3, 3.8, 3.71)","(31.0, 70.0, 63.5)","(101.0, 160.0, 126.66666666666667)","(31.0, 85.0, 61.5625)"
11-01-2023 15:42:59.988642,"(3.3, 3.7, 3.6881578947368423)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 34.0)","(3.3, 3.8, 3.71)","(31.0, 70.0, 63.5)","(101.0, 160.0, 126.66666666666667)","(31.0, 85.0, 61.5625)"
11-01-2023 15:43:01.653339,"(3.3, 3.7, 3.6881578947368423)","(26.0, 42.0, 39.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 34.0)","(3.3, 3.8, 3.71)","(31.0, 70.0, 65.66666666666666)","(101.0, 160.0, 126.66666666666667)","(31.0, 85.0, 61.5625)"
11-01-2023 15:43:03.306103,"(3.3, 3.7, 3.6881578947368423)","(26.0, 42.0, 38.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 32.0)","(3.3, 3.8, 3.71)","(31.0, 70.0, 66.14285714285714)","(101.0, 160.0, 126.66666666666667)","(31.0, 85.0, 61.5625)"
11-01-2023 15:43:04.952776,"(3.3, 3.7, 3.6881578947368423)","(26.0, 42.0, 38.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 32.0)","(3.3, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 160.0, 126.66666666666667)","(31.0, 85.0, 61.5625)"
11-01-2023 15:43:06.594451,"(3.3, 3.7, 3.6881578947368423)","(26.0, 42.0, 38.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 32.0)","(3.3, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 160.0, 126.66666666666667)","(31.0, 85.0, 61.5625)"
11-01-2023 15:43:08.142599,"(3.3, 3.7, 3.6881578947368423)","(26.0, 42.0, 38.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 32.0)","(3.3, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 160.0, 126.66666666666667)","(31.0, 85.0, 61.5625)"
11-01-2023 15:43:09.785586,"(3.3, 3.7, 3.6881578947368423)","(26.0, 42.0, 38.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 32.666666666666664)","(3.3, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 160.0, 126.66666666666667)","(31.0, 85.0, 61.5625)"
11-01-2023 15:43:11.344338,"(3.3, 3.7, 3.6881578947368423)","(26.0, 42.0, 38.0)","(91.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(6.5, 11.0, 10.583333333333334)","(15.0, 38.0, 32.666666666666664)","(3.3, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 160.0, 126.66666666666667)","(31.0, 85.0, 61.5625)"
11-01-2023 15:43:13.042717,"(3.4, 3.7, 3.6881578947368423)","(26.0, 42.0, 38.0)","(101.0, 170.0, 135.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(7.0, 11.0, 10.583333333333334)","(16.0, 38.0, 32.666666666666664)","(3.4, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 160.0, 126.66666666666667)","(41.0, 85.0, 61.5625)"
11-01-2023 15:43:14.854264,"(3.4, 3.7, 3.675)","(26.0, 42.0, 38.0)","(101.0, 170.0, 130.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.8, 5.4, 5.366666666666667)","(7.0, 11.0, 10.583333333333334)","(16.0, 38.0, 32.666666666666664)","(3.4, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 160.0, 126.66666666666667)","(41.0, 85.0, 61.5625)"
11-01-2023 15:43:16.544584,"(3.4, 3.75, 3.694444444444444)","(26.0, 42.0, 38.0)","(101.0, 160.0, 130.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.4, 5.366666666666667)","(7.0, 11.0, 10.583333333333334)","(16.0, 38.0, 32.666666666666664)","(3.4, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 160.0, 126.66666666666667)","(41.0, 85.0, 61.5625)"
11-01-2023 15:43:18.232257,"(3.4, 3.75, 3.694444444444444)","(26.0, 42.0, 39.0)","(101.0, 160.0, 130.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.4, 5.366666666666667)","(7.0, 11.0, 10.583333333333334)","(16.0, 38.0, 32.666666666666664)","(3.4, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 160.0, 126.66666666666667)","(41.0, 85.0, 61.5625)"
11-01-2023 15:43:19.855409,"(3.4, 3.75, 3.694444444444444)","(26.0, 42.0, 39.0)","(101.0, 160.0, 130.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.4, 5.366666666666667)","(7.0, 11.0, 10.583333333333334)","(16.0, 38.0, 32.666666666666664)","(3.4, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 160.0, 126.66666666666667)","(41.0, 85.0, 61.5625)"
11-01-2023 15:43:21.416008,"(3.4, 3.75, 3.6766666666666667)","(26.0, 42.0, 39.0)","(101.0, 160.0, 130.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.4, 5.366666666666667)","(7.0, 11.0, 10.583333333333334)","(16.0, 38.0, 32.666666666666664)","(3.4, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 160.0, 126.66666666666667)","(41.0, 85.0, 61.5625)"
11-01-2023 15:43:23.193239,"(3.4, 3.8, 3.702941176470588)","(26.0, 42.0, 39.0)","(101.0, 160.0, 130.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.4, 5.366666666666667)","(7.0, 11.0, 10.583333333333334)","(16.0, 38.0, 34.0)","(3.4, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 160.0, 126.66666666666667)","(41.0, 85.0, 61.5625)"
11-01-2023 15:43:25.020615,"(3.4, 3.8, 3.702941176470588)","(26.0, 42.0, 39.0)","(101.0, 160.0, 130.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.4, 5.366666666666667)","(7.0, 11.0, 10.583333333333334)","(16.0, 38.0, 34.0)","(3.4, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 160.0, 143.33333333333334)","(41.0, 85.0, 61.5625)"
11-01-2023 15:43:26.830125,"(3.4, 3.8, 3.702941176470588)","(26.0, 42.0, 39.0)","(101.0, 160.0, 130.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.4, 5.366666666666667)","(7.0, 11.0, 10.583333333333334)","(16.0, 38.0, 34.0)","(3.4, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 150.0, 136.66666666666666)","(41.0, 80.0, 66.66666666666667)"
11-01-2023 15:43:28.725564,"(3.4, 3.8, 3.702941176470588)","(26.0, 42.0, 39.0)","(101.0, 160.0, 130.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.4, 5.366666666666667)","(7.0, 11.0, 10.583333333333334)","(16.0, 38.0, 34.0)","(3.4, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 150.0, 136.66666666666666)","(41.0, 80.0, 66.66666666666667)"
11-01-2023 15:43:30.661912,"(3.4, 3.8, 3.702941176470588)","(26.0, 42.0, 39.0)","(101.0, 160.0, 130.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.4, 5.366666666666667)","(7.0, 11.0, 10.636363636363637)","(16.0, 38.0, 35.333333333333336)","(3.4, 3.8, 3.71)","(31.0, 75.0, 66.14285714285714)","(101.0, 150.0, 136.66666666666666)","(41.0, 80.0, 66.66666666666667)"
11-01-2023 15:43:32.349831,"(3.4, 3.8, 3.702941176470588)","(26.0, 42.0, 39.0)","(101.0, 160.0, 130.0)","(16.0, 24.0, 22.5)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.4, 5.366666666666667)","(7.0, 12.0, 10.833333333333334)","(16.0, 38.0, 35.333333333333336)","(3.4, 3.8, 3.71)","(31.0, 75.0, 62.6)","(101.0, 150.0, 136.66666666666666)","(41.0, 80.0, 66.66666666666667)"
11-01-2023 15:43:34.032978,"(3.4, 3.8, 3.702941176470588)","(26.0, 42.0, 39.0)","(101.0, 160.0, 116.66666666666667)","(16.0, 24.0, 22.5)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.4, 5.366666666666667)","(7.0, 11.5, 10.833333333333334)","(16.0, 38.0, 35.333333333333336)","(3.4, 3.8, 3.71)","(31.0, 75.0, 62.6)","(101.0, 150.0, 140.0)","(51.0, 80.0, 66.66666666666667)"
11-01-2023 15:43:35.610834,"(3.4, 3.8, 3.702941176470588)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 24.0, 22.5)","(26.0, 38.0, 34.333333333333336)","(4.6, 5.4, 5.366666666666667)","(7.0, 11.5, 10.833333333333334)","(16.0, 38.0, 35.333333333333336)","(3.4, 3.8, 3.71)","(31.0, 75.0, 62.6)","(101.0, 150.0, 140.0)","(51.0, 80.0, 66.66666666666667)"
11-01-2023 15:43:37.628789,"(3.4, 3.8, 3.702941176470588)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.6, 5.4, 5.366666666666667)","(7.0, 11.5, 10.833333333333334)","(16.0, 38.0, 35.333333333333336)","(3.4, 3.8, 3.71)","(31.0, 75.0, 62.6)","(101.0, 150.0, 140.0)","(51.0, 80.0, 66.66666666666667)"
11-01-2023 15:43:39.451269,"(3.4, 3.8, 3.702941176470588)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 24.0, 22.5)","(26.0, 36.0, 33.0)","(4.6, 5.4, 5.366666666666667)","(7.0, 11.5, 10.7)","(16.0, 38.0, 35.333333333333336)","(3.4, 3.8, 3.71)","(31.0, 75.0, 62.6)","(101.0, 170.0, 150.0)","(51.0, 80.0, 66.66666666666667)"
11-01-2023 15:43:41.276314,"(3.4, 3.8, 3.71)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 24.0, 22.5)","(26.0, 36.0, 33.0)","(4.6, 5.4, 5.366666666666667)","(7.0, 11.5, 10.7)","(16.0, 38.0, 35.333333333333336)","(3.4, 3.8, 3.71)","(31.0, 75.0, 62.6)","(101.0, 170.0, 150.0)","(51.0, 80.0, 66.66666666666667)"
11-01-2023 15:43:43.103658,"(3.4, 3.75, 3.71)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 24.0, 22.5)","(26.0, 36.0, 33.0)","(4.6, 5.4, 5.317777777777778)","(7.0, 11.5, 10.7)","(16.0, 38.0, 34.8)","(3.4, 3.8, 3.68)","(31.0, 75.0, 62.6)","(101.0, 160.0, 147.5)","(51.0, 75.0, 65.0)"
11-01-2023 15:43:44.794654,"(3.4, 3.75, 3.71)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 24.0, 22.5)","(26.0, 36.0, 34.5)","(4.6, 5.5, 5.336363636363636)","(7.0, 11.5, 10.7)","(16.0, 38.0, 34.8)","(3.4, 3.8, 3.68)","(31.0, 75.0, 62.6)","(101.0, 160.0, 140.0)","(51.0, 75.0, 65.0)"
11-01-2023 15:43:46.498761,"(3.4, 3.75, 3.71)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 24.0, 22.5)","(26.0, 42.0, 35.0)","(4.6, 5.5, 5.336363636363636)","(7.0, 11.5, 10.7)","(16.0, 38.0, 34.8)","(3.4, 3.8, 3.68)","(31.0, 75.0, 62.6)","(101.0, 150.0, 140.0)","(51.0, 75.0, 65.0)"
11-01-2023 15:43:48.163451,"(3.4, 3.75, 3.71)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 24.0, 22.5)","(26.0, 42.0, 34.0)","(4.6, 5.5, 5.336363636363636)","(7.0, 11.5, 10.7)","(16.0, 38.0, 34.8)","(3.4, 3.8, 3.68)","(31.0, 75.0, 62.6)","(101.0, 150.0, 140.0)","(51.0, 75.0, 65.0)"
11-01-2023 15:43:49.754619,"(3.4, 3.75, 3.71)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 24.0, 22.5)","(26.0, 40.0, 33.0)","(4.6, 5.5, 5.336363636363636)","(7.5, 11.5, 10.7)","(16.0, 38.0, 34.8)","(3.4, 3.8, 3.68)","(31.0, 75.0, 62.6)","(101.0, 150.0, 140.0)","(51.0, 75.0, 65.0)"
11-01-2023 15:43:51.418947,"(3.4, 3.75, 3.71)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.6, 5.5, 5.336363636363636)","(7.5, 11.5, 10.7)","(16.0, 38.0, 34.8)","(3.4, 3.8, 3.68)","(31.0, 75.0, 62.6)","(101.0, 150.0, 140.0)","(51.0, 75.0, 66.66666666666667)"
11-01-2023 15:43:53.203636,"(3.4, 3.75, 3.71)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.6, 5.5, 5.336363636363636)","(7.5, 11.5, 9.5)","(16.0, 38.0, 35.333333333333336)","(3.4, 3.8, 3.68)","(31.0, 75.0, 62.6)","(101.0, 150.0, 130.0)","(51.0, 75.0, 65.0)"
11-01-2023 15:43:54.877542,"(3.4, 3.75, 3.696153846153846)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 24.0, 22.5)","(26.0, 38.0, 33.0)","(4.6, 5.5, 5.344444444444444)","(7.5, 11.5, 9.042857142857143)","(16.0, 38.0, 35.333333333333336)","(3.4, 3.8, 3.68)","(31.0, 75.0, 62.6)","(101.0, 150.0, 130.0)","(51.0, 75.0, 65.0)"
11-01-2023 15:43:56.519750,"(3.4, 3.75, 3.77)","(26.0, 42.0, 39.0)","(101.0, 150.0, 130.0)","(16.0, 24.0, 22.0)","(26.0, 38.0, 39.0)","(4.6, 5.5, 5.489473684210526)","(7.5, 10.5, 9.36)","(16.0, 38.0, 36.4)","(3.4, 3.8, 3.68)","(31.0, 75.0, 71.9)","(101.0, 150.0, 146.66666666666666)","(51.0, 75.0, 65.0)"
11-01-2023 15:43:58.316467,"(3.4, 3.8, 3.77)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 25.0, 22.0)","(26.0, 40.0, 37.8)","(4.6, 5.6, 5.489473684210526)","(7.5, 10.0, 9.450000000000001)","(16.0, 38.0, 36.4)","(3.4, 3.8, 3.7874999999999996)","(31.0, 75.0, 71.9)","(101.0, 160.0, 146.66666666666666)","(51.0, 75.0, 65.0)"
11-01-2023 15:44:00.164312,"(3.4, 3.8, 3.7399999999999998)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 25.0, 22.0)","(26.0, 40.0, 37.8)","(4.6, 5.6, 5.489473684210526)","(7.5, 9.8, 9.600000000000001)","(16.0, 38.0, 36.4)","(3.4, 3.8, 3.7879032258064513)","(31.0, 75.0, 72.41666666666667)","(101.0, 160.0, 146.66666666666666)","(51.0, 75.0, 65.0)"
11-01-2023 15:44:02.032728,"(3.4, 3.8, 3.7333333333333334)","(26.0, 42.0, 39.0)","(101.0, 150.0, 116.66666666666667)","(16.0, 25.0, 23.5)","(26.0, 40.0, 38.0)","(4.6, 5.6, 5.4714285714285715)","(7.5, 9.8, 9.3)","(16.0, 38.0, 36.4)","(3.4, 3.8, 3.7881889763779526)","(31.0, 75.0, 72.1)","(101.0, 180.0, 141.53846153846155)","(51.0, 75.0, 65.0)"
11-01-2023 15:44:03.797337,"(3.4, 3.8, 3.7333333333333334)","(26.0, 42.0, 39.0)","(101.0, 150.0, 125.0)","(16.0, 26.0, 23.5)","(26.0, 40.0, 38.0)","(4.6, 5.5, 5.4714285714285715)","(7.5, 9.6, 9.12)","(16.0, 38.0, 36.4)","(3.4, 3.8, 3.7881889763779526)","(31.0, 75.0, 69.72727272727272)","(101.0, 170.0, 146.0)","(51.0, 75.0, 65.0)"
11-01-2023 15:44:05.504304,"(3.4, 3.8, 3.7333333333333334)","(26.0, 42.0, 39.0)","(101.0, 150.0, 125.0)","(16.0, 26.0, 23.5)","(26.0, 40.0, 38.0)","(4.6, 5.5, 5.46)","(7.5, 9.6, 9.12)","(16.0, 38.0, 36.4)","(3.4, 3.8, 3.7858490566037735)","(31.0, 75.0, 69.72727272727272)","(101.0, 170.0, 146.0)","(51.0, 75.0, 65.0)"
11-01-2023 15:44:07.091869,"(3.4, 3.8, 3.7333333333333334)","(26.0, 42.0, 39.0)","(101.0, 150.0, 125.0)","(16.0, 26.0, 22.0)","(26.0, 40.0, 38.0)","(4.6, 5.5, 5.46)","(7.5, 9.6, 9.036363636363637)","(16.0, 38.0, 36.4)","(3.4, 3.8, 3.786363636363636)","(31.0, 75.0, 69.72727272727272)","(101.0, 170.0, 146.0)","(51.0, 75.0, 65.0)"
11-01-2023 15:44:08.781541,"(3.4, 3.8, 3.7333333333333334)","(26.0, 42.0, 40.5)","(101.0, 150.0, 120.0)","(16.0, 26.0, 24.75)","(26.0, 40.0, 39.33333333333333)","(4.6, 5.5, 5.46)","(7.5, 9.4, 8.799999999999999)","(16.0, 38.0, 36.4)","(3.4, 3.8, 3.7927272727272725)","(31.0, 75.0, 70.16666666666666)","(101.0, 170.0, 150.0)","(51.0, 75.0, 63.75)"
11-01-2023 15:44:10.625467,"(3.4, 3.8, 3.7333333333333334)","(26.0, 42.0, 40.5)","(101.0, 140.0, 120.0)","(16.0, 26.0, 24.0)","(26.0, 40.0, 39.111111111111114)","(4.6, 5.5, 5.46)","(7.5, 9.2, 9.0)","(16.0, 38.0, 36.4)","(3.4, 3.8, 3.793333333333333)","(31.0, 75.0, 70.16666666666666)","(101.0, 170.0, 150.0)","(51.0, 70.0, 65.0)"
11-01-2023 15:44:12.623433,"(3.4, 3.8, 3.7333333333333334)","(26.0, 42.0, 40.5)","(101.0, 140.0, 120.0)","(16.0, 26.0, 24.0)","(26.0, 40.0, 39.111111111111114)","(4.6, 5.5, 5.468421052631579)","(7.5, 9.2, 8.6)","(16.0, 38.0, 36.4)","(3.4, 3.8, 3.742857142857143)","(31.0, 75.0, 70.16666666666666)","(101.0, 170.0, 150.0)","(51.0, 70.0, 65.0)"
11-01-2023 15:44:15.278270,"(3.4, 3.8, 3.7333333333333334)","(26.0, 42.0, 40.5)","(101.0, 140.0, 120.0)","(16.0, 26.0, 24.0)","(26.0, 40.0, 39.2)","(4.6, 5.5, 5.487234042553191)","(7.5, 9.2, 8.5)","(16.0, 38.0, 36.0)","(3.4, 3.8, 3.742857142857143)","(31.0, 75.0, 70.16666666666666)","(101.0, 170.0, 150.0)","(51.0, 75.0, 65.0)"
11-01-2023 15:44:17.186266,"(3.4, 3.8, 3.7333333333333334)","(26.0, 42.0, 39.6)","(101.0, 140.0, 120.0)","(16.0, 26.0, 25.0)","(26.0, 40.0, 36.0)","(4.6, 5.5, 5.487234042553191)","(7.5, 9.0, 8.5)","(16.0, 38.0, 36.0)","(3.4, 3.8, 3.742857142857143)","(31.0, 75.0, 70.85714285714286)","(101.0, 170.0, 150.0)","(51.0, 75.0, 65.0)"
11-01-2023 15:44:18.905904,"(3.4, 3.8, 3.7333333333333334)","(26.0, 42.0, 39.6)","(91.0, 140.0, 120.0)","(16.0, 26.0, 25.0)","(26.0, 40.0, 36.0)","(4.6, 5.5, 5.442857142857143)","(7.5, 9.0, 8.4)","(16.0, 38.0, 36.0)","(3.4, 3.8, 3.742857142857143)","(31.0, 75.0, 67.28571428571428)","(101.0, 170.0, 150.0)","(51.0, 75.0, 65.0)"
