,Dont Tell Benji,Mac Cruz,Spellman,Aston Senator,Hey Tootle,Aston Zabbar,Kumani Sapphire
09-01-2023 14:56:37.571568,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 25.476190476190474)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:38.681060,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 25.476190476190474)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:39.678783,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:40.686726,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:41.722331,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:42.835988,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:43.952012,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:45.028959,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:46.029055,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:47.128866,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
