,Book Launch,Dio,Foxys Star,Gottaluvjimmy,Kashiwa,Swiftly Ned,Ceejay,Prophets Choice,Alassak,Lotus Land,Springlodge,Miss Epernay
07-01-2023 13:26:51.610210,"(7.5, 11.5, 10.944444444444445)","(4.6, 5.6, 5.261971830985916)","(18.0, 38.0, 35.5)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 46.666666666666664)","(9.0, 12.0, 11.5)","(8.0, 9.2, 9.123809523809523)","(6.0, 7.4, 6.866666666666666)","(19.0, 25.0, 24.333333333333332)","(15.0, 21.0, 20.25)","(31.0, 95.0, 75.0)","(41.0, 190.0, 157.5)"
07-01-2023 13:26:53.331135,"(7.5, 11.5, 10.944444444444445)","(4.6, 5.6, 5.261971830985916)","(18.0, 38.0, 35.5)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 46.666666666666664)","(9.0, 12.0, 11.5)","(8.0, 9.2, 9.123809523809523)","(6.0, 7.4, 6.85)","(19.0, 25.0, 24.333333333333332)","(15.0, 21.0, 20.25)","(31.0, 95.0, 75.0)","(41.0, 190.0, 82.5)"
07-01-2023 13:26:54.862003,"(7.5, 11.5, 10.944444444444445)","(4.6, 5.6, 5.3028571428571425)","(18.0, 38.0, 35.5)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 46.666666666666664)","(9.0, 12.0, 11.5)","(8.0, 9.2, 9.123809523809523)","(6.0, 7.0, 6.85)","(19.0, 25.0, 24.333333333333332)","(15.0, 21.0, 20.25)","(31.0, 95.0, 79.0)","(41.0, 90.0, 78.0)"
07-01-2023 13:26:56.435838,"(7.5, 11.5, 11.115384615384615)","(4.6, 5.6, 5.3028571428571425)","(18.0, 38.0, 35.5)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 46.666666666666664)","(9.0, 12.0, 11.5)","(8.0, 9.2, 9.123809523809523)","(6.0, 7.0, 6.85)","(19.0, 25.0, 24.333333333333332)","(15.0, 21.0, 20.25)","(31.0, 95.0, 79.0)","(41.0, 90.0, 78.0)"
07-01-2023 13:26:58.289201,"(7.5, 11.5, 11.166666666666666)","(4.6, 5.6, 5.3028571428571425)","(18.0, 38.0, 35.5)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 46.666666666666664)","(9.0, 12.0, 11.5)","(8.0, 9.2, 9.123809523809523)","(6.0, 7.0, 6.85)","(19.0, 25.0, 24.333333333333332)","(15.0, 21.0, 20.25)","(31.0, 95.0, 79.0)","(41.0, 90.0, 78.0)"
07-01-2023 13:27:00.202653,"(7.5, 11.5, 10.35)","(4.6, 5.6, 5.3028571428571425)","(18.0, 38.0, 35.5)","(4.8, 5.3, 4.9363636363636365)","(21.0, 48.0, 46.666666666666664)","(9.0, 12.0, 11.61111111111111)","(8.0, 9.2, 9.51578947368421)","(6.0, 7.0, 6.85)","(19.0, 25.0, 23.5)","(15.0, 21.0, 20.25)","(31.0, 95.0, 79.0)","(41.0, 90.0, 78.0)"
07-01-2023 13:27:02.008358,"(7.5, 11.5, 10.35)","(4.6, 5.6, 5.3028571428571425)","(18.0, 38.0, 34.666666666666664)","(4.8, 5.3, 4.9363636363636365)","(21.0, 48.0, 46.666666666666664)","(9.0, 12.5, 11.61111111111111)","(8.0, 9.6, 9.52)","(6.0, 7.0, 6.85)","(19.0, 24.0, 23.5)","(15.0, 21.0, 20.25)","(31.0, 95.0, 79.0)","(41.0, 110.0, 90.0)"
07-01-2023 13:27:03.818203,"(7.5, 11.5, 10.35)","(4.6, 5.6, 5.65)","(18.0, 38.0, 27.6)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 39.0)","(9.0, 12.5, 11.0)","(8.0, 9.6, 9.52)","(6.0, 7.0, 6.85)","(19.0, 24.0, 23.55)","(15.0, 21.0, 20.166666666666668)","(31.0, 95.0, 85.0)","(41.0, 110.0, 90.0)"
07-01-2023 13:27:05.497476,"(7.5, 11.5, 10.1)","(4.6, 5.7, 5.542857142857143)","(18.0, 36.0, 29.0)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 39.0)","(9.0, 12.5, 11.0)","(8.0, 9.6, 9.52)","(6.0, 7.0, 6.85)","(19.0, 24.0, 23.55)","(15.0, 21.0, 18.8125)","(31.0, 95.0, 85.0)","(41.0, 110.0, 97.5)"
07-01-2023 13:27:07.099884,"(7.5, 11.0, 10.1)","(4.6, 5.6, 5.529411764705882)","(18.0, 36.0, 29.0)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 39.0)","(9.0, 12.5, 11.0)","(8.0, 9.6, 9.52)","(6.0, 7.0, 6.85)","(19.0, 24.0, 23.833333333333332)","(15.0, 21.0, 18.8125)","(31.0, 95.0, 85.0)","(41.0, 110.0, 102.85714285714286)"
07-01-2023 13:27:08.787941,"(7.5, 11.0, 10.1)","(4.6, 5.6, 5.529411764705882)","(18.0, 36.0, 29.0)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 39.0)","(9.0, 12.5, 11.0)","(8.0, 9.6, 9.52)","(6.0, 7.4, 6.85)","(19.0, 24.0, 23.833333333333332)","(15.0, 21.0, 18.8125)","(31.0, 95.0, 85.0)","(41.0, 110.0, 102.85714285714286)"
