,Better Tomorrow,Samedi,Pentacost,Apollo Blu,Hunka Hunka Harry,One Man Band,Danali,Wynsome Maid,Princess Pancakes,Chelsea Toff,Luminara,Ski Zoom
07-01-2023 14:35:49.089754,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.83333333333333)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.0)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:50.437440,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.83333333333333)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.0)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:51.879278,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 57.0)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.0)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:53.276078,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 57.0)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.0)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:54.789222,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 57.0)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.0)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:56.348390,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 57.0)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.0)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:57.687442,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 57.0)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.0)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:59.013989,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 54.36363636363636)","(16.0, 75.0, 57.0)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.0)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:36:00.504463,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 64.875)","(26.0, 90.0, 42.75)","(16.0, 75.0, 57.0)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.170833333333333)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.0)","(16.0, 27.0, 22.0)"
07-01-2023 14:36:01.877544,"(4.8, 7.4, 6.68)","(5.0, 6.4, 5.566666666666667)","(6.0, 12.5, 11.0)","(17.0, 75.0, 47.5)","(26.0, 90.0, 42.75)","(16.0, 75.0, 57.0)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.170833333333333)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.276923076923076)","(16.0, 27.0, 22.0)"
