,Applicant,Torpedo Tears,Providence Bale,Balbina Bale,Rosies No Angel,Modern Collinda,Jigglypuff
07-01-2023 19:24:55.956310,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:24:57.014402,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:24:58.070835,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:24:59.151179,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:00.104745,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:01.073161,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:02.122538,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:03.155399,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:04.183535,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:05.242653,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:06.343587,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:07.344003,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:08.384983,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:09.395336,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:10.351697,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:11.398535,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:12.381169,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:13.486630,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:14.526551,"(2.25, 3.7, 3.1972972972972973)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:15.514880,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:16.461468,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:17.506827,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:18.549502,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:19.638904,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.485714285714286)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:20.747993,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:21.857834,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:22.843265,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 10.85)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:23.825879,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:24.897944,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:26.055912,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:27.130843,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:28.112855,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:29.129489,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:30.154541,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:31.197986,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:32.226942,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:33.262245,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:34.281433,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:35.303937,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:36.364037,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:37.425526,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:38.382832,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:39.327155,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 11.05)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:40.450214,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:41.538355,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:42.634185,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:43.637113,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:44.627042,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:45.675838,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:46.761519,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:47.876745,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:49.054301,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.4875)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:50.189894,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.0, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:51.206772,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:52.202909,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:53.300703,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:54.384850,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:55.432216,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:56.519510,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:57.591782,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:58.550622,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:25:59.658519,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:00.736759,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:01.911229,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:03.027780,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:04.312364,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:05.522748,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:06.696184,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:07.745202,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:08.910905,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:10.030247,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:11.185922,"(2.25, 3.65, 2.7920930232558137)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:12.381993,"(2.25, 3.65, 2.7920930232558137)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:13.553190,"(2.25, 3.65, 2.7920930232558137)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:14.598780,"(2.25, 3.6, 3.144)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:15.667405,"(2.25, 3.55, 2.9832)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:16.824264,"(2.25, 3.55, 2.9832)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:17.945173,"(2.25, 3.55, 2.9832)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:19.110377,"(2.25, 3.55, 2.9832)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.925)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:20.232766,"(2.25, 3.55, 2.9832)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 9.0)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:21.347174,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:22.409604,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:23.545632,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:24.725572,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:25.879444,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:26.978564,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:28.101498,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:29.301471,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:30.453670,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:31.475717,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:32.575372,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:33.723628,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:34.765349,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:35.919075,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:26:37.069533,"(2.25, 3.65, 3.3525)","(16.0, 60.0, 54.375)","(7.5, 14.5, 13.77)","(8.0, 14.5, 14.402777777777779)","(3.8, 6.2, 5.633333333333334)","(5.0, 10.5, 10.081818181818182)","(17.0, 70.0, 67.84615384615384)"
