,Idyllic Sky,Lala Speed,Iron Atlas,Extreme Rage,Royal Gypsy,Angus Anchovy,Osprey Knight
07-01-2023 17:24:38.417859,"(3.5, 4.9, 4.7705882352941185)","(11.0, 23.0, 20.0)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 44.0, 27.125)"
07-01-2023 17:24:39.431852,"(3.5, 4.9, 4.7705882352941185)","(11.0, 23.0, 20.0)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 44.0, 27.125)"
07-01-2023 17:24:40.477153,"(3.5, 4.9, 4.7705882352941185)","(11.0, 23.0, 20.0)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 44.0, 27.125)"
07-01-2023 17:24:41.471224,"(3.5, 4.9, 4.7705882352941185)","(11.0, 23.0, 20.0)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 44.0, 27.125)"
07-01-2023 17:24:42.506549,"(3.5, 4.9, 4.7705882352941185)","(11.0, 23.0, 20.0)","(1.85, 2.42, 2.148)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 11.05)","(17.0, 80.0, 64.57142857142858)","(15.0, 44.0, 27.125)"
07-01-2023 17:24:43.450511,"(3.5, 4.9, 4.7705882352941185)","(11.0, 23.0, 20.0)","(1.85, 2.42, 2.148)","(5.5, 15.5, 10.754545454545454)","(9.0, 12.5, 11.05)","(17.0, 80.0, 64.57142857142858)","(15.0, 44.0, 25.42857142857143)"
07-01-2023 17:24:44.360695,"(3.5, 4.9, 4.7705882352941185)","(11.0, 22.0, 18.5)","(1.85, 2.7, 2.1081818181818184)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 44.0, 25.42857142857143)"
07-01-2023 17:24:45.363226,"(3.5, 5.5, 5.3)","(11.0, 21.0, 20.0)","(1.85, 2.7, 2.1081818181818184)","(5.5, 15.5, 8.214285714285714)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 44.0, 25.42857142857143)"
07-01-2023 17:24:46.417900,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.7, 2.1081818181818184)","(5.5, 15.5, 8.214285714285714)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 44.0, 27.75)"
07-01-2023 17:24:47.428848,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.7, 2.1081818181818184)","(5.5, 15.5, 8.214285714285714)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 44.0, 27.75)"
