,Uri Bale,Tiggerlong Demon,Goldstar Clover,Smash Wave,Amuri Ruru,Taieri Taylee,Homebush Lennon,Sozins Royal
08-12-2022 12:35:46.629597,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:47.878579,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 19.78181818181818)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:49.100842,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 19.78181818181818)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:50.402677,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 18.766666666666666)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:51.700247,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 18.766666666666666)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:53.072614,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:54.422149,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:55.761428,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:57.082286,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:58.393169,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:59.673565,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:00.985993,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:02.322977,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
