,Contract,Out Of Cash,Hope Sure Can,Murphys Mate,Traviss Lauryn,Lightning Zeal,First Black Jack,Nando Flyer
08-01-2023 18:45:15.208972,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.475)"
08-01-2023 18:45:16.449162,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.933333333333334)"
08-01-2023 18:45:17.737101,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.425)"
08-01-2023 18:45:18.852465,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.86)"
08-01-2023 18:45:19.975902,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.425)"
08-01-2023 18:45:21.232239,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.86)"
08-01-2023 18:45:22.557390,"(5.0, 10.5, 9.911111111111111)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.225)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.86)"
08-01-2023 18:45:23.926242,"(5.0, 10.5, 8.766666666666666)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.6, 9.225)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.425)"
08-01-2023 18:45:25.156202,"(5.0, 10.5, 8.766666666666666)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.6, 9.225)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.525)"
08-01-2023 18:45:26.295556,"(5.0, 10.5, 8.766666666666666)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.6, 9.225)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.525)"
