,World Of Fools,Adios See Ya,Toller,Lion Of The Sea,Jaime Jamel,Dinner Bell,Scaredy Cat,Baytown Jakester,Forever The Boss,Urban Warrior
05-01-2023 12:26:51.816406,"(21.0, 200.0, 154.75)","(10.0, 30.0, 19.666666666666668)","(2.7, 2.96, 2.7522222222222226)","(9.0, 11.0, 9.92)","(26.0, 170.0, 145.33333333333334)","(20.0, 190.0, 133.33333333333331)","(9.0, 26.0, 21.75)","(4.6, 8.0, 7.125)","(7.5, 14.5, 13.088235294117647)","(5.5, 7.6, 6.514285714285714)"
05-01-2023 12:26:53.065802,"(21.0, 200.0, 154.75)","(10.0, 30.0, 19.666666666666668)","(2.7, 2.96, 2.7522222222222226)","(9.0, 11.0, 9.92)","(26.0, 170.0, 145.33333333333334)","(20.0, 190.0, 133.33333333333331)","(9.0, 26.0, 21.75)","(4.6, 8.0, 7.125)","(7.5, 14.5, 13.088235294117647)","(5.5, 7.6, 6.514285714285714)"
05-01-2023 12:26:54.327967,"(21.0, 200.0, 127.60000000000001)","(10.0, 30.0, 19.666666666666668)","(2.7, 2.96, 2.7522222222222226)","(9.0, 11.0, 9.92)","(26.0, 170.0, 145.33333333333334)","(20.0, 190.0, 133.33333333333331)","(9.0, 26.0, 21.75)","(4.6, 8.0, 7.125)","(7.5, 14.5, 13.088235294117647)","(5.5, 7.6, 6.514285714285714)"
05-01-2023 12:26:55.521460,"(21.0, 200.0, 127.60000000000001)","(10.0, 30.0, 19.666666666666668)","(2.7, 2.94, 2.79)","(9.0, 11.0, 9.92)","(26.0, 170.0, 145.33333333333334)","(20.0, 190.0, 105.5)","(9.0, 26.0, 20.666666666666668)","(4.6, 8.0, 7.125)","(7.5, 14.5, 13.088235294117647)","(5.5, 7.6, 6.514285714285714)"
05-01-2023 12:26:56.686915,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 21.0)","(2.7, 2.96, 2.831034482758621)","(9.0, 11.0, 9.92)","(26.0, 170.0, 145.33333333333334)","(20.0, 190.0, 133.33333333333331)","(9.0, 26.0, 20.666666666666668)","(4.6, 8.0, 7.125)","(7.5, 14.5, 11.875)","(5.5, 7.6, 6.514285714285714)"
05-01-2023 12:26:57.874539,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 18.375)","(2.7, 2.96, 2.842758620689655)","(9.0, 11.0, 9.92)","(26.0, 170.0, 145.33333333333334)","(20.0, 190.0, 133.33333333333331)","(9.0, 26.0, 20.666666666666668)","(4.6, 8.0, 7.125)","(7.5, 14.5, 13.088235294117647)","(5.5, 7.6, 6.514285714285714)"
05-01-2023 12:26:59.132043,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 18.375)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 10.047058823529412)","(26.0, 170.0, 145.33333333333334)","(20.0, 190.0, 133.33333333333331)","(9.0, 26.0, 21.75)","(4.6, 8.0, 7.125)","(7.5, 14.5, 13.088235294117647)","(5.5, 7.6, 6.514285714285714)"
05-01-2023 12:27:00.396231,"(21.0, 200.0, 127.60000000000001)","(10.0, 30.0, 18.375)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 10.047058823529412)","(26.0, 170.0, 145.33333333333334)","(20.0, 190.0, 133.33333333333331)","(9.0, 26.0, 21.75)","(4.6, 8.0, 7.125)","(7.5, 14.5, 13.088235294117647)","(5.5, 7.6, 6.514285714285714)"
05-01-2023 12:27:01.795994,"(21.0, 200.0, 127.60000000000001)","(10.0, 30.0, 21.0)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 10.047058823529412)","(26.0, 170.0, 145.33333333333334)","(20.0, 190.0, 105.5)","(9.0, 26.0, 20.666666666666668)","(4.6, 8.0, 7.236363636363636)","(7.5, 14.5, 11.75)","(5.5, 7.6, 5.938461538461539)"
05-01-2023 12:27:03.093866,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 19.125)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 10.047058823529412)","(26.0, 170.0, 145.33333333333334)","(20.0, 190.0, 133.33333333333331)","(9.0, 26.0, 20.333333333333332)","(4.6, 8.0, 7.15)","(7.5, 13.0, 10.692307692307692)","(5.5, 7.6, 5.938461538461539)"
05-01-2023 12:27:04.342116,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 19.125)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 10.047058823529412)","(26.0, 170.0, 145.33333333333334)","(20.0, 190.0, 133.33333333333331)","(9.0, 26.0, 20.333333333333332)","(4.6, 8.2, 7.15)","(7.5, 13.0, 10.692307692307692)","(5.5, 7.6, 5.9125)"
05-01-2023 12:27:05.607230,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 19.125)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 9.92)","(26.0, 160.0, 98.66666666666667)","(20.0, 190.0, 92.85714285714286)","(9.0, 26.0, 20.333333333333332)","(4.6, 8.2, 7.15)","(7.5, 13.0, 11.285714285714285)","(5.5, 7.8, 5.9375)"
05-01-2023 12:27:06.897129,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 19.125)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 9.92)","(26.0, 160.0, 98.66666666666667)","(20.0, 190.0, 92.85714285714286)","(9.0, 26.0, 20.333333333333332)","(4.6, 8.2, 7.15)","(7.5, 13.0, 10.818181818181818)","(5.5, 8.0, 7.418181818181818)"
05-01-2023 12:27:08.200306,"(21.0, 200.0, 148.28571428571428)","(10.0, 30.0, 19.125)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 9.92)","(26.0, 160.0, 98.66666666666667)","(20.0, 190.0, 76.66666666666666)","(9.0, 26.0, 20.333333333333332)","(4.6, 8.2, 7.15)","(7.5, 13.0, 10.818181818181818)","(5.5, 7.8, 7.418181818181818)"
05-01-2023 12:27:09.533066,"(21.0, 200.0, 148.28571428571428)","(10.0, 30.0, 19.125)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 9.92)","(26.0, 150.0, 128.66666666666666)","(20.0, 190.0, 54.8)","(9.0, 25.0, 21.25)","(4.6, 8.2, 7.15)","(7.5, 13.0, 10.818181818181818)","(5.0, 7.8, 7.418181818181818)"
05-01-2023 12:27:10.784776,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 19.125)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 9.92)","(26.0, 150.0, 128.66666666666666)","(20.0, 190.0, 92.85714285714286)","(9.0, 25.0, 21.25)","(4.6, 8.2, 7.15)","(7.5, 13.0, 10.818181818181818)","(5.0, 7.8, 7.418181818181818)"
05-01-2023 12:27:12.061396,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 19.125)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 9.92)","(26.0, 150.0, 128.66666666666666)","(20.0, 190.0, 92.85714285714286)","(9.0, 25.0, 21.25)","(4.6, 8.2, 7.15)","(7.5, 13.0, 11.071428571428571)","(5.0, 7.8, 7.418181818181818)"
05-01-2023 12:27:13.269229,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 21.3)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 9.92)","(26.0, 150.0, 128.66666666666666)","(20.0, 190.0, 92.85714285714286)","(9.0, 25.0, 21.25)","(4.6, 8.2, 7.04516129032258)","(7.5, 12.5, 10.576923076923077)","(5.0, 7.8, 7.418181818181818)"
05-01-2023 12:27:14.447476,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 21.6)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 9.92)","(26.0, 150.0, 128.66666666666666)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.25)","(4.6, 8.4, 7.341176470588236)","(7.5, 12.5, 10.576923076923077)","(5.0, 7.8, 7.418181818181818)"
05-01-2023 12:27:15.633365,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 19.125)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 9.92)","(26.0, 150.0, 128.66666666666666)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.25)","(4.6, 8.4, 7.294736842105263)","(7.5, 12.5, 10.576923076923077)","(5.0, 7.8, 7.418181818181818)"
05-01-2023 12:27:16.825158,"(21.0, 200.0, 148.28571428571428)","(10.0, 30.0, 19.125)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 9.92)","(26.0, 150.0, 87.55555555555556)","(20.0, 190.0, 54.0)","(9.0, 25.0, 21.25)","(4.6, 8.4, 7.294736842105263)","(7.5, 12.5, 10.576923076923077)","(5.0, 7.8, 7.418181818181818)"
05-01-2023 12:27:17.994748,"(21.0, 200.0, 80.0)","(10.0, 30.0, 19.125)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 9.92)","(26.0, 140.0, 87.55555555555556)","(20.0, 190.0, 54.0)","(9.0, 25.0, 21.25)","(4.6, 8.4, 7.294736842105263)","(7.5, 12.5, 10.576923076923077)","(5.0, 7.8, 7.418181818181818)"
05-01-2023 12:27:19.195886,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 19.125)","(2.7, 2.96, 2.771111111111111)","(9.0, 11.0, 9.92)","(26.0, 140.0, 87.55555555555556)","(20.0, 190.0, 54.8)","(9.0, 25.0, 21.25)","(4.6, 8.4, 7.294736842105263)","(7.5, 12.5, 10.576923076923077)","(5.0, 7.8, 7.418181818181818)"
05-01-2023 12:27:20.476812,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 17.571428571428573)","(2.7, 2.96, 2.7666666666666666)","(9.0, 11.0, 9.92)","(26.0, 140.0, 112.0)","(20.0, 190.0, 92.57142857142857)","(9.0, 25.0, 23.92857142857143)","(4.6, 8.4, 7.35)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 7.05)"
05-01-2023 12:27:21.750654,"(21.0, 200.0, 80.0)","(10.0, 30.0, 19.125)","(2.7, 2.96, 2.8937142857142857)","(9.0, 11.0, 9.92)","(26.0, 130.0, 112.0)","(20.0, 190.0, 92.57142857142857)","(9.0, 25.0, 23.92857142857143)","(4.6, 8.4, 7.371428571428572)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 7.05)"
05-01-2023 12:27:23.099995,"(21.0, 200.0, 128.0)","(10.0, 30.0, 21.3)","(2.7, 2.94, 2.7840000000000003)","(9.0, 11.0, 9.92)","(26.0, 130.0, 112.0)","(20.0, 190.0, 92.57142857142857)","(9.0, 25.0, 23.92857142857143)","(4.6, 8.4, 7.577142857142857)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 7.05)"
05-01-2023 12:27:24.405531,"(21.0, 200.0, 128.0)","(10.0, 30.0, 19.125)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.92)","(26.0, 130.0, 112.0)","(20.0, 190.0, 92.57142857142857)","(9.0, 25.0, 23.92857142857143)","(4.6, 8.4, 7.577142857142857)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 7.05)"
05-01-2023 12:27:25.710626,"(21.0, 200.0, 128.0)","(10.0, 30.0, 19.125)","(2.7, 2.94, 2.8269565217391306)","(9.0, 11.0, 10.228571428571428)","(26.0, 130.0, 112.0)","(20.0, 190.0, 92.57142857142857)","(9.0, 25.0, 23.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 7.05)"
05-01-2023 12:27:27.004423,"(21.0, 200.0, 128.0)","(10.0, 30.0, 19.125)","(2.7, 2.94, 2.8269565217391306)","(9.0, 11.0, 9.92)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 23.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 7.466666666666667)"
05-01-2023 12:27:28.334223,"(21.0, 200.0, 80.0)","(10.0, 30.0, 19.125)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.92)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 23.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:29.679173,"(21.0, 200.0, 80.0)","(10.0, 30.0, 19.125)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.92)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 23.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:31.012488,"(21.0, 200.0, 80.0)","(10.0, 30.0, 19.125)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.92)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 23.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:32.300417,"(21.0, 200.0, 80.0)","(10.0, 30.0, 17.571428571428573)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.92)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 23.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:33.525788,"(21.0, 200.0, 80.0)","(10.0, 30.0, 17.571428571428573)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.228571428571428)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 23.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:34.720053,"(21.0, 200.0, 80.0)","(10.0, 30.0, 17.571428571428573)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.228571428571428)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 23.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:35.924145,"(21.0, 200.0, 80.0)","(10.0, 30.0, 17.571428571428573)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.228571428571428)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 23.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:37.192107,"(21.0, 200.0, 80.0)","(10.0, 30.0, 17.571428571428573)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.228571428571428)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 23.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:38.425512,"(21.0, 200.0, 80.0)","(10.0, 30.0, 17.571428571428573)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.263636363636364)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 23.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:39.709225,"(21.0, 200.0, 80.0)","(10.0, 30.0, 19.125)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.263636363636364)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 24.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:40.972160,"(21.0, 200.0, 80.0)","(10.0, 30.0, 19.125)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.263636363636364)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 24.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:42.258151,"(21.0, 200.0, 80.0)","(10.0, 30.0, 19.125)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.263636363636364)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 24.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:43.527809,"(21.0, 200.0, 80.0)","(10.0, 30.0, 19.125)","(2.7, 2.94, 2.8269565217391306)","(9.0, 11.0, 10.040000000000001)","(26.0, 130.0, 112.0)","(20.0, 190.0, 54.0)","(9.0, 25.0, 24.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:44.842469,"(21.0, 200.0, 80.66666666666666)","(10.0, 30.0, 24.0)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.040000000000001)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 24.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:46.147416,"(21.0, 200.0, 80.0)","(10.0, 30.0, 24.0)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.040000000000001)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 24.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:47.442443,"(21.0, 200.0, 80.0)","(10.0, 30.0, 24.0)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.040000000000001)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 24.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:48.667175,"(21.0, 200.0, 80.0)","(10.0, 30.0, 24.0)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.040000000000001)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 24.25)","(4.6, 8.4, 7.44)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:49.872195,"(21.0, 200.0, 80.0)","(10.0, 30.0, 24.0)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.314285714285715)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.4, 7.661538461538461)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:51.045873,"(21.0, 200.0, 148.14285714285714)","(10.0, 30.0, 24.0)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.8)","(26.0, 130.0, 112.0)","(20.0, 190.0, 54.0)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.661538461538461)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:52.335476,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 24.1875)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.95)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.661538461538461)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:53.612595,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 26.423076923076923)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.661538461538461)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:54.805019,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 26.423076923076923)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 92.57142857142857)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.661538461538461)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:55.978223,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 25.0)","(2.7, 2.94, 2.8269565217391306)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 92.57142857142857)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.661538461538461)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:57.220319,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 19.125)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.661538461538461)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:58.438225,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 23.57142857142857)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.661538461538461)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:27:59.534479,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 23.57142857142857)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.661538461538461)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:28:00.751889,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 23.57142857142857)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.661538461538461)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:28:01.876734,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 23.57142857142857)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.661538461538461)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:28:03.001527,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 23.57142857142857)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.661538461538461)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:28:04.108561,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 23.57142857142857)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.7384615384615385)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:28:05.245504,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 23.57142857142857)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.7384615384615385)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:28:06.730783,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 25.909090909090907)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.7384615384615385)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:28:07.956320,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 23.57142857142857)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.7384615384615385)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:28:09.259704,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 23.57142857142857)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.314285714285715)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.7384615384615385)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:28:10.541925,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 23.57142857142857)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.314285714285715)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.7384615384615385)","(7.5, 12.5, 10.833333333333334)","(5.0, 7.8, 6.375)"
05-01-2023 12:28:11.758216,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 23.57142857142857)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 10.314285714285715)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.7384615384615385)","(7.5, 12.5, 10.9)","(5.0, 7.8, 6.375)"
05-01-2023 12:28:13.072853,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 23.57142857142857)","(2.7, 2.94, 2.7357142857142858)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 76.33333333333334)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.7384615384615385)","(7.5, 12.5, 10.9)","(5.0, 7.8, 6.375)"
05-01-2023 12:28:14.362972,"(21.0, 200.0, 79.33333333333334)","(10.0, 30.0, 23.57142857142857)","(2.7, 2.94, 2.8269565217391306)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 54.0)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.7384615384615385)","(7.5, 12.5, 11.323529411764707)","(5.0, 7.8, 6.375)"
05-01-2023 12:28:15.612622,"(21.0, 200.0, 79.66666666666666)","(10.0, 30.0, 19.125)","(2.7, 2.94, 2.8269565217391306)","(9.0, 11.0, 9.971428571428572)","(26.0, 130.0, 112.0)","(20.0, 190.0, 92.57142857142857)","(9.0, 25.0, 21.5)","(4.6, 8.2, 7.7384615384615385)","(7.5, 12.5, 11.323529411764707)","(5.0, 7.8, 6.375)"
