,Radley Erskin,Gold On Black,Goddess Of War,Jerrys Mate,Willina Charm,Bundy Traveller,Oh So Orson,Toppers The One
11-01-2023 11:08:22.972516,"(1.75, 2.0, 1.9933333333333334)","(2.8, 4.5, 3.925)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 58.833333333333336)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:24.150651,"(1.75, 2.0, 1.9933333333333334)","(2.8, 4.5, 3.925)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 53.0)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:25.361975,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.5, 3.477777777777778)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 53.0)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:26.458181,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.875)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 58.45454545454545)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:27.562710,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 59.0)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:28.643495,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 59.0)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:29.715432,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 59.0)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:30.805889,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 53.33333333333333)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:31.940046,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 53.33333333333333)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:33.008843,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 53.33333333333333)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:34.023207,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 58.63636363636363)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:35.149763,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 46.07142857142857)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:36.318323,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 55.0, 46.07142857142857)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:37.419065,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 55.0, 46.07142857142857)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:38.506888,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 55.0, 46.07142857142857)","(31.0, 350.0, 205.0)"
11-01-2023 11:08:39.546311,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 207.5)"
11-01-2023 11:08:40.541713,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 207.5)"
11-01-2023 11:08:41.551587,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 207.5)"
11-01-2023 11:08:42.608286,"(1.75, 2.0, 1.9854545454545454)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 207.5)"
11-01-2023 11:08:43.657876,"(1.75, 2.04, 2.035)","(2.8, 4.4, 3.7)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 207.5)"
11-01-2023 11:08:44.692097,"(1.75, 2.1, 2.09125)","(2.8, 4.4, 3.5250000000000004)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 11.7)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 207.5)"
11-01-2023 11:08:45.734645,"(1.75, 2.1, 1.98625)","(2.8, 4.4, 3.5250000000000004)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.625)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 207.5)"
11-01-2023 11:08:46.872137,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.4, 3.5250000000000004)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.0, 12.625)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 207.5)"
11-01-2023 11:08:48.059620,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.3, 3.46875)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.0, 12.625)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 207.5)"
11-01-2023 11:08:49.157245,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.3, 3.46875)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.0, 12.625)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 207.5)"
11-01-2023 11:08:50.201813,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.3, 3.46875)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.0, 12.625)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 207.5)"
11-01-2023 11:08:51.351541,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.3, 3.46875)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.142857142857142)","(10.0, 13.0, 11.75)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 207.5)"
11-01-2023 11:08:52.422128,"(1.75, 2.1, 2.042962962962963)","(2.8, 4.3, 3.4291666666666667)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.142857142857142)","(10.0, 13.0, 11.676470588235293)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 207.5)"
11-01-2023 11:08:53.574443,"(1.75, 2.1, 2.042962962962963)","(2.8, 4.3, 3.4291666666666667)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.142857142857142)","(10.0, 13.0, 11.5)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 207.5)"
11-01-2023 11:08:54.736523,"(1.75, 2.1, 2.042962962962963)","(2.8, 4.3, 3.4291666666666667)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.142857142857142)","(10.0, 13.0, 11.071428571428571)","(15.0, 55.0, 46.07142857142857)","(31.0, 320.0, 222.5)"
11-01-2023 11:08:55.745114,"(1.75, 2.1, 2.042962962962963)","(2.8, 4.3, 3.4291666666666667)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.142857142857142)","(10.0, 13.0, 11.071428571428571)","(15.0, 55.0, 46.07142857142857)","(31.0, 350.0, 126.66666666666666)"
11-01-2023 11:08:56.901060,"(1.75, 2.1, 2.042962962962963)","(2.8, 4.3, 3.4291666666666667)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.142857142857142)","(10.0, 13.0, 11.071428571428571)","(15.0, 55.0, 46.07142857142857)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:08:58.011680,"(1.75, 2.1, 2.042962962962963)","(2.8, 4.3, 3.4291666666666667)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.142857142857142)","(10.0, 13.0, 11.5)","(15.0, 55.0, 46.07142857142857)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:08:59.181166,"(1.75, 2.1, 2.042962962962963)","(2.8, 4.3, 3.4291666666666667)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.142857142857142)","(10.0, 12.5, 11.342105263157894)","(15.0, 55.0, 46.07142857142857)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:09:00.311129,"(1.75, 2.1, 2.042962962962963)","(2.8, 4.3, 3.4291666666666667)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.142857142857142)","(10.0, 12.5, 10.91025641025641)","(15.0, 55.0, 46.07142857142857)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:09:01.382298,"(1.75, 2.1, 2.042962962962963)","(2.8, 4.3, 3.4291666666666667)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 45.38461538461539)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:09:02.667482,"(1.75, 2.1, 2.042962962962963)","(2.8, 4.3, 3.4291666666666667)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 45.38461538461539)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:09:03.880434,"(1.75, 2.1, 2.042962962962963)","(2.8, 4.3, 3.4291666666666667)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 45.38461538461539)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:09:05.024062,"(1.75, 2.1, 2.042962962962963)","(2.8, 4.3, 3.4291666666666667)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 45.38461538461539)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:09:06.144463,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.3, 3.4291666666666667)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 45.38461538461539)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:09:07.167312,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.3, 3.4291666666666667)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 45.38461538461539)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:09:08.729605,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.3, 3.4562500000000003)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 45.38461538461539)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:09:09.819196,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.4562500000000003)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 45.38461538461539)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:09:10.923090,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.4562500000000003)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 40.625)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:09:12.109320,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.4562500000000003)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 40.625)","(31.0, 310.0, 134.0)"
11-01-2023 11:09:13.231881,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.4562500000000003)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 47.8125)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:09:14.301350,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.4562500000000003)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 47.8125)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:09:15.391807,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.4562500000000003)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 47.8125)","(31.0, 310.0, 126.66666666666666)"
11-01-2023 11:09:16.629064,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.4562500000000003)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 47.8125)","(31.0, 310.0, 122.5)"
11-01-2023 11:09:17.760056,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.4562500000000003)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 46.15384615384615)","(31.0, 310.0, 122.5)"
11-01-2023 11:09:18.855930,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.4562500000000003)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 46.15384615384615)","(31.0, 310.0, 122.5)"
11-01-2023 11:09:19.970759,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.4208333333333334)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 46.15384615384615)","(31.0, 310.0, 122.5)"
11-01-2023 11:09:21.107964,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.4208333333333334)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 55.0, 49.230769230769226)","(31.0, 310.0, 122.5)"
11-01-2023 11:09:22.225758,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.4208333333333334)","(21.0, 50.0, 39.333333333333336)","(14.0, 26.0, 19.0)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 60.0, 49.230769230769226)","(31.0, 310.0, 122.5)"
11-01-2023 11:09:23.355151,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.8694444444444445)","(21.0, 50.0, 36.0)","(14.0, 26.0, 17.75)","(13.0, 27.0, 22.423076923076923)","(10.0, 12.5, 11.083333333333334)","(15.0, 60.0, 51.25)","(31.0, 310.0, 202.5)"
11-01-2023 11:09:24.444570,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.886842105263158)","(21.0, 50.0, 36.0)","(14.0, 26.0, 17.75)","(13.0, 27.0, 20.86842105263158)","(10.0, 12.5, 11.083333333333334)","(15.0, 60.0, 51.25)","(31.0, 320.0, 202.5)"
11-01-2023 11:09:25.548041,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.886842105263158)","(21.0, 50.0, 36.0)","(14.0, 26.0, 21.833333333333336)","(13.0, 26.0, 22.045454545454547)","(10.0, 12.5, 11.589285714285714)","(15.0, 60.0, 51.76470588235294)","(31.0, 320.0, 202.5)"
11-01-2023 11:09:26.801619,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.886842105263158)","(21.0, 50.0, 41.38461538461539)","(14.0, 25.0, 20.68181818181818)","(13.0, 25.0, 20.794117647058822)","(10.0, 12.5, 11.67741935483871)","(15.0, 60.0, 51.76470588235294)","(31.0, 320.0, 301.81818181818187)"
11-01-2023 11:09:27.964617,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 3.886842105263158)","(21.0, 50.0, 41.38461538461539)","(14.0, 25.0, 20.68181818181818)","(13.0, 25.0, 20.794117647058822)","(10.0, 12.5, 11.67741935483871)","(15.0, 60.0, 67.07692307692307)","(31.0, 320.0, 301.81818181818187)"
11-01-2023 11:09:29.121356,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.2, 4.226923076923077)","(21.0, 50.0, 41.38461538461539)","(14.0, 25.0, 17.97826086956522)","(13.0, 25.0, 20.794117647058822)","(10.0, 12.5, 11.67741935483871)","(15.0, 70.0, 67.07692307692307)","(31.0, 320.0, 301.81818181818187)"
11-01-2023 11:09:30.238583,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.3, 4.161764705882353)","(21.0, 50.0, 41.38461538461539)","(14.0, 25.0, 17.61111111111111)","(13.0, 25.0, 20.794117647058822)","(10.0, 12.5, 11.67741935483871)","(15.0, 70.0, 67.07692307692307)","(31.0, 320.0, 301.81818181818187)"
11-01-2023 11:09:31.385297,"(1.75, 2.1, 2.0533333333333332)","(2.8, 4.5, 3.8000000000000003)","(21.0, 50.0, 43.0)","(14.0, 25.0, 23.15)","(13.0, 25.0, 20.794117647058822)","(10.0, 12.5, 13.4)","(15.0, 70.0, 67.07692307692307)","(31.0, 320.0, 301.81818181818187)"
11-01-2023 11:09:32.468911,"(1.75, 2.1, 2.0475)","(2.8, 4.4, 3.8000000000000003)","(21.0, 50.0, 43.0)","(14.0, 24.0, 23.15)","(13.0, 25.0, 19.944444444444443)","(10.0, 14.0, 13.352941176470589)","(15.0, 70.0, 67.07692307692307)","(31.0, 320.0, 301.81818181818187)"
11-01-2023 11:09:33.541881,"(1.75, 2.1, 2.0475)","(2.8, 4.3, 3.8043478260869565)","(21.0, 50.0, 43.0)","(14.0, 22.0, 20.0)","(13.0, 25.0, 19.944444444444443)","(10.0, 13.5, 13.416666666666666)","(15.0, 70.0, 67.07692307692307)","(31.0, 320.0, 301.81818181818187)"
11-01-2023 11:09:34.651437,"(1.75, 2.1, 2.0475)","(2.8, 4.3, 3.8043478260869565)","(21.0, 50.0, 43.0)","(14.0, 22.0, 17.589285714285715)","(13.0, 25.0, 20.06)","(10.0, 13.5, 13.416666666666666)","(15.0, 70.0, 67.07692307692307)","(31.0, 320.0, 302.72727272727275)"
11-01-2023 11:09:35.781530,"(1.75, 2.1, 2.0475)","(2.8, 4.3, 3.8043478260869565)","(21.0, 50.0, 43.0)","(14.0, 22.0, 20.45)","(13.0, 25.0, 21.25)","(10.0, 13.5, 13.416666666666666)","(15.0, 70.0, 60.666666666666664)","(31.0, 320.0, 302.72727272727275)"
11-01-2023 11:09:36.896645,"(1.75, 2.1, 2.0475)","(2.8, 4.3, 3.8043478260869565)","(21.0, 50.0, 43.0)","(14.0, 21.0, 20.45)","(13.0, 24.0, 21.25)","(10.0, 13.5, 13.40909090909091)","(15.0, 75.0, 60.666666666666664)","(31.0, 320.0, 302.72727272727275)"
11-01-2023 11:09:38.072658,"(1.75, 2.1, 2.0475)","(2.8, 4.3, 3.8043478260869565)","(21.0, 50.0, 43.0)","(14.0, 21.0, 20.45)","(13.0, 24.0, 21.25)","(10.0, 13.5, 13.40909090909091)","(15.0, 75.0, 60.666666666666664)","(31.0, 320.0, 302.72727272727275)"
11-01-2023 11:09:39.198502,"(1.75, 2.1, 2.0475)","(2.8, 4.3, 3.8043478260869565)","(21.0, 50.0, 43.0)","(14.0, 21.0, 20.45)","(13.0, 24.0, 21.25)","(10.0, 13.5, 13.40909090909091)","(15.0, 75.0, 60.666666666666664)","(31.0, 320.0, 302.72727272727275)"
11-01-2023 11:09:40.255779,"(1.75, 2.1, 2.0475)","(2.8, 4.3, 3.8043478260869565)","(21.0, 50.0, 43.0)","(14.0, 21.0, 20.45)","(13.0, 24.0, 21.25)","(10.0, 13.5, 13.40909090909091)","(15.0, 75.0, 60.666666666666664)","(31.0, 320.0, 302.72727272727275)"
11-01-2023 11:09:41.362352,"(1.75, 2.1, 2.0475)","(2.9, 4.3, 3.8043478260869565)","(26.0, 50.0, 43.0)","(14.0, 21.0, 17.975)","(14.0, 24.0, 21.25)","(10.0, 13.5, 13.4)","(18.0, 75.0, 60.666666666666664)","(31.0, 320.0, 302.72727272727275)"
11-01-2023 11:09:42.477489,"(1.75, 2.12, 2.1054545454545455)","(2.9, 4.3, 3.8043478260869565)","(26.0, 50.0, 43.0)","(14.0, 21.0, 16.76923076923077)","(14.0, 24.0, 20.0)","(10.0, 13.5, 13.4)","(18.0, 75.0, 60.666666666666664)","(31.0, 320.0, 230.0)"
11-01-2023 11:09:43.585565,"(1.75, 2.14, 2.092777777777778)","(2.9, 4.3, 3.8043478260869565)","(26.0, 50.0, 43.0)","(14.0, 21.0, 16.015625)","(14.0, 24.0, 19.934782608695652)","(10.0, 13.5, 13.4)","(18.0, 75.0, 60.666666666666664)","(31.0, 320.0, 230.0)"
11-01-2023 11:09:44.693504,"(1.75, 2.14, 2.092777777777778)","(2.9, 4.3, 3.8043478260869565)","(26.0, 50.0, 43.0)","(14.0, 21.0, 16.015625)","(14.0, 24.0, 19.934782608695652)","(10.0, 13.5, 13.4)","(18.0, 75.0, 60.666666666666664)","(31.0, 320.0, 230.0)"
11-01-2023 11:09:45.835494,"(1.75, 2.14, 2.092777777777778)","(2.9, 4.3, 3.8043478260869565)","(26.0, 50.0, 43.0)","(14.0, 21.0, 16.308823529411764)","(14.0, 24.0, 20.071428571428573)","(10.0, 13.5, 13.4)","(18.0, 75.0, 60.666666666666664)","(31.0, 320.0, 230.0)"
11-01-2023 11:09:46.846360,"(1.75, 2.14, 2.092777777777778)","(2.9, 4.3, 3.8043478260869565)","(26.0, 50.0, 43.0)","(14.0, 21.0, 16.308823529411764)","(14.0, 24.0, 20.954545454545453)","(10.0, 13.5, 13.4)","(18.0, 75.0, 60.666666666666664)","(31.0, 320.0, 230.0)"
11-01-2023 11:09:47.845528,"(1.75, 2.14, 2.092777777777778)","(2.9, 4.3, 3.8043478260869565)","(26.0, 50.0, 43.0)","(14.0, 21.0, 16.06896551724138)","(14.0, 23.0, 19.67391304347826)","(10.0, 13.5, 13.4)","(18.0, 75.0, 60.666666666666664)","(31.0, 320.0, 305.0)"
11-01-2023 11:09:48.899364,"(1.75, 2.14, 2.092777777777778)","(2.9, 4.3, 3.8043478260869565)","(26.0, 50.0, 43.0)","(14.0, 21.0, 16.308823529411764)","(14.0, 23.0, 19.67391304347826)","(10.0, 13.5, 13.4)","(18.0, 75.0, 60.666666666666664)","(31.0, 320.0, 305.0)"
11-01-2023 11:09:50.008817,"(1.75, 2.14, 2.092777777777778)","(2.9, 4.3, 3.8043478260869565)","(26.0, 50.0, 43.0)","(14.0, 21.0, 16.015625)","(14.0, 23.0, 19.67391304347826)","(10.0, 13.5, 13.4)","(18.0, 75.0, 60.666666666666664)","(31.0, 320.0, 305.0)"
11-01-2023 11:09:51.048289,"(1.75, 2.14, 2.092777777777778)","(2.9, 4.3, 3.8043478260869565)","(26.0, 50.0, 43.0)","(14.0, 21.0, 16.015625)","(14.0, 23.0, 19.67391304347826)","(10.0, 13.5, 13.4)","(18.0, 75.0, 60.666666666666664)","(31.0, 320.0, 305.0)"
11-01-2023 11:09:52.258742,"(1.75, 2.14, 2.092777777777778)","(2.9, 4.3, 3.8043478260869565)","(26.0, 50.0, 43.0)","(14.0, 21.0, 16.308823529411764)","(14.0, 23.0, 21.363636363636363)","(10.0, 13.5, 13.4)","(18.0, 75.0, 60.666666666666664)","(31.0, 320.0, 305.0)"
11-01-2023 11:09:53.339980,"(1.75, 2.14, 2.092777777777778)","(2.9, 4.3, 3.8043478260869565)","(26.0, 50.0, 43.0)","(14.0, 21.0, 16.308823529411764)","(14.0, 22.0, 21.363636363636363)","(10.0, 13.5, 13.4)","(18.0, 75.0, 60.666666666666664)","(31.0, 320.0, 305.0)"
11-01-2023 11:09:54.437103,"(1.75, 2.14, 2.092777777777778)","(2.9, 4.2, 3.696296296296296)","(26.0, 50.0, 43.0)","(14.0, 21.0, 16.015625)","(14.0, 22.0, 21.363636363636363)","(10.0, 13.5, 13.4)","(18.0, 75.0, 60.666666666666664)","(31.0, 320.0, 323.33333333333337)"
