,What A Nose,Dairy Girl,Memories Keep,Noaki Cruise,Noaki Nipper,Stylish Rico,Lock It In,Gypsy Rico
08-01-2023 19:27:19.294300,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:20.488731,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:21.839147,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:23.194345,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:24.552917,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:25.832871,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:27.185818,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:28.528076,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:29.921570,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:31.208120,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:32.532951,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:33.827482,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
