,What A Tart,Golden Lassie,Light Hearted,Jungle Goddess,Bend The Knee,Cascabria,Leading Indicator,Lil Sister Lou,Salt On The Rim,Westlodge Intrigue
14-12-2022 13:00:55.913227,"(21.0, 38.0, 30.142857142857142)","(4.8, 5.3, 4.869230769230769)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(11.0, 15.0, 14.55)","(19.0, 48.0, 42.666666666666664)","(4.8, 6.4, 6.170833333333333)","(12.0, 19.0, 18.176470588235293)","(15.0, 27.0, 24.5)","(3.2, 3.65, 3.506521739130435)"
14-12-2022 13:00:57.389537,"(21.0, 38.0, 31.125)","(4.8, 5.3, 4.8428571428571425)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.254545454545454)","(11.0, 15.0, 14.625)","(19.0, 48.0, 43.42857142857143)","(4.8, 6.4, 6.125)","(12.0, 19.0, 18.22222222222222)","(15.0, 27.0, 25.0)","(3.2, 3.65, 3.546875)"
14-12-2022 13:00:58.719917,"(21.0, 38.0, 31.125)","(4.8, 5.3, 4.883333333333333)","(31.0, 120.0, 101.0)","(6.5, 8.4, 8.293333333333333)","(11.0, 15.0, 14.678571428571429)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.18)","(12.0, 19.0, 18.3)","(15.0, 26.0, 25.11111111111111)","(3.2, 3.65, 3.558333333333333)"
14-12-2022 13:01:00.040236,"(21.0, 38.0, 31.88888888888889)","(4.8, 5.3, 4.883333333333333)","(31.0, 120.0, 101.0)","(6.5, 8.4, 8.293333333333333)","(11.0, 15.0, 14.678571428571429)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.18)","(12.0, 19.0, 18.3)","(15.0, 26.0, 25.11111111111111)","(3.2, 3.65, 3.5173076923076922)"
14-12-2022 13:01:01.397859,"(21.0, 38.0, 31.88888888888889)","(4.8, 5.3, 4.9190476190476184)","(31.0, 120.0, 101.0)","(6.5, 8.4, 8.2)","(11.0, 15.0, 14.678571428571429)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.18)","(12.0, 19.0, 18.3)","(15.0, 26.0, 25.2)","(3.2, 3.65, 3.532142857142857)"
14-12-2022 13:01:02.776344,"(21.0, 38.0, 31.88888888888889)","(4.8, 5.3, 4.9818181818181815)","(31.0, 120.0, 101.0)","(6.5, 8.4, 8.311111111111112)","(11.0, 15.0, 14.678571428571429)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.18)","(12.0, 19.0, 18.3)","(15.0, 26.0, 25.2)","(3.2, 3.65, 3.5204545454545455)"
14-12-2022 13:01:04.161012,"(21.0, 38.0, 31.88888888888889)","(4.8, 5.3, 4.9818181818181815)","(31.0, 120.0, 101.0)","(6.5, 8.4, 8.311111111111112)","(11.0, 15.0, 14.678571428571429)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.18)","(12.0, 19.0, 18.3)","(15.0, 26.0, 25.2)","(3.2, 3.65, 3.5204545454545455)"
14-12-2022 13:01:05.507053,"(21.0, 38.0, 32.5)","(4.8, 5.3, 4.9818181818181815)","(31.0, 120.0, 101.0)","(6.5, 8.4, 8.330434782608696)","(11.0, 15.0, 14.735294117647058)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.4, 6.18)","(12.0, 19.0, 18.363636363636363)","(15.0, 25.0, 24.454545454545453)","(3.2, 3.65, 3.5204545454545455)"
14-12-2022 13:01:06.907020,"(21.0, 38.0, 32.5)","(4.8, 5.3, 4.9818181818181815)","(31.0, 120.0, 101.0)","(6.5, 8.4, 8.330434782608696)","(11.0, 15.0, 14.804347826086957)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.4, 6.22093023255814)","(12.0, 19.0, 18.363636363636363)","(15.0, 25.0, 24.454545454545453)","(3.2, 3.65, 3.5204545454545455)"
14-12-2022 13:01:08.368076,"(21.0, 38.0, 32.5)","(4.8, 5.3, 4.9818181818181815)","(31.0, 120.0, 101.0)","(6.5, 8.4, 8.330434782608696)","(11.0, 15.0, 14.804347826086957)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.1)","(12.0, 19.0, 18.3)","(15.0, 25.0, 24.4)","(3.2, 3.5, 3.473529411764706)"
14-12-2022 13:01:09.821008,"(21.0, 38.0, 31.88888888888889)","(4.8, 5.3, 5.155555555555556)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.758762886597939)","(11.0, 15.0, 14.82)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.1)","(12.0, 19.0, 18.3)","(15.0, 25.0, 25.692307692307693)","(3.2, 3.65, 3.51046511627907)"
14-12-2022 13:01:11.164726,"(21.0, 38.0, 31.88888888888889)","(4.8, 5.2, 5.155555555555556)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.758762886597939)","(11.0, 15.0, 14.82)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.1)","(12.0, 19.0, 18.3)","(15.0, 28.0, 23.714285714285715)","(3.2, 3.65, 3.51046511627907)"
14-12-2022 13:01:12.407569,"(21.0, 50.0, 40.14285714285714)","(4.8, 5.2, 5.078260869565217)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.3)","(11.0, 15.0, 14.775)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.1)","(12.0, 19.0, 18.3)","(15.0, 28.0, 26.57142857142857)","(3.2, 3.65, 3.5583333333333336)"
