,Gudgeon Pin,Good Charlotte,Get A Shout,Roma Bella,Prabaker,Pepperberry,Manawata,Dr Archer
07-12-2022 19:10:39.717175,"(2.0, 2.6, 2.247727272727273)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:40.917859,"(2.0, 2.6, 2.247727272727273)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:42.109478,"(2.0, 2.6, 2.247727272727273)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:43.228280,"(2.0, 2.6, 2.247727272727273)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:44.316979,"(2.0, 2.6, 2.247727272727273)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:45.459025,"(2.0, 2.6, 2.5578947368421057)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:46.576049,"(2.0, 2.6, 2.1090909090909093)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:47.649926,"(2.0, 2.6, 2.2625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 38.035714285714285)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:48.806431,"(2.0, 2.6, 2.2625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 38.035714285714285)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:50.006061,"(2.0, 2.6, 2.2625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 38.035714285714285)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:51.244070,"(2.0, 2.6, 2.2625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 38.035714285714285)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:52.515986,"(2.0, 2.6, 2.2625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 38.035714285714285)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:53.656571,"(2.0, 2.6, 2.2625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 28.4375)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
