,Villainess,Overhyped,Silver Valley,Good Charlotte,Barney Sun,My Shout Zoe,Nick The Quick,Dr Topaz
11-01-2023 20:18:16.633465,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:17.767789,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:19.057761,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:20.276857,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:21.527525,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:22.851758,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:24.067211,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.537037037037037)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:25.319807,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.537037037037037)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:26.561388,"(31.0, 290.0, 160.0)","(3.8, 8.8, 5.14375)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:27.752479,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.829411764705882)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:28.826560,"(31.0, 290.0, 160.0)","(3.8, 8.6, 6.829411764705882)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:30.007466,"(31.0, 290.0, 160.0)","(3.8, 8.6, 6.829411764705882)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.15, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:31.139280,"(31.0, 290.0, 160.0)","(3.8, 8.6, 6.829411764705882)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:32.360922,"(31.0, 290.0, 160.0)","(3.8, 8.6, 6.911764705882353)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:33.593636,"(31.0, 290.0, 160.0)","(3.8, 8.6, 5.66)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:34.812001,"(31.0, 290.0, 160.0)","(3.8, 8.6, 6.829411764705882)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:36.109598,"(31.0, 290.0, 160.0)","(3.8, 8.6, 6.911764705882353)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:37.317411,"(31.0, 290.0, 160.0)","(3.8, 8.6, 6.911764705882353)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:38.521281,"(31.0, 290.0, 160.0)","(3.8, 8.6, 5.8)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:39.668917,"(31.0, 290.0, 160.0)","(3.8, 8.6, 5.8)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:40.774008,"(31.0, 290.0, 160.0)","(3.8, 8.6, 5.8)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:41.975033,"(31.0, 290.0, 160.0)","(3.8, 8.6, 5.8)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.75)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 14.833333333333334)"
