,Tricky Shacoby,Sammy Buttons,Tap Out Diesel,Lady On Fire,Skyla Blue,Monday Blues,Blazin Shirl,Black Book
04-01-2023 15:43:21.962013,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:23.154446,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:24.353656,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:25.551582,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:26.753963,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:27.846785,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:28.987798,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:30.175824,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:31.385327,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:32.570006,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:33.837488,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:35.041578,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:36.214205,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:37.339073,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:38.471060,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:39.642984,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:40.776376,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:41.852522,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:42.988939,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:44.130540,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:45.267453,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:46.413792,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:47.638801,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:48.848051,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:50.037744,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:51.203324,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:52.389512,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:53.633204,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
