,The Englishman,Gago,Were Da Ya Get It,West Cork,Huracanevo,Utopian Spirit,Moscow Night,Esky,Pure Hydrogen,Romeos Choice
11-01-2023 13:12:49.926380,"(3.2, 3.85, 3.8102974828375284)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.7, 5.684)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.724242424242424)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.23448275862069)","(31.0, 55.0, 53.75)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:51.117910,"(3.2, 3.85, 3.8102974828375284)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.7, 5.684)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.724242424242424)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.23448275862069)","(31.0, 55.0, 55.714285714285715)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:52.249284,"(3.2, 3.85, 3.8102974828375284)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.7, 5.684)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.724242424242424)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.23448275862069)","(31.0, 70.0, 55.714285714285715)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:53.488135,"(3.2, 3.85, 3.8102974828375284)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.7, 5.684)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.724242424242424)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.225454545454546)","(31.0, 70.0, 57.2)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:54.794038,"(3.2, 3.85, 3.8102974828375284)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.7, 5.684)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.724242424242424)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.225454545454546)","(31.0, 70.0, 57.2)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:56.151005,"(3.2, 3.85, 3.8102974828375284)","(26.0, 36.0, 35.0)","(5.0, 5.7, 5.684)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.688888888888888)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.24)","(31.0, 70.0, 57.2)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.666666666666668)"
11-01-2023 13:12:57.459964,"(3.2, 3.85, 3.8102974828375284)","(26.0, 36.0, 35.0)","(5.0, 5.7, 5.684)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.688888888888888)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.24)","(31.0, 70.0, 57.2)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.666666666666668)"
11-01-2023 13:12:58.696713,"(3.2, 3.85, 3.8102974828375284)","(26.0, 36.0, 35.0)","(5.0, 5.7, 5.684)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.688888888888888)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.24)","(31.0, 70.0, 57.2)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.666666666666668)"
11-01-2023 13:12:59.996329,"(3.2, 3.85, 3.805964467005076)","(26.0, 36.0, 35.0)","(5.0, 5.9, 5.714545454545455)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.688888888888888)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.24)","(31.0, 70.0, 57.2)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:13:01.218041,"(3.2, 3.85, 3.805964467005076)","(26.0, 36.0, 35.0)","(5.0, 5.9, 5.714545454545455)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.688888888888888)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.24)","(31.0, 70.0, 57.2)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.666666666666668)"
