,Venting,Stately Star,Laelaps,Alchian,Sheezabigdeel,Master Of Zerprise,Sports Idol,Raise The Colours,If You Leave,Albanian Eagle,Chattering,Bungalally Babe
06-01-2023 13:45:07.747482,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.363636363636363)","(4.8, 7.4, 7.300000000000001)","(5.0, 7.2, 6.731034482758621)","(6.0, 7.2, 7.142857142857143)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.88)","(13.0, 15.5, 15.460352422907489)","(9.0, 14.0, 13.11111111111111)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:45:09.260081,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.363636363636363)","(4.8, 7.4, 7.300000000000001)","(5.0, 7.2, 6.914285714285715)","(6.0, 7.2, 7.142857142857143)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.88)","(13.0, 15.5, 15.460352422907489)","(9.0, 14.0, 13.11111111111111)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:45:10.769780,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.363636363636363)","(4.8, 7.4, 7.300000000000001)","(5.0, 7.0, 6.8)","(6.0, 7.2, 6.266666666666667)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.2, 7.9)","(13.0, 15.5, 15.460352422907489)","(9.0, 14.0, 13.333333333333334)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:45:12.261820,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.428571428571427)","(4.8, 7.4, 7.300000000000001)","(5.0, 7.0, 6.8)","(6.0, 6.8, 6.3428571428571425)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 7.9)","(13.0, 15.5, 15.460352422907489)","(9.0, 14.0, 13.333333333333334)","(31.0, 95.0, 77.5)","(91.0, 170.0, 142.0)"
06-01-2023 13:45:13.793246,"(7.0, 10.0, 9.58)","(13.0, 17.0, 16.428571428571427)","(4.8, 7.4, 7.300000000000001)","(5.0, 7.0, 6.8)","(6.0, 6.8, 6.3428571428571425)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 8.0)","(13.0, 15.5, 15.460352422907489)","(9.0, 14.0, 13.333333333333334)","(31.0, 95.0, 77.5)","(91.0, 170.0, 127.5)"
06-01-2023 13:45:15.252131,"(7.0, 10.0, 9.58)","(13.0, 17.0, 16.153846153846153)","(4.8, 7.4, 7.11578947368421)","(5.0, 7.0, 6.8)","(6.0, 6.8, 6.218181818181818)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 8.0)","(13.0, 15.5, 15.45631067961165)","(9.0, 14.0, 13.333333333333334)","(31.0, 95.0, 77.5)","(91.0, 170.0, 127.5)"
06-01-2023 13:45:16.711769,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.153846153846153)","(4.8, 7.4, 7.11578947368421)","(5.0, 7.0, 6.8)","(6.0, 6.8, 6.449999999999999)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 8.0)","(13.0, 15.5, 15.45631067961165)","(9.0, 14.0, 13.333333333333334)","(31.0, 95.0, 77.5)","(91.0, 170.0, 127.5)"
06-01-2023 13:45:18.141572,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.153846153846153)","(4.8, 7.4, 7.11578947368421)","(5.0, 7.0, 6.720000000000001)","(6.0, 6.6, 6.181818181818182)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 8.05)","(13.0, 15.5, 15.455223880597014)","(9.0, 14.0, 13.333333333333334)","(31.0, 95.0, 77.5)","(91.0, 170.0, 136.66666666666666)"
06-01-2023 13:45:19.539516,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.153846153846153)","(4.8, 7.4, 7.11578947368421)","(5.0, 7.2, 6.720000000000001)","(6.0, 6.4, 6.181818181818182)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 8.05)","(13.0, 15.5, 15.454081632653061)","(9.0, 14.0, 13.333333333333334)","(31.0, 95.0, 77.5)","(91.0, 170.0, 136.66666666666666)"
06-01-2023 13:45:21.009663,"(7.0, 10.0, 9.58)","(13.0, 16.5, 16.153846153846153)","(4.8, 7.4, 7.11578947368421)","(5.0, 7.2, 6.8)","(6.0, 6.4, 6.133333333333334)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 8.05)","(13.0, 15.5, 15.454081632653061)","(9.0, 14.0, 11.566666666666666)","(31.0, 95.0, 77.5)","(91.0, 170.0, 136.66666666666666)"
