,Versetto,Hongbao,Tequila Sunset,Midnight Rush,Opal Beach,Grandma Gail,Magiclane,Morphett Road
16-12-2022 15:28:22.444484,"(8.0, 11.5, 11.098540145985401)","(1.8, 1.96, 1.9528671328671328)","(11.0, 13.5, 13.48)","(4.8, 5.9, 5.892857142857143)","(26.0, 38.0, 37.38461538461539)","(7.5, 9.0, 8.830769230769231)","(41.0, 60.0, 59.6551724137931)","(101.0, 360.0, 355.0)"
16-12-2022 15:28:23.554324,"(8.0, 11.5, 11.192307692307692)","(1.8, 1.95, 1.942817679558011)","(11.0, 14.0, 13.683168316831683)","(4.8, 6.0, 5.843999999999999)","(26.0, 40.0, 37.795918367346935)","(7.5, 9.2, 8.92)","(41.0, 60.0, 60.625)","(101.0, 360.0, 352.85714285714283)"
16-12-2022 15:28:24.741257,"(8.0, 11.5, 11.26060606060606)","(1.8, 1.94, 1.9306990881458965)","(11.0, 14.0, 13.792079207920793)","(4.8, 6.0, 5.935393258426966)","(26.0, 40.0, 37.65217391304348)","(7.5, 9.0, 8.841379310344829)","(41.0, 65.0, 60.96774193548387)","(101.0, 370.0, 353.3333333333333)"
16-12-2022 15:28:26.006364,"(8.0, 11.5, 11.26060606060606)","(1.8, 1.94, 1.9334099616858238)","(11.0, 14.0, 13.792079207920793)","(4.8, 6.0, 5.935393258426966)","(26.0, 40.0, 37.65217391304348)","(7.5, 9.0, 8.923076923076923)","(41.0, 65.0, 61.53846153846154)","(101.0, 370.0, 354.0)"
16-12-2022 15:28:27.328071,"(8.0, 11.5, 11.232142857142858)","(1.8, 1.91, 1.9083161512027491)","(11.0, 14.5, 14.01908396946565)","(4.8, 6.2, 6.0775665399239545)","(26.0, 40.0, 38.111111111111114)","(7.5, 9.2, 8.885714285714286)","(41.0, 65.0, 61.53846153846154)","(101.0, 370.0, 354.0)"
16-12-2022 15:28:28.491220,"(8.0, 11.0, 10.892561983471074)","(1.8, 1.91, 1.909374149659864)","(11.0, 14.5, 14.046762589928058)","(4.8, 6.2, 6.111111111111112)","(26.0, 40.0, 38.256410256410255)","(7.5, 9.2, 9.051685393258428)","(41.0, 65.0, 61.53846153846154)","(101.0, 370.0, 354.0)"
16-12-2022 15:28:29.619767,"(8.0, 11.0, 10.954198473282442)","(1.8, 1.91, 1.9076562499999998)","(11.0, 14.5, 14.33)","(4.8, 6.2, 6.111111111111112)","(26.0, 40.0, 38.256410256410255)","(7.5, 9.2, 9.051685393258428)","(41.0, 65.0, 61.53846153846154)","(101.0, 370.0, 354.0)"
16-12-2022 15:28:30.868021,"(8.0, 11.0, 10.94915254237288)","(1.8, 1.91, 1.9076562499999998)","(11.0, 14.5, 14.4125)","(4.8, 6.2, 6.094444444444444)","(26.0, 40.0, 38.256410256410255)","(7.5, 9.2, 9.04191616766467)","(41.0, 65.0, 61.53846153846154)","(101.0, 370.0, 354.0)"
16-12-2022 15:28:32.164375,"(8.0, 11.0, 10.95)","(1.8, 1.91, 1.906353711790393)","(11.0, 14.5, 14.43939393939394)","(4.8, 6.2, 6.061111111111111)","(26.0, 40.0, 38.256410256410255)","(7.5, 9.2, 9.042857142857143)","(41.0, 65.0, 61.904761904761905)","(101.0, 370.0, 354.0)"
16-12-2022 15:28:33.354887,"(8.5, 11.0, 10.952)","(1.8, 1.91, 1.906353711790393)","(11.0, 14.5, 14.337209302325581)","(4.8, 6.2, 6.184918032786886)","(26.0, 40.0, 38.7027027027027)","(7.5, 9.2, 9.087640449438203)","(41.0, 65.0, 62.82608695652174)","(101.0, 370.0, 355.0)"
16-12-2022 15:28:34.499637,"(8.5, 11.0, 10.715909090909092)","(1.8, 1.91, 1.9027536231884057)","(11.0, 14.5, 14.38135593220339)","(4.8, 6.2, 6.184918032786886)","(26.0, 40.0, 38.628571428571426)","(7.5, 9.2, 9.232758620689655)","(41.0, 65.0, 63.214285714285715)","(101.0, 370.0, 355.0)"
16-12-2022 15:28:35.604073,"(8.5, 11.0, 10.694444444444445)","(1.8, 1.91, 1.900066225165563)","(11.0, 14.5, 14.38135593220339)","(4.8, 6.2, 6.183025830258303)","(26.0, 40.0, 38.5)","(7.5, 9.4, 9.234862385321101)","(41.0, 65.0, 63.214285714285715)","(101.0, 370.0, 355.0)"
16-12-2022 15:28:36.861731,"(8.0, 11.0, 10.72549019607843)","(1.8, 1.9, 1.890642857142857)","(11.0, 14.5, 14.38135593220339)","(4.8, 6.2, 6.227899159663866)","(26.0, 40.0, 38.628571428571426)","(7.5, 9.4, 9.309859154929578)","(41.0, 65.0, 63.214285714285715)","(101.0, 370.0, 355.0)"
16-12-2022 15:28:38.055130,"(8.0, 11.0, 10.714285714285714)","(1.8, 1.9, 1.890642857142857)","(11.0, 14.5, 14.38135593220339)","(4.8, 6.4, 6.227333333333333)","(26.0, 40.0, 38.628571428571426)","(7.5, 9.4, 9.309859154929578)","(41.0, 65.0, 63.214285714285715)","(101.0, 370.0, 355.0)"
16-12-2022 15:28:39.230837,"(8.5, 11.0, 10.73076923076923)","(1.8, 1.9, 1.8906206896551723)","(11.0, 14.5, 14.38135593220339)","(4.8, 6.4, 6.23236797274276)","(26.0, 40.0, 38.421052631578945)","(7.5, 9.4, 9.233333333333333)","(41.0, 65.0, 63.214285714285715)","(101.0, 370.0, 355.0)"
16-12-2022 15:28:40.436290,"(8.5, 11.5, 11.104938271604938)","(1.8, 1.9, 1.883400809716599)","(11.0, 14.5, 14.3125)","(4.8, 6.4, 6.236749116607774)","(26.0, 40.0, 38.19047619047619)","(7.5, 9.4, 9.211940298507463)","(41.0, 65.0, 63.333333333333336)","(101.0, 370.0, 355.0)"
16-12-2022 15:28:41.710557,"(8.5, 11.5, 11.102409638554217)","(1.8, 1.9, 1.8809734513274334)","(11.0, 14.5, 14.368852459016393)","(4.8, 6.4, 6.25849582172702)","(26.0, 40.0, 38.628571428571426)","(7.5, 9.4, 9.211940298507463)","(41.0, 65.0, 63.333333333333336)","(101.0, 370.0, 500.0)"
16-12-2022 15:28:42.928458,"(8.5, 11.0, 10.847457627118644)","(1.8, 1.89, 1.8744147157190636)","(11.0, 14.5, 14.368852459016393)","(4.8, 6.4, 6.298550724637681)","(26.0, 40.0, 38.628571428571426)","(7.5, 9.4, 9.186486486486485)","(41.0, 65.0, 63.333333333333336)","(101.0, 520.0, 411.6666666666667)"
16-12-2022 15:28:44.118884,"(8.5, 11.0, 10.698717948717949)","(1.8, 1.89, 1.8764139941690963)","(11.0, 14.5, 14.368852459016393)","(4.8, 6.4, 6.298550724637681)","(26.0, 40.0, 38.628571428571426)","(7.5, 9.2, 9.189898989898989)","(41.0, 65.0, 63.333333333333336)","(101.0, 520.0, 408.57142857142856)"
16-12-2022 15:28:45.346286,"(8.5, 11.0, 10.661458333333334)","(1.8, 1.89, 1.8779886685552407)","(11.0, 14.5, 14.166666666666666)","(4.8, 6.4, 6.298550724637681)","(26.0, 40.0, 38.628571428571426)","(7.5, 9.2, 9.190384615384614)","(41.0, 65.0, 63.333333333333336)","(101.0, 520.0, 443.6363636363636)"
16-12-2022 15:28:46.581321,"(8.5, 11.0, 10.701923076923077)","(1.8, 1.89, 1.8802551020408163)","(11.0, 14.5, 14.235849056603774)","(4.8, 6.4, 6.298550724637681)","(26.0, 40.0, 38.628571428571426)","(7.5, 9.2, 9.190384615384614)","(41.0, 65.0, 63.333333333333336)","(101.0, 520.0, 465.7142857142857)"
16-12-2022 15:28:47.937497,"(8.5, 11.0, 10.755208333333334)","(1.8, 1.89, 1.8892248062015502)","(11.0, 14.5, 14.341463414634147)","(4.8, 6.4, 6.3078556263269645)","(26.0, 40.0, 39.05882352941177)","(7.5, 9.2, 9.0992700729927)","(41.0, 65.0, 63.84615384615385)","(101.0, 500.0, 440.0)"
16-12-2022 15:28:49.160254,"(8.5, 11.0, 10.824281150159745)","(1.8, 1.89, 1.8890769230769229)","(11.0, 15.0, 14.375)","(4.8, 6.4, 6.311065573770492)","(26.0, 40.0, 38.92857142857143)","(7.5, 9.2, 9.09620253164557)","(41.0, 65.0, 63.92857142857143)","(101.0, 500.0, 430.0)"
16-12-2022 15:28:50.362953,"(8.5, 11.0, 10.795795795795796)","(1.8, 1.9, 1.8890769230769229)","(11.0, 14.5, 14.375)","(4.8, 6.4, 6.311065573770492)","(26.0, 42.0, 38.92857142857143)","(7.5, 9.2, 9.09620253164557)","(41.0, 65.0, 63.92857142857143)","(101.0, 500.0, 430.0)"
16-12-2022 15:28:51.609960,"(8.5, 11.0, 10.793313069908814)","(1.8, 1.89, 1.8811176470588233)","(12.0, 14.5, 14.411764705882353)","(4.8, 6.4, 6.315891472868217)","(26.0, 42.0, 38.88135593220339)","(7.5, 9.2, 9.053030303030303)","(41.0, 65.0, 63.92857142857143)","(101.0, 500.0, 430.0)"
16-12-2022 15:28:52.817157,"(8.5, 11.0, 10.7875)","(1.8, 1.89, 1.8811176470588233)","(12.0, 14.5, 14.411764705882353)","(4.8, 6.4, 6.315891472868217)","(26.0, 42.0, 39.13333333333333)","(7.5, 9.2, 9.053030303030303)","(41.0, 65.0, 63.92857142857143)","(101.0, 500.0, 440.0)"
16-12-2022 15:28:54.055723,"(8.5, 11.0, 10.792048929663608)","(1.8, 1.89, 1.8825055432372506)","(12.0, 14.5, 14.411764705882353)","(4.8, 6.4, 6.311065573770492)","(26.0, 42.0, 38.827586206896555)","(7.5, 9.2, 9.053030303030303)","(41.0, 65.0, 66.66666666666667)","(101.0, 500.0, 430.5263157894737)"
16-12-2022 15:28:55.259050,"(8.5, 11.0, 10.789473684210526)","(1.8, 1.89, 1.8705747126436783)","(12.0, 14.5, 14.411764705882353)","(4.8, 6.4, 6.30646551724138)","(26.0, 42.0, 38.592592592592595)","(7.5, 9.2, 9.0484375)","(41.0, 70.0, 66.75)","(101.0, 500.0, 422.3529411764706)"
16-12-2022 15:28:56.516874,"(8.5, 11.0, 10.763636363636364)","(1.8, 1.89, 1.88045197740113)","(12.0, 14.5, 14.411764705882353)","(4.8, 6.4, 6.30646551724138)","(26.0, 42.0, 38.592592592592595)","(7.5, 9.2, 9.0484375)","(41.0, 70.0, 66.75)","(101.0, 500.0, 460.0)"
16-12-2022 15:28:57.863818,"(8.5, 11.0, 10.763636363636364)","(1.8, 1.89, 1.88045197740113)","(12.0, 14.5, 14.411764705882353)","(4.8, 6.4, 6.30646551724138)","(26.0, 42.0, 38.666666666666664)","(7.5, 9.2, 9.0484375)","(41.0, 70.0, 66.17647058823529)","(101.0, 490.0, 446.66666666666663)"
16-12-2022 15:28:59.129560,"(8.5, 11.0, 10.764350453172206)","(1.8, 1.89, 1.8801230769230768)","(12.0, 14.5, 14.625)","(4.8, 6.4, 6.327058823529412)","(26.0, 42.0, 38.71111111111111)","(7.5, 9.2, 9.066666666666666)","(41.0, 70.0, 66.17647058823529)","(101.0, 480.0, 433.3333333333333)"
16-12-2022 15:29:00.420980,"(8.5, 11.0, 10.778409090909092)","(1.8, 1.87, 1.8658634020618559)","(12.0, 15.0, 14.623287671232877)","(4.8, 6.4, 6.320216606498195)","(26.0, 42.0, 39.15384615384615)","(7.5, 9.2, 9.05)","(41.0, 70.0, 66.17647058823529)","(101.0, 480.0, 402.22222222222223)"
16-12-2022 15:29:01.789277,"(8.5, 11.0, 10.761780104712042)","(1.8, 1.87, 1.867232965009208)","(12.0, 15.0, 14.63125)","(4.8, 6.4, 6.307186858316222)","(26.0, 42.0, 40.67857142857143)","(7.5, 9.2, 9.075739644970414)","(41.0, 70.0, 67.04545454545455)","(101.0, 480.0, 412.0)"
16-12-2022 15:29:03.254095,"(8.5, 11.0, 10.684782608695652)","(1.8, 1.87, 1.8751295336787563)","(12.0, 15.0, 14.731182795698924)","(4.8, 6.4, 6.306418219461698)","(26.0, 42.0, 40.70175438596491)","(7.5, 9.2, 9.075739644970414)","(41.0, 70.0, 66.9047619047619)","(101.0, 460.0, 406.6666666666667)"
16-12-2022 15:29:04.610180,"(8.5, 11.0, 10.737068965517242)","(1.75, 1.88, 1.868385093167702)","(12.0, 15.0, 14.815217391304348)","(5.0, 6.4, 6.324953789279113)","(26.0, 42.0, 40.983050847457626)","(7.5, 9.2, 9.110900473933649)","(41.0, 70.0, 68.0)","(101.0, 460.0, 415.0)"
16-12-2022 15:29:05.827469,"(8.5, 11.0, 10.815151515151515)","(1.75, 1.87, 1.868385093167702)","(12.0, 15.0, 14.815217391304348)","(5.0, 6.4, 6.32147001934236)","(26.0, 42.0, 40.69090909090909)","(7.5, 9.2, 9.1847533632287)","(41.0, 70.0, 68.0)","(101.0, 450.0, 408.0)"
16-12-2022 15:29:07.016170,"(8.5, 11.0, 10.806122448979592)","(1.75, 1.88, 1.8639650145772595)","(12.0, 15.0, 14.792682926829269)","(5.0, 6.4, 6.322370936902486)","(26.0, 42.0, 40.666666666666664)","(7.5, 9.4, 9.275641025641026)","(41.0, 70.0, 68.0)","(101.0, 450.0, 420.0)"
16-12-2022 15:29:08.357472,"(8.5, 11.0, 10.758389261744966)","(1.75, 1.87, 1.8666871165644172)","(12.0, 14.5, 14.452173913043477)","(5.0, 6.4, 6.523076923076923)","(26.0, 42.0, 40.42857142857143)","(7.5, 9.4, 9.265277777777778)","(41.0, 70.0, 68.0)","(101.0, 440.0, 420.0)"
16-12-2022 15:29:09.657602,"(8.5, 11.0, 10.721556886227544)","(1.75, 1.87, 1.8666871165644172)","(12.0, 14.5, 14.45045045045045)","(5.0, 6.6, 6.510798122065728)","(26.0, 42.0, 40.43636363636364)","(7.5, 9.4, 9.26142857142857)","(41.0, 70.0, 67.36842105263158)","(101.0, 440.0, 415.0)"
16-12-2022 15:29:10.956653,"(8.5, 11.0, 10.732758620689655)","(1.75, 1.86, 1.8586941580756016)","(12.0, 14.5, 14.368098159509202)","(5.0, 6.6, 6.568350168350168)","(26.0, 42.0, 40.77142857142857)","(7.5, 9.4, 9.284076433121019)","(41.0, 70.0, 68.57142857142857)","(101.0, 450.0, 416.0)"
16-12-2022 15:29:12.235867,"(8.5, 11.0, 10.76036866359447)","(1.75, 1.86, 1.8590876350540217)","(12.0, 14.5, 14.348837209302326)","(5.0, 6.6, 6.688262910798122)","(26.0, 42.0, 40.77142857142857)","(7.5, 9.4, 9.247741935483871)","(41.0, 70.0, 68.84615384615384)","(101.0, 440.0, 400.0)"
16-12-2022 15:29:13.845303,"(8.5, 11.0, 10.717105263157896)","(1.75, 1.86, 1.8561712846347609)","(12.0, 14.5, 14.347953216374268)","(5.0, 6.8, 6.727800829875519)","(26.0, 42.0, 40.7536231884058)","(7.5, 9.4, 9.248120300751879)","(41.0, 70.0, 67.6923076923077)","(101.0, 440.0, 400.0)"
16-12-2022 15:29:15.588170,"(8.5, 11.0, 10.718340611353712)","(1.75, 1.86, 1.8573376623376625)","(12.0, 14.5, 14.343373493975903)","(5.0, 6.8, 6.7303999999999995)","(26.0, 42.0, 41.05084745762712)","(7.5, 9.4, 9.238620689655171)","(41.0, 70.0, 66.02941176470588)","(101.0, 440.0, 362.85714285714283)"
16-12-2022 15:29:17.026370,"(8.5, 11.0, 10.718340611353712)","(1.75, 1.86, 1.8573376623376625)","(12.0, 14.5, 14.338509316770187)","(5.0, 6.8, 6.6765765765765765)","(26.0, 42.0, 41.148148148148145)","(7.5, 9.4, 9.234586466165412)","(41.0, 70.0, 64.8529411764706)","(101.0, 440.0, 362.85714285714283)"
16-12-2022 15:29:18.354921,"(8.5, 11.0, 10.70945945945946)","(1.75, 1.86, 1.8523225806451613)","(12.0, 14.5, 14.338509316770187)","(5.0, 6.8, 6.6765765765765765)","(26.0, 42.0, 41.148148148148145)","(7.5, 9.4, 9.227218934911242)","(41.0, 65.0, 64.8529411764706)","(101.0, 440.0, 362.85714285714283)"
16-12-2022 15:29:19.653776,"(8.5, 11.0, 10.648514851485148)","(1.7, 1.86, 1.8517518248175184)","(12.0, 14.5, 14.336477987421384)","(5.0, 6.8, 6.716352201257862)","(26.0, 42.0, 42.666666666666664)","(7.5, 9.4, 9.243010752688171)","(41.0, 65.0, 64.87179487179488)","(101.0, 440.0, 362.85714285714283)"
16-12-2022 15:29:20.992376,"(8.5, 10.5, 10.44359756097561)","(1.7, 1.87, 1.8604615384615386)","(12.0, 14.5, 14.340490797546012)","(5.0, 6.8, 6.715987460815047)","(26.0, 44.0, 42.58064516129032)","(7.5, 9.4, 9.280468749999999)","(41.0, 65.0, 64.87179487179488)","(101.0, 440.0, 362.85714285714283)"
16-12-2022 15:29:22.413842,"(8.5, 10.5, 10.472402597402597)","(1.7, 1.87, 1.8632191780821918)","(12.0, 14.5, 14.347972972972974)","(5.0, 6.8, 6.7167701863354035)","(26.0, 44.0, 42.23076923076923)","(7.5, 9.4, 9.257560975609756)","(41.0, 65.0, 64.86842105263158)","(101.0, 440.0, 362.85714285714283)"
16-12-2022 15:29:23.751918,"(8.5, 10.5, 10.472727272727273)","(1.7, 1.87, 1.8660931899641577)","(12.0, 14.5, 14.347972972972974)","(5.0, 6.8, 6.589438943894389)","(26.0, 44.0, 42.27272727272727)","(7.5, 9.4, 9.257560975609756)","(41.0, 65.0, 68.08510638297872)","(101.0, 440.0, 390.0)"
16-12-2022 15:29:25.074759,"(8.5, 10.5, 10.470588235294118)","(1.7, 1.87, 1.8660931899641577)","(12.0, 14.5, 14.378676470588236)","(5.0, 6.6, 6.589759036144578)","(26.0, 44.0, 42.333333333333336)","(7.5, 9.4, 9.12992700729927)","(41.0, 70.0, 68.4090909090909)","(101.0, 430.0, 361.6666666666667)"
16-12-2022 15:29:26.461856,"(8.5, 11.0, 10.464788732394366)","(1.7, 1.88, 1.878)","(12.0, 14.5, 14.496212121212121)","(5.0, 6.6, 6.635146443514644)","(26.0, 44.0, 43.0625)","(7.5, 9.4, 8.703296703296704)","(41.0, 70.0, 68.25581395348837)","(101.0, 420.0, 385.0)"
16-12-2022 15:29:27.963874,"(8.5, 11.0, 10.732394366197184)","(1.7, 1.88, 1.8786610169491524)","(12.0, 14.5, 14.645320197044335)","(5.0, 6.8, 6.638888888888888)","(26.0, 44.0, 43.1578947368421)","(7.5, 8.8, 8.689411764705882)","(41.0, 75.0, 67.14285714285714)","(101.0, 420.0, 394.16666666666663)"
16-12-2022 15:29:29.373882,"(8.5, 11.0, 10.748730964467004)","(1.7, 1.88, 1.9025316455696202)","(12.0, 15.0, 13.317415730337078)","(5.0, 6.8, 6.588196721311475)","(26.0, 44.0, 43.1578947368421)","(7.5, 8.8, 8.757142857142858)","(41.0, 75.0, 67.36842105263158)","(101.0, 440.0, 417.5)"
16-12-2022 15:29:31.141672,"(8.5, 10.5, 10.375)","(1.7, 1.91, 1.9073118279569892)","(12.0, 13.5, 13.28763440860215)","(5.0, 6.6, 6.586531986531986)","(26.0, 44.0, 43.285714285714285)","(7.5, 8.8, 8.691578947368422)","(41.0, 75.0, 67.36842105263158)","(101.0, 430.0, 393.0)"
16-12-2022 15:29:32.767354,"(8.5, 10.5, 10.401694915254238)","(1.7, 1.91, 1.9316216216216215)","(12.0, 13.5, 12.9031007751938)","(5.0, 6.6, 6.585123966942149)","(26.0, 44.0, 43.696969696969695)","(7.5, 8.8, 8.588157894736842)","(41.0, 75.0, 67.14285714285714)","(101.0, 420.0, 378.46153846153845)"
16-12-2022 15:29:34.762496,"(8.5, 10.5, 10.829545454545455)","(1.7, 1.94, 1.9166812227074235)","(12.0, 13.0, 12.959677419354838)","(5.0, 6.6, 6.508296943231441)","(26.0, 44.0, 43.84615384615385)","(7.5, 8.8, 8.602197802197804)","(41.0, 75.0, 68.11111111111111)","(101.0, 420.0, 360.0)"
16-12-2022 15:29:36.255719,"(8.5, 11.0, 10.99234693877551)","(1.7, 1.92, 1.9147953216374267)","(12.0, 13.0, 13.092715231788079)","(5.0, 6.6, 6.456216216216216)","(26.0, 44.0, 43.8)","(7.5, 8.8, 8.470646766169155)","(41.0, 75.0, 65.9090909090909)","(101.0, 420.0, 382.5)"
16-12-2022 15:29:37.706806,"(8.5, 11.0, 11.325962910128387)","(1.7, 1.92, 1.904773413897281)","(11.0, 13.5, 13.130841121495328)","(5.0, 6.6, 6.465806451612903)","(26.0, 44.0, 43.2)","(7.5, 8.6, 8.325506072874495)","(41.0, 70.0, 66.92307692307692)","(101.0, 400.0, 382.5)"
16-12-2022 15:29:39.192114,"(8.5, 11.5, 10.634453781512605)","(1.7, 1.92, 1.9126256983240222)","(11.0, 13.5, 13.14236111111111)","(5.0, 6.6, 6.47816091954023)","(26.0, 44.0, 43.42857142857143)","(7.5, 8.4, 8.282608695652174)","(41.0, 70.0, 66.0)","(101.0, 400.0, 382.5)"
16-12-2022 15:29:40.628398,"(8.5, 11.5, 11.278969957081545)","(1.7, 1.92, 1.9171457905544147)","(11.0, 13.5, 13.22549019607843)","(5.0, 6.6, 6.499255583126551)","(26.0, 44.0, 44.16)","(7.5, 8.4, 8.327217125382264)","(41.0, 70.0, 66.875)","(101.0, 400.0, 360.0)"
16-12-2022 15:29:42.282359,"(8.5, 11.5, 11.269709543568466)","(1.7, 1.92, 1.9260095011876484)","(11.0, 13.5, 13.26984126984127)","(5.0, 6.6, 6.49478672985782)","(26.0, 46.0, 42.583333333333336)","(7.5, 8.4, 8.262716049382716)","(41.0, 70.0, 65.33333333333333)","(101.0, 400.0, 360.0)"
16-12-2022 15:29:43.708216,"(9.0, 11.5, 11.104046242774567)","(1.75, 1.93, 1.939467680608365)","(11.0, 13.5, 13.31159420289855)","(5.5, 6.6, 6.493333333333333)","(31.0, 44.0, 41.94736842105263)","(7.5, 8.4, 8.045714285714286)","(41.0, 70.0, 65.71428571428571)","(101.0, 400.0, 345.0)"
16-12-2022 15:29:45.031525,"(9.0, 11.5, 11.104046242774567)","(1.75, 1.94, 1.9389340101522843)","(11.0, 13.5, 13.31891891891892)","(5.5, 6.6, 6.509536784741145)","(31.0, 42.0, 41.51020408163265)","(7.5, 8.2, 8.056842105263158)","(41.0, 70.0, 66.19047619047619)","(101.0, 380.0, 346.9230769230769)"
16-12-2022 15:29:46.352797,"(9.0, 11.5, 11.10427807486631)","(1.75, 1.94, 1.9389340101522843)","(11.0, 13.5, 13.341232227488153)","(5.5, 6.6, 6.518930957683741)","(31.0, 42.0, 41.083333333333336)","(7.5, 8.2, 8.133734939759035)","(41.0, 70.0, 63.75)","(101.0, 390.0, 346.25)"
16-12-2022 15:29:47.797051,"(9.0, 11.5, 11.161825726141078)","(1.75, 1.95, 1.9449999999999998)","(11.0, 13.5, 13.378048780487806)","(5.5, 6.6, 6.510828025477707)","(31.0, 42.0, 39.78260869565217)","(7.5, 8.2, 8.114432989690721)","(41.0, 65.0, 62.8125)","(101.0, 390.0, 360.9090909090909)"
16-12-2022 15:29:49.180220,"(9.0, 11.5, 11.075520833333334)","(1.75, 1.95, 1.949230769230769)","(11.0, 13.5, 12.314102564102564)","(5.5, 6.6, 6.5027027027027025)","(31.0, 40.0, 39.541666666666664)","(7.5, 8.2, 8.260576923076922)","(41.0, 65.0, 63.05555555555556)","(101.0, 380.0, 364.0)"
16-12-2022 15:29:50.559007,"(9.0, 11.5, 10.972841225626741)","(1.75, 1.95, 1.9639484978540773)","(11.0, 12.5, 12.441176470588236)","(5.5, 6.6, 6.507555555555555)","(31.0, 40.0, 39.55102040816327)","(7.5, 8.4, 8.261691542288556)","(41.0, 65.0, 63.0)","(101.0, 370.0, 364.0)"
16-12-2022 15:29:51.919201,"(9.0, 11.0, 10.972841225626741)","(1.75, 1.97, 1.949609756097561)","(11.0, 12.5, 12.3717277486911)","(5.5, 6.6, 6.509401709401709)","(31.0, 40.0, 39.702127659574465)","(7.5, 8.4, 8.285)","(41.0, 65.0, 63.333333333333336)","(101.0, 370.0, 364.0)"
16-12-2022 15:29:53.176161,"(9.0, 11.5, 11.046961325966851)","(1.75, 1.95, 1.949609756097561)","(11.0, 12.5, 12.3717277486911)","(5.5, 6.6, 6.522344322344322)","(31.0, 40.0, 39.63157894736842)","(7.5, 8.4, 8.157009345794393)","(41.0, 65.0, 63.18181818181818)","(101.0, 370.0, 350.0)"
16-12-2022 15:29:54.408682,"(9.0, 11.5, 11.176706827309237)","(1.75, 1.95, 1.9475949367088607)","(11.0, 12.5, 11.956422018348624)","(5.5, 6.6, 7.078095238095238)","(31.0, 40.0, 41.73913043478261)","(7.5, 8.2, 7.5525179856115106)","(41.0, 65.0, 63.18181818181818)","(101.0, 370.0, 311.1111111111111)"
16-12-2022 15:29:55.779275,"(9.0, 9.8, 9.679611650485437)","(1.75, 2.0, 2.006410998552822)","(11.0, 12.0, 11.925)","(5.5, 7.2, 7.270588235294118)","(31.0, 42.0, 42.285714285714285)","(7.5, 7.6, 7.541085271317829)","(41.0, 65.0, 60.357142857142854)","(101.0, 360.0, 295.55555555555554)"
16-12-2022 15:29:57.117961,"(9.0, 9.6, 9.421538461538463)","(1.75, 2.02, 2.0055940594059405)","(11.0, 12.0, 11.86283185840708)","(5.5, 7.4, 7.27008547008547)","(31.0, 44.0, 42.214285714285715)","(7.5, 7.6, 7.551794871794872)","(41.0, 65.0, 62.72727272727273)","(101.0, 340.0, 300.0)"
16-12-2022 15:29:58.550052,"(9.0, 9.6, 9.406849315068493)","(1.75, 2.02, 2.0074247491638797)","(11.0, 12.0, 11.793838862559241)","(5.5, 7.4, 7.281818181818182)","(31.0, 44.0, 42.214285714285715)","(7.5, 7.6, 7.657034220532319)","(41.0, 65.0, 62.916666666666664)","(101.0, 340.0, 297.77777777777777)"
16-12-2022 15:30:00.390233,"(9.0, 9.4, 9.283999999999999)","(1.75, 2.02, 2.0071672354948804)","(11.0, 12.0, 11.818565400843882)","(5.5, 7.4, 7.283870967741936)","(31.0, 44.0, 41.63636363636363)","(7.5, 7.8, 7.714027149321267)","(41.0, 65.0, 63.5)","(101.0, 360.0, 297.77777777777777)"
16-12-2022 15:30:02.231422,"(9.0, 9.2, 9.071666666666667)","(1.75, 2.02, 2.0081388012618295)","(11.0, 12.0, 11.828947368421053)","(5.5, 7.4, 7.26936936936937)","(31.0, 42.0, 41.63636363636363)","(7.5, 7.8, 7.705882352941177)","(41.0, 65.0, 62.05882352941177)","(101.0, 380.0, 292.5)"
16-12-2022 15:30:03.718630,"(8.5, 9.2, 9.165384615384614)","(1.75, 2.02, 2.0236842105263158)","(11.0, 12.0, 11.828947368421053)","(5.5, 7.4, 7.301212121212122)","(31.0, 42.0, 41.63636363636363)","(7.5, 7.8, 7.698777506112469)","(41.0, 65.0, 62.05882352941177)","(101.0, 380.0, 297.5)"
16-12-2022 15:30:05.156839,"(8.5, 8.8, 8.734857142857143)","(1.75, 2.04, 2.0313917525773197)","(10.0, 12.0, 11.921940928270041)","(5.5, 7.4, 7.31746835443038)","(31.0, 42.0, 41.6078431372549)","(7.5, 7.8, 7.77620578778135)","(41.0, 65.0, 62.72727272727273)","(101.0, 350.0, 327.5)"
16-12-2022 15:30:06.564053,"(8.5, 8.8, 8.739226519337016)","(1.75, 2.04, 2.0160550458715596)","(10.0, 12.0, 12.030434782608696)","(5.5, 7.4, 7.323653395784544)","(31.0, 42.0, 41.63636363636363)","(7.5, 7.8, 7.826478873239436)","(41.0, 65.0, 63.13953488372093)","(101.0, 380.0, 328.57142857142856)"
16-12-2022 15:30:07.965502,"(8.5, 8.8, 8.742105263157896)","(1.75, 2.02, 2.010596026490066)","(10.0, 12.5, 12.043554006968641)","(5.5, 7.4, 7.334351145038168)","(31.0, 42.0, 41.74193548387097)","(7.5, 8.0, 7.876631578947368)","(41.0, 65.0, 63.297872340425535)","(101.0, 380.0, 328.57142857142856)"
