,Water Into Wine,Fire Glo Too,Young Hostess,Thats Incranibull,Max Mercury,Hard Squeeze,Maid Of Iron,Dodgy One,Peppino
11-01-2023 16:16:51.758971,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.18771186440678)","(11.0, 15.5, 15.494444444444444)","(31.0, 44.0, 41.714285714285715)","(4.0, 4.8, 4.701315789473685)","(3.3, 3.75, 3.7472222222222222)","(7.0, 8.2, 8.172549019607843)","(14.0, 15.0, 14.359375)","(51.0, 90.0, 86.66666666666667)"
11-01-2023 16:16:52.930259,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.18771186440678)","(11.0, 15.5, 15.494444444444444)","(31.0, 44.0, 41.714285714285715)","(4.0, 4.8, 4.701315789473685)","(3.3, 3.75, 3.7461956521739133)","(7.0, 8.2, 8.144680851063828)","(14.0, 14.5, 14.359375)","(51.0, 90.0, 86.66666666666667)"
11-01-2023 16:16:54.107339,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.18771186440678)","(11.0, 15.5, 15.494444444444444)","(31.0, 44.0, 41.714285714285715)","(4.0, 4.8, 4.701315789473685)","(3.3, 3.75, 3.7461956521739133)","(7.0, 8.2, 8.144680851063828)","(14.0, 14.5, 14.359375)","(51.0, 90.0, 86.66666666666667)"
11-01-2023 16:16:55.197961,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.187966804979253)","(11.0, 15.5, 15.494444444444444)","(31.0, 44.0, 41.714285714285715)","(4.0, 4.8, 4.701315789473685)","(3.3, 3.75, 3.744945848375451)","(7.0, 8.2, 8.144680851063828)","(14.0, 14.5, 14.621621621621621)","(51.0, 90.0, 90.0)"
11-01-2023 16:16:56.437844,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.167469879518072)","(11.0, 15.5, 15.494444444444444)","(31.0, 44.0, 41.714285714285715)","(4.0, 4.8, 4.701315789473685)","(3.3, 3.75, 3.744945848375451)","(7.0, 8.2, 8.144680851063828)","(14.0, 15.0, 14.5625)","(51.0, 95.0, 90.0)"
11-01-2023 16:16:57.639486,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.167469879518072)","(11.0, 15.5, 15.494444444444444)","(31.0, 44.0, 41.714285714285715)","(4.0, 4.8, 4.701315789473685)","(3.3, 3.75, 3.744945848375451)","(7.0, 8.2, 8.149450549450549)","(14.0, 15.0, 14.6)","(51.0, 95.0, 90.0)"
11-01-2023 16:16:58.825136,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.167469879518072)","(11.0, 15.5, 15.494444444444444)","(31.0, 44.0, 41.714285714285715)","(4.0, 4.8, 4.701315789473685)","(3.3, 3.75, 3.744756554307116)","(7.0, 8.2, 8.155339805825243)","(14.0, 15.0, 14.166666666666666)","(51.0, 95.0, 90.0)"
11-01-2023 16:16:59.967181,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.167469879518072)","(11.0, 15.5, 15.494444444444444)","(31.0, 44.0, 41.714285714285715)","(4.0, 4.8, 4.701315789473685)","(3.3, 3.75, 3.7352507374631267)","(7.0, 8.2, 8.155339805825243)","(14.0, 14.5, 14.253623188405797)","(51.0, 95.0, 90.0)"
11-01-2023 16:17:01.155378,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.167469879518072)","(11.0, 15.5, 15.494444444444444)","(31.0, 44.0, 41.714285714285715)","(4.0, 4.8, 4.701315789473685)","(3.3, 3.8, 3.7352507374631267)","(7.0, 8.2, 8.157407407407407)","(14.0, 14.5, 14.212328767123287)","(51.0, 95.0, 90.0)"
11-01-2023 16:17:02.420591,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.167469879518072)","(11.0, 15.5, 15.494444444444444)","(31.0, 44.0, 41.714285714285715)","(4.0, 4.8, 4.701315789473685)","(3.3, 3.8, 3.7352507374631267)","(7.0, 8.2, 8.162616822429905)","(13.0, 14.5, 14.212328767123287)","(51.0, 95.0, 90.0)"
11-01-2023 16:17:03.540409,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.167469879518072)","(11.0, 15.5, 15.494444444444444)","(31.0, 44.0, 41.714285714285715)","(4.0, 4.8, 4.701315789473685)","(3.3, 3.8, 3.7352507374631267)","(7.0, 8.2, 8.162616822429905)","(13.0, 14.5, 14.212328767123287)","(51.0, 95.0, 90.0)"
11-01-2023 16:17:04.695173,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.167469879518072)","(11.0, 15.5, 15.494444444444444)","(31.0, 44.0, 40.75)","(4.0, 4.8, 4.701315789473685)","(3.3, 3.8, 3.7376971608832807)","(7.0, 8.2, 8.162616822429905)","(13.0, 14.5, 14.75)","(51.0, 95.0, 90.0)"
11-01-2023 16:17:05.846089,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.167469879518072)","(11.0, 15.5, 15.494444444444444)","(31.0, 42.0, 40.94736842105263)","(4.0, 4.8, 4.701315789473685)","(3.3, 3.8, 3.7376971608832807)","(7.0, 8.2, 8.162616822429905)","(13.0, 15.0, 14.387096774193548)","(51.0, 95.0, 90.0)"
11-01-2023 16:17:06.923936,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.167469879518072)","(11.0, 15.5, 15.494444444444444)","(31.0, 42.0, 40.94736842105263)","(4.0, 4.8, 4.701315789473685)","(3.3, 3.8, 3.7376971608832807)","(7.0, 8.2, 8.164150943396226)","(13.0, 14.5, 14.387096774193548)","(51.0, 95.0, 90.0)"
11-01-2023 16:17:08.121109,"(21.0, 30.0, 28.76923076923077)","(4.6, 5.2, 5.167469879518072)","(11.0, 15.5, 15.494736842105263)","(31.0, 42.0, 40.94736842105263)","(4.0, 4.8, 4.6706896551724135)","(3.3, 3.8, 3.7376971608832807)","(7.0, 8.2, 8.132727272727273)","(13.0, 14.5, 14.608695652173912)","(51.0, 95.0, 96.0)"
11-01-2023 16:17:09.300751,"(21.0, 29.0, 28.545454545454547)","(4.6, 5.2, 5.167469879518072)","(11.0, 15.5, 15.494736842105263)","(31.0, 42.0, 40.94736842105263)","(4.0, 4.8, 4.6706896551724135)","(3.3, 3.8, 3.7376971608832807)","(7.0, 8.2, 8.106060606060606)","(13.0, 15.0, 14.387096774193548)","(51.0, 100.0, 103.33333333333333)"
11-01-2023 16:17:10.434940,"(21.0, 29.0, 28.583333333333332)","(4.6, 5.2, 5.171875)","(11.0, 15.5, 15.494736842105263)","(31.0, 42.0, 41.88235294117647)","(4.0, 4.8, 4.6706896551724135)","(3.3, 3.8, 3.7376971608832807)","(7.0, 8.2, 8.106060606060606)","(13.0, 14.5, 14.617021276595745)","(51.0, 120.0, 102.5)"
11-01-2023 16:17:11.614656,"(21.0, 29.0, 28.583333333333332)","(4.6, 5.2, 5.173134328358209)","(11.0, 15.5, 15.494736842105263)","(31.0, 44.0, 41.523809523809526)","(4.0, 4.8, 4.6706896551724135)","(3.3, 3.8, 3.736392914653784)","(7.0, 8.2, 8.106060606060606)","(13.0, 15.0, 14.64)","(51.0, 110.0, 103.33333333333333)"
11-01-2023 16:17:12.780999,"(21.0, 29.0, 28.583333333333332)","(4.6, 5.2, 5.173134328358209)","(11.0, 15.5, 15.639705882352942)","(31.0, 44.0, 41.523809523809526)","(4.0, 4.8, 4.6706896551724135)","(3.3, 3.8, 3.7358766233766234)","(7.0, 8.2, 8.099290780141844)","(13.0, 15.0, 14.64)","(51.0, 120.0, 99.54545454545455)"
11-01-2023 16:17:13.870148,"(21.0, 29.0, 28.583333333333332)","(4.6, 5.2, 5.173134328358209)","(11.0, 16.0, 15.639705882352942)","(31.0, 44.0, 41.523809523809526)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.7358766233766234)","(7.0, 8.2, 8.099290780141844)","(13.0, 15.0, 14.60377358490566)","(51.0, 120.0, 99.54545454545455)"
11-01-2023 16:17:14.935308,"(21.0, 29.0, 28.375)","(4.6, 5.2, 5.173134328358209)","(11.0, 16.0, 15.639705882352942)","(31.0, 44.0, 41.523809523809526)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.7358766233766234)","(7.0, 8.2, 8.094814814814814)","(13.0, 15.0, 14.58)","(51.0, 120.0, 99.54545454545455)"
11-01-2023 16:17:15.993889,"(21.0, 29.0, 28.375)","(4.6, 5.2, 5.173134328358209)","(11.0, 16.0, 15.639705882352942)","(31.0, 44.0, 41.523809523809526)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.748834196891192)","(7.0, 8.2, 8.1)","(13.0, 15.0, 13.944444444444445)","(51.0, 120.0, 99.54545454545455)"
11-01-2023 16:17:17.063120,"(21.0, 29.0, 28.375)","(4.6, 5.2, 5.173134328358209)","(11.0, 16.0, 15.639705882352942)","(31.0, 44.0, 41.88235294117647)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.748834196891192)","(7.0, 8.2, 8.1)","(13.0, 14.0, 14.315217391304348)","(51.0, 120.0, 99.54545454545455)"
11-01-2023 16:17:18.189788,"(21.0, 29.0, 28.375)","(4.6, 5.2, 5.173134328358209)","(11.0, 16.0, 15.639705882352942)","(31.0, 44.0, 41.88235294117647)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.748834196891192)","(7.0, 8.2, 8.1)","(13.0, 14.5, 14.315217391304348)","(51.0, 120.0, 99.54545454545455)"
11-01-2023 16:17:19.332123,"(21.0, 29.0, 28.375)","(4.6, 5.2, 5.173134328358209)","(11.0, 16.0, 15.639705882352942)","(31.0, 44.0, 41.88235294117647)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.748834196891192)","(7.0, 8.2, 8.1)","(13.0, 14.5, 14.315217391304348)","(51.0, 120.0, 99.54545454545455)"
11-01-2023 16:17:20.498191,"(21.0, 29.0, 28.375)","(4.6, 5.2, 5.173134328358209)","(11.0, 16.0, 15.639705882352942)","(31.0, 44.0, 41.88235294117647)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.748834196891192)","(7.0, 8.0, 7.992118226600986)","(13.0, 14.5, 14.315217391304348)","(51.0, 120.0, 99.54545454545455)"
11-01-2023 16:17:21.621954,"(21.0, 29.0, 28.375)","(4.6, 5.2, 5.173134328358209)","(11.0, 16.0, 15.639705882352942)","(31.0, 44.0, 41.88235294117647)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.748834196891192)","(7.0, 8.0, 7.992118226600986)","(13.0, 14.5, 14.315217391304348)","(51.0, 120.0, 99.54545454545455)"
11-01-2023 16:17:22.826111,"(21.0, 29.0, 28.375)","(4.6, 5.2, 5.173134328358209)","(11.0, 16.0, 15.634328358208956)","(31.0, 44.0, 41.88235294117647)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.753448275862069)","(7.0, 8.0, 7.992118226600986)","(13.0, 14.5, 14.152173913043478)","(51.0, 110.0, 105.0)"
11-01-2023 16:17:24.365036,"(21.0, 29.0, 28.375)","(4.6, 5.2, 5.173134328358209)","(11.0, 16.0, 15.634328358208956)","(31.0, 44.0, 41.88235294117647)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.753448275862069)","(7.0, 8.0, 7.992118226600986)","(13.0, 14.5, 14.152173913043478)","(51.0, 110.0, 105.0)"
11-01-2023 16:17:25.501614,"(21.0, 29.0, 28.583333333333332)","(4.6, 5.2, 5.173134328358209)","(11.0, 16.0, 15.634328358208956)","(31.0, 44.0, 41.88235294117647)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.752240566037736)","(7.0, 8.0, 7.992118226600986)","(13.0, 14.5, 14.152173913043478)","(51.0, 110.0, 105.0)"
11-01-2023 16:17:26.714764,"(21.0, 29.0, 28.583333333333332)","(4.6, 5.2, 5.173134328358209)","(11.0, 16.0, 15.634328358208956)","(31.0, 44.0, 41.88235294117647)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.752240566037736)","(7.0, 8.0, 7.992118226600986)","(13.0, 14.5, 14.44915254237288)","(51.0, 110.0, 105.0)"
11-01-2023 16:17:27.839067,"(21.0, 29.0, 28.545454545454547)","(4.6, 5.2, 5.165919282511211)","(11.0, 16.0, 15.634328358208956)","(31.0, 44.0, 41.88235294117647)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.757126948775056)","(7.0, 8.0, 7.991878172588833)","(13.0, 14.5, 14.473214285714286)","(51.0, 110.0, 105.0)"
11-01-2023 16:17:29.426965,"(21.0, 29.0, 28.545454545454547)","(4.6, 5.2, 5.165919282511211)","(11.0, 16.0, 15.634328358208956)","(31.0, 44.0, 41.88235294117647)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.7629094412331408)","(7.0, 8.0, 7.991878172588833)","(13.0, 14.5, 14.746478873239436)","(51.0, 110.0, 105.0)"
11-01-2023 16:17:30.528524,"(21.0, 29.0, 28.545454545454547)","(4.6, 5.2, 5.165919282511211)","(11.0, 16.0, 15.634328358208956)","(31.0, 44.0, 41.88235294117647)","(4.0, 4.8, 4.679329608938547)","(3.3, 3.8, 3.7629094412331408)","(7.0, 8.0, 7.991878172588833)","(13.0, 15.0, 14.756756756756756)","(51.0, 110.0, 105.0)"
11-01-2023 16:17:31.681640,"(21.0, 29.0, 28.545454545454547)","(4.6, 5.2, 5.1841346153846155)","(11.0, 16.0, 15.140350877192983)","(31.0, 44.0, 41.88235294117647)","(4.0, 4.8, 4.683529411764706)","(3.3, 3.8, 3.695945945945946)","(7.0, 8.0, 7.992039800995025)","(13.0, 15.0, 14.839506172839506)","(51.0, 110.0, 105.0)"
11-01-2023 16:17:32.936868,"(21.0, 29.0, 28.545454545454547)","(4.6, 5.2, 5.188832487309645)","(11.0, 16.0, 15.570175438596491)","(31.0, 44.0, 42.588235294117645)","(4.0, 4.8, 4.693203883495145)","(3.3, 3.8, 3.678104575163399)","(7.0, 8.0, 7.9928411633109615)","(13.0, 15.0, 14.80952380952381)","(51.0, 110.0, 102.5)"
11-01-2023 16:17:34.160655,"(21.0, 29.0, 28.666666666666668)","(4.6, 5.2, 5.196078431372549)","(11.0, 16.0, 15.718390804597702)","(31.0, 44.0, 42.8235294117647)","(4.0, 4.8, 4.693203883495145)","(3.3, 3.7, 3.681159420289855)","(7.0, 8.0, 7.996355353075171)","(13.0, 15.0, 14.729166666666666)","(51.0, 110.0, 99.0909090909091)"
11-01-2023 16:17:35.287576,"(21.0, 29.0, 28.666666666666668)","(4.6, 5.2, 5.196078431372549)","(11.0, 16.0, 15.718390804597702)","(31.0, 44.0, 42.8235294117647)","(4.0, 4.8, 4.692156862745097)","(3.3, 3.7, 3.6833333333333336)","(7.0, 8.0, 7.996355353075171)","(13.0, 15.0, 14.956521739130435)","(51.0, 110.0, 99.0909090909091)"
11-01-2023 16:17:36.623457,"(21.0, 29.0, 28.666666666666668)","(4.6, 5.2, 5.1982905982905985)","(11.0, 16.0, 15.726190476190476)","(31.0, 44.0, 42.75)","(4.0, 4.8, 4.6894472361809045)","(3.3, 3.7, 3.683225806451613)","(7.0, 8.0, 7.996355353075171)","(13.0, 15.0, 14.956521739130435)","(51.0, 110.0, 99.0909090909091)"
11-01-2023 16:17:37.744863,"(21.0, 29.0, 28.785714285714285)","(4.6, 5.2, 5.1982905982905985)","(11.0, 16.0, 15.726190476190476)","(31.0, 44.0, 42.75)","(4.0, 4.8, 4.6894472361809045)","(3.3, 3.7, 3.6875912408759124)","(7.0, 8.0, 7.996355353075171)","(13.0, 15.0, 14.956521739130435)","(51.0, 110.0, 99.0909090909091)"
11-01-2023 16:17:38.847481,"(21.0, 29.0, 28.727272727272727)","(4.6, 5.2, 5.1982905982905985)","(11.0, 16.0, 15.726190476190476)","(31.0, 44.0, 42.75)","(4.0, 4.8, 4.686597938144329)","(3.3, 3.7, 3.6875912408759124)","(7.0, 8.0, 7.996355353075171)","(13.0, 15.0, 15.07)","(51.0, 110.0, 99.0909090909091)"
11-01-2023 16:17:39.925893,"(21.0, 29.0, 28.727272727272727)","(4.6, 5.2, 5.1982905982905985)","(11.0, 16.0, 15.726190476190476)","(31.0, 44.0, 42.75)","(4.0, 4.8, 4.686597938144329)","(3.3, 3.7, 3.6929166666666666)","(7.0, 8.0, 7.996355353075171)","(13.0, 15.5, 15.117647058823529)","(51.0, 110.0, 99.0909090909091)"
11-01-2023 16:17:41.088865,"(21.0, 29.0, 28.88)","(4.6, 5.2, 5.198268398268398)","(11.0, 16.0, 15.732558139534884)","(31.0, 44.0, 42.75)","(4.0, 4.8, 4.686597938144329)","(3.3, 3.7, 3.6819444444444445)","(7.0, 8.0, 7.996355353075171)","(13.0, 15.5, 15.153061224489797)","(51.0, 110.0, 99.0909090909091)"
11-01-2023 16:17:42.343108,"(21.0, 29.0, 28.88)","(4.6, 5.2, 5.198268398268398)","(11.0, 16.0, 15.757894736842106)","(31.0, 44.0, 42.75)","(4.0, 4.8, 4.677094972067039)","(3.3, 3.7, 3.686434108527132)","(7.0, 8.0, 7.996355353075171)","(13.0, 15.5, 15.075)","(51.0, 110.0, 99.0909090909091)"
11-01-2023 16:17:43.503084,"(21.0, 29.0, 28.75)","(4.6, 5.2, 5.198268398268398)","(11.0, 16.0, 15.757894736842106)","(31.0, 44.0, 42.75)","(4.0, 4.8, 4.701785714285714)","(3.3, 3.7, 3.6873015873015875)","(7.0, 8.0, 7.996355353075171)","(13.0, 15.5, 14.972222222222221)","(51.0, 110.0, 99.0909090909091)"
11-01-2023 16:17:44.625867,"(21.0, 29.0, 28.75)","(4.6, 5.2, 5.198268398268398)","(11.0, 16.0, 15.772277227722773)","(31.0, 44.0, 42.75)","(4.0, 4.8, 4.701785714285714)","(3.3, 3.7, 3.6873015873015875)","(7.0, 8.0, 7.996355353075171)","(13.0, 15.0, 14.972222222222221)","(51.0, 110.0, 99.0909090909091)"
11-01-2023 16:17:45.820418,"(21.0, 29.0, 28.75)","(4.6, 5.2, 5.198268398268398)","(11.0, 16.0, 15.772277227722773)","(31.0, 44.0, 42.75)","(4.0, 4.8, 4.701785714285714)","(3.3, 3.7, 3.6835714285714287)","(7.0, 8.0, 8.129007633587786)","(13.0, 15.0, 14.930379746835444)","(51.0, 110.0, 99.0909090909091)"
11-01-2023 16:17:47.139215,"(21.0, 29.0, 28.75)","(4.6, 5.3, 5.254887218045113)","(11.0, 16.0, 15.772277227722773)","(31.0, 44.0, 42.75)","(4.0, 4.8, 4.701785714285714)","(3.3, 3.7, 3.688188976377953)","(7.0, 8.2, 8.129007633587786)","(13.0, 15.0, 14.992753623188406)","(51.0, 110.0, 99.0909090909091)"
11-01-2023 16:17:48.313528,"(21.0, 29.0, 28.75)","(4.6, 5.3, 5.254887218045113)","(11.0, 16.0, 15.75268817204301)","(31.0, 44.0, 42.75)","(4.0, 4.8, 4.701785714285714)","(3.3, 3.7, 3.688188976377953)","(7.0, 8.2, 8.01764705882353)","(13.0, 15.0, 15.112612612612612)","(51.0, 110.0, 99.0909090909091)"
11-01-2023 16:17:49.573351,"(21.0, 29.0, 28.75)","(4.6, 5.3, 5.254887218045113)","(11.0, 16.0, 15.75268817204301)","(31.0, 44.0, 42.8235294117647)","(4.0, 4.8, 4.677094972067039)","(3.3, 3.7, 3.6934782608695653)","(7.0, 8.2, 8.01978021978022)","(13.0, 15.5, 15.112612612612612)","(51.0, 110.0, 98.0)"
11-01-2023 16:17:51.052933,"(21.0, 30.0, 29.8)","(4.6, 5.3, 5.249579831932773)","(11.0, 16.0, 15.75268817204301)","(31.0, 44.0, 42.8235294117647)","(4.0, 4.8, 4.677094972067039)","(3.3, 3.7, 3.6858744394618834)","(7.0, 8.2, 8.01978021978022)","(13.0, 15.5, 15.324324324324325)","(51.0, 110.0, 98.0)"
11-01-2023 16:17:52.359044,"(21.0, 30.0, 29.8)","(4.6, 5.3, 5.249579831932773)","(11.0, 16.0, 15.75268817204301)","(31.0, 44.0, 42.888888888888886)","(4.0, 4.8, 4.677094972067039)","(3.3, 3.75, 3.6853982300884955)","(7.0, 8.2, 8.13606237816764)","(13.0, 15.5, 15.21111111111111)","(51.0, 110.0, 98.0)"
11-01-2023 16:17:53.556733,"(21.0, 30.0, 29.8)","(4.6, 5.3, 5.249579831932773)","(11.0, 16.0, 15.75268817204301)","(31.0, 44.0, 42.888888888888886)","(4.0, 4.8, 4.677094972067039)","(3.3, 3.75, 3.6853982300884955)","(7.0, 8.2, 7.9851508120649655)","(13.0, 15.5, 15.09375)","(51.0, 110.0, 85.71428571428571)"
11-01-2023 16:17:54.920791,"(21.0, 30.0, 29.8)","(4.6, 5.3, 5.254198473282443)","(11.0, 16.0, 15.75268817204301)","(31.0, 44.0, 42.888888888888886)","(4.0, 4.8, 4.6658536585365855)","(3.3, 3.75, 3.7078034682080925)","(7.0, 8.0, 7.981776765375854)","(13.0, 15.5, 15.09375)","(51.0, 100.0, 93.33333333333333)"
11-01-2023 16:17:56.211138,"(21.0, 30.0, 29.8)","(4.6, 5.3, 5.254198473282443)","(11.0, 16.0, 15.75268817204301)","(31.0, 44.0, 42.888888888888886)","(4.0, 4.8, 4.664670658682635)","(3.3, 3.75, 3.7078034682080925)","(7.0, 8.0, 7.985581395348837)","(13.0, 15.5, 15.09375)","(51.0, 100.0, 93.33333333333333)"
11-01-2023 16:17:57.426928,"(21.0, 30.0, 29.8)","(4.6, 5.3, 5.254198473282443)","(11.0, 16.0, 15.75268817204301)","(31.0, 44.0, 42.888888888888886)","(4.0, 4.8, 4.664670658682635)","(3.3, 3.75, 3.7078034682080925)","(7.0, 8.0, 7.985581395348837)","(13.0, 15.5, 15.09375)","(51.0, 100.0, 93.33333333333333)"
11-01-2023 16:17:58.659698,"(21.0, 30.0, 29.8)","(4.6, 5.3, 5.254198473282443)","(11.0, 16.0, 15.75268817204301)","(31.0, 44.0, 42.888888888888886)","(4.0, 4.8, 4.664670658682635)","(3.3, 3.75, 3.7037974683544306)","(7.0, 8.0, 7.985308056872038)","(13.0, 15.5, 14.854166666666666)","(51.0, 100.0, 93.33333333333333)"
11-01-2023 16:18:00.048158,"(21.0, 30.0, 29.8)","(4.6, 5.3, 5.254198473282443)","(11.0, 16.0, 15.75268817204301)","(31.0, 44.0, 42.75)","(4.0, 4.8, 4.664670658682635)","(3.3, 3.75, 3.7186721991701246)","(7.0, 8.0, 7.985308056872038)","(13.0, 15.0, 14.806122448979592)","(51.0, 100.0, 93.33333333333333)"
11-01-2023 16:18:01.617346,"(21.0, 30.0, 29.8)","(4.6, 5.3, 5.24640522875817)","(11.0, 16.0, 15.75268817204301)","(31.0, 44.0, 42.333333333333336)","(4.0, 4.8, 4.6658536585365855)","(3.3, 3.75, 3.7176470588235295)","(7.0, 8.0, 7.989147286821705)","(13.0, 15.0, 14.806122448979592)","(51.0, 100.0, 93.33333333333333)"
11-01-2023 16:18:02.852919,"(21.0, 30.0, 29.8)","(4.6, 5.3, 5.24640522875817)","(11.0, 16.0, 15.75268817204301)","(31.0, 44.0, 42.588235294117645)","(4.0, 4.8, 4.6658536585365855)","(3.3, 3.75, 3.716544117647059)","(7.0, 8.0, 7.989147286821705)","(13.0, 15.0, 14.806122448979592)","(51.0, 100.0, 93.33333333333333)"
11-01-2023 16:18:04.168674,"(21.0, 30.0, 29.8)","(4.6, 5.3, 5.24640522875817)","(11.0, 16.0, 15.75268817204301)","(31.0, 44.0, 42.588235294117645)","(4.0, 4.8, 4.6658536585365855)","(3.3, 3.75, 3.716544117647059)","(7.0, 8.0, 7.989147286821705)","(13.0, 15.0, 14.806122448979592)","(61.0, 100.0, 93.33333333333333)"
11-01-2023 16:18:05.534571,"(21.0, 30.0, 29.8)","(4.6, 5.3, 5.24640522875817)","(11.0, 16.0, 15.767676767676768)","(31.0, 44.0, 40.916666666666664)","(4.0, 4.8, 4.681720430107527)","(3.3, 3.75, 3.716544117647059)","(7.0, 8.0, 7.993103448275862)","(13.0, 15.0, 14.834782608695653)","(61.0, 100.0, 104.44444444444444)"
11-01-2023 16:18:07.079961,"(21.0, 28.0, 27.666666666666668)","(4.6, 5.3, 5.242657342657343)","(11.0, 16.0, 15.767676767676768)","(31.0, 42.0, 40.76190476190476)","(4.0, 4.8, 4.681720430107527)","(3.3, 3.75, 3.7203619909502263)","(7.0, 8.0, 7.99358024691358)","(13.0, 15.0, 14.905263157894737)","(61.0, 110.0, 101.66666666666667)"
11-01-2023 16:18:08.603384,"(21.0, 27.0, 24.5)","(4.6, 5.3, 5.252325581395349)","(11.0, 16.0, 15.767676767676768)","(31.0, 42.0, 40.76190476190476)","(4.0, 4.8, 4.681720430107527)","(3.3, 3.75, 3.7203619909502263)","(7.0, 8.0, 7.993417721518988)","(13.0, 15.0, 14.905263157894737)","(61.0, 110.0, 101.66666666666667)"
11-01-2023 16:18:09.922663,"(21.0, 27.0, 24.5)","(4.6, 5.3, 5.232786885245901)","(11.0, 16.0, 15.767676767676768)","(31.0, 42.0, 40.76190476190476)","(4.0, 4.8, 4.681720430107527)","(3.3, 3.75, 3.7203619909502263)","(7.0, 8.0, 7.972631578947368)","(13.0, 15.0, 14.905263157894737)","(61.0, 110.0, 101.66666666666667)"
11-01-2023 16:18:11.245250,"(21.0, 27.0, 24.5)","(4.6, 5.3, 5.232786885245901)","(11.0, 16.0, 15.767676767676768)","(31.0, 42.0, 40.76190476190476)","(4.0, 4.8, 4.681720430107527)","(3.3, 3.75, 3.7203619909502263)","(7.0, 8.0, 7.817297297297297)","(13.0, 15.0, 14.830188679245284)","(61.0, 110.0, 101.66666666666667)"
11-01-2023 16:18:12.538548,"(21.0, 27.0, 24.5)","(4.6, 5.3, 5.232786885245901)","(11.0, 16.0, 15.767676767676768)","(31.0, 42.0, 41.28)","(4.0, 4.8, 4.726119402985074)","(3.3, 3.75, 3.7300448430493276)","(7.0, 8.0, 7.771929824561403)","(13.0, 15.0, 14.777777777777779)","(61.0, 110.0, 94.44444444444444)"
11-01-2023 16:18:13.792351,"(21.0, 28.0, 25.666666666666668)","(4.6, 5.3, 5.232786885245901)","(11.0, 16.0, 15.767676767676768)","(31.0, 42.0, 41.28)","(4.0, 4.8, 4.726119402985074)","(3.3, 3.75, 3.7300448430493276)","(7.0, 7.8, 7.731720430107527)","(13.0, 15.0, 14.777777777777779)","(51.0, 110.0, 94.44444444444444)"
11-01-2023 16:18:15.106137,"(21.0, 28.0, 25.5)","(4.6, 5.3, 5.232786885245901)","(11.0, 16.0, 15.767676767676768)","(31.0, 42.0, 41.28)","(4.0, 4.8, 4.741764705882353)","(3.3, 3.75, 3.7300448430493276)","(7.0, 7.8, 7.713163972286374)","(13.0, 15.0, 14.777777777777779)","(51.0, 110.0, 94.44444444444444)"
11-01-2023 16:18:16.407132,"(21.0, 28.0, 25.818181818181817)","(4.6, 5.3, 5.219607843137255)","(11.0, 16.0, 15.767676767676768)","(31.0, 42.0, 41.28)","(4.0, 4.8, 4.719512195121951)","(3.3, 3.75, 3.730964467005076)","(7.0, 7.8, 7.713163972286374)","(13.0, 15.0, 14.777777777777779)","(51.0, 110.0, 94.44444444444444)"
11-01-2023 16:18:17.599683,"(21.0, 28.0, 25.818181818181817)","(4.6, 5.3, 5.219607843137255)","(11.0, 16.0, 15.767676767676768)","(31.0, 42.0, 41.28)","(4.0, 4.8, 4.719512195121951)","(3.3, 3.75, 3.730964467005076)","(7.0, 7.8, 7.707456140350877)","(13.0, 15.0, 14.926829268292684)","(51.0, 110.0, 94.44444444444444)"
