,Burn The Boats,Hush Puppy,Master Of Menace,Ready Enable,Royal George,The Wolverine,Thrax,Rufus Winright,Think Doro,Duchess Bree,Game Star,Is That You Ethel
07-01-2023 14:10:45.148427,"(10.0, 12.0, 11.546511627906977)","(101.0, 550.0, 522.7272727272727)","(9.0, 10.5, 10.147540983606557)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.55555555555556)","(7.0, 8.4, 8.332530120481927)","(101.0, 350.0, 296.0)","(2.7, 3.4, 3.3947826086956523)","(10.0, 13.0, 12.986301369863014)","(101.0, 380.0, 251.25)","(14.0, 16.5, 16.321428571428573)","(4.0, 5.0, 4.817948717948718)"
07-01-2023 14:10:46.714395,"(10.0, 12.0, 11.546511627906977)","(101.0, 550.0, 522.7272727272727)","(9.0, 10.5, 10.147540983606557)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.55555555555556)","(7.0, 8.6, 8.332530120481927)","(101.0, 350.0, 296.0)","(2.7, 3.4, 3.3947826086956523)","(10.0, 13.0, 12.986301369863014)","(101.0, 260.0, 251.25)","(14.0, 16.5, 16.321428571428573)","(4.0, 5.0, 4.817948717948718)"
07-01-2023 14:10:48.399341,"(10.0, 12.0, 11.546511627906977)","(101.0, 550.0, 522.7272727272727)","(9.0, 10.5, 10.147540983606557)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.55555555555556)","(7.0, 8.6, 8.332530120481927)","(101.0, 350.0, 296.0)","(2.7, 3.4, 3.3032110091743117)","(10.0, 13.5, 13.063829787234043)","(101.0, 260.0, 251.11111111111111)","(14.0, 16.5, 16.321428571428573)","(4.0, 4.9, 4.823214285714286)"
07-01-2023 14:10:50.025472,"(10.0, 12.0, 11.546511627906977)","(101.0, 550.0, 522.7272727272727)","(9.0, 10.5, 10.147540983606557)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.55555555555556)","(7.0, 8.6, 8.332530120481927)","(101.0, 350.0, 296.0)","(2.7, 3.35, 3.2976923076923077)","(10.0, 13.5, 13.011904761904763)","(101.0, 260.0, 251.11111111111111)","(14.0, 16.5, 16.321428571428573)","(4.0, 5.0, 4.8277777777777775)"
07-01-2023 14:10:51.621761,"(10.0, 12.0, 11.546511627906977)","(101.0, 550.0, 522.7272727272727)","(9.0, 10.5, 10.2)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.55555555555556)","(7.0, 8.6, 8.332530120481927)","(101.0, 350.0, 296.0)","(2.7, 3.35, 3.2976923076923077)","(10.0, 13.5, 13.011904761904763)","(101.0, 260.0, 251.11111111111111)","(14.0, 16.5, 16.214285714285715)","(4.0, 5.0, 4.893103448275863)"
07-01-2023 14:10:53.293926,"(10.0, 12.0, 11.546511627906977)","(101.0, 550.0, 522.7272727272727)","(9.0, 10.5, 10.2)","(71.0, 95.0, 90.95238095238095)","(31.0, 40.0, 38.375)","(7.0, 8.6, 8.335802469135801)","(101.0, 350.0, 296.0)","(2.7, 3.35, 3.306595744680851)","(10.0, 13.5, 13.011904761904763)","(101.0, 260.0, 251.11111111111111)","(14.0, 16.5, 16.142857142857142)","(4.0, 4.9, 4.893103448275863)"
07-01-2023 14:10:54.936809,"(10.0, 12.0, 15.105263157894736)","(101.0, 550.0, 547.6190476190476)","(9.0, 10.5, 13.2875)","(71.0, 95.0, 82.5)","(31.0, 40.0, 32.666666666666664)","(7.0, 8.6, 9.032258064516128)","(101.0, 350.0, 892.2727272727273)","(2.7, 3.35, 3.70804347826087)","(10.0, 13.5, 15.183333333333334)","(101.0, 460.0, 442.85714285714283)","(14.0, 21.0, 19.076923076923077)","(4.0, 5.6, 4.915217391304347)"
07-01-2023 14:10:56.639211,"(10.0, 17.0, 15.105263157894736)","(101.0, 570.0, 531.8181818181818)","(9.0, 15.5, 13.2875)","(71.0, 95.0, 82.5)","(31.0, 48.0, 30.75)","(7.0, 9.6, 9.032258064516128)","(101.0, 930.0, 892.2727272727273)","(2.7, 4.2, 4.03625)","(10.0, 16.5, 15.183333333333334)","(101.0, 460.0, 233.33333333333334)","(14.0, 21.0, 19.076923076923077)","(4.0, 5.6, 4.915217391304347)"
07-01-2023 14:10:58.303495,"(10.0, 17.0, 15.105263157894736)","(101.0, 570.0, 531.8181818181818)","(9.0, 15.5, 13.2875)","(71.0, 95.0, 82.5)","(31.0, 48.0, 32.666666666666664)","(7.0, 9.6, 9.032258064516128)","(101.0, 930.0, 892.2727272727273)","(2.7, 4.1, 3.427872340425532)","(10.0, 16.5, 15.183333333333334)","(101.0, 240.0, 328.57142857142856)","(14.0, 21.0, 18.75)","(4.0, 5.6, 4.858823529411764)"
07-01-2023 14:11:00.023182,"(10.0, 17.0, 15.105263157894736)","(101.0, 570.0, 365.0)","(9.0, 15.5, 13.2875)","(71.0, 95.0, 85.0)","(31.0, 48.0, 22.125)","(7.0, 9.6, 8.993103448275862)","(101.0, 930.0, 882.7272727272727)","(2.7, 3.8, 3.707547169811321)","(10.0, 16.5, 16.1875)","(101.0, 340.0, 328.57142857142856)","(14.0, 21.0, 18.75)","(4.0, 5.6, 4.5928571428571425)"
07-01-2023 14:11:01.655348,"(10.0, 17.0, 15.105263157894736)","(101.0, 570.0, 365.0)","(9.0, 15.5, 13.2875)","(71.0, 95.0, 85.0)","(31.0, 24.0, 22.125)","(7.0, 9.6, 8.993103448275862)","(101.0, 920.0, 882.7272727272727)","(2.7, 3.75, 3.707547169811321)","(10.0, 16.5, 16.1875)","(101.0, 340.0, 328.57142857142856)","(14.0, 21.0, 18.75)","(4.0, 4.7, 4.5928571428571425)"
07-01-2023 14:11:03.448133,"(10.0, 17.0, 12.357142857142858)","(101.0, 570.0, 365.0)","(9.0, 9.6, 9.226666666666667)","(71.0, 95.0, 85.0)","(31.0, 44.0, 36.8)","(7.0, 9.2, 8.381818181818181)","(101.0, 910.0, 376.6666666666667)","(2.7, 3.6, 3.435)","(10.0, 16.5, 12.85)","(101.0, 340.0, 329.09090909090907)","(14.0, 21.0, 17.8)","(4.0, 4.1, 3.5399999999999996)"
07-01-2023 14:11:05.065101,"(10.0, 17.0, 12.357142857142858)","(101.0, 570.0, 365.0)","(9.0, 9.6, 9.226666666666667)","(71.0, 95.0, 85.0)","(31.0, 44.0, 36.8)","(7.0, 9.2, 8.381818181818181)","(101.0, 910.0, 510.0)","(2.7, 3.6, 3.1392156862745098)","(10.0, 16.5, 14.555555555555555)","(101.0, 340.0, 329.09090909090907)","(14.0, 21.0, 17.8)","(4.0, 4.1, 3.7)"
