,Jilliby Tina,Spike The Punch,Tackleberry,Showtime Bobby,Flash Fever,Secret Shades,Memory Lane,Juliette Keats
16-12-2022 12:36:17.966297,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:19.189481,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:20.390568,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 10.166666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:21.715467,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:22.915596,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:24.073805,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:25.296702,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:26.515601,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:27.711021,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:28.834185,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
