,Up There Billy,Aston Carlos,Curls Victory,Woodside Zulu,Dash Home,Just Buffy,Denzell Bale
10-01-2023 11:58:55.585556,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:56.626698,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:57.675947,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:58.736065,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:59.813018,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:59:00.847849,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:59:02.077810,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:59:03.195883,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:59:04.315842,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:59:05.478915,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 27.0)","(20.0, 55.0, 28.454545454545453)","(17.0, 55.0, 26.636363636363637)"
10-01-2023 11:59:06.592746,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 11.427272727272728)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.6)","(18.0, 48.0, 27.333333333333336)","(20.0, 55.0, 28.454545454545453)","(17.0, 55.0, 26.636363636363637)"
10-01-2023 11:59:07.572636,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 11.427272727272728)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.6)","(18.0, 48.0, 27.333333333333336)","(20.0, 55.0, 28.454545454545453)","(17.0, 55.0, 26.636363636363637)"
10-01-2023 11:59:08.550900,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 11.427272727272728)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.6)","(18.0, 48.0, 27.333333333333336)","(20.0, 55.0, 28.454545454545453)","(17.0, 55.0, 26.636363636363637)"
10-01-2023 11:59:09.523676,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 11.427272727272728)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.6)","(18.0, 48.0, 27.333333333333336)","(20.0, 55.0, 28.454545454545453)","(17.0, 55.0, 26.636363636363637)"
10-01-2023 11:59:10.497728,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 11.427272727272728)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.6)","(18.0, 48.0, 27.333333333333336)","(20.0, 55.0, 28.454545454545453)","(17.0, 55.0, 26.636363636363637)"
10-01-2023 11:59:11.434711,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 11.427272727272728)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.6)","(18.0, 48.0, 27.333333333333336)","(20.0, 55.0, 28.454545454545453)","(17.0, 55.0, 26.636363636363637)"
10-01-2023 11:59:12.415887,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 11.427272727272728)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.6)","(18.0, 48.0, 27.333333333333336)","(20.0, 55.0, 28.454545454545453)","(17.0, 55.0, 26.636363636363637)"
10-01-2023 11:59:13.501577,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 11.427272727272728)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.6)","(18.0, 48.0, 27.333333333333336)","(20.0, 55.0, 28.454545454545453)","(17.0, 55.0, 26.636363636363637)"
10-01-2023 11:59:14.573532,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 11.427272727272728)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.6)","(18.0, 48.0, 27.333333333333336)","(20.0, 55.0, 28.454545454545453)","(17.0, 55.0, 26.636363636363637)"
10-01-2023 11:59:15.670625,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 11.427272727272728)","(1.65, 2.5, 1.9285714285714286)","(8.0, 17.0, 11.6)","(18.0, 48.0, 27.333333333333336)","(20.0, 55.0, 28.454545454545453)","(17.0, 55.0, 26.636363636363637)"
