,Lightning Jack,Bankx Turbo,Amicus Brief,Pirate Rick,Hes A Fine Man,Payster,Sheltowees Bali,Hiding The Brick
15-12-2022 12:26:47.745021,"(31.0, 240.0, 100.0)","(17.0, 290.0, 92.0)","(7.0, 90.0, 74.0)","(1.16, 1.25, 1.2442857142857142)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 33.666666666666664)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:48.797020,"(31.0, 240.0, 135.0)","(17.0, 290.0, 131.6)","(7.0, 90.0, 74.0)","(1.16, 1.25, 1.2442857142857142)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 33.666666666666664)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:50.003835,"(31.0, 240.0, 135.0)","(17.0, 290.0, 131.6)","(7.0, 90.0, 74.0)","(1.16, 1.25, 1.2442857142857142)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 33.666666666666664)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:51.046331,"(31.0, 240.0, 135.0)","(17.0, 290.0, 131.6)","(7.0, 90.0, 74.0)","(1.16, 1.25, 1.2442857142857142)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 33.666666666666664)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:51.988714,"(31.0, 240.0, 135.0)","(17.0, 290.0, 131.6)","(7.0, 90.0, 74.0)","(1.16, 1.25, 1.2442857142857142)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 33.666666666666664)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:52.929307,"(31.0, 240.0, 135.0)","(17.0, 290.0, 131.6)","(7.0, 90.0, 68.66666666666666)","(1.16, 1.25, 1.2442857142857142)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 33.666666666666664)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:53.962333,"(31.0, 240.0, 135.0)","(17.0, 290.0, 131.6)","(7.0, 90.0, 68.66666666666666)","(1.16, 1.25, 1.2442857142857142)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 33.666666666666664)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:54.967179,"(31.0, 240.0, 135.0)","(17.0, 290.0, 131.6)","(7.0, 90.0, 68.66666666666666)","(1.16, 1.25, 1.2442857142857142)","(41.0, 100.0, 73.0)","(41.0, 410.0, 282.66666666666663)","(15.0, 55.0, 33.666666666666664)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:55.996664,"(31.0, 230.0, 150.0)","(17.0, 290.0, 131.6)","(7.0, 90.0, 68.66666666666666)","(1.16, 1.25, 1.2445454545454546)","(41.0, 100.0, 73.0)","(41.0, 400.0, 282.66666666666663)","(15.0, 55.0, 33.666666666666664)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:57.226712,"(31.0, 230.0, 150.0)","(17.0, 290.0, 210.79999999999998)","(7.0, 90.0, 68.66666666666666)","(1.16, 1.25, 1.2445454545454546)","(41.0, 100.0, 73.0)","(41.0, 400.0, 282.66666666666663)","(15.0, 55.0, 33.666666666666664)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:58.213842,"(31.0, 230.0, 150.0)","(17.0, 290.0, 210.79999999999998)","(7.0, 90.0, 68.66666666666666)","(1.16, 1.25, 1.2445454545454546)","(41.0, 100.0, 73.0)","(41.0, 400.0, 282.66666666666663)","(15.0, 55.0, 33.666666666666664)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:59.271192,"(31.0, 230.0, 150.0)","(17.0, 290.0, 210.79999999999998)","(7.0, 90.0, 68.66666666666666)","(1.16, 1.25, 1.2445454545454546)","(41.0, 100.0, 73.0)","(41.0, 400.0, 282.66666666666663)","(15.0, 55.0, 33.666666666666664)","(13.0, 32.0, 23.25)"
15-12-2022 12:27:00.385694,"(31.0, 230.0, 150.0)","(17.0, 290.0, 210.79999999999998)","(7.0, 90.0, 68.66666666666666)","(1.16, 1.25, 1.2328571428571429)","(41.0, 100.0, 73.0)","(41.0, 400.0, 282.66666666666663)","(15.0, 55.0, 33.666666666666664)","(13.0, 32.0, 23.25)"
15-12-2022 12:27:01.587861,"(31.0, 230.0, 150.0)","(17.0, 290.0, 210.79999999999998)","(7.0, 90.0, 68.66666666666666)","(1.16, 1.25, 1.2414285714285713)","(41.0, 100.0, 73.0)","(41.0, 400.0, 259.20000000000005)","(15.0, 55.0, 33.666666666666664)","(13.0, 32.0, 23.25)"
