,Clan Mcmillan,Chilly Bin,Keira Spolly,Nixon Bale,Just Admit It,Gai Water Star,Balmoral,Locked And Ready
09-01-2023 15:03:59.044418,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:00.264250,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:01.460834,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:02.598601,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:03.814311,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:04.984547,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:06.159761,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:07.247614,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:08.308244,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:09.374856,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:10.476805,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:11.553303,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:12.610864,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:13.671402,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:14.694692,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:15.780776,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:16.898595,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:18.042213,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:19.193832,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:20.407635,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:21.587870,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:04:22.801409,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
