,Kingsbrae Demon,Marinus,Double Charming,Dasha Tullamore,Kingsbrae Noel,Expert Tease,Blazing Bonus,Fly Tom
12-01-2023 11:29:22.644292,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 12.725000000000001)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:23.597622,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 12.725000000000001)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:24.648355,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 12.725000000000001)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:25.690032,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 12.725000000000001)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:26.703170,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 12.725000000000001)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:27.871242,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 12.725000000000001)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:28.985273,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 12.725000000000001)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:30.025458,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 12.725000000000001)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:31.140528,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 12.725000000000001)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:32.254587,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 12.725000000000001)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
