,Cedars Wish,Ghostly Squall,Timetogetup,Aims Jubilee,Emberly,Shenandoah Cat,Slewing,Windsors Play,All Caps,Charitable Any
15-12-2022 13:26:18.426099,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 10.0, 9.094117647058823)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:19.794618,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 10.0, 9.51875)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:21.149303,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 10.0, 9.51875)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:22.633572,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 10.0, 9.51875)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:23.942608,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 10.0, 8.9)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:25.306100,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 8.9)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:26.615061,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 8.9)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 2.0127272727272727)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:27.938123,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 8.9)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 2.0127272727272727)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:29.277990,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 8.9)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 2.0127272727272727)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:30.575933,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 8.9)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 2.0127272727272727)","(41.0, 620.0, 373.14285714285717)"
