,Real Cute,Good Grab,Tecoma Street,Yakutsk,Spirit Of Luck,Baba Vanga,Hedonie,Heros Trinket,Lively Lass,Say Goodbye,Angels Voice
12-01-2023 14:21:29.897075,"(15.0, 21.0, 20.25)","(4.6, 6.8, 6.406896551724138)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1875)","(4.4, 6.8, 6.68)","(26.0, 55.0, 63.75)","(51.0, 130.0, 100.0)","(20.0, 26.0, 24.5)"
12-01-2023 14:21:31.773079,"(15.0, 22.0, 20.25)","(4.6, 6.8, 6.406896551724138)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1875)","(4.4, 6.8, 6.68)","(26.0, 65.0, 63.75)","(51.0, 130.0, 100.0)","(20.0, 26.0, 24.5)"
12-01-2023 14:21:33.661202,"(15.0, 22.0, 20.0)","(4.6, 6.8, 6.3875)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1875)","(4.4, 6.8, 6.68)","(26.0, 65.0, 57.333333333333336)","(51.0, 130.0, 100.0)","(20.0, 26.0, 23.333333333333332)"
12-01-2023 14:21:35.384681,"(15.0, 21.0, 20.0)","(4.6, 6.8, 6.44375)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1106060606060604)","(4.4, 6.8, 6.68)","(26.0, 60.0, 57.333333333333336)","(51.0, 130.0, 100.0)","(20.0, 26.0, 25.11111111111111)"
12-01-2023 14:21:37.180882,"(15.0, 21.0, 20.0)","(4.6, 6.8, 6.44375)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1263888888888887)","(4.4, 6.8, 6.68)","(26.0, 60.0, 57.333333333333336)","(51.0, 130.0, 103.33333333333334)","(20.0, 26.0, 25.11111111111111)"
12-01-2023 14:21:38.937075,"(15.0, 21.0, 20.0)","(4.6, 6.8, 6.44375)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1263888888888887)","(4.4, 6.8, 6.68)","(26.0, 60.0, 54.23076923076923)","(51.0, 120.0, 92.22222222222223)","(20.0, 26.0, 25.0)"
12-01-2023 14:21:40.733963,"(15.0, 21.0, 20.0)","(4.6, 6.8, 6.44375)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1263888888888887)","(4.4, 6.8, 6.68)","(26.0, 55.0, 54.23076923076923)","(51.0, 120.0, 92.22222222222223)","(20.0, 26.0, 25.0)"
12-01-2023 14:21:42.322593,"(15.0, 21.0, 21.4)","(4.6, 6.8, 6.406896551724138)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1046875)","(4.4, 6.8, 6.68)","(26.0, 55.0, 63.75)","(51.0, 120.0, 92.72727272727272)","(20.0, 26.0, 25.11111111111111)"
12-01-2023 14:21:43.904102,"(15.0, 22.0, 21.4)","(4.6, 6.8, 6.406896551724138)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1046875)","(4.4, 6.8, 6.68)","(26.0, 65.0, 63.75)","(51.0, 120.0, 92.72727272727272)","(20.0, 26.0, 25.11111111111111)"
12-01-2023 14:21:45.609039,"(15.0, 22.0, 20.0)","(4.6, 6.8, 6.406896551724138)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1046875)","(4.4, 6.8, 6.68)","(26.0, 65.0, 58.46153846153846)","(51.0, 120.0, 80.71428571428571)","(20.0, 26.0, 25.0)"
12-01-2023 14:21:47.504001,"(15.0, 21.0, 20.6)","(4.6, 6.8, 6.44375)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1263888888888887)","(4.4, 6.8, 6.68)","(26.0, 60.0, 56.470588235294116)","(51.0, 120.0, 95.0)","(20.0, 26.0, 25.0)"
12-01-2023 14:21:49.557884,"(15.0, 21.0, 19.571428571428573)","(4.6, 6.8, 6.44375)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.186363636363636)","(4.4, 6.8, 6.68)","(26.0, 55.0, 54.23076923076923)","(51.0, 120.0, 95.0)","(20.0, 26.0, 25.0)"
12-01-2023 14:21:51.642821,"(15.0, 21.0, 21.4)","(4.6, 6.8, 6.44375)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1859154929577462)","(4.4, 6.8, 6.68)","(26.0, 55.0, 54.23076923076923)","(51.0, 120.0, 95.0)","(20.0, 26.0, 25.11111111111111)"
12-01-2023 14:21:53.526155,"(15.0, 22.0, 21.4)","(4.6, 6.8, 6.44375)","(21.0, 36.0, 34.0)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1808823529411763)","(4.4, 6.8, 6.68)","(26.0, 55.0, 54.23076923076923)","(51.0, 120.0, 95.0)","(20.0, 26.0, 25.11111111111111)"
12-01-2023 14:21:55.324381,"(15.0, 22.0, 20.0)","(4.6, 6.8, 6.44375)","(21.0, 38.0, 34.0)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1859154929577462)","(4.4, 6.8, 6.68)","(26.0, 55.0, 54.23076923076923)","(51.0, 120.0, 95.0)","(20.0, 26.0, 24.5)"
12-01-2023 14:21:56.958711,"(15.0, 21.0, 19.333333333333332)","(4.6, 6.8, 6.44375)","(21.0, 38.0, 34.0)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1859154929577462)","(4.4, 6.8, 6.68)","(26.0, 55.0, 63.75)","(51.0, 120.0, 95.0)","(20.0, 26.0, 24.5)"
12-01-2023 14:21:58.611791,"(15.0, 21.0, 21.4)","(4.6, 6.8, 6.44375)","(21.0, 38.0, 34.0)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1808823529411763)","(4.4, 6.8, 6.68)","(26.0, 65.0, 58.46153846153846)","(51.0, 120.0, 95.0)","(20.0, 26.0, 25.11111111111111)"
12-01-2023 14:22:00.213543,"(15.0, 22.0, 21.4)","(4.6, 6.8, 6.44375)","(21.0, 38.0, 34.0)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1808823529411763)","(4.4, 6.8, 6.68)","(26.0, 60.0, 58.46153846153846)","(51.0, 120.0, 95.0)","(20.0, 26.0, 25.11111111111111)"
12-01-2023 14:22:01.861317,"(15.0, 22.0, 21.4)","(4.6, 6.8, 6.406896551724138)","(21.0, 38.0, 34.0)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.146590909090909)","(4.4, 6.8, 6.68)","(26.0, 60.0, 56.470588235294116)","(51.0, 120.0, 95.0)","(20.0, 26.0, 25.11111111111111)"
12-01-2023 14:22:03.709800,"(15.0, 22.0, 19.125)","(4.6, 6.8, 6.44375)","(21.0, 38.0, 36.0)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.135)","(4.4, 6.8, 6.68)","(26.0, 55.0, 54.166666666666664)","(51.0, 120.0, 95.0)","(20.0, 26.0, 24.5)"
12-01-2023 14:22:05.505078,"(15.0, 21.0, 19.8)","(4.6, 6.8, 6.703448275862069)","(21.0, 38.0, 32.0)","(4.0, 4.7, 4.486666666666666)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.135)","(4.4, 6.8, 6.729411764705882)","(26.0, 55.0, 54.166666666666664)","(51.0, 120.0, 95.0)","(20.0, 25.0, 23.5)"
12-01-2023 14:22:07.423690,"(15.0, 21.0, 20.333333333333332)","(4.6, 6.8, 6.8933333333333335)","(21.0, 36.0, 32.0)","(4.0, 4.6, 4.486666666666666)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.135)","(4.4, 6.8, 6.729411764705882)","(26.0, 55.0, 63.75)","(51.0, 120.0, 95.0)","(20.0, 25.0, 23.615384615384617)"
12-01-2023 14:22:09.214496,"(15.0, 21.0, 20.333333333333332)","(4.6, 7.0, 6.8933333333333335)","(21.0, 36.0, 32.0)","(4.0, 4.6, 4.486666666666666)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.25, 3.1879310344827587)","(4.4, 6.8, 6.729411764705882)","(26.0, 65.0, 63.75)","(51.0, 120.0, 95.0)","(20.0, 25.0, 23.615384615384617)"
12-01-2023 14:22:10.955571,"(15.0, 21.0, 20.333333333333332)","(4.6, 7.0, 6.8933333333333335)","(21.0, 36.0, 32.0)","(4.0, 4.6, 4.486666666666666)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.25, 3.1879310344827587)","(4.4, 6.8, 6.729411764705882)","(26.0, 65.0, 58.46153846153846)","(51.0, 120.0, 95.0)","(20.0, 25.0, 23.615384615384617)"
