,Tahi Tama,Wind In My Wings,Perfect Turn,My Bibby,Dublin Castle,Triathlete,Derryaire,Our Mate Reg,Sneeze,Mcdreamy,Unscripted
12-01-2023 12:26:50.747756,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:52.045896,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:53.424810,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:54.745751,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:56.106616,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:57.380682,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:58.589616,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:26:59.783027,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:27:01.072441,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:27:02.410351,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:27:03.640126,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:27:04.938953,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:27:06.261251,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:27:07.557753,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:27:08.843368,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:27:10.164777,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.333333333333332)"
12-01-2023 12:27:11.430263,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 29.166666666666664)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.2088888888888887)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 28.0, 18.0)"
12-01-2023 12:27:12.717608,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.1875)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.42, 2.2088888888888887)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 27.0, 18.0)"
12-01-2023 12:27:14.059583,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 67.1875)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.42, 2.2088888888888887)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.5)","(12.0, 27.0, 18.0)"
