,Priddy Sublime,Stepping Stones,Magic Pebbles,Szabolski Leis,Nine Diamonds,Machs Mareta Nz,Mia Ragazza Nz,Major Grace Nz,Juniper,Nova Baxter
08-01-2023 16:54:49.910190,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.82857142857143)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 24.083333333333336)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:51.214864,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.82857142857143)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:52.516537,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:53.814623,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:55.245816,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:56.716723,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:58.114541,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:54:59.779564,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:01.283619,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:02.644240,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:03.930280,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:05.244055,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:06.672875,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:08.014893,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:09.356782,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:10.635529,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:11.871574,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:13.113130,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:14.354856,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:15.629341,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:16.890343,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:18.178724,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:19.520884,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:20.812622,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:22.099322,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:23.344515,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:24.608285,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:25.913593,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:27.149988,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:28.395744,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:29.664863,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:30.902910,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:32.127307,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
08-01-2023 16:55:33.320720,"(41.0, 95.0, 77.0)","(6.5, 10.0, 8.0)","(8.5, 14.5, 14.058333333333334)","(17.0, 26.0, 18.666666666666668)","(51.0, 140.0, 117.14285714285714)","(26.0, 99999, 99990)","(6.0, 99999, 99990)","(1.8, 99999, 99990)","(13.0, 23.0, 21.63157894736842)","(9.0, 15.0, 14.488)"
