,Alaskan Storm,Allonsy,Dominion Dancer,Frankly Rosie,Subculture,Tempestarii,World War Two,Mississippi Maggie,Pierroma,Reo
08-01-2023 13:30:01.807930,"(2.9, 3.9, 3.552542372881356)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 24.3125)","(5.5, 7.6, 7.288888888888889)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.385964912280701)"
08-01-2023 13:30:03.083653,"(2.9, 3.9, 3.552542372881356)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 24.3125)","(5.5, 7.6, 7.288888888888889)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.385964912280701)"
08-01-2023 13:30:04.349066,"(2.9, 3.9, 3.552542372881356)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 147.5)","(61.0, 200.0, 152.0)","(15.0, 28.0, 24.857142857142858)","(5.5, 7.6, 7.3999999999999995)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.65)"
08-01-2023 13:30:05.540826,"(2.9, 3.9, 3.552542372881356)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 147.5)","(61.0, 200.0, 152.0)","(15.0, 28.0, 24.857142857142858)","(5.5, 7.6, 7.3999999999999995)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.65)"
08-01-2023 13:30:06.809617,"(2.9, 3.9, 3.552542372881356)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 200.0, 152.0)","(15.0, 26.0, 24.875)","(5.5, 7.6, 7.3999999999999995)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.646464646464646)"
08-01-2023 13:30:07.973640,"(2.9, 3.9, 3.552542372881356)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 200.0, 152.0)","(15.0, 26.0, 24.875)","(5.5, 7.6, 7.3999999999999995)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.646464646464646)"
08-01-2023 13:30:09.147590,"(2.9, 3.9, 3.552542372881356)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 200.0, 152.0)","(15.0, 26.0, 24.875)","(5.5, 7.6, 7.3999999999999995)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.646464646464646)"
08-01-2023 13:30:10.272364,"(2.9, 3.9, 3.552542372881356)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 200.0, 152.0)","(15.0, 26.0, 24.875)","(5.5, 7.6, 7.3999999999999995)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.646464646464646)"
08-01-2023 13:30:11.385787,"(2.9, 3.9, 3.552542372881356)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 200.0, 152.0)","(15.0, 26.0, 24.875)","(5.5, 7.6, 7.3999999999999995)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.646464646464646)"
08-01-2023 13:30:12.596209,"(2.9, 3.8, 3.683333333333333)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 200.0, 152.0)","(15.0, 26.0, 24.875)","(5.5, 7.6, 7.3999999999999995)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.646464646464646)"
08-01-2023 13:30:13.783467,"(2.9, 3.8, 3.683333333333333)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 200.0, 152.0)","(15.0, 26.0, 24.875)","(5.5, 7.6, 7.3999999999999995)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.646464646464646)"
08-01-2023 13:30:14.990462,"(2.9, 3.8, 3.683333333333333)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 130.0)","(61.0, 200.0, 152.0)","(15.0, 26.0, 23.588235294117645)","(5.5, 7.6, 7.3999999999999995)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.646464646464646)"
08-01-2023 13:30:16.197063,"(2.9, 3.8, 3.683333333333333)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 130.0)","(61.0, 200.0, 152.0)","(15.0, 25.0, 23.588235294117645)","(5.5, 7.6, 7.3999999999999995)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.646464646464646)"
08-01-2023 13:30:17.459964,"(2.9, 3.8, 3.683333333333333)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 130.0)","(61.0, 200.0, 152.0)","(15.0, 25.0, 23.588235294117645)","(5.5, 7.6, 7.3999999999999995)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.443939393939394)","(81.0, 220.0, 170.0)","(3.6, 5.0, 4.646464646464646)"
