,Mr Wallace,Windshadow,Jackson On Time,Cassimir,Bel Air,Silentsar,Pharoah Magic,The Lions Gate,Sha Of Gomer,Snitcat,Avebury,Wild Calm,Arts Object,Iron Grace,Dolly Bird,Dirty Dancing
07-01-2023 11:34:18.894337,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 15.666666666666666)","(41.0, 150.0, 82.0)","(18.0, 27.0, 26.166666666666668)","(2.6, 2.82, 2.783107769423559)","(16.0, 21.0, 19.833333333333332)","(61.0, 75.0, 73.0)","(41.0, 65.0, 55.625)","(12.0, 16.0, 15.620689655172415)","(11.0, 14.0, 14.115384615384615)","(5.0, 7.6, 6.753846153846154)","(10.0, 15.0, 14.666666666666666)","(91.0, 150.0, 120.0)","(31.0, 48.0, 45.333333333333336)","(41.0, 70.0, 63.0)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:20.715835,"(31.0, 40.0, 38.6875)","(14.0, 17.0, 15.285714285714286)","(41.0, 150.0, 82.0)","(18.0, 27.0, 26.166666666666668)","(2.6, 2.82, 2.7804301075268816)","(16.0, 21.0, 19.833333333333332)","(61.0, 75.0, 73.0)","(41.0, 65.0, 55.625)","(12.0, 16.0, 15.620689655172415)","(11.0, 14.5, 14.115384615384615)","(5.0, 7.6, 6.753846153846154)","(10.0, 15.0, 14.666666666666666)","(91.0, 150.0, 120.0)","(31.0, 48.0, 45.333333333333336)","(41.0, 70.0, 63.0)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:22.593146,"(31.0, 40.0, 38.6875)","(14.0, 17.0, 15.285714285714286)","(41.0, 150.0, 82.0)","(18.0, 27.0, 26.166666666666668)","(2.6, 2.82, 2.7804301075268816)","(16.0, 21.0, 19.833333333333332)","(61.0, 75.0, 73.0)","(41.0, 65.0, 57.5)","(12.0, 16.0, 15.620689655172415)","(11.0, 14.5, 14.115384615384615)","(5.0, 7.6, 7.078260869565217)","(10.0, 15.0, 14.666666666666666)","(91.0, 150.0, 120.0)","(31.0, 48.0, 44.111111111111114)","(41.0, 70.0, 64.0)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:24.451454,"(31.0, 40.0, 38.6875)","(14.0, 17.0, 15.285714285714286)","(41.0, 150.0, 82.0)","(18.0, 27.0, 26.166666666666668)","(2.6, 2.82, 2.7804301075268816)","(16.0, 21.0, 19.833333333333332)","(61.0, 75.0, 73.0)","(41.0, 60.0, 57.5)","(12.0, 16.0, 15.670731707317072)","(11.0, 14.5, 14.115384615384615)","(5.0, 7.6, 7.078260869565217)","(10.0, 15.0, 14.666666666666666)","(91.0, 150.0, 120.0)","(31.0, 48.0, 44.111111111111114)","(41.0, 70.0, 64.0)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:26.278147,"(31.0, 40.0, 38.6875)","(14.0, 17.0, 15.285714285714286)","(41.0, 150.0, 82.0)","(18.0, 27.0, 26.166666666666668)","(2.6, 2.82, 2.8039301310043667)","(16.0, 21.0, 19.833333333333332)","(61.0, 75.0, 73.0)","(41.0, 60.0, 57.5)","(12.0, 16.0, 15.733333333333333)","(11.0, 14.5, 14.115384615384615)","(5.0, 7.6, 7.228571428571429)","(10.0, 15.0, 14.666666666666666)","(91.0, 150.0, 120.0)","(31.0, 48.0, 44.111111111111114)","(41.0, 70.0, 64.0)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:28.094893,"(31.0, 40.0, 38.6875)","(14.0, 17.0, 15.285714285714286)","(41.0, 150.0, 82.0)","(18.0, 27.0, 26.166666666666668)","(2.6, 2.82, 2.8039301310043667)","(16.0, 21.0, 19.833333333333332)","(61.0, 75.0, 73.0)","(41.0, 60.0, 57.5)","(12.0, 16.0, 15.733333333333333)","(11.0, 14.5, 14.115384615384615)","(5.0, 7.4, 7.228571428571429)","(10.0, 15.0, 14.722222222222221)","(91.0, 150.0, 120.0)","(31.0, 48.0, 44.111111111111114)","(41.0, 70.0, 64.0)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:29.959118,"(31.0, 40.0, 38.6875)","(14.0, 17.0, 15.115384615384615)","(41.0, 150.0, 82.0)","(18.0, 27.0, 25.5)","(2.6, 2.82, 2.8039301310043667)","(16.0, 21.0, 19.833333333333332)","(61.0, 75.0, 73.0)","(41.0, 60.0, 57.5)","(12.0, 16.0, 15.733333333333333)","(11.0, 14.5, 14.227272727272727)","(5.0, 7.4, 6.938461538461539)","(10.0, 15.0, 14.722222222222221)","(91.0, 140.0, 126.66666666666667)","(31.0, 46.0, 42.631578947368425)","(41.0, 70.0, 65.71428571428571)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:31.754451,"(31.0, 40.0, 38.6875)","(14.0, 16.5, 15.071428571428571)","(41.0, 150.0, 82.0)","(18.0, 27.0, 25.5)","(2.6, 2.82, 2.8039301310043667)","(16.0, 21.0, 19.833333333333332)","(61.0, 75.0, 73.0)","(41.0, 60.0, 57.5)","(12.0, 16.0, 15.733333333333333)","(11.0, 14.5, 14.1)","(5.0, 7.0, 6.938461538461539)","(10.0, 15.0, 14.722222222222221)","(91.0, 140.0, 126.66666666666667)","(31.0, 46.0, 41.82608695652174)","(41.0, 70.0, 65.71428571428571)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:33.607495,"(31.0, 40.0, 38.6875)","(14.0, 16.5, 15.071428571428571)","(41.0, 150.0, 82.0)","(18.0, 27.0, 25.5)","(2.6, 2.82, 2.8039301310043667)","(16.0, 21.0, 19.833333333333332)","(61.0, 75.0, 73.0)","(41.0, 60.0, 57.5)","(12.0, 16.0, 15.733333333333333)","(11.0, 15.0, 14.1)","(5.0, 7.0, 6.8)","(10.0, 15.0, 14.722222222222221)","(91.0, 140.0, 126.66666666666667)","(31.0, 46.0, 41.82608695652174)","(41.0, 70.0, 65.71428571428571)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:34:35.503033,"(31.0, 40.0, 38.6875)","(14.0, 16.5, 15.071428571428571)","(41.0, 150.0, 82.0)","(18.0, 27.0, 25.5)","(2.6, 2.82, 2.8043062200956936)","(16.0, 21.0, 19.833333333333332)","(61.0, 75.0, 73.0)","(41.0, 60.0, 57.5)","(12.0, 16.0, 15.733333333333333)","(11.0, 15.0, 14.1)","(5.0, 7.0, 6.8)","(10.0, 15.0, 14.722222222222221)","(91.0, 140.0, 126.66666666666667)","(31.0, 46.0, 41.82608695652174)","(41.0, 70.0, 65.71428571428571)","(81.0, 120.0, 116.66666666666667)"
