,Whos Your Papi,Miss Terri,Within Range,Werina Force,Uncle Charlie,King Wylde,Crayfish,Seaway Flyer
08-01-2023 12:20:13.218054,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 36.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:14.306083,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:15.337565,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:16.437917,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:17.519854,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:18.596408,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:19.655904,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:20:20.747380,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.38, 2.08)"
08-01-2023 12:20:21.818444,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 2.08)"
08-01-2023 12:20:22.925810,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 2.08)"
08-01-2023 12:20:24.066672,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 2.08)"
08-01-2023 12:20:25.112986,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 2.08)"
08-01-2023 12:20:26.182615,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 2.08)"
08-01-2023 12:20:27.249543,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 2.08)"
08-01-2023 12:20:28.365688,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 2.08)"
08-01-2023 12:20:29.403417,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 2.08)"
08-01-2023 12:20:30.507439,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.4)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 2.08)"
08-01-2023 12:20:31.542660,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.928571428571429)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 2.08)"
08-01-2023 12:20:32.619321,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.928571428571429)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 2.08)"
