,Adonis Kick,Princeton Award,Almsgiver,Abreed,Vadaboy,Flame Of Venice,Light Up The Moon,Mr Mischief,Allaboutattitude
04-01-2023 14:24:34.874384,"(8.0, 9.4, 9.257142857142858)","(3.9, 4.6, 4.491851851851852)","(12.0, 16.5, 16.366666666666667)","(9.0, 10.5, 10.37)","(3.6, 4.0, 3.977835051546392)","(5.5, 6.8, 6.703448275862069)","(12.0, 17.5, 16.863636363636363)","(21.0, 36.0, 33.54545454545455)","(31.0, 60.0, 59.72222222222222)"
04-01-2023 14:24:36.158549,"(8.0, 9.4, 9.257142857142858)","(3.9, 4.6, 4.491851851851852)","(12.0, 16.5, 16.30952380952381)","(9.0, 10.5, 10.383928571428571)","(3.6, 4.0, 3.977835051546392)","(5.5, 6.8, 6.703448275862069)","(12.0, 17.5, 16.863636363636363)","(21.0, 36.0, 33.54545454545455)","(31.0, 60.0, 59.72222222222222)"
04-01-2023 14:24:37.513861,"(8.0, 9.4, 9.257142857142858)","(3.9, 4.6, 4.491851851851852)","(12.0, 16.5, 16.30952380952381)","(9.0, 10.5, 10.383928571428571)","(3.6, 4.0, 3.976470588235294)","(5.5, 6.8, 6.703448275862069)","(12.0, 17.5, 16.863636363636363)","(21.0, 36.0, 33.54545454545455)","(31.0, 60.0, 59.72222222222222)"
04-01-2023 14:24:38.809164,"(8.0, 9.4, 9.257142857142858)","(3.9, 4.6, 4.491851851851852)","(12.0, 16.5, 16.32608695652174)","(9.0, 10.5, 10.457446808510639)","(3.6, 4.0, 3.9586206896551728)","(5.5, 6.8, 6.703448275862069)","(12.0, 17.5, 16.863636363636363)","(21.0, 36.0, 33.54545454545455)","(31.0, 60.0, 59.72222222222222)"
04-01-2023 14:24:40.098727,"(8.0, 9.4, 9.257142857142858)","(3.9, 4.6, 4.5)","(12.0, 16.5, 16.32608695652174)","(9.0, 10.5, 10.457446808510639)","(3.6, 4.0, 3.9586206896551728)","(5.5, 6.8, 6.703448275862069)","(12.0, 17.5, 16.863636363636363)","(21.0, 36.0, 33.54545454545455)","(31.0, 60.0, 59.72222222222222)"
04-01-2023 14:24:41.409297,"(8.0, 9.4, 9.257142857142858)","(3.9, 4.6, 4.5)","(12.0, 16.5, 16.32608695652174)","(9.0, 10.5, 10.457446808510639)","(3.6, 4.0, 3.9586206896551728)","(5.5, 6.8, 6.703448275862069)","(12.0, 17.5, 16.863636363636363)","(21.0, 36.0, 33.54545454545455)","(31.0, 60.0, 59.72222222222222)"
04-01-2023 14:24:42.640625,"(8.0, 9.4, 9.257142857142858)","(3.9, 4.6, 4.5)","(12.0, 16.5, 16.32608695652174)","(9.0, 10.5, 10.457446808510639)","(3.6, 4.0, 3.9595744680851066)","(5.5, 6.8, 6.703448275862069)","(12.0, 17.5, 16.6875)","(21.0, 36.0, 33.54545454545455)","(31.0, 60.0, 63.095238095238095)"
04-01-2023 14:24:43.932815,"(7.5, 9.4, 9.257142857142858)","(3.9, 4.6, 4.5)","(12.0, 16.5, 16.32608695652174)","(9.0, 10.5, 10.457446808510639)","(3.6, 4.0, 3.9595744680851066)","(5.5, 6.8, 6.703448275862069)","(12.0, 17.0, 16.6875)","(21.0, 36.0, 33.54545454545455)","(31.0, 65.0, 63.095238095238095)"
04-01-2023 14:24:45.153334,"(7.5, 9.4, 9.257142857142858)","(3.9, 4.6, 4.5)","(12.0, 16.5, 16.32608695652174)","(9.0, 10.5, 10.457446808510639)","(3.6, 4.0, 3.9804123711340207)","(5.5, 6.8, 6.703448275862069)","(12.0, 17.0, 16.6875)","(21.0, 36.0, 33.54545454545455)","(31.0, 65.0, 63.095238095238095)"
04-01-2023 14:24:46.351195,"(7.5, 9.4, 9.257142857142858)","(3.9, 4.6, 4.5)","(12.0, 16.5, 16.32608695652174)","(9.0, 10.5, 10.404761904761905)","(3.6, 4.0, 3.9841176470588238)","(5.5, 6.8, 6.703448275862069)","(12.0, 17.0, 16.545454545454547)","(21.0, 36.0, 33.54545454545455)","(31.0, 65.0, 58.333333333333336)"
04-01-2023 14:24:47.477439,"(7.5, 9.4, 9.257142857142858)","(3.9, 4.6, 4.5)","(12.0, 17.0, 16.764705882352942)","(9.0, 10.5, 10.463636363636363)","(3.6, 4.0, 3.9841176470588238)","(5.5, 6.8, 6.703448275862069)","(12.0, 17.0, 16.333333333333332)","(21.0, 36.0, 31.5)","(31.0, 60.0, 58.333333333333336)"
04-01-2023 14:24:48.571891,"(7.5, 9.4, 9.3)","(3.9, 4.6, 4.5)","(12.0, 17.0, 16.804878048780488)","(9.0, 10.5, 10.463636363636363)","(3.6, 4.0, 3.9841176470588238)","(5.5, 6.8, 6.703448275862069)","(12.0, 16.5, 16.333333333333332)","(21.0, 36.0, 31.5)","(31.0, 60.0, 58.333333333333336)"
04-01-2023 14:24:49.757421,"(7.5, 9.4, 9.32)","(3.9, 4.6, 4.5)","(12.0, 17.0, 16.804878048780488)","(9.0, 10.5, 10.463636363636363)","(3.6, 4.0, 3.9841176470588238)","(5.5, 6.8, 6.703448275862069)","(12.0, 16.5, 16.333333333333332)","(21.0, 36.0, 32.8235294117647)","(31.0, 60.0, 58.333333333333336)"
04-01-2023 14:24:50.911334,"(7.5, 9.4, 9.32)","(3.9, 4.6, 4.5)","(12.0, 17.0, 16.804878048780488)","(9.0, 10.5, 10.463636363636363)","(3.6, 4.0, 3.9841176470588238)","(5.5, 6.8, 6.703448275862069)","(12.0, 16.5, 16.333333333333332)","(21.0, 36.0, 32.8235294117647)","(31.0, 60.0, 58.333333333333336)"
04-01-2023 14:24:52.040247,"(7.5, 9.4, 9.32)","(3.9, 4.6, 4.5)","(12.0, 17.0, 16.804878048780488)","(9.0, 10.5, 10.463636363636363)","(3.6, 4.0, 3.9841176470588238)","(5.5, 6.8, 6.703448275862069)","(12.0, 16.5, 16.25)","(21.0, 36.0, 32.8235294117647)","(31.0, 60.0, 58.333333333333336)"
04-01-2023 14:24:53.192321,"(7.5, 9.4, 9.305882352941177)","(3.9, 4.6, 4.4906474820143885)","(12.0, 17.0, 16.804878048780488)","(9.0, 10.5, 10.463636363636363)","(3.6, 4.0, 3.9841176470588238)","(5.5, 6.8, 6.683333333333334)","(12.0, 16.5, 16.125)","(21.0, 36.0, 32.8235294117647)","(31.0, 60.0, 58.333333333333336)"
04-01-2023 14:24:54.319223,"(7.5, 9.4, 9.305882352941177)","(3.9, 4.6, 4.492647058823529)","(12.0, 17.0, 16.804878048780488)","(9.0, 10.5, 10.463636363636363)","(3.6, 4.0, 3.9841176470588238)","(5.5, 6.8, 6.683333333333334)","(12.0, 16.5, 16.125)","(21.0, 36.0, 32.68421052631579)","(31.0, 60.0, 58.333333333333336)"
04-01-2023 14:24:55.481985,"(7.5, 9.4, 9.305882352941177)","(3.9, 4.6, 4.492647058823529)","(12.0, 17.0, 16.804878048780488)","(9.0, 10.5, 10.463636363636363)","(3.6, 4.0, 3.9841176470588238)","(5.5, 6.8, 6.661538461538462)","(12.0, 16.5, 16.125)","(21.0, 36.0, 32.68421052631579)","(31.0, 60.0, 58.333333333333336)"
04-01-2023 14:24:56.668832,"(7.5, 9.4, 9.32)","(3.9, 4.6, 4.492647058823529)","(12.0, 17.0, 16.804878048780488)","(9.0, 10.5, 10.463636363636363)","(3.6, 4.0, 3.9841176470588238)","(5.5, 6.8, 6.632558139534884)","(12.0, 16.5, 16.125)","(21.0, 36.0, 32.68421052631579)","(31.0, 60.0, 58.333333333333336)"
04-01-2023 14:24:57.859332,"(7.5, 9.4, 9.32)","(3.9, 4.6, 4.4906474820143885)","(12.0, 17.0, 16.804878048780488)","(9.0, 10.5, 10.476744186046512)","(3.6, 4.0, 3.9841176470588238)","(5.5, 6.8, 6.608333333333333)","(12.0, 16.5, 16.125)","(21.0, 36.0, 32.68421052631579)","(31.0, 60.0, 58.333333333333336)"
04-01-2023 14:24:59.053520,"(7.5, 9.6, 9.43157894736842)","(3.9, 4.6, 4.492647058823529)","(12.0, 17.0, 16.804878048780488)","(9.0, 10.5, 10.476744186046512)","(3.6, 4.0, 3.9841176470588238)","(5.5, 6.8, 6.656410256410257)","(12.0, 16.5, 16.125)","(21.0, 36.0, 32.68421052631579)","(31.0, 60.0, 58.333333333333336)"
04-01-2023 14:25:00.273728,"(7.5, 9.6, 9.43157894736842)","(3.9, 4.6, 4.492647058823529)","(12.0, 17.0, 16.804878048780488)","(9.0, 10.5, 10.839285714285714)","(3.6, 4.0, 3.940677966101695)","(5.5, 6.8, 6.656410256410257)","(12.0, 16.5, 16.125)","(21.0, 36.0, 32.68421052631579)","(31.0, 60.0, 58.333333333333336)"
04-01-2023 14:25:01.418267,"(7.5, 9.6, 9.43157894736842)","(3.9, 4.6, 4.492647058823529)","(12.0, 17.0, 16.804878048780488)","(9.0, 11.0, 10.839285714285714)","(3.6, 3.95, 3.940677966101695)","(5.5, 6.8, 6.656410256410257)","(12.0, 16.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:02.643649,"(7.5, 9.6, 9.444444444444445)","(3.9, 4.6, 4.492647058823529)","(12.0, 17.0, 16.804878048780488)","(9.0, 11.0, 10.839285714285714)","(3.6, 3.95, 3.940677966101695)","(5.5, 6.8, 6.656410256410257)","(12.0, 16.5, 16.23076923076923)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:04.414668,"(7.5, 9.6, 9.444444444444445)","(3.9, 4.6, 4.470796460176992)","(12.0, 17.0, 16.82608695652174)","(9.0, 11.0, 10.775)","(3.6, 3.95, 3.975)","(5.5, 6.8, 6.656410256410257)","(12.0, 16.5, 16.166666666666668)","(21.0, 36.0, 30.8)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:05.910326,"(7.5, 9.6, 9.444444444444445)","(3.9, 4.6, 4.468627450980392)","(12.0, 17.0, 16.575757575757574)","(9.0, 11.0, 10.729166666666666)","(3.6, 4.0, 3.9436170212765957)","(5.5, 6.8, 6.622222222222223)","(12.0, 16.5, 16.208333333333332)","(21.0, 34.0, 31.09090909090909)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:07.263644,"(7.5, 9.6, 9.459999999999999)","(3.9, 4.5, 4.468627450980392)","(12.0, 17.0, 16.575757575757574)","(9.0, 11.0, 10.806451612903226)","(3.6, 3.95, 3.9436170212765957)","(5.5, 6.8, 6.588679245283019)","(12.0, 16.5, 16.208333333333332)","(21.0, 34.0, 31.09090909090909)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:08.616766,"(7.5, 9.6, 9.459999999999999)","(3.9, 4.5, 4.468627450980392)","(12.0, 17.0, 16.575757575757574)","(9.0, 11.0, 10.806451612903226)","(3.6, 3.95, 3.942436974789916)","(5.5, 6.8, 6.588679245283019)","(12.0, 16.5, 16.325)","(21.0, 34.0, 31.09090909090909)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:10.052992,"(7.5, 9.6, 9.459999999999999)","(3.9, 4.5, 4.468627450980392)","(12.0, 17.0, 16.575757575757574)","(9.0, 11.0, 10.806451612903226)","(3.6, 3.95, 3.9026315789473682)","(5.5, 6.8, 6.588679245283019)","(12.0, 16.5, 16.74468085106383)","(21.0, 34.0, 31.09090909090909)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:11.407239,"(7.5, 9.6, 9.459999999999999)","(3.9, 4.5, 4.468627450980392)","(12.0, 17.0, 16.575757575757574)","(9.0, 11.0, 10.806451612903226)","(3.6, 3.95, 3.9068181818181817)","(5.5, 6.8, 6.588679245283019)","(12.0, 17.0, 16.692307692307693)","(21.0, 34.0, 31.09090909090909)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:12.719710,"(7.5, 9.6, 9.459999999999999)","(3.9, 4.5, 4.453846153846154)","(12.0, 17.0, 16.575757575757574)","(9.0, 11.0, 10.793103448275861)","(3.6, 3.95, 3.9068181818181817)","(5.5, 6.8, 6.588679245283019)","(12.0, 17.0, 16.86764705882353)","(21.0, 34.0, 31.09090909090909)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:14.040015,"(7.5, 9.6, 9.36774193548387)","(3.9, 4.5, 4.454545454545455)","(12.0, 17.0, 16.575757575757574)","(9.0, 11.0, 10.793103448275861)","(3.6, 3.95, 3.9068181818181817)","(5.5, 6.8, 6.588679245283019)","(12.0, 17.0, 16.86764705882353)","(21.0, 34.0, 30.75)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:15.344834,"(7.5, 9.6, 9.36774193548387)","(3.9, 4.5, 4.454545454545455)","(12.0, 17.0, 16.575757575757574)","(9.0, 11.0, 10.793103448275861)","(3.6, 3.95, 3.9068181818181817)","(5.5, 6.8, 6.563934426229508)","(12.0, 17.0, 16.675)","(21.0, 32.0, 30.333333333333332)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:16.629843,"(7.5, 9.6, 9.36774193548387)","(3.9, 4.5, 4.454545454545455)","(12.0, 17.0, 16.575757575757574)","(9.0, 11.0, 10.793103448275861)","(3.6, 3.95, 3.9068181818181817)","(5.5, 6.8, 6.563934426229508)","(12.0, 17.5, 16.928571428571427)","(21.0, 32.0, 31.210526315789473)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:17.897122,"(7.5, 9.6, 9.36774193548387)","(3.9, 4.5, 4.454545454545455)","(12.0, 17.0, 16.575757575757574)","(9.0, 11.0, 10.842105263157894)","(3.6, 3.95, 3.899019607843137)","(5.5, 6.8, 6.563934426229508)","(12.0, 17.5, 16.928571428571427)","(21.0, 32.0, 31.210526315789473)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:19.171394,"(7.5, 9.6, 9.36774193548387)","(3.9, 4.5, 4.454545454545455)","(12.0, 17.0, 16.575757575757574)","(9.0, 11.0, 10.842105263157894)","(3.6, 3.9, 3.899019607843137)","(5.5, 6.8, 6.563934426229508)","(12.0, 17.5, 16.928571428571427)","(21.0, 32.0, 31.210526315789473)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:20.444453,"(7.5, 9.6, 9.36774193548387)","(3.9, 4.5, 4.462)","(12.0, 17.0, 16.714285714285715)","(9.0, 11.0, 10.9125)","(3.6, 3.9, 3.870264317180617)","(5.5, 6.8, 6.591304347826087)","(12.0, 17.5, 16.928571428571427)","(21.0, 32.0, 30.5)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:21.865733,"(7.5, 9.6, 9.405405405405405)","(3.9, 4.5, 4.4184210526315795)","(12.0, 17.0, 16.735849056603772)","(9.0, 11.0, 10.9125)","(3.6, 3.95, 3.870264317180617)","(5.5, 6.8, 6.591304347826087)","(12.0, 17.5, 17.166666666666668)","(21.0, 32.0, 30.22222222222222)","(31.0, 60.0, 58.75)"
04-01-2023 14:25:23.211793,"(7.5, 9.6, 9.405405405405405)","(3.9, 4.5, 4.4184210526315795)","(12.0, 17.0, 16.735849056603772)","(9.0, 11.0, 10.9125)","(3.6, 3.95, 3.870264317180617)","(5.5, 6.8, 6.591304347826087)","(12.0, 17.5, 17.38888888888889)","(21.0, 32.0, 30.857142857142858)","(31.0, 65.0, 58.75)"
04-01-2023 14:25:24.473326,"(7.5, 9.6, 9.405405405405405)","(3.9, 4.5, 4.455072463768116)","(12.0, 17.0, 16.735849056603772)","(9.0, 11.0, 10.9125)","(3.6, 3.95, 3.870264317180617)","(5.5, 6.8, 6.591304347826087)","(12.0, 17.5, 17.38888888888889)","(21.0, 32.0, 30.857142857142858)","(31.0, 65.0, 58.75)"
04-01-2023 14:25:25.967892,"(7.5, 9.6, 9.405405405405405)","(3.9, 4.5, 4.449275362318841)","(12.0, 17.0, 16.735849056603772)","(9.0, 11.0, 10.9125)","(3.6, 3.95, 3.8681102362204727)","(5.5, 6.8, 6.591304347826087)","(12.0, 17.5, 17.38888888888889)","(21.0, 32.0, 30.857142857142858)","(31.0, 65.0, 58.75)"
04-01-2023 14:25:27.454354,"(7.5, 9.6, 9.405405405405405)","(3.9, 4.5, 4.449275362318841)","(12.0, 17.0, 16.735849056603772)","(9.0, 11.0, 10.9125)","(3.6, 3.95, 3.8681102362204727)","(5.5, 6.8, 6.591304347826087)","(12.0, 17.5, 17.38888888888889)","(21.0, 32.0, 30.857142857142858)","(31.0, 65.0, 58.75)"
04-01-2023 14:25:28.810435,"(7.5, 9.6, 9.405405405405405)","(3.9, 4.5, 4.449275362318841)","(12.0, 17.0, 16.735849056603772)","(9.0, 11.0, 10.9125)","(3.6, 3.95, 3.8681102362204727)","(5.5, 6.8, 6.591304347826087)","(12.0, 17.5, 17.38888888888889)","(21.0, 32.0, 30.857142857142858)","(31.0, 65.0, 58.75)"
04-01-2023 14:25:30.057575,"(7.5, 9.6, 9.405405405405405)","(3.9, 4.5, 4.4406779661016955)","(12.0, 17.0, 16.735849056603772)","(9.0, 11.0, 10.875)","(3.6, 3.95, 3.8681102362204727)","(5.5, 6.8, 6.591304347826087)","(12.0, 17.5, 17.7)","(21.0, 32.0, 30.857142857142858)","(31.0, 65.0, 58.75)"
04-01-2023 14:25:31.411410,"(7.5, 9.6, 9.405405405405405)","(3.9, 4.5, 4.4406779661016955)","(12.0, 17.0, 16.735849056603772)","(9.0, 11.0, 10.875)","(3.6, 3.95, 3.8681102362204727)","(5.5, 6.8, 6.591304347826087)","(12.0, 18.0, 18.157894736842106)","(21.0, 32.0, 31.285714285714285)","(31.0, 65.0, 60.0)"
04-01-2023 14:25:32.745232,"(7.5, 9.2, 9.165217391304347)","(3.9, 4.5, 4.4406779661016955)","(12.0, 17.0, 16.735849056603772)","(9.0, 11.0, 10.897058823529411)","(3.6, 3.95, 3.8681102362204727)","(5.5, 6.8, 6.591304347826087)","(12.0, 19.0, 18.463414634146343)","(21.0, 32.0, 32.666666666666664)","(31.0, 65.0, 60.0)"
04-01-2023 14:25:34.032987,"(7.5, 9.2, 9.066666666666666)","(3.9, 4.5, 4.424489795918368)","(12.0, 17.0, 16.66891891891892)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.8681102362204727)","(5.5, 6.8, 6.591304347826087)","(12.0, 19.0, 18.333333333333332)","(21.0, 34.0, 34.72727272727273)","(31.0, 65.0, 60.0)"
04-01-2023 14:25:35.362527,"(7.5, 9.4, 9.34)","(3.9, 4.5, 4.4)","(12.0, 17.0, 16.65)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.8681102362204727)","(5.5, 6.8, 6.591304347826087)","(12.0, 19.0, 18.675675675675677)","(21.0, 36.0, 34.72727272727273)","(31.0, 65.0, 49.166666666666664)"
04-01-2023 14:25:36.650174,"(7.5, 9.4, 9.307692307692308)","(3.9, 4.4, 4.387272727272728)","(12.0, 17.0, 16.65)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.8681102362204727)","(5.5, 6.8, 6.591304347826087)","(12.0, 19.0, 18.675675675675677)","(21.0, 36.0, 35.333333333333336)","(31.0, 65.0, 54.857142857142854)"
04-01-2023 14:25:37.954375,"(7.5, 9.4, 9.307692307692308)","(3.9, 4.4, 4.387272727272728)","(12.0, 17.0, 16.65)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.880434782608696)","(5.5, 6.8, 6.591304347826087)","(12.0, 19.0, 18.675675675675677)","(21.0, 36.0, 35.333333333333336)","(31.0, 60.0, 54.857142857142854)"
04-01-2023 14:25:39.267108,"(7.5, 9.4, 9.307692307692308)","(3.9, 4.4, 4.38)","(12.0, 17.0, 16.65)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.880434782608696)","(5.5, 6.8, 6.591304347826087)","(12.0, 19.0, 18.675675675675677)","(21.0, 36.0, 35.333333333333336)","(31.0, 60.0, 54.857142857142854)"
04-01-2023 14:25:40.575255,"(7.5, 9.4, 9.32)","(3.9, 4.4, 4.38)","(12.0, 17.0, 16.65)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.880434782608696)","(5.5, 6.8, 6.591304347826087)","(12.0, 19.0, 18.675675675675677)","(21.0, 36.0, 35.333333333333336)","(31.0, 60.0, 54.857142857142854)"
04-01-2023 14:25:41.887214,"(7.5, 9.4, 9.32)","(3.9, 4.4, 4.342424242424243)","(12.0, 17.0, 16.65)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.9186224489795918)","(5.5, 6.8, 6.578378378378378)","(12.0, 19.0, 18.7)","(21.0, 36.0, 35.333333333333336)","(31.0, 60.0, 54.857142857142854)"
04-01-2023 14:25:43.195238,"(7.5, 9.4, 9.32)","(3.9, 4.5, 4.397674418604651)","(12.0, 17.0, 16.65)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.923397435897436)","(5.5, 6.6, 6.578378378378378)","(12.0, 19.0, 18.7)","(21.0, 36.0, 34.5)","(31.0, 60.0, 54.857142857142854)"
04-01-2023 14:25:44.514011,"(7.5, 9.4, 9.32)","(3.9, 4.5, 4.397674418604651)","(12.0, 17.0, 16.65)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.923397435897436)","(5.5, 6.6, 6.578378378378378)","(12.0, 19.0, 18.7)","(21.0, 36.0, 34.5)","(31.0, 60.0, 53.6)"
04-01-2023 14:25:45.788495,"(7.5, 9.4, 9.32)","(3.9, 4.5, 4.397674418604651)","(12.0, 17.0, 16.65)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.908181818181818)","(5.5, 6.6, 6.578378378378378)","(12.0, 19.0, 19.846153846153847)","(21.0, 36.0, 34.5)","(31.0, 55.0, 53.6)"
04-01-2023 14:25:47.077206,"(7.5, 9.4, 9.32)","(3.9, 4.5, 4.397674418604651)","(12.0, 17.0, 16.65)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.908181818181818)","(5.5, 6.6, 6.578378378378378)","(12.0, 21.0, 20.047619047619047)","(21.0, 36.0, 34.25)","(31.0, 55.0, 53.6)"
04-01-2023 14:25:48.382472,"(7.5, 9.4, 9.32)","(3.9, 4.4, 4.370149253731343)","(12.0, 17.0, 16.65)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.908181818181818)","(5.5, 6.6, 6.578378378378378)","(12.0, 21.0, 20.2)","(21.0, 36.0, 34.78260869565217)","(31.0, 55.0, 53.6)"
04-01-2023 14:25:49.720336,"(7.5, 9.4, 9.32)","(3.9, 4.4, 4.377272727272728)","(12.0, 17.0, 16.65)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.91046511627907)","(5.5, 6.6, 6.578378378378378)","(12.0, 21.0, 20.625)","(21.0, 36.0, 34.78260869565217)","(31.0, 55.0, 53.6)"
04-01-2023 14:25:51.206472,"(7.5, 9.4, 9.32)","(3.9, 4.4, 4.377272727272728)","(12.0, 17.0, 16.65)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.91046511627907)","(5.5, 6.6, 6.578378378378378)","(12.0, 21.0, 20.625)","(21.0, 36.0, 34.78260869565217)","(31.0, 55.0, 53.6)"
04-01-2023 14:25:53.147484,"(7.5, 9.4, 9.32)","(3.9, 4.4, 4.377272727272728)","(12.0, 17.0, 16.65)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.907232704402516)","(5.5, 6.6, 6.578378378378378)","(12.0, 21.0, 20.625)","(21.0, 36.0, 34.78260869565217)","(31.0, 55.0, 53.6)"
04-01-2023 14:25:54.407191,"(7.5, 9.4, 9.32)","(3.9, 4.4, 4.377272727272728)","(12.0, 17.0, 16.41176470588235)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.9074999999999998)","(5.5, 6.6, 6.578378378378378)","(12.0, 21.0, 20.6875)","(21.0, 36.0, 33.88235294117647)","(31.0, 55.0, 53.6)"
04-01-2023 14:25:55.715659,"(7.5, 9.4, 9.32)","(3.9, 4.4, 4.373333333333334)","(12.0, 16.5, 16.41176470588235)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.9034246575342464)","(5.5, 6.6, 6.578378378378378)","(12.0, 21.0, 20.6875)","(21.0, 34.0, 34.72727272727273)","(31.0, 55.0, 53.6)"
04-01-2023 14:25:57.054443,"(7.5, 9.4, 9.32)","(3.9, 4.4, 4.3654761904761905)","(12.0, 17.5, 17.3)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.9034246575342464)","(5.5, 6.6, 6.578378378378378)","(12.0, 21.0, 20.6875)","(21.0, 36.0, 35.333333333333336)","(31.0, 55.0, 53.6)"
04-01-2023 14:25:58.383037,"(7.5, 9.4, 9.32)","(3.9, 4.4, 4.3654761904761905)","(12.0, 17.5, 17.3)","(9.0, 11.0, 10.853658536585366)","(3.6, 3.95, 3.9034246575342464)","(5.5, 6.6, 6.578378378378378)","(12.0, 21.0, 20.605263157894736)","(21.0, 36.0, 35.625)","(31.0, 55.0, 53.6)"
04-01-2023 14:25:59.651626,"(7.5, 9.4, 9.304)","(3.9, 4.4, 4.360240963855422)","(12.0, 17.5, 17.3)","(9.0, 11.0, 10.82857142857143)","(3.6, 3.95, 3.9034246575342464)","(5.5, 6.6, 6.578378378378378)","(12.0, 21.0, 20.605263157894736)","(21.0, 36.0, 35.625)","(31.0, 55.0, 53.6)"
04-01-2023 14:26:00.967609,"(7.5, 9.4, 9.304)","(3.9, 4.4, 4.360240963855422)","(12.0, 17.5, 17.3)","(9.0, 11.0, 10.82857142857143)","(3.6, 3.95, 3.9034246575342464)","(5.5, 6.6, 6.578378378378378)","(12.0, 21.0, 20.605263157894736)","(21.0, 36.0, 35.625)","(31.0, 55.0, 53.6)"
04-01-2023 14:26:02.259571,"(7.5, 9.4, 9.304)","(3.9, 4.4, 4.360240963855422)","(12.0, 17.5, 17.3)","(9.0, 11.0, 10.82857142857143)","(3.6, 3.95, 3.9034246575342464)","(5.5, 6.6, 6.578378378378378)","(12.0, 21.0, 20.605263157894736)","(21.0, 36.0, 35.625)","(31.0, 55.0, 53.6)"
04-01-2023 14:26:03.514743,"(7.5, 9.4, 9.28125)","(3.9, 4.4, 4.3632911392405065)","(12.0, 17.5, 17.3)","(9.0, 11.0, 10.82857142857143)","(3.6, 3.95, 3.925531914893617)","(5.5, 6.6, 6.578378378378378)","(12.0, 21.0, 20.605263157894736)","(21.0, 36.0, 35.625)","(31.0, 55.0, 53.6)"
04-01-2023 14:26:04.848981,"(7.5, 9.4, 9.154838709677419)","(3.9, 4.4, 4.3632911392405065)","(12.0, 17.5, 17.3)","(9.0, 11.0, 10.82857142857143)","(3.6, 3.95, 3.925531914893617)","(5.5, 6.6, 6.578378378378378)","(13.0, 21.0, 20.605263157894736)","(21.0, 36.0, 35.625)","(31.0, 55.0, 53.6)"
04-01-2023 14:26:06.110038,"(7.5, 9.4, 9.072727272727272)","(3.9, 4.4, 4.3632911392405065)","(12.0, 17.5, 17.3)","(9.0, 11.0, 10.82857142857143)","(3.6, 3.95, 3.925531914893617)","(5.5, 6.6, 6.578378378378378)","(13.0, 21.0, 20.605263157894736)","(21.0, 36.0, 35.625)","(31.0, 55.0, 53.833333333333336)"
04-01-2023 14:26:07.317724,"(7.5, 9.4, 9.08235294117647)","(3.9, 4.4, 4.3632911392405065)","(12.0, 17.5, 17.3)","(9.0, 11.0, 10.82857142857143)","(3.6, 3.95, 3.925531914893617)","(5.5, 6.6, 6.578378378378378)","(13.0, 21.0, 20.605263157894736)","(21.0, 36.0, 35.625)","(31.0, 55.0, 53.833333333333336)"
04-01-2023 14:26:08.596175,"(7.5, 9.4, 9.08235294117647)","(3.9, 4.4, 4.3632911392405065)","(12.0, 17.5, 17.3)","(9.0, 11.0, 10.82857142857143)","(3.6, 3.95, 3.9089285714285715)","(5.5, 6.6, 6.578378378378378)","(13.0, 21.0, 20.605263157894736)","(21.0, 36.0, 35.666666666666664)","(31.0, 55.0, 53.833333333333336)"
