,Judge Jujon,Oyster Stride,The Sportz Star,The Irish Eagle,Chainlinc,King Of Trumps Nz,Whataboyjack
12-01-2023 14:27:59.319054,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:00.487924,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:01.712946,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:02.914575,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:04.177773,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:05.358015,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:06.622841,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:07.744132,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:08.851706,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:10.073777,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:11.214337,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:12.363848,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:13.598164,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:14.827877,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:15.942781,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:17.122811,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:18.268110,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:19.375707,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:20.561509,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:21.756162,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:22.915135,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:24.112616,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:25.198523,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:26.324193,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:27.534383,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:28.845136,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:30.004409,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:31.089355,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:32.361558,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:33.554596,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:34.672398,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:35.793214,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:36.897506,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:38.010396,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:39.157939,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:40.351562,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:41.474837,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:42.712189,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:43.824670,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:44.901082,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:46.117474,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:47.308828,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:48.567038,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:49.757925,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:51.052146,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:52.258665,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:53.567453,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:54.941210,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:56.121405,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:57.385939,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:58.722338,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:28:59.890916,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:01.075816,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:02.396935,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:03.651447,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:04.850806,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:05.989758,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:07.195116,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:08.452139,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:09.730497,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:10.841994,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:12.076608,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:13.320952,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:14.493083,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:15.800198,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:17.119058,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:18.335712,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:19.519972,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:20.743529,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:21.990814,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:23.215562,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:24.532537,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:25.819896,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:27.200152,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:28.562699,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:29.807644,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:31.062435,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:32.365109,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:33.599608,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:34.907652,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:36.149046,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:37.334776,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:38.645843,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:39.897103,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:41.139568,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:42.396862,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:43.688911,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:44.934621,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:46.272901,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:47.772694,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:49.093896,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:50.415124,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:51.694735,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
12-01-2023 14:29:53.041867,"(4.6, 8.0, 6.8428571428571425)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 2.8671428571428574)"
