,Kaypat World,Aerobic Maximum,Urban Girl,Side Kick,All Vogue,Maywyn Kama,Out Of Turmoil
16-12-2022 15:01:43.098245,"(12.0, 34.0, 21.1875)","(14.0, 40.0, 22.0)","(5.0, 9.2, 6.742857142857143)","(2.8, 4.3, 3.42)","(5.0, 9.6, 9.018181818181818)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:44.126650,"(12.0, 34.0, 26.5)","(14.0, 40.0, 22.0)","(5.0, 9.2, 6.742857142857143)","(2.8, 4.3, 3.42)","(5.0, 9.6, 8.033333333333333)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:45.194842,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 22.0)","(5.0, 9.2, 6.742857142857143)","(2.8, 4.3, 3.42)","(5.0, 9.6, 8.033333333333333)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 34.333333333333336)"
16-12-2022 15:01:46.223846,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 22.0)","(5.0, 9.2, 6.742857142857143)","(2.8, 4.3, 3.42)","(5.0, 9.6, 8.66)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 39.44444444444444)"
16-12-2022 15:01:47.201319,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 22.0)","(5.0, 9.2, 6.742857142857143)","(2.8, 4.3, 3.42)","(5.0, 9.6, 8.66)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 39.44444444444444)"
16-12-2022 15:01:48.347340,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.2, 6.742857142857143)","(2.8, 4.3, 3.42)","(5.0, 9.6, 8.66)","(2.8, 4.9, 3.543076923076923)","(20.0, 65.0, 39.44444444444444)"
16-12-2022 15:01:49.432341,"(12.0, 34.0, 22.055555555555557)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.2, 6.742857142857143)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.66)","(2.9, 4.9, 3.543076923076923)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:01:50.546987,"(12.0, 34.0, 24.454545454545453)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.2, 6.742857142857143)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.9, 3.543076923076923)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:01:51.726878,"(12.0, 34.0, 24.454545454545453)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.2, 6.742857142857143)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.9, 3.543076923076923)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:01:52.889715,"(12.0, 34.0, 24.454545454545453)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.2, 6.742857142857143)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.9, 3.543076923076923)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:01:53.978476,"(12.0, 34.0, 24.454545454545453)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.2, 6.742857142857143)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.9, 3.543076923076923)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:01:55.032789,"(12.0, 34.0, 24.454545454545453)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:01:56.030845,"(12.0, 34.0, 24.454545454545453)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:01:56.984077,"(12.0, 34.0, 24.454545454545453)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:01:57.966137,"(12.0, 34.0, 24.454545454545453)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 7.8)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:01:58.985141,"(12.0, 34.0, 24.454545454545453)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 7.8)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:01:59.953235,"(12.0, 34.0, 24.454545454545453)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 7.8)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:02:00.968253,"(12.0, 34.0, 24.454545454545453)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 7.8)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 44.31818181818182)"
16-12-2022 15:02:02.092697,"(12.0, 34.0, 24.454545454545453)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 7.8)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 44.31818181818182)"
16-12-2022 15:02:03.199420,"(12.0, 34.0, 24.454545454545453)","(14.0, 40.0, 37.111111111111114)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 7.8)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 44.31818181818182)"
16-12-2022 15:02:04.257665,"(12.0, 34.0, 24.454545454545453)","(14.0, 40.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 9.018181818181818)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 44.31818181818182)"
16-12-2022 15:02:05.317330,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 9.018181818181818)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 44.31818181818182)"
16-12-2022 15:02:06.272255,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 7.890909090909091)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 44.31818181818182)"
16-12-2022 15:02:07.268490,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 7.890909090909091)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.16666666666667)"
16-12-2022 15:02:08.385464,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 7.890909090909091)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.16666666666667)"
16-12-2022 15:02:09.526125,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 7.890909090909091)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.16666666666667)"
16-12-2022 15:02:10.532419,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 7.890909090909091)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.16666666666667)"
