,Bob,Vincenzo,Mums The Boss,Spirit Of Macher,Dark Lever,Single Babe,Tinas Rock,Whos In Winny
08-12-2022 13:07:29.718641,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 3.0357142857142856)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:30.824049,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 3.0357142857142856)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:32.016916,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 3.0357142857142856)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:33.210760,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 3.0357142857142856)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:34.365570,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.75, 3.6681818181818184)","(2.4, 3.05, 3.0357142857142856)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:35.650985,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6197368421052634)","(2.4, 3.05, 3.0357142857142856)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:36.817147,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6197368421052634)","(2.4, 3.05, 3.0357142857142856)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:37.938138,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6197368421052634)","(2.4, 3.05, 3.0357142857142856)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:39.058888,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6197368421052634)","(2.4, 3.05, 3.025)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:40.180726,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6197368421052634)","(2.4, 3.05, 3.025)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 100.0, 89.07692307692308)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
