,Night Boss,Shanghai Candy,Freedom Rider,Purple Shirt,Political Decision,Missionsninetynine,Late In The Game
15-12-2022 12:53:12.261571,"(6.0, 8.8, 8.666666666666668)","(7.5, 17.5, 17.166666666666668)","(2.4, 3.9, 3.758490566037736)","(9.0, 13.0, 12.333333333333334)","(21.0, 48.0, 38.0)","(3.1, 5.7, 5.633333333333334)","(3.7, 3.85, 3.6543478260869566)"
15-12-2022 12:53:13.285599,"(6.0, 8.8, 8.654545454545454)","(7.5, 17.5, 17.166666666666668)","(2.4, 3.95, 3.8578947368421055)","(9.0, 13.0, 12.333333333333334)","(21.0, 48.0, 38.0)","(3.1, 5.7, 5.657894736842105)","(3.7, 3.85, 3.6543478260869566)"
15-12-2022 12:53:14.473318,"(6.0, 8.8, 8.654545454545454)","(7.5, 17.5, 17.166666666666668)","(2.4, 3.95, 3.791891891891892)","(9.0, 12.5, 12.285714285714285)","(21.0, 48.0, 38.0)","(3.1, 5.7, 5.657894736842105)","(3.7, 3.85, 3.6543478260869566)"
15-12-2022 12:53:15.564232,"(6.0, 8.8, 8.654545454545454)","(7.5, 17.5, 17.166666666666668)","(2.4, 4.0, 3.791891891891892)","(9.0, 12.5, 12.285714285714285)","(21.0, 48.0, 43.0)","(3.1, 5.7, 5.661904761904762)","(3.7, 3.85, 3.6625)"
15-12-2022 12:53:16.623784,"(6.0, 8.8, 8.5)","(7.5, 19.5, 18.625)","(2.4, 4.0, 3.8025641025641024)","(9.0, 12.5, 12.3125)","(21.0, 48.0, 43.0)","(3.1, 5.7, 5.661904761904762)","(3.7, 3.85, 3.6625)"
15-12-2022 12:53:17.664780,"(6.0, 8.8, 8.5)","(7.5, 19.5, 18.625)","(2.4, 4.0, 3.8025641025641024)","(9.0, 12.5, 12.3125)","(21.0, 48.0, 38.0)","(3.1, 5.7, 5.661904761904762)","(3.7, 3.85, 3.6625)"
15-12-2022 12:53:18.692459,"(6.0, 8.8, 8.5)","(7.5, 19.5, 18.625)","(2.4, 4.0, 3.7601851851851853)","(9.0, 12.5, 12.3125)","(21.0, 48.0, 38.0)","(3.1, 5.7, 5.661904761904762)","(3.7, 3.85, 3.6625)"
15-12-2022 12:53:19.816222,"(6.0, 8.8, 8.5)","(7.5, 19.5, 18.625)","(2.4, 4.0, 3.7944444444444443)","(9.0, 12.5, 12.3125)","(21.0, 48.0, 38.0)","(3.1, 5.7, 5.629411764705883)","(3.7, 3.85, 3.6625)"
15-12-2022 12:53:20.943121,"(6.0, 8.8, 8.5)","(7.5, 19.5, 18.625)","(2.4, 4.0, 3.7944444444444443)","(9.0, 12.5, 12.3125)","(21.0, 48.0, 38.0)","(3.1, 5.7, 5.566666666666667)","(3.7, 3.85, 3.6625)"
15-12-2022 12:53:22.192790,"(6.0, 8.8, 8.5)","(7.5, 19.0, 17.75)","(2.4, 4.0, 3.81231884057971)","(9.0, 12.5, 12.3125)","(21.0, 48.0, 38.0)","(3.1, 5.7, 5.62)","(3.7, 3.85, 3.6625)"
15-12-2022 12:53:23.445599,"(6.0, 8.8, 8.5)","(7.5, 19.0, 17.75)","(2.4, 4.0, 3.81231884057971)","(9.0, 12.5, 12.3125)","(21.0, 48.0, 38.0)","(3.1, 5.7, 5.62)","(3.7, 3.85, 3.6625)"
15-12-2022 12:53:24.647801,"(6.0, 8.8, 8.5)","(7.5, 19.0, 17.7)","(2.4, 4.0, 3.7638297872340427)","(9.0, 12.5, 12.3125)","(21.0, 48.0, 42.0)","(3.1, 5.7, 5.62)","(3.7, 3.85, 3.6823529411764704)"
15-12-2022 12:53:25.890734,"(6.0, 8.8, 8.5)","(7.5, 19.5, 18.727272727272727)","(2.4, 4.0, 3.7638297872340427)","(9.0, 12.5, 12.4)","(21.0, 48.0, 42.0)","(3.1, 5.7, 5.62)","(3.7, 3.8, 3.675)"
15-12-2022 12:53:27.247376,"(6.0, 8.8, 8.35)","(7.5, 20.0, 20.5)","(2.4, 4.0, 3.8221153846153846)","(9.0, 13.0, 12.25)","(21.0, 48.0, 42.0)","(3.1, 5.7, 5.62)","(3.7, 3.8, 3.675)"
15-12-2022 12:53:28.469205,"(6.0, 8.8, 8.35)","(7.5, 21.0, 20.5)","(2.4, 4.0, 3.8221153846153846)","(9.0, 12.5, 12.3125)","(21.0, 48.0, 42.0)","(3.1, 5.7, 5.62)","(3.7, 3.8, 3.625)"
15-12-2022 12:53:29.632644,"(6.0, 8.8, 8.35)","(7.5, 21.0, 20.5)","(2.4, 4.0, 3.8221153846153846)","(9.0, 12.5, 12.3125)","(21.0, 48.0, 42.0)","(3.1, 5.7, 5.62)","(3.7, 3.75, 3.625)"
15-12-2022 12:53:30.954696,"(6.0, 8.8, 8.35)","(7.5, 21.0, 20.5)","(2.4, 4.0, 3.8221153846153846)","(9.0, 12.5, 12.3125)","(21.0, 48.0, 42.0)","(3.1, 5.7, 5.62)","(3.7, 3.75, 3.625)"
15-12-2022 12:53:32.300236,"(6.0, 8.8, 8.35)","(7.5, 21.0, 20.5)","(2.4, 4.0, 3.8221153846153846)","(9.0, 12.5, 12.3125)","(21.0, 48.0, 42.0)","(3.1, 5.7, 5.6454545454545455)","(3.7, 3.75, 3.625)"
15-12-2022 12:53:33.527856,"(6.0, 8.8, 8.35)","(7.5, 21.0, 20.5)","(2.4, 4.0, 3.8221153846153846)","(9.0, 12.5, 12.3125)","(21.0, 48.0, 42.0)","(3.1, 5.7, 5.6454545454545455)","(3.7, 3.75, 3.625)"
15-12-2022 12:53:34.631070,"(6.0, 8.8, 8.35)","(7.5, 21.0, 20.5)","(2.4, 4.0, 3.8221153846153846)","(9.0, 13.0, 12.4)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.6454545454545455)","(3.7, 3.75, 3.625)"
15-12-2022 12:53:35.654201,"(6.0, 8.8, 8.35)","(7.5, 21.0, 20.5)","(2.4, 4.0, 3.848360655737705)","(9.0, 13.0, 12.4)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.6454545454545455)","(3.7, 3.75, 3.625)"
15-12-2022 12:53:36.626277,"(6.0, 8.8, 8.35)","(7.5, 21.0, 20.6)","(2.4, 4.0, 3.848360655737705)","(9.0, 13.0, 12.4)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.6454545454545455)","(3.7, 3.75, 3.625)"
15-12-2022 12:53:37.669106,"(6.0, 8.8, 8.35)","(7.5, 21.0, 20.6)","(2.4, 4.0, 3.8732876712328768)","(9.0, 13.0, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.6454545454545455)","(3.7, 3.75, 3.625)"
15-12-2022 12:53:38.735584,"(6.0, 8.8, 8.35)","(7.5, 21.0, 20.6)","(2.4, 4.0, 3.8732876712328768)","(9.0, 12.5, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.6454545454545455)","(3.7, 3.75, 3.625)"
15-12-2022 12:53:39.816426,"(6.0, 8.8, 8.35)","(7.5, 21.0, 20.5)","(2.4, 4.0, 3.8732876712328768)","(9.0, 12.5, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.6454545454545455)","(3.7, 3.75, 3.625)"
15-12-2022 12:53:40.918029,"(6.0, 8.8, 8.35)","(7.5, 21.0, 20.5)","(2.4, 4.0, 3.8732876712328768)","(9.0, 12.5, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.6454545454545455)","(3.7, 3.75, 3.625)"
15-12-2022 12:53:41.997542,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.5)","(2.4, 4.0, 3.8732876712328768)","(9.0, 12.5, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.6454545454545455)","(3.7, 3.75, 3.6294117647058823)"
15-12-2022 12:53:43.097512,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.8732876712328768)","(9.0, 12.5, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.6454545454545455)","(3.7, 3.7, 3.625)"
15-12-2022 12:53:44.209921,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.8732876712328768)","(9.0, 12.5, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.6454545454545455)","(3.7, 3.7, 3.625)"
15-12-2022 12:53:45.354141,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.8732876712328768)","(9.0, 12.5, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.574193548387097)","(3.7, 3.7, 3.5875)"
15-12-2022 12:53:46.390794,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.8425531914893614)","(9.0, 12.5, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.574193548387097)","(3.7, 3.65, 3.5875)"
15-12-2022 12:53:47.433478,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.9)","(9.0, 12.5, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.574193548387097)","(3.7, 3.65, 3.5875)"
15-12-2022 12:53:48.573011,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.9375)","(9.0, 12.5, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.574193548387097)","(3.7, 3.65, 3.5875)"
15-12-2022 12:53:49.697421,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.9375)","(9.0, 12.5, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.574193548387097)","(3.7, 3.65, 3.5875)"
15-12-2022 12:53:50.733668,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.9375)","(9.0, 12.5, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.574193548387097)","(3.7, 3.65, 3.5875)"
15-12-2022 12:53:51.797448,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.9375)","(9.0, 12.5, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.574193548387097)","(3.7, 3.65, 3.5875)"
15-12-2022 12:53:52.873619,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.9375)","(9.0, 12.5, 12.357142857142858)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.574193548387097)","(3.7, 3.65, 3.5875)"
15-12-2022 12:53:53.912420,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.9375)","(9.0, 13.0, 12.52)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.574193548387097)","(3.7, 3.65, 3.5875)"
15-12-2022 12:53:54.925351,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.9375)","(9.0, 13.0, 12.52)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.483333333333333)","(3.7, 3.65, 3.547727272727273)"
15-12-2022 12:53:55.875684,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.9558823529411766)","(9.0, 13.0, 12.25)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.483333333333333)","(3.7, 3.65, 3.547727272727273)"
15-12-2022 12:53:56.909482,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.9558823529411766)","(9.0, 13.0, 12.25)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.483333333333333)","(3.7, 3.65, 3.547727272727273)"
15-12-2022 12:53:57.945850,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.966666666666667)","(9.0, 13.0, 12.25)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.483333333333333)","(3.7, 3.65, 3.547727272727273)"
15-12-2022 12:53:59.005945,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.966666666666667)","(9.0, 13.0, 12.25)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.483333333333333)","(3.7, 3.65, 3.547727272727273)"
15-12-2022 12:54:00.008260,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.966666666666667)","(9.0, 13.0, 12.25)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.483333333333333)","(3.7, 3.65, 3.535714285714286)"
15-12-2022 12:54:01.033258,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.966666666666667)","(9.0, 13.0, 12.25)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.483333333333333)","(3.7, 3.6, 3.535714285714286)"
15-12-2022 12:54:02.001098,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.966666666666667)","(9.0, 13.0, 12.25)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.57)","(3.7, 3.6, 3.535714285714286)"
15-12-2022 12:54:02.981112,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.9464285714285716)","(9.0, 13.0, 12.25)","(21.0, 48.0, 43.5)","(3.1, 5.7, 5.57)","(3.7, 3.6, 3.4913793103448274)"
15-12-2022 12:54:04.142307,"(6.0, 8.8, 8.28)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.90625)","(9.0, 13.0, 12.25)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.57)","(3.7, 3.55, 3.4650000000000003)"
15-12-2022 12:54:05.275184,"(6.0, 8.8, 8.35)","(7.5, 21.0, 20.666666666666668)","(2.4, 4.0, 3.90625)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.57)","(3.7, 3.55, 3.4650000000000003)"
15-12-2022 12:54:06.419130,"(6.0, 8.8, 8.35)","(7.5, 21.0, 20.333333333333332)","(2.4, 4.0, 3.90625)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.57)","(3.7, 3.55, 3.388095238095238)"
15-12-2022 12:54:07.601195,"(6.0, 8.8, 8.35)","(7.5, 22.0, 20.5)","(2.4, 4.0, 3.90625)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.57)","(3.7, 3.55, 3.388095238095238)"
15-12-2022 12:54:08.568537,"(6.0, 8.8, 8.35)","(7.5, 22.0, 20.5)","(2.4, 4.0, 3.90625)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.57)","(3.7, 3.55, 3.388095238095238)"
15-12-2022 12:54:09.515137,"(6.0, 8.8, 8.35)","(7.5, 22.0, 20.5)","(2.4, 4.0, 3.90625)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.57)","(3.7, 3.55, 3.388095238095238)"
15-12-2022 12:54:10.546622,"(6.0, 8.8, 8.35)","(7.5, 22.0, 20.5)","(2.4, 4.0, 3.90625)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.57)","(3.7, 3.55, 3.388095238095238)"
15-12-2022 12:54:11.565765,"(6.0, 8.8, 8.28)","(7.5, 22.0, 20.5)","(2.4, 3.9, 3.882142857142857)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.57)","(3.7, 3.55, 3.388095238095238)"
15-12-2022 12:54:12.626065,"(6.0, 8.8, 8.28)","(7.5, 22.0, 20.5)","(2.4, 4.0, 3.9)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.57)","(3.7, 3.55, 3.388095238095238)"
15-12-2022 12:54:13.762953,"(6.0, 8.8, 8.28)","(7.5, 22.0, 20.5)","(2.4, 4.0, 3.911111111111111)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.57)","(3.7, 3.55, 3.388095238095238)"
15-12-2022 12:54:14.827158,"(6.0, 8.8, 8.28)","(7.5, 22.0, 20.5)","(2.4, 4.0, 3.911111111111111)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.57)","(3.4, 3.55, 3.388095238095238)"
15-12-2022 12:54:15.826476,"(6.0, 8.8, 8.28)","(7.5, 22.0, 20.5)","(2.4, 4.0, 3.911111111111111)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.57)","(3.4, 3.55, 3.388095238095238)"
15-12-2022 12:54:16.905314,"(6.0, 8.8, 8.28)","(7.5, 22.0, 20.65)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.57)","(3.4, 3.55, 3.388095238095238)"
15-12-2022 12:54:17.871721,"(6.0, 8.8, 8.35)","(7.5, 22.0, 20.65)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 40.0)","(3.1, 5.7, 5.57)","(3.4, 3.55, 3.4357142857142855)"
15-12-2022 12:54:18.910615,"(6.0, 8.8, 8.35)","(7.5, 22.0, 19.0)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 40.0)","(3.1, 5.7, 5.57)","(3.4, 3.5, 3.35)"
15-12-2022 12:54:19.977933,"(6.0, 8.8, 8.35)","(7.5, 22.0, 19.0)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 40.0)","(3.1, 5.7, 5.603703703703704)","(3.4, 3.4, 3.35)"
15-12-2022 12:54:21.091838,"(6.0, 8.8, 8.35)","(7.5, 22.0, 19.0)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 40.0)","(3.1, 5.7, 5.603703703703704)","(3.4, 3.4, 3.35)"
15-12-2022 12:54:22.149127,"(6.0, 8.8, 8.35)","(7.5, 22.0, 19.0)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 40.0)","(3.1, 5.7, 5.603703703703704)","(3.4, 3.4, 3.35)"
15-12-2022 12:54:23.261462,"(6.0, 8.8, 8.35)","(7.5, 22.0, 19.9)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 40.0)","(3.1, 5.7, 5.603703703703704)","(3.4, 3.4, 3.35)"
15-12-2022 12:54:24.373721,"(6.0, 8.8, 8.35)","(7.5, 22.0, 19.9)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 40.0)","(3.1, 5.7, 5.603703703703704)","(3.4, 3.4, 3.35)"
15-12-2022 12:54:25.478757,"(6.0, 8.8, 8.35)","(7.5, 22.0, 19.9)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 44.8)","(3.1, 5.7, 5.603703703703704)","(3.4, 3.4, 3.35)"
15-12-2022 12:54:26.549347,"(6.0, 8.8, 8.35)","(7.5, 22.0, 20.25)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 44.8)","(3.1, 5.7, 5.603703703703704)","(3.4, 3.4, 3.35)"
15-12-2022 12:54:27.656021,"(6.0, 8.8, 8.35)","(7.5, 28.0, 19.428571428571427)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 41.0)","(3.1, 5.7, 5.603703703703704)","(3.4, 3.4, 3.35)"
15-12-2022 12:54:28.663163,"(6.0, 8.8, 8.35)","(7.5, 28.0, 19.428571428571427)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 41.0)","(3.1, 5.7, 5.603703703703704)","(3.4, 3.4, 3.35)"
15-12-2022 12:54:29.671582,"(6.0, 8.8, 8.35)","(7.5, 28.0, 19.428571428571427)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 41.0)","(3.1, 5.7, 5.603703703703704)","(3.4, 3.55, 3.5)"
15-12-2022 12:54:30.747838,"(6.0, 8.8, 8.35)","(7.5, 26.0, 22.0)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.4, 3.55, 3.5)"
15-12-2022 12:54:31.815798,"(6.0, 8.8, 8.35)","(7.5, 26.0, 22.0)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.4, 3.55, 3.5)"
15-12-2022 12:54:32.856426,"(6.0, 8.8, 8.35)","(7.5, 26.0, 22.0)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:33.838909,"(6.0, 8.8, 8.35)","(7.5, 26.0, 22.0)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.571428571428571)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:34.812140,"(6.0, 8.8, 8.35)","(7.5, 26.0, 22.25)","(2.4, 4.0, 3.874074074074074)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:35.943301,"(6.0, 8.8, 8.35)","(7.5, 26.0, 22.25)","(2.4, 4.0, 3.905263157894737)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:37.072382,"(6.0, 8.8, 8.35)","(7.5, 26.0, 22.25)","(2.4, 4.0, 3.905263157894737)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:38.266084,"(6.0, 8.8, 8.35)","(7.5, 26.0, 22.25)","(2.4, 4.0, 3.905263157894737)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:39.472280,"(6.0, 8.8, 8.35)","(7.5, 26.0, 22.25)","(2.4, 4.0, 3.905263157894737)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:40.668969,"(6.0, 8.8, 8.35)","(7.5, 26.0, 22.25)","(2.4, 4.0, 3.905263157894737)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:41.837201,"(6.0, 8.8, 8.35)","(7.5, 26.0, 22.25)","(2.4, 4.0, 3.905263157894737)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:42.903537,"(6.0, 8.8, 8.35)","(7.5, 26.0, 22.25)","(2.4, 4.0, 3.905263157894737)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:43.903014,"(6.0, 8.8, 8.35)","(7.5, 26.0, 22.25)","(2.4, 4.0, 3.905263157894737)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:44.971404,"(6.0, 8.8, 8.35)","(7.5, 26.0, 23.0)","(2.4, 4.0, 3.8909090909090907)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:46.101119,"(6.0, 8.8, 8.35)","(7.5, 26.0, 23.0)","(2.4, 4.0, 3.8909090909090907)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:47.215075,"(6.0, 8.8, 8.28)","(7.5, 26.0, 23.0)","(2.4, 4.0, 3.8909090909090907)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:48.332480,"(6.0, 8.8, 8.28)","(7.5, 26.0, 23.0)","(2.4, 4.0, 3.8909090909090907)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:49.333070,"(6.0, 8.8, 8.28)","(7.5, 26.0, 23.0)","(2.4, 4.0, 3.8909090909090907)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:50.390893,"(6.0, 8.8, 8.28)","(7.5, 26.0, 23.0)","(2.4, 4.0, 3.8909090909090907)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:51.567837,"(6.0, 8.8, 8.28)","(7.5, 26.0, 23.0)","(2.4, 4.0, 3.8909090909090907)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:52.697432,"(6.0, 8.8, 8.28)","(7.5, 26.0, 23.0)","(2.4, 4.0, 3.8909090909090907)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:53.875764,"(6.0, 8.8, 8.28)","(7.5, 26.0, 23.0)","(2.4, 4.0, 3.8909090909090907)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:55.035443,"(6.0, 8.8, 8.28)","(7.5, 26.0, 24.5)","(2.4, 4.0, 3.8909090909090907)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:56.180380,"(6.0, 8.8, 8.28)","(7.5, 26.0, 24.5)","(2.4, 4.0, 3.8909090909090907)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:57.225733,"(6.0, 8.8, 8.28)","(7.5, 26.0, 24.5)","(2.4, 4.0, 3.8909090909090907)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
15-12-2022 12:54:58.227363,"(6.0, 8.8, 8.28)","(7.5, 26.0, 24.5)","(2.4, 4.0, 3.8909090909090907)","(9.0, 13.0, 12.4375)","(21.0, 48.0, 44.4)","(3.1, 5.7, 5.603703703703704)","(3.2, 3.55, 3.5)"
