,Skip The Bull,Ice Bar,Rey O Reyes,Ingreido,Earthquakedirector,Tweet This,Feisty Kitten,Lunar Image,Suleman
06-01-2023 13:19:00.621005,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.133333333333333)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.876470588235295)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8666666666666667)"
06-01-2023 13:19:01.977612,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.133333333333333)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.876470588235295)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8666666666666667)"
06-01-2023 13:19:03.541756,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 10.142857142857142)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.8)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8115384615384618)"
06-01-2023 13:19:04.928706,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 10.333333333333332)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.8)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8115384615384618)"
06-01-2023 13:19:06.243354,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 10.333333333333332)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.8)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8115384615384618)"
06-01-2023 13:19:07.565879,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 10.333333333333332)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.8)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8115384615384618)"
06-01-2023 13:19:08.806919,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 10.333333333333332)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.8)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.8115384615384618)"
06-01-2023 13:19:10.072547,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 10.333333333333332)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.633333333333333)","(26.0, 32.0, 32.4)","(26.0, 46.0, 29.666666666666664)","(2.05, 3.05, 2.8115384615384618)"
06-01-2023 13:19:11.432702,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 10.333333333333332)","(26.0, 32.0, 29.6)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 29.666666666666664)","(2.05, 3.05, 2.8115384615384618)"
06-01-2023 13:19:12.744576,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.371428571428572)","(5.5, 11.0, 9.879999999999999)","(26.0, 32.0, 29.6)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.05, 2.808333333333333)"
06-01-2023 13:19:14.104250,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.4, 8.0, 7.4)","(5.5, 11.0, 9.7)","(26.0, 32.0, 29.6)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.05, 2.8285714285714283)"
06-01-2023 13:19:15.431438,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.4, 8.0, 7.4)","(5.5, 11.0, 10.257142857142858)","(26.0, 32.0, 29.6)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8285714285714283)"
06-01-2023 13:19:16.722362,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.4, 8.0, 7.4)","(5.5, 11.0, 10.257142857142858)","(26.0, 32.0, 29.6)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8375000000000004)"
06-01-2023 13:19:17.968587,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.4, 8.0, 7.4)","(5.5, 11.0, 10.04)","(26.0, 32.0, 29.6)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8375000000000004)"
06-01-2023 13:19:19.207120,"(19.0, 99999, 99990)","(6.0, 13.5, 12.677777777777777)","(4.4, 8.0, 7.4)","(5.5, 11.0, 10.04)","(26.0, 32.0, 29.6)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8)"
06-01-2023 13:19:20.494422,"(19.0, 99999, 99990)","(6.0, 13.5, 12.02)","(4.4, 8.0, 7.65)","(5.5, 11.0, 9.7)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8)"
06-01-2023 13:19:21.744931,"(19.0, 99999, 99990)","(6.0, 13.5, 12.1)","(4.4, 8.0, 7.65)","(5.5, 11.0, 9.266666666666667)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8)"
06-01-2023 13:19:23.114993,"(19.0, 99999, 99990)","(6.0, 13.5, 12.1)","(4.4, 8.0, 7.4)","(5.5, 11.0, 9.628571428571428)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8)"
06-01-2023 13:19:24.446652,"(19.0, 99999, 99990)","(6.0, 13.5, 12.1)","(4.4, 8.0, 7.4)","(5.5, 11.0, 9.266666666666667)","(26.0, 32.0, 25.333333333333332)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8)"
06-01-2023 13:19:25.684438,"(19.0, 99999, 99990)","(6.0, 13.5, 12.1)","(4.4, 8.0, 7.4)","(5.5, 11.0, 9.266666666666667)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8)"
06-01-2023 13:19:26.973427,"(19.0, 99999, 99990)","(6.0, 13.5, 12.1)","(4.4, 8.0, 7.371428571428572)","(5.5, 11.0, 9.628571428571428)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8)"
06-01-2023 13:19:28.143576,"(19.0, 99999, 99990)","(6.0, 13.5, 12.1)","(4.4, 8.0, 7.371428571428572)","(5.5, 11.0, 9.6)","(26.0, 32.0, 25.333333333333332)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8)"
06-01-2023 13:19:29.309589,"(19.0, 99999, 99990)","(6.0, 13.5, 12.1)","(4.4, 8.0, 7.4)","(5.5, 11.0, 9.6)","(26.0, 32.0, 25.333333333333332)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8)"
06-01-2023 13:19:30.487699,"(19.0, 99999, 99990)","(6.0, 13.5, 12.1)","(4.4, 8.0, 7.371428571428572)","(5.5, 11.0, 9.514285714285714)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8)"
06-01-2023 13:19:31.700870,"(19.0, 99999, 99990)","(6.0, 13.5, 12.1)","(4.4, 8.0, 7.4)","(5.5, 11.0, 9.6)","(26.0, 32.0, 25.333333333333332)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8)"
06-01-2023 13:19:33.012811,"(19.0, 99999, 99990)","(6.0, 13.5, 12.1)","(4.4, 8.0, 7.4)","(5.5, 11.0, 9.981818181818182)","(26.0, 32.0, 25.333333333333332)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8)"
06-01-2023 13:19:34.230282,"(19.0, 99999, 99990)","(6.0, 13.5, 12.1)","(4.4, 8.0, 7.4)","(5.5, 11.0, 9.981818181818182)","(26.0, 32.0, 26.0)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.8)"
06-01-2023 13:19:35.423877,"(19.0, 99999, 99990)","(6.0, 13.5, 12.1)","(4.4, 8.0, 7.466666666666667)","(5.5, 11.0, 9.514285714285714)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 28.0)","(2.05, 3.0, 2.84)"
06-01-2023 13:19:36.641091,"(19.0, 99999, 99990)","(6.0, 13.5, 12.1)","(4.4, 8.0, 7.466666666666667)","(5.5, 11.0, 9.6)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 29.666666666666664)","(2.05, 3.0, 2.88)"
06-01-2023 13:19:37.852687,"(19.0, 99999, 99990)","(6.0, 13.5, 12.677777777777777)","(4.4, 8.0, 7.466666666666667)","(5.5, 11.0, 9.6)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 29.666666666666664)","(2.05, 3.0, 2.88)"
06-01-2023 13:19:39.112893,"(19.0, 99999, 99990)","(6.0, 13.5, 12.677777777777777)","(4.4, 8.0, 7.466666666666667)","(5.5, 11.0, 9.6)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.8, 5.633333333333333)","(26.0, 34.0, 32.4)","(26.0, 34.0, 29.666666666666664)","(2.05, 3.0, 2.88)"
