,Avvertimento,Blazing Sunrise,Dissonance,Lady Tabloid,Discreet Miss,Cider Bite,Spritely Emily,Talent Award
08-01-2023 13:18:21.960843,"(9.0, 14.0, 11.5)","(7.0, 13.0, 12.085714285714285)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:23.093573,"(9.0, 13.5, 11.1)","(7.0, 13.0, 12.085714285714285)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:24.127483,"(9.0, 13.5, 11.1)","(7.0, 13.0, 12.085714285714285)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:25.126242,"(9.0, 13.5, 11.1)","(7.0, 13.0, 11.4)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:26.167749,"(9.0, 13.5, 11.1)","(7.0, 13.0, 11.4)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:27.312477,"(9.0, 13.5, 11.1)","(7.0, 13.0, 11.4)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:28.365166,"(9.0, 13.5, 11.1)","(7.0, 13.0, 11.4)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:29.409943,"(9.0, 13.5, 11.1)","(7.0, 13.0, 11.4)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:30.511616,"(9.0, 13.5, 11.1)","(7.0, 13.0, 11.4)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3875862068965517)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.185714285714287)","(7.0, 9.0, 7.9714285714285715)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:31.616052,"(9.0, 13.5, 11.1)","(7.0, 13.0, 11.5)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.666666666666666)","(8.5, 12.5, 10.185714285714287)","(7.0, 8.8, 7.680000000000001)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:32.705050,"(9.0, 13.5, 11.1)","(7.0, 13.0, 11.5)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.666666666666666)","(8.5, 12.5, 10.185714285714287)","(7.0, 8.8, 7.680000000000001)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:33.788420,"(9.0, 13.5, 11.1)","(7.0, 13.0, 11.5)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.666666666666666)","(8.5, 12.5, 10.185714285714287)","(7.0, 8.8, 7.680000000000001)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:34.805820,"(9.0, 13.5, 11.1)","(7.0, 13.0, 11.5)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.666666666666666)","(8.5, 12.5, 10.185714285714287)","(7.0, 8.8, 7.680000000000001)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:35.814079,"(9.0, 13.5, 11.1)","(7.0, 13.0, 11.5)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.666666666666666)","(8.5, 12.5, 10.185714285714287)","(7.0, 8.8, 7.680000000000001)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:36.882182,"(9.0, 13.5, 11.1)","(7.0, 13.0, 11.5)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.666666666666666)","(8.5, 12.5, 10.185714285714287)","(7.0, 8.8, 7.680000000000001)","(101.0, 220.0, 140.0)"
