,Westar Commander,Incineration,Nehalem,Mr Beets,Gomez Bale,Orbital Bale,Lovaz Bale,Spaghetti Legs
07-01-2023 19:09:07.429689,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.9375)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:08.687070,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.9375)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:10.116431,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.9375)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:11.502849,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.9375)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:12.674171,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.9375)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:13.819732,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.9375)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:15.022038,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.9375)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:16.165667,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.9375)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:17.333074,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.9375)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:18.443240,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 34.44444444444444)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:19.546691,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.5625)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:20.833773,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.5625)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:22.111797,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.5625)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:23.478511,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.5625)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:24.805595,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.5625)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:25.955208,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.5625)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:27.259882,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.5625)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:28.500829,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.5625)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
