,Opawa Barrel,Dembe,Opawa Chrissy,Carlos Jewel,Oberon Bale,Gitan,Opawa Conan,Quintessa Bale
08-12-2022 15:16:53.992048,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.744230769230769)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 8.12463768115942)"
08-12-2022 15:16:55.077851,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.4)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 6.333333333333334)"
08-12-2022 15:16:56.425929,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.4)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.470000000000001)"
08-12-2022 15:16:57.778774,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.4)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.470000000000001)"
08-12-2022 15:16:59.201337,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.4)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.470000000000001)"
08-12-2022 15:17:00.422233,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.4)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.470000000000001)"
08-12-2022 15:17:01.874975,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.4)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.470000000000001)"
08-12-2022 15:17:03.343722,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.4)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.470000000000001)"
08-12-2022 15:17:04.782194,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.4)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.470000000000001)"
08-12-2022 15:17:06.000670,"(5.0, 9.6, 7.927272727272728)","(10.0, 18.5, 16.95)","(7.5, 13.0, 11.8)","(11.0, 21.0, 19.755555555555556)","(15.0, 32.0, 29.214285714285715)","(3.1, 5.0, 4.4)","(7.0, 12.5, 11.657142857142857)","(3.7, 8.4, 7.470000000000001)"
